日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,74,良,43,50,14,1.9,31,129
2015-01-01,67,良,32,85,15,1.2,29,115
2015-01-02,62,良,33,46,21,1.9,39,114
2015-01-03,58,良,34,43,41,0.9,24,110
2015-01-04,64,良,41,31,24,2.1,36,117
2015-01-05,47,优,22,30,31,1.5,26,94
2015-01-06,58,良,35,62,24,1.8,37,109
2015-01-07,67,良,38,38,23,1.4,30,120
2015-01-08,74,良,27,30,18,2.1,31,129
2015-01-09,77,良,35,104,15,2.1,34,124
2015-01-10,66,良,37,66,22,0.8,23,119
2015-01-11,72,良,23,22,16,1.4,24,126
2015-01-12,62,良,24,30,23,1.1,16,114
2015-01-13,59,良,40,41,15,2.7,32,111
2015-01-14,70,良,30,35,16,2.6,33,124
2015-01-15,63,良,30,25,17,2.2,29,115
2015-01-16,50,优,30,32,18,1.8,20,100
2015-01-17,73,良,18,17,26,1.7,22,128
2015-01-18,63,良,32,40,20,3.3,35,116
2015-01-19,79,良,30,42,26,3,34,135
2015-01-20,71,良,35,49,20,2.1,34,125
2015-01-21,65,良,17,28,20,0.8,20,118
2015-01-22,59,良,23,31,19,1.8,29,111
2015-01-23,59,良,31,41,24,1.6,31,111
2015-01-24,60,良,35,44,16,1.3,29,112
2015-01-25,66,良,31,38,27,2,30,119
2015-01-26,66,良,48,61,19,2.8,36,117
2015-01-27,88,良,66,78,13,3.1,33,123
2015-01-28,69,良,34,45,15,2.4,39,123
2015-01-29,73,良,39,55,16,2.7,34,128
2015-01-30,73,良,37,88,19,3,40,128
2015-01-31,76,良,41,63,17,2.8,38,131
2015-02-01,80,良,40,57,17,2.8,38,136
2015-02-02,81,良,36,56,17,2.7,39,137
2015-02-03,68,良,24,85,19,1.7,21,122
2015-02-04,68,良,31,85,19,1.8,23,86
2015-02-05,62,良,28,74,19,1.6,23,95
2015-02-06,68,良,28,85,12,1.9,26,92
2015-02-07,76,良,35,102,23,1.7,26,81
2015-02-08,71,良,46,91,19,1.8,31,73
2015-02-09,47,优,33,44,18,2.2,37,74
2015-02-10,70,良,35,90,22,1.4,27,86
2015-02-11,45,优,21,45,15,2.5,37,72
2015-02-12,54,良,31,57,12,2.8,39,58
2015-02-13,37,优,12,10,15,1.3,16,73
2015-02-14,45,优,13,13,7,1.4,15,90
2015-02-15,42,优,18,26,23,2.3,27,83
2015-02-16,38,优,24,31,17,2.2,42,75
2015-02-17,36,优,25,32,17,1.5,28,71
2015-02-18,31,优,11,17,21,0.6,13,62
2015-02-19,35,优,21,30,36,1,17,69
2015-02-20,43,优,15,14,5,2.2,25,86
2015-02-21,42,优,14,20,14,1.8,22,83
2015-02-22,47,优,20,35,24,1.6,22,93
2015-02-23,46,优,25,38,24,1.7,23,91
2015-02-24,44,优,19,25,12,1.9,23,88
2015-02-25,44,优,15,22,38,2,22,88
2015-02-26,42,优,23,37,25,1.5,16,83
2015-02-27,43,优,17,22,13,1.9,16,86
2015-02-28,44,优,17,25,20,2.3,20,88
2015-03-01,46,优,20,17,12,2.3,18,92
2015-03-02,44,优,11,32,22,2,12,88
2015-03-03,50,优,13,32,13,2,15,99
2015-03-04,50,优,18,25,15,1.9,20,99
2015-03-05,49,优,16,21,21,1.8,21,98
2015-03-06,55,良,22,28,29,1,19,106
2015-03-07,43,优,24,23,20,1.3,15,86
2015-03-08,43,优,19,27,14,1.3,15,85
