日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,45,优,15,45,38,0.7,25,51
2015-01-01,25,优,10,25,32,0,19,50
2015-01-02,38,优,20,38,41,0.4,25,56
2015-01-03,78,良,58,103,71,1,34,26
2015-01-04,67,良,43,84,85,0.7,38,27
2015-01-05,57,良,36,64,37,0.4,25,50
2015-01-06,28,优,7,26,25,0.2,17,56
2015-01-07,36,优,13,36,39,0.7,22,60
2015-01-08,38,优,16,38,34,0.7,21,44
2015-01-09,32,优,15,32,30,0.4,25,51
2015-01-10,51,良,26,52,41,0.9,31,46
2015-01-11,44,优,21,44,42,1,31,50
2015-01-12,35,优,18,35,46,1.6,25,34
2015-01-13,55,良,24,59,47,1.5,32,47
2015-01-14,86,良,64,112,58,1.6,45,30
2015-01-15,58,良,24,66,35,0.7,28,48
2015-01-16,43,优,8,43,34,0.3,21,63
2015-01-17,50,优,11,51,33,0.9,22,68
2015-01-18,65,良,18,79,50,1.1,22,50
2015-01-19,54,良,20,58,34,0.5,26,48
2015-01-20,63,良,33,77,55,0.8,41,41
2015-01-21,56,良,31,62,45,0.7,43,41
2015-01-22,69,良,43,87,54,0.8,31,34
2015-01-23,152,中度污染,117,155,48,1.2,30,56
2015-01-24,85,良,63,102,55,1.1,31,35
2015-01-25,86,良,64,94,53,1,31,59
2015-01-26,51,良,28,53,50,0.6,22,54
2015-01-27,30,优,13,30,39,0.5,18,56
2015-01-28,29,优,21,23,43,0.8,24,51
2015-01-29,54,良,30,59,44,0.8,26,52
2015-01-30,41,优,16,41,44,0.6,18,56
2015-01-31,42,优,19,42,46,0.8,20,52
2015-02-01,70,良,45,89,57,1.2,33,38
2015-02-02,62,良,39,74,47,1.1,28,42
2015-02-03,60,良,28,69,49,0.9,25,45
2015-02-04,58,良,34,65,48,1,23,55
2015-02-05,52,良,26,54,48,0.9,25,57
2015-02-06,62,良,32,75,47,0.9,24,62
2015-02-07,31,优,6,31,38,0.4,11,59
2015-02-08,41,优,21,41,47,0.9,16,64
2015-02-09,64,良,34,78,69,1,24,40
2015-02-10,45,优,21,45,50,0.6,11,64
2015-02-11,37,优,9,30,50,0.5,10,74
2015-02-12,49,优,24,49,54,0.8,15,69
2015-02-13,58,良,38,66,53,1,17,55
2015-02-14,60,良,29,70,56,1,20,52
2015-02-15,61,良,36,72,62,0.9,19,45
2015-02-16,78,良,54,107,68,1.2,21,37
2015-02-17,56,良,34,61,45,0.8,12,70
