»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,94,¡º,70,117,166,1.9,50,12
2013-12-03,81,¡º,60,105,141,1.7,40,13
2013-12-04,114,«·∂»Œ€»æ,86,141,166,1.9,49,8
2013-12-05,57,¡º,31,64,56,1.5,28,15
2013-12-06,75,¡º,55,94,103,1.8,55,16
2013-12-07,106,«·∂»Œ€»æ,80,133,152,2,68,9
2013-12-08,61,¡º,36,72,57,1.3,33,20
2013-12-09,47,”≈,28,47,69,1.5,29,17
2013-12-10,61,¡º,31,72,57,1.6,29,22
2013-12-11,52,¡º,21,54,57,1.5,42,19
2013-12-12,34,”≈,18,34,54,1.3,30,22
2013-12-13,71,¡º,51,78,119,1.9,68,14
2013-12-14,87,¡º,64,84,154,2,74,10
2013-12-15,107,«·∂»Œ€»æ,81,107,199,2.1,81,10
2013-12-16,98,¡º,74,99,145,2.1,67,12
2013-12-17,51,¡º,24,52,39,1.6,22,21
2013-12-18,100,¡º,75,123,135,1.9,61,17
2013-12-19,82,¡º,61,96,108,1.7,63,16
2013-12-20,98,¡º,73,123,116,1.9,62,16
2013-12-21,279,÷ÿ∂»Œ€»æ,229,165,197,1.8,80,11
2013-12-22,218,÷ÿ∂»Œ€»æ,168,247,246,1,90,7
2013-12-23,175,÷–∂»Œ€»æ,132,195,207,1.7,84,9
2013-12-24,224,÷ÿ∂»Œ€»æ,174,254,201,1.2,93,6
2013-12-25,124,«·∂»Œ€»æ,94,158,82,2.3,59,40
2013-12-26,39,”≈,23,39,38,2,32,38
2013-12-27,66,¡º,47,83,75,2.2,54,24
2013-12-28,52,¡º,34,53,50,2.1,41,40
2013-12-29,65,¡º,42,81,62,2.5,55,40
2013-12-30,96,¡º,40,143,54,2.2,43,43
2013-12-31,123,«·∂»Œ€»æ,37,196,34,1.9,26,44
2014-01-01,78,¡º,42,105,61,2.4,43,41
2014-01-02,101,«·∂»Œ€»æ,76,126,77,2.8,56,30
2014-01-03,84,¡º,60,117,83,2.6,68,29
2014-01-04,85,¡º,63,116,73,2.9,64,42
2014-01-05,88,¡º,66,108,82,3,72,30
2014-01-06,144,«·∂»Œ€»æ,110,154,107,4,87,24
2014-01-07,68,¡º,49,81,37,2,26,48
2014-01-08,51,¡º,27,52,45,2,27,40
2014-01-09,70,¡º,47,90,87,2.7,55,34
2014-01-10,92,¡º,69,109,114,3.5,75,28
2014-01-11,88,¡º,65,101,98,3.4,62,37
2014-01-12,54,¡º,34,58,61,2.4,42,32
2014-01-13,94,¡º,71,104,121,3.8,71,27
2014-01-14,92,¡º,69,98,106,3.1,65,20
2014-01-15,111,«·∂»Œ€»æ,84,124,137,3.7,73,18
2014-01-16,106,«·∂»Œ€»æ,80,119,123,2.8,70,31
2014-01-17,55,¡º,34,60,56,2.1,37,41
2014-01-18,73,¡º,54,88,101,2.9,66,26
2014-01-19,124,«·∂»Œ€»æ,49,198,58,2.1,36,46
2014-01-20,52,¡º,16,55,30,1.9,22,44
2014-01-21,71,¡º,52,75,109,3,48,30
2014-01-22,98,¡º,73,112,127,3.7,70,30
2014-01-23,187,÷–∂»Œ€»æ,141,199,204,5,95,22
2014-01-24,60,¡º,40,70,58,2.4,37,46
2014-01-25,32,”≈,18,32,38,2.1,23,54
2014-01-26,94,¡º,70,104,120,3.5,57,36
2014-01-27,138,«·∂»Œ€»æ,105,158,109,3.4,50,48
2014-01-28,68,¡º,49,76,97,3.1,46,45
2014-01-29,93,¡º,69,126,127,3.1,51,53
2014-01-30,78,¡º,58,91,102,2.7,40,47
2014-01-31,280,÷ÿ∂»Œ€»æ,230,284,179,4.8,74,44
2014-02-01,253,÷ÿ∂»Œ€»æ,203,257,170,4.6,79,43
2014-02-02,81,¡º,33,112,36,1.8,16,57
2014-02-03,28,”≈,11,28,22,1.8,11,55
2014-02-04,35,”≈,20,35,36,2,18,49
2014-02-05,68,¡º,49,73,79,2.8,39,43
2014-02-06,93,¡º,70,95,77,3.2,43,43
2014-02-07,204,÷ÿ∂»Œ€»æ,154,191,54,2.2,27,45
