日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-03,45,优,29,45,25,0.7,36,39
2014-01-04,73,良,51,96,30,1.3,47,39
2014-01-05,109,轻度污染,83,159,34,1.7,54,37
2014-01-06,86,良,64,105,39,0.9,35,99
2014-01-07,112,轻度污染,85,119,36,1.1,37,87
2014-01-08,39,优,22,39,25,0.5,25,40
2014-01-09,38,优,25,38,32,0.6,26,35
2014-01-10,51,良,36,51,40,0.9,34,32
2014-01-11,53,良,37,52,24,0.6,26,40
2014-01-12,41,优,27,41,28,0.6,25,41
2014-01-13,303,严重污染,253,55,28,0.8,36,39
2014-01-14,144,轻度污染,110,142,36,1.6,49,40
2014-01-15,269,重度污染,219,181,47,1.7,49,41
2014-01-16,80,良,59,79,38,0.8,35,40
2014-01-17,80,良,59,83,33,0.8,33,40
2014-01-18,99,良,74,97,34,1,36,36
2014-01-19,111,轻度污染,84,105,40,1.1,39,37
2014-01-20,147,轻度污染,113,139,42,1.3,44,41
2014-01-21,71,良,52,75,27,1,35,31
2014-01-22,146,轻度污染,112,120,23,1.2,37,47
2014-01-23,191,中度污染,144,178,64,1.8,46,39
2014-01-24,157,中度污染,120,136,31,1.5,42,45
2014-01-25,87,良,65,75,22,1,35,49
2014-01-26,60,良,43,57,29,0.7,26,57
2014-01-27,67,良,47,83,32,0.7,25,50
2014-01-28,37,优,23,37,28,0.5,21,50
2014-01-29,73,良,53,73,35,0.6,28,46
2014-01-30,43,优,30,40,38,0.5,17,63
2014-01-31,125,轻度污染,95,100,39,0.7,23,53
2014-02-01,91,良,68,75,28,0.8,22,65
2014-02-02,75,良,55,99,33,0.6,20,59
2014-02-03,30,优,18,30,34,0.4,15,57
2014-02-04,40,优,26,40,19,0.5,18,55
2014-02-05,62,良,44,55,29,0.8,22,51
2014-02-06,51,良,36,45,19,0.6,21,57
2014-02-07,112,轻度污染,84,103,26,0.9,38,46
2014-02-08,108,轻度污染,81,88,30,0.8,25,58
2014-02-09,52,良,37,47,27,0.5,26,49
2014-02-10,101,轻度污染,76,90,24,1,32,53
2014-02-11,132,轻度污染,101,119,26,1.1,31,64
2014-02-12,71,良,52,56,24,0.7,28,53
2014-02-13,75,良,55,68,28,0.7,26,57
2014-02-14,109,轻度污染,82,100,37,0.9,38,50
2014-02-15,120,轻度污染,91,100,48,0.8,36,58
2014-02-16,99,良,75,78,27,0.8,36,55
2014-02-17,88,良,66,78,24,1,37,58
2014-02-18,72,良,52,62,26,0.7,31,53
2014-02-19,77,良,57,61,23,0.8,34,59
2014-02-20,85,良,63,75,21,0.8,36,56
2014-02-21,103,轻度污染,77,96,28,0.9,35,68
2014-02-22,122,轻度污染,92,116,38,1.2,50,80
2014-02-23,112,轻度污染,85,105,30,0.9,34,97
2014-02-24,138,轻度污染,106,150,36,1.1,39,87
2014-02-25,209,重度污染,159,192,27,1.5,40,81
2014-02-26,282,重度污染,232,275,30,1.9,35,63
2014-02-27,63,良,45,52,12,0.6,24,70
2014-02-28,35,优,20,30,17,0.4,22,70
2014-03-01,36,优,25,34,18,0.5,28,68
2014-03-02,59,良,42,54,15,0.6,39,72
2014-03-03,50,优,35,46,16,0.6,34,71
2014-03-04,53,良,37,52,18,0.6,33,74
2014-03-05,42,优,26,42,13,0.4,20,69
2014-03-06,47,优,30,47,19,0.6,25,67
2014-03-07,54,良,38,52,12,0.6,23,68
2014-03-08,45,优,30,45,14,0.5,19,72
2014-03-09,35,优,22,35,12,0.4,16,69
2014-03-10,53,良,37,51,15,0.6,22,79
2014-03-11,75,良,55,89,26,0.9,18,71
2014-03-12,69,良,50,63,18,0.7,20,78
2014-03-13,51,良,33,53,21,0.8,22,75
2014-03-14,70,良,51,76,18,0.8,22,82
2014-03-15,74,良,54,85,15,0.7,20,75
2014-03-16,57,良,41,59,14,0.7,19,77
2014-03-17,63,良,45,69,17,0.5,14,79
2014-03-18,46,优,32,42,17,0.5,15,77
2014-03-19,48,优,34,47,26,0.5,16,70
2014-03-20,35,优,24,31,14,0.5,22,66
2014-03-21,46,优,31,46,21,0.8,27,73
2014-03-22,63,良,45,60,20,0.6,25,71
2014-03-23,77,良,57,75,22,0.7,33,106
2014-03-24,153,中度污染,117,171,39,1.1,34,111
2014-03-25,116,轻度污染,87,119,24,0.9,42,108
2014-03-26,133,轻度污染,101,128,24,1,44,117
2014-03-27,90,良,67,108,20,0.9,40,115
2014-03-28,65,良,47,76,28,0.5,25,99
2014-03-29,56,良,26,42,22,0.4,24,107
2014-03-30,64,良,46,77,18,0.5,22,109
2014-03-31,53,良,24,41,19,0.4,19,103
2014-04-01,48,优,27,44,12,0.4,15,96
2014-04-02,46,优,15,38,14,0.3,14,91
2014-04-03,44,优,18,32,15,0.4,17,88
2014-04-04,44,优,22,33,15,0.4,16,87
2014-04-05,47,优,15,26,14,0.3,18,94
2014-04-06,65,良,29,81,24,0.5,28,97
2014-04-07,66,良,47,81,24,0.6,34,110
2014-04-08,62,良,39,71,26,0.5,24,114
2014-04-09,51,良,23,53,13,0.3,17,87
2014-04-10,47,优,28,47,20,0.4,21,93
2014-04-11,56,良,34,62,22,0.5,29,88
2014-04-12,65,良,43,79,25,0.6,39,106
2014-04-13,73,良,50,85,25,0.5,25,127
2014-04-14,118,轻度污染,55,186,17,0.6,16,102
2014-04-15,44,优,16,36,8,0.2,14,87
2014-04-16,46,优,22,46,14,0.3,18,92
2014-04-17,44,优,24,40,14,0.4,22,88
2014-04-18,49,优,25,42,14,0.4,19,97
2014-04-19,58,良,39,66,13,0.5,30,103
2014-04-20,59,良,43,57,14,0.4,19,95
2014-04-21,56,良,40,53,13,0.5,22,96
2014-04-22,54,良,31,52,12,0.4,21,105
2014-04-23,63,良,35,67,14,0.4,19,116
2014-04-24,112,轻度污染,55,174,20,0.6,16,127
2014-04-25,170,中度污染,81,290,19,0.6,17,126
2014-04-26,111,轻度污染,49,171,10,0.3,13,87
2014-04-27,52,良,25,53,10,0.3,17,92
2014-04-28,58,良,31,66,13,0.3,20,104
2014-04-29,67,良,34,73,15,0.4,16,120
2014-04-30,79,良,39,109,17,0.4,14,121
2014-05-01,76,良,37,102,9,0.4,10,99
2014-05-02,46,优,21,46,8,0.3,8,73
2014-05-03,45,优,31,43,9,0.3,14,83
2014-05-04,38,优,17,38,9,0.3,9,62
2014-05-05,33,优,16,29,10,0.3,9,66
2014-05-06,38,优,15,24,12,0.3,12,75
2014-05-07,38,优,18,30,12,0.3,13,75
2014-05-08,42,优,17,26,10,0.3,13,84
2014-05-09,48,优,21,39,13,0.3,15,96
2014-05-10,53,良,28,56,11,0.4,20,88
2014-05-11,61,良,41,72,13,0.5,20,81
2014-05-12,42,优,29,39,8,0.4,16,69
2014-05-13,40,优,12,18,9,0.3,15,80
2014-05-14,32,优,11,17,9,0.4,16,64
2014-05-15,29,优,16,24,8,0.4,18,58
2014-05-16,36,优,15,23,8,0.3,14,71
2014-05-17,44,优,26,41,9,0.4,22,87
2014-05-18,44,优,28,44,9,0.4,25,66
2014-05-19,46,优,31,36,8,0.4,22,91
2014-05-20,40,优,21,20,10,0.4,19,79
2014-05-21,46,优,23,32,7,0.4,17,91
2014-05-22,55,良,20,30,9,0.4,15,106
2014-05-23,48,优,22,44,7,0.4,20,95
2014-05-24,39,优,15,34,7,0.3,19,78
2014-05-25,49,优,31,49,6,0.4,15,86
2014-05-26,41,优,17,37,7,0.3,14,81
2014-05-27,38,优,16,25,7,0.3,12,76
2014-05-28,43,优,13,36,7,0.2,13,86
2014-05-29,45,优,16,45,7,0.3,16,81
2014-05-30,50,优,17,46,9,0.3,17,100
2014-05-31,97,良,38,90,15,0.5,18,156
2014-06-01,104,轻度污染,73,158,16,0.7,21,150
2014-06-02,82,良,60,110,13,0.7,26,135
2014-06-03,62,良,31,74,8,0.3,17,97
2014-06-04,70,良,24,55,12,0.4,20,124
2014-06-05,65,良,37,80,14,0.5,26,105
2014-06-06,38,优,12,33,11,0.3,16,76
2014-06-07,36,优,13,36,8,0.2,14,56
2014-06-08,35,优,20,28,8,0.3,14,69
2014-06-09,40,优,21,27,8,0.4,14,80
2014-06-10,34,优,18,23,8,0.3,15,68
2014-06-11,35,优,17,35,9,0.4,18,63
2014-06-12,35,优,13,22,8,0.3,14,70
2014-06-13,46,优,19,34,9,0.4,21,91
2014-06-14,43,优,22,40,9,0.4,19,85
2014-06-15,40,优,20,36,8,0.3,17,80
2014-06-16,42,优,17,36,8,0.3,17,83
2014-06-17,33,优,15,30,7,0.3,10,66
2014-06-18,33,优,13,23,8,0.3,12,66
2014-06-19,36,优,17,33,9,0.3,18,71
2014-06-20,47,优,16,29,9,0.3,19,93
2014-06-21,43,优,18,32,9,0.3,19,85
2014-06-22,45,优,16,36,9,0.4,23,89
2014-06-23,58,良,18,36,9,0.3,21,110
2014-06-24,62,良,19,32,8,0.3,19,114
2014-06-25,77,良,41,76,11,0.6,18,132
2014-06-26,66,良,46,68,9,0.5,17,119
2014-06-27,41,优,16,19,9,0.4,13,81
2014-06-28,40,优,18,28,10,0.4,20,79
2014-06-29,58,良,29,49,11,0.4,21,110
2014-06-30,62,良,31,48,10,0.4,18,114
2014-07-01,74,良,49,67,11,0.5,19,129
2014-07-02,102,轻度污染,77,102,13,0.7,18,132
2014-07-03,96,良,72,94,10,0.7,15,120
2014-07-04,80,良,59,72,9,0.5,15,106
2014-07-05,85,良,63,87,12,0.6,20,107
2014-07-06,54,良,37,48,10,0.4,15,105
2014-07-07,39,优,20,33,10,0.4,21,78
2014-07-08,43,优,26,43,11,0.4,17,78
2014-07-09,28,优,11,16,9,0.3,14,55
2014-07-10,22,优,12,20,10,0.3,12,44
2014-07-11,21,优,12,18,11,0.3,13,42
2014-07-12,22,优,13,22,11,0.4,16,40
2014-07-13,23,优,12,22,10,0.3,15,46
2014-07-14,33,优,13,22,13,0.3,15,66
2014-07-15,38,优,24,35,13,0.4,22,75
2014-07-16,50,优,34,45,12,0.5,19,99
2014-07-17,48,优,34,48,10,0.5,21,91
2014-07-18,50,优,31,47,11,0.5,22,100
2014-07-19,61,良,44,64,11,0.6,18,89
2014-07-20,156,中度污染,119,142,10,0.9,15,93
2014-07-21,55,良,39,51,10,0.4,13,94
2014-07-22,40,优,28,40,11,0.4,15,78
2014-07-23,39,优,28,38,10,0.4,15,69
2014-07-24,221,重度污染,171,193,12,1.1,22,95
2014-07-25,237,重度污染,187,217,12,1.2,28,120
2014-07-26,111,轻度污染,84,105,11,0.8,25,70
2014-07-27,86,良,63,88,11,0.7,19,97
2014-07-28,147,轻度污染,113,151,16,1,17,160
2014-07-29,114,轻度污染,86,121,14,0.8,16,149
2014-07-30,84,良,62,85,12,0.7,16,117
2014-07-31,60,良,35,54,11,0.7,15,112
2014-08-01,57,良,32,50,11,0.6,14,108
2014-08-02,45,优,17,31,10,0.4,17,89
2014-08-03,47,优,11,29,12,0.4,22,94
2014-08-04,37,优,9,18,11,0.3,16,74
2014-08-05,39,优,13,30,11,0.4,22,77
2014-08-06,37,优,24,37,10,0.5,19,66
2014-08-07,46,优,29,46,11,0.5,20,86
2014-08-08,48,优,28,44,11,0.5,19,96
2014-08-09,53,良,27,45,12,0.5,19,104
2014-08-10,52,良,25,44,12,0.5,19,102
2014-08-11,49,优,19,38,12,0.4,19,98
2014-08-12,38,优,19,33,12,0.4,17,76
2014-08-13,38,优,14,31,12,0.5,20,75
2014-08-14,32,优,13,23,11,0.4,20,64
2014-08-15,38,优,15,22,12,0.4,20,76
2014-08-16,42,优,13,25,11,0.3,16,83
2014-08-17,45,优,15,25,12,0.4,16,89
2014-08-18,47,优,18,32,10,0.4,18,94
2014-08-19,47,优,18,39,10,0.5,17,93
2014-08-20,53,良,16,33,11,0.5,11,103
2014-08-21,47,优,16,28,9,0.5,18,94
2014-08-22,41,优,12,24,9,0.5,17,82
2014-08-23,40,优,12,24,9,0.5,18,79
2014-08-24,52,良,33,54,10,0.7,15,94
2014-08-25,41,优,16,25,8,0.5,13,82
2014-08-26,35,优,9,15,9,0.3,11,69
2014-08-27,43,优,14,22,8,0.4,15,86
2014-08-28,50,优,23,39,10,0.5,19,99
2014-08-29,61,良,28,50,10,0.5,14,113
2014-08-30,53,良,26,37,10,0.4,17,103
2014-08-31,51,良,26,42,11,0.4,14,101
2014-09-01,42,优,16,28,9,0.3,16,84
2014-09-02,24,优,12,16,8,0.3,14,47
2014-09-03,30,优,12,19,9,0.3,11,59
2014-09-04,32,优,17,23,9,0.3,16,63
2014-09-05,43,优,15,24,10,0.4,13,86
2014-09-06,44,优,17,38,12,0.4,17,87
2014-09-07,60,良,22,47,10,0.4,18,112
2014-09-08,52,良,21,32,10,0.4,12,102
2014-09-09,30,优,12,24,10,0.3,15,59
2014-09-10,32,优,11,23,9,0.3,18,64
2014-09-11,39,优,19,38,12,0.4,25,78
2014-09-12,51,良,21,52,10,0.4,23,80
2014-09-13,44,优,18,36,10,0.3,15,88
2014-09-14,42,优,16,30,11,0.3,11,84
2014-09-15,29,优,13,28,13,0.3,13,58
2014-09-16,36,优,16,36,11,0.3,18,68
2014-09-17,43,优,22,43,11,0.4,21,77
2014-09-18,46,优,24,46,11,0.4,24,84
2014-09-19,45,优,21,39,11,0.3,20,89
2014-09-20,42,优,24,42,12,0.3,21,83
2014-09-21,50,优,25,50,12,0.4,29,84
2014-09-22,58,良,26,52,12,0.4,16,109
2014-09-23,40,优,14,22,10,0.3,15,80
2014-09-24,32,优,16,27,11,0.4,24,63
2014-09-25,51,良,26,52,13,0.4,29,81
2014-09-26,55,良,31,60,15,0.5,25,88
2014-09-27,45,优,23,34,11,0.4,14,90
2014-09-28,30,优,17,25,11,0.3,12,60
2014-09-29,28,优,14,22,10,0.3,16,55
2014-09-30,30,优,16,27,15,0.3,18,59
2014-10-01,32,优,20,32,13,0.3,14,61
2014-10-02,43,优,26,43,12,0.5,28,69
2014-10-03,37,优,23,37,13,0.3,24,70
2014-10-04,39,优,26,39,10,0.3,25,65
2014-10-05,55,良,34,61,13,0.7,39,88
2014-10-06,58,良,40,67,13,0.6,33,86
2014-10-07,49,优,25,49,13,0.4,20,75
2014-10-08,50,优,29,50,12,0.4,19,54
2014-10-09,35,优,25,30,10,0.4,19,69
2014-10-10,40,优,28,38,11,0.4,20,59
2014-10-11,121,轻度污染,92,114,15,0.8,20,102
2014-10-12,29,优,16,27,11,0.3,15,57
2014-10-13,30,优,18,30,15,0.3,21,54
2014-10-14,57,良,40,65,16,0.5,27,74
2014-10-15,222,重度污染,172,212,22,1.3,38,115
2014-10-16,41,优,27,37,14,0.4,24,82
2014-10-17,58,良,41,59,22,0.7,39,84
2014-10-18,124,轻度污染,94,138,23,1.2,36,112
2014-10-19,85,良,63,117,18,1,25,115
2014-10-20,34,优,10,21,13,0.3,15,67
2014-10-21,33,优,12,20,19,0.4,20,65
2014-10-22,99,良,74,103,19,0.9,29,93
2014-10-23,159,中度污染,121,168,26,1.3,48,101
2014-10-24,203,重度污染,153,190,20,1.5,47,49
2014-10-25,80,良,59,76,18,0.7,32,52
2014-10-26,39,优,15,39,13,0.3,14,57
2014-10-27,31,优,8,16,12,0.4,21,62
2014-10-28,101,轻度污染,76,104,22,1,37,89
2014-10-29,233,重度污染,183,241,36,1.9,60,106
