日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,58,良,41,48,19,0.7,30,72
2015-01-01,54,良,38,38,17,0.6,20,63
2015-01-02,54,良,39,42,14,0.6,19,78
2015-01-03,52,良,37,37,15,0.9,18,77
2015-01-04,46,优,32,27,12,0.9,11,82
2015-01-05,41,优,29,8,10,0.9,7,81
2015-01-06,44,优,31,9,11,0.9,11,86
2015-01-07,46,优,32,15,14,0.9,12,77
2015-01-08,53,良,38,8,30,1,18,72
2015-01-09,43,优,30,7,19,0.7,20,42
2015-01-10,53,良,37,3,28,0.7,21,38
2015-01-11,54,良,38,11,21,0.8,20,66
2015-01-12,61,良,44,12,48,0.7,22,70
2015-01-13,44,优,31,9,21,0.4,15,81
2015-01-14,41,优,27,10,9,0.3,10,82
2015-01-15,40,优,25,18,10,0.3,11,79
2015-01-16,44,优,31,22,8,0.6,15,86
2015-01-17,59,良,42,22,8,0.7,19,78
2015-01-19,45,优,32,5,8,0.7,15,68
2015-01-20,46,优,33,23,7,0.7,16,69
2015-01-21,51,良,36,14,10,0.7,15,73
2015-01-22,48,优,33,18,10,0.7,19,85
2015-01-23,50,优,33,22,10,0.5,21,100
2015-01-24,48,优,30,18,7,0.3,19,96
2015-01-25,58,良,41,18,8,0.4,25,92
2015-01-26,59,良,42,17,9,0.8,26,88
2015-01-27,51,良,35,18,7,0.8,21,101
2015-01-28,50,优,35,8,7,0.6,18,95
2015-01-29,67,良,48,7,9,0.5,21,94
2015-01-30,71,良,52,4,6,0.4,20,93
2015-01-31,60,良,43,5,5,0.4,21,90
2015-02-01,63,良,46,9,9,0.5,23,82
2015-02-02,62,良,45,10,8,0.5,25,84
2015-02-03,55,良,39,15,7,0.4,26,86
2015-02-04,59,良,42,22,5,0.4,22,86
2015-02-05,57,良,41,10,7,0.5,21,92
2015-02-06,50,优,35,14,7,0.4,21,92
2015-02-07,57,良,40,16,6,0.5,25,89
2015-02-08,61,良,44,21,5,0.6,20,101
2015-02-09,66,良,48,16,6,0.6,23,102
2015-02-10,55,良,39,20,4,0.6,19,101
2015-02-11,64,良,46,24,6,0.7,25,95
2015-02-12,65,良,47,15,6,0.7,22,97
2015-02-13,64,良,46,12,5,0.7,21,93
2015-02-14,44,优,26,14,3,0.6,15,87
2015-02-15,51,良,36,8,4,0.7,21,85
2015-02-16,54,良,38,12,4,0.7,19,90
2015-02-17,56,良,40,9,4,0.6,23,86
2015-02-18,59,良,43,15,6,0.4,17,93
2015-02-19,62,良,44,15,8,0.3,12,92
2015-02-20,53,良,38,11,3,0.4,11,88
2015-02-21,44,优,31,22,4,0.4,15,87
2015-02-22,50,优,35,15,4,0.4,16,85
2015-02-23,44,优,30,15,4,0.6,17,87
2015-02-24,49,优,34,15,3,0.6,14,87
2015-02-25,58,良,41,13,3,0.7,15,89
2015-02-26,72,良,52,41,3,0.4,16,101
2015-02-27,75,良,55,37,2,0.4,14,117
2015-02-28,79,良,58,22,4,0.4,16,121
2015-03-01,76,良,55,10,4,0.4,20,117
2015-03-02,63,良,44,15,4,0.3,15,115
2015-03-03,51,良,36,14,3,0.3,12,98
2015-03-04,51,良,36,19,4,0.4,12,94
2015-03-05,49,优,30,9,3,0.4,11,98
2015-03-06,49,优,33,15,5,0.4,20,98
2015-03-07,48,优,28,13,6,0.3,17,95
2015-03-08,52,良,33,15,6,0.4,19,102
2015-03-09,53,良,35,24,5,0.4,17,104
2015-03-10,71,良,51,11,7,0.5,20,121
2015-03-11,78,良,58,11,7,0.5,22,128
2015-03-12,76,良,36,36,5,0.9,21,131
2015-03-13,88,良,50,29,6,0.3,24,146
2015-03-14,92,良,67,22,10,0.4,29,150
2015-03-15,77,良,57,18,8,0.4,24,122
2015-03-16,84,良,62,38,5,0.3,25,111
2015-03-17,71,良,51,47,4,0.3,16,100
2015-03-18,82,良,61,26,6,0.4,19,108
2015-03-19,67,良,49,14,6,0.4,19,108
2015-03-20,70,良,51,18,7,0.6,26,116
2015-03-21,74,良,54,19,7,0.6,28,122
2015-03-22,93,良,69,44,6,0.7,22,142
2015-03-23,159,中度污染,121,17,9,1.2,38,150
2015-03-24,112,轻度污染,85,3,9,1.4,38,134
2015-03-28,60,良,36,70,7,0.4,35,107
2015-03-29,59,良,38,13,4,0.2,26,111
2015-03-30,47,优,20,44,5,0.3,25,93
2015-03-31,49,优,27,39,4,0.6,22,98
2015-04-01,53,良,17,29,2,0.8,16,104
2015-04-02,43,优,16,30,3,0.5,20,86
2015-04-03,47,优,10,22,3,0.3,16,93
