»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,186,÷–∂»Œ€»æ,140,199,91,1.5,63,26
2013-12-03,172,÷–∂»Œ€»æ,130,186,90,1.6,64,20
2013-12-04,131,«·∂»Œ€»æ,100,154,72,1.9,66,21
2013-12-05,67,¡º,48,85,48,0.9,44,34
2013-12-06,54,¡º,33,58,62,0.8,41,33
2013-12-07,126,«·∂»Œ€»æ,96,139,76,1.2,53,21
2013-12-08,219,÷ÿ∂»Œ€»æ,169,225,46,1.3,43,66
2013-12-09,77,¡º,56,87,28,0.5,25,40
2013-12-10,61,¡º,42,71,60,0.7,36,30
2013-12-11,45,”≈,22,45,33,0.6,24,50
2013-12-12,46,”≈,25,46,47,0.7,31,46
2013-12-13,33,”≈,13,33,38,0.4,24,46
2013-12-14,50,”≈,27,50,65,0.6,37,38
2013-12-15,52,¡º,26,53,56,0.5,36,31
2013-12-16,59,¡º,36,68,89,0.9,46,27
2013-12-17,136,«·∂»Œ€»æ,104,161,83,1.6,56,15
2013-12-18,58,¡º,34,67,32,0.4,24,39
2013-12-19,59,¡º,25,69,23,0.3,19,43
2013-12-20,54,¡º,21,58,21,0.3,18,49
2013-12-21,49,”≈,28,49,40,0.5,30,42
2013-12-22,60,¡º,43,68,55,0.8,42,35
2013-12-23,122,«·∂»Œ€»æ,92,130,76,1.2,53,29
2013-12-24,114,«·∂»Œ€»æ,87,117,79,1.1,55,29
2013-12-25,126,«·∂»Œ€»æ,96,127,89,1.4,54,37
2013-12-26,75,¡º,55,92,32,0.6,26,42
2013-12-27,50,”≈,24,51,41,0.4,28,39
2013-12-28,54,¡º,32,59,53,0.6,37,40
2013-12-29,60,¡º,40,70,48,0.9,41,37
2013-12-30,88,¡º,65,115,70,1.5,52,28
2013-12-31,89,¡º,56,129,60,1.1,42,28
2014-01-01,88,¡º,50,125,72,1.1,42,27
2014-01-02,72,¡º,43,93,56,0.8,42,28
2014-01-03,82,¡º,59,114,52,0.8,40,28
2014-01-04,56,¡º,31,62,64,0.6,37,24
2014-01-05,100,¡º,75,108,60,1.1,45,25
2014-01-06,141,«·∂»Œ€»æ,108,147,72,1.5,51,26
2014-01-07,170,÷–∂»Œ€»æ,129,174,63,1.2,48,20
2014-01-08,51,¡º,19,52,33,0.4,21,46
2014-01-09,53,¡º,28,56,74,0.7,36,42
2014-01-10,101,«·∂»Œ€»æ,76,115,84,1.3,55,28
2014-01-11,175,÷–∂»Œ€»æ,132,175,102,1.8,64,27
2014-01-12,85,¡º,63,104,52,0.6,35,47
2014-01-13,60,¡º,38,70,66,0.8,47,28
2014-01-14,93,¡º,69,103,70,1.3,48,24
2014-01-15,214,÷ÿ∂»Œ€»æ,164,202,102,1.9,63,27
2014-01-16,269,÷ÿ∂»Œ€»æ,219,277,59,1.9,55,37
2014-01-17,180,÷–∂»Œ€»æ,136,177,81,1.8,57,29
2014-01-18,107,«·∂»Œ€»æ,81,111,63,1.6,48,53
2014-01-19,113,«·∂»Œ€»æ,85,117,58,1,44,39
2014-01-20,130,«·∂»Œ€»æ,99,138,45,1,37,55
2014-01-21,47,”≈,29,47,31,0.5,22,55
2014-01-22,73,¡º,53,75,111,0.9,49,31
2014-01-23,103,«·∂»Œ€»æ,77,109,47,0.9,46,46
2014-01-24,107,«·∂»Œ€»æ,80,112,50,0.9,46,40
2014-01-25,81,¡º,60,102,39,0.7,28,53
2014-01-26,54,¡º,21,58,64,0.6,31,47
2014-01-27,52,¡º,32,55,52,0.7,34,45
2014-01-28,41,”≈,18,41,37,0.4,24,51
2014-01-29,41,”≈,22,41,35,0.5,29,54
2014-01-30,85,¡º,63,95,65,0.8,31,51
2014-01-31,54,¡º,32,58,29,0.3,19,54
2014-02-01,50,”≈,29,50,44,0.6,26,54
2014-02-02,73,¡º,54,83,51,0.9,28,46
2014-02-03,52,¡º,19,53,35,0.3,17,53
2014-02-04,35,”≈,17,35,48,0.4,21,61
2014-02-05,36,”≈,21,36,44,0.4,22,65
2014-02-06,44,”≈,31,44,51,0.7,28,59
2014-02-07,82,¡º,60,87,64,0.8,38,31
2014-02-08,76,¡º,56,88,54,0.8,29,58
2014-02-09,52,¡º,25,55,30,0.3,16,64
2014-02-10,59,¡º,32,67,56,0.6,26,58
