»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,112,«·∂»Œ€»æ,59,175,63,0.9,59,77
2015-01-01,115,«·∂»Œ€»æ,79,180,70,1.1,64,53
2015-01-02,141,«·∂»Œ€»æ,107,177,72,1.5,69,59
2015-01-03,203,÷ÿ∂»Œ€»æ,153,226,74,1.9,75,47
2015-01-04,202,÷ÿ∂»Œ€»æ,152,210,63,1.9,71,40
2015-01-05,102,«·∂»Œ€»æ,77,127,37,1.2,55,59
2015-01-06,76,¡º,55,83,39,0.9,56,66
2015-01-07,104,«·∂»Œ€»æ,78,116,51,1.1,54,59
2015-01-08,125,«·∂»Œ€»æ,95,144,58,1.3,55,56
2015-01-09,130,«·∂»Œ€»æ,99,156,69,1.4,61,66
2015-01-10,122,«·∂»Œ€»æ,93,138,51,1.4,56,60
2015-01-11,137,«·∂»Œ€»æ,105,148,52,1.4,57,55
2015-01-12,132,«·∂»Œ€»æ,101,139,54,1.3,53,58
2015-01-13,90,¡º,67,88,31,1,47,79
2015-01-14,105,«·∂»Œ€»æ,79,104,46,1.1,52,60
2015-01-15,119,«·∂»Œ€»æ,90,133,44,1.2,54,66
2015-01-16,109,«·∂»Œ€»æ,82,133,49,1.2,49,69
2015-01-17,112,«·∂»Œ€»æ,84,126,57,1.2,47,58
2015-01-18,123,«·∂»Œ€»æ,93,142,51,1.2,44,55
2015-01-19,131,«·∂»Œ€»æ,100,154,68,1.6,45,60
2015-01-20,105,«·∂»Œ€»æ,79,131,46,1.2,36,76
2015-01-21,90,¡º,66,129,57,1.1,39,63
2015-01-22,133,«·∂»Œ€»æ,102,170,69,1.6,53,67
2015-01-23,129,«·∂»Œ€»æ,98,140,82,1.5,50,84
2015-01-24,112,«·∂»Œ€»æ,85,117,37,0.9,39,81
2015-01-25,131,«·∂»Œ€»æ,100,154,47,1.2,46,57
2015-01-26,143,«·∂»Œ€»æ,110,171,73,1.3,54,40
2015-01-27,137,«·∂»Œ€»æ,105,152,54,1.3,42,49
2015-01-28,71,¡º,52,62,52,1.4,42,28
2015-01-29,76,¡º,52,101,42,1,26,62
2015-01-30,74,¡º,54,88,39,0.7,25,72
2015-01-31,90,¡º,67,84,42,0.8,28,69
2015-02-01,98,¡º,74,86,49,1,31,63
2015-02-02,85,¡º,63,79,38,1.3,33,58
2015-02-03,125,«·∂»Œ€»æ,95,120,45,1.3,34,82
2015-02-04,125,«·∂»Œ€»æ,95,114,41,1,29,82
2015-02-05,72,¡º,52,73,46,0.6,32,77
2015-02-06,117,«·∂»Œ€»æ,89,123,86,1.5,48,62
2015-02-07,91,¡º,60,132,34,0.9,23,85
2015-02-08,89,¡º,63,128,49,1,34,94
2015-02-09,104,«·∂»Œ€»æ,78,115,48,1.1,38,88
2015-02-10,107,«·∂»Œ€»æ,80,123,41,1.3,41,89
2015-02-11,103,«·∂»Œ€»æ,73,157,52,1.2,40,85
2015-02-12,106,«·∂»Œ€»æ,80,142,60,1.2,45,84
2015-02-13,95,¡º,71,119,58,1.1,39,108
2015-02-14,116,«·∂»Œ€»æ,88,125,42,1.2,41,109
2015-02-15,109,«·∂»Œ€»æ,48,168,21,0.5,17,90
2015-02-16,95,¡º,59,139,45,0.9,34,83
2015-02-17,93,¡º,68,135,49,0.9,33,95
2015-02-18,170,÷–∂»Œ€»æ,129,197,47,1.2,37,80
