»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,98,¡º,73,141,66,1.8,90,69
2014-01-01,155,÷–∂»Œ€»æ,119,191,78,1.8,93,66
2014-01-02,166,÷–∂»Œ€»æ,126,195,70,2,120,43
2014-01-03,189,÷–∂»Œ€»æ,142,195,82,1.6,103,73
2014-01-04,150,«·∂»Œ€»æ,115,182,58,1.3,56,49
2014-01-05,94,¡º,70,112,45,1.7,70,40
2014-01-06,61,¡º,35,72,29,1.5,59,65
2014-01-07,65,¡º,47,78,24,1.6,66,46
2014-01-08,51,¡º,36,52,27,1.4,29,76
2014-01-09,56,¡º,30,62,29,1.4,29,66
2014-01-10,75,¡º,50,101,38,1.7,66,52
2014-01-11,69,¡º,50,83,30,1.6,45,59
2014-01-12,118,«·∂»Œ€»æ,89,113,43,1.6,44,84
2014-01-13,68,¡º,49,85,30,1.4,27,71
2014-01-14,65,¡º,47,70,25,1,37,74
2014-01-15,45,”≈,32,44,24,1.1,38,85
2014-01-16,115,«·∂»Œ€»æ,87,127,38,1.6,66,72
2014-01-17,154,÷–∂»Œ€»æ,118,166,58,1.9,75,77
2014-01-18,203,÷ÿ∂»Œ€»æ,153,192,68,1.8,47,68
2014-01-19,186,÷–∂»Œ€»æ,140,186,49,1.9,61,97
2014-01-20,229,÷ÿ∂»Œ€»æ,179,301,60,1.4,60,71
2014-01-21,89,¡º,46,127,39,1.4,43,47
2014-01-22,83,¡º,62,89,43,1.6,55,58
2014-01-23,70,¡º,51,77,37,1.4,56,81
2014-01-24,57,¡º,41,60,26,1.3,40,86
2014-01-25,121,«·∂»Œ€»æ,92,129,47,1.4,36,75
2014-01-26,56,¡º,31,62,29,1.2,15,84
2014-01-27,45,”≈,23,45,31,1.4,44,76
2014-01-28,68,¡º,50,77,31,1.6,32,82
2014-01-29,77,¡º,57,84,21,1.5,36,73
2014-01-30,226,÷ÿ∂»Œ€»æ,176,206,41,1.7,44,90
2014-01-31,189,÷–∂»Œ€»æ,142,174,27,1.8,23,131
2014-02-01,92,¡º,69,84,25,1.6,24,104
2014-02-02,244,÷ÿ∂»Œ€»æ,194,267,35,0.5,45,71
2014-02-03,64,¡º,44,79,17,1.5,12,74
2014-02-04,42,”≈,16,37,22,1.2,9,83
2014-02-05,40,”≈,14,22,13,1.3,17,80
2014-02-06,32,”≈,9,9,12,1.3,16,63
2014-02-07,35,”≈,17,19,19,1.3,15,70
2014-02-08,65,¡º,47,58,36,1.6,22,74
2014-02-09,63,¡º,45,56,29,1.5,16,75
2014-02-10,37,”≈,25,36,24,1.3,16,74
2014-02-11,54,¡º,38,50,33,1.6,24,69
2014-02-12,40,”≈,28,35,24,1.4,21,75
2014-02-13,40,”≈,24,37,38,1.5,20,79
2014-02-14,58,¡º,41,59,37,1.6,26,95
2014-02-15,50,”≈,34,50,27,1.6,44,75
2014-02-16,39,”≈,27,34,19,1.6,58,52
2014-02-17,38,”≈,26,32,23,1.6,33,76
2014-02-18,46,”≈,26,20,33,1.4,20,91
2014-02-19,91,¡º,68,82,42,1.7,46,69
2014-02-20,178,÷–∂»Œ€»æ,134,165,83,2.1,65,72
2014-02-21,135,«·∂»Œ€»æ,103,137,49,1.6,71,95
2014-02-22,92,¡º,68,92,33,1.5,63,88
2014-02-23,111,«·∂»Œ€»æ,84,112,33,1.5,52,116
2014-02-24,125,«·∂»Œ€»æ,95,128,29,1.7,78,94
2014-02-25,40,”≈,25,29,18,1.3,53,79
2014-02-26,58,¡º,41,66,24,1.3,28,102
2014-02-27,137,«·∂»Œ€»æ,104,131,65,1.7,56,82
2014-02-28,97,¡º,72,96,18,1.5,27,76
2014-03-01,39,”≈,25,39,36,1.1,24,74
2014-03-02,77,¡º,57,84,54,1.4,29,116
2014-03-03,59,¡º,34,67,24,1.3,33,105
2014-03-04,42,”≈,23,42,25,1.2,40,75
2014-03-05,55,¡º,39,56,34,1.2,19,102
2014-03-06,54,¡º,22,59,31,1.2,24,88
2014-03-07,49,”≈,27,49,43,1.3,44,73
2014-03-08,65,¡º,47,72,37,1.3,38,86
2014-03-09,103,«·∂»Œ€»æ,77,108,66,1.6,54,110
2014-03-10,192,÷–∂»Œ€»æ,144,196,84,2,89,84
2014-03-11,103,«·∂»Œ€»æ,77,123,40,1.4,43,129
2014-03-12,82,¡º,61,52,36,1.4,36,80
2014-03-13,59,¡º,34,68,44,1.4,24,90
2014-03-14,90,¡º,67,110,59,1.6,55,99
2014-03-15,130,«·∂»Œ€»æ,99,156,63,1.7,62,142
2014-03-16,97,¡º,73,123,50,1.6,45,154
2014-03-17,97,¡º,73,116,48,1.8,54,113
2014-03-18,180,÷–∂»Œ€»æ,136,231,58,2,46,152
2014-03-19,115,«·∂»Œ€»æ,58,180,25,1.5,29,116
2014-03-20,87,¡º,65,102,45,1.5,28,115
2014-03-21,68,¡º,35,76,42,1.4,32,121
2014-03-22,81,¡º,43,81,32,1.5,39,137
2014-03-23,59,¡º,33,65,28,1.4,25,111
2014-03-24,59,¡º,38,68,32,1.5,33,108
