»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,89,¡º,66,117,76,0.9,63,62
2013-12-03,216,÷ÿ∂»Œ€»æ,166,246,81,1.9,100,58
2013-12-04,166,÷–∂»Œ€»æ,126,183,94,2.3,103,61
2013-12-05,102,«·∂»Œ€»æ,77,117,43,1.2,60,57
2013-12-06,36,”≈,15,36,16,0.4,27,60
2013-12-07,80,¡º,59,95,57,0.9,60,57
2013-12-08,111,«·∂»Œ€»æ,84,112,24,0.9,35,90
2013-12-09,123,«·∂»Œ€»æ,93,114,33,0.9,30,74
2013-12-10,52,¡º,24,55,40,0.6,31,63
2013-12-11,41,”≈,28,37,16,0.4,21,61
2013-12-12,53,¡º,26,57,50,0.4,33,61
2013-12-13,32,”≈,22,31,22,0.5,21,63
2013-12-14,63,¡º,35,75,60,0.9,39,61
2013-12-15,37,”≈,17,37,32,0.8,31,62
2013-12-16,33,”≈,14,28,24,0.6,24,66
2013-12-17,45,”≈,24,45,28,0.8,22,67
2013-12-18,34,”≈,18,32,19,0.8,20,68
2013-12-19,33,”≈,14,20,11,0.7,9,66
2013-12-20,34,”≈,14,23,10,0.5,10,67
2013-12-21,29,”≈,13,24,11,0.4,15,58
2013-12-22,50,”≈,19,51,18,0.5,17,61
2013-12-23,114,«·∂»Œ€»æ,87,125,68,1.3,62,60
2013-12-24,60,¡º,43,67,27,0.8,38,61
2013-12-25,57,¡º,40,64,30,0.8,43,53
2013-12-26,112,«·∂»Œ€»æ,84,125,40,1.1,38,61
2013-12-27,31,”≈,10,29,17,0.7,13,62
2013-12-28,37,”≈,20,37,29,0.8,24,73
2013-12-29,71,¡º,49,93,64,1.2,42,47
2013-12-30,97,¡º,65,143,93,0.9,55,39
2013-12-31,112,«·∂»Œ€»æ,66,174,77,0.7,49,39
2014-01-01,107,«·∂»Œ€»æ,47,163,49,0.4,39,53
2014-01-02,77,¡º,45,103,26,0.7,42,71
2014-01-03,67,¡º,39,83,22,0.7,23,66
2014-01-04,32,”≈,11,23,13,0.6,19,63
2014-01-05,79,¡º,58,94,45,1.1,46,37
2014-01-06,172,÷–∂»Œ€»æ,131,185,62,1.6,59,62
2014-01-07,131,«·∂»Œ€»æ,99,136,42,1.2,54,39
2014-01-08,38,”≈,17,37,13,0.5,12,75
2014-01-09,40,”≈,18,36,26,0.6,18,80
2014-01-10,64,¡º,46,78,56,0.8,35,52
2014-01-11,177,÷–∂»Œ€»æ,134,181,111,1.3,53,62
2014-01-12,114,«·∂»Œ€»æ,86,123,47,0.9,24,78
2014-01-13,38,”≈,19,36,23,0.7,20,75
2014-01-14,60,¡º,43,66,40,0.9,33,70
2014-01-15,203,÷ÿ∂»Œ€»æ,153,204,110,1.6,57,78
2014-01-16,224,÷ÿ∂»Œ€»æ,174,224,105,1.7,66,59
2014-01-17,207,÷ÿ∂»Œ€»æ,157,196,60,1.8,55,41
2014-01-18,83,¡º,61,85,33,1.3,34,67
2014-01-19,64,¡º,46,76,33,1,35,64
2014-01-20,124,«·∂»Œ€»æ,94,154,43,1.6,33,66
2014-01-21,39,”≈,15,28,15,0.9,11,77
