»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,109,«·∂»Œ€»æ,82,125,29,1.7,31,104
2015-01-01,69,¡º,43,89,19,1.6,24,104
2015-01-02,85,¡º,60,120,54,1.7,42,61
2015-01-03,130,«·∂»Œ€»æ,99,172,81,2,58,56
2015-01-04,139,«·∂»Œ€»æ,106,179,88,1.8,59,107
2015-01-05,151,÷–∂»Œ€»æ,116,191,59,2.2,64,69
2015-01-06,131,«·∂»Œ€»æ,99,141,32,2.8,43,60
2015-01-07,115,«·∂»Œ€»æ,87,128,25,2.2,46,58
2015-01-08,144,«·∂»Œ€»æ,110,173,35,1.8,50,79
2015-01-09,141,«·∂»Œ€»æ,108,159,42,1.8,44,69
2015-01-10,127,«·∂»Œ€»æ,97,138,46,1.8,52,49
2015-01-11,140,«·∂»Œ€»æ,107,168,61,2.1,63,36
2015-01-12,106,«·∂»Œ€»æ,80,123,27,1.6,42,39
2015-01-13,164,÷–∂»Œ€»æ,125,191,18,1.8,45,37
2015-01-14,114,«·∂»Œ€»æ,86,133,28,1.5,42,75
2015-01-15,102,«·∂»Œ€»æ,77,127,30,1.6,42,65
2015-01-16,135,«·∂»Œ€»æ,103,165,39,1.6,45,72
2015-01-17,153,÷–∂»Œ€»æ,117,176,36,1.5,46,86
2015-01-18,128,«·∂»Œ€»æ,98,129,30,1.4,34,62
2015-01-19,122,«·∂»Œ€»æ,93,126,41,1.5,47,69
2015-01-20,143,«·∂»Œ€»æ,109,188,72,1.9,68,43
2015-01-21,150,«·∂»Œ€»æ,115,191,55,1.8,52,82
2015-01-22,99,¡º,74,140,43,1.4,50,85
2015-01-23,138,«·∂»Œ€»æ,105,186,56,2,69,64
2015-01-24,117,«·∂»Œ€»æ,88,149,54,1.6,76,48
2015-01-25,143,«·∂»Œ€»æ,109,161,15,1.7,44,27
2015-01-26,186,÷–∂»Œ€»æ,140,209,21,1.6,39,28
2015-01-27,104,«·∂»Œ€»æ,78,98,14,1.6,31,42
2015-01-28,23,”≈,16,23,4,1.5,26,22
2015-01-29,32,”≈,22,29,6,1.2,24,20
2015-01-30,77,¡º,56,77,14,1.3,20,51
2015-01-31,78,¡º,57,77,9,1.4,25,51
2015-02-01,102,«·∂»Œ€»æ,77,103,13,1.6,28,49
2015-02-02,85,¡º,63,88,9,1.4,31,35
2015-02-03,71,¡º,52,76,15,1.1,29,29
2015-02-04,137,«·∂»Œ€»æ,104,159,41,1.2,33,92
2015-02-05,146,«·∂»Œ€»æ,112,168,50,1.1,27,90
2015-02-06,114,«·∂»Œ€»æ,87,142,55,1.4,46,104
2015-02-07,125,«·∂»Œ€»æ,95,160,85,1.8,48,72
2015-02-08,115,«·∂»Œ€»æ,87,140,54,2,27,105
2015-02-09,139,«·∂»Œ€»æ,106,176,45,2.2,36,105
2015-02-10,176,÷–∂»Œ€»æ,133,203,37,2.5,54,73
2015-02-11,182,÷–∂»Œ€»æ,137,203,50,3.1,56,92
2015-02-12,145,«·∂»Œ€»æ,111,167,50,3.3,63,103
2015-02-13,120,«·∂»Œ€»æ,91,144,50,2.8,65,106
2015-02-14,115,«·∂»Œ€»æ,87,142,38,2,57,100
2015-02-15,91,¡º,68,94,28,2.1,35,90
2015-02-16,108,«·∂»Œ€»æ,81,144,27,2.1,27,114
2015-02-17,89,¡º,66,124,34,2.3,37,108
2015-02-18,133,«·∂»Œ€»æ,101,148,28,2.4,29,90
2015-02-19,143,«·∂»Œ€»æ,100,236,15,2.2,17,71
2015-02-20,121,«·∂»Œ€»æ,38,192,8,2.2,14,37
2015-02-21,127,«·∂»Œ€»æ,27,205,10,2.1,12,73
2015-02-22,124,«·∂»Œ€»æ,64,198,11,2.2,16,68
2015-02-23,69,¡º,44,87,8,2.2,16,67
2015-02-24,88,¡º,65,103,12,2.4,19,51
2015-02-25,68,¡º,36,87,8,2.4,18,31
2015-02-26,51,¡º,29,52,12,1.6,17,32
2015-02-27,24,”≈,16,22,11,2.4,19,31
2015-02-28,25,”≈,16,22,19,2.5,14,50
2015-03-01,61,¡º,44,71,34,2.4,14,90
2015-03-02,83,¡º,61,85,30,1.8,19,78
2015-03-03,83,¡º,61,95,36,2.2,24,71
2015-03-04,99,¡º,52,149,37,2.2,25,76
