»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,91,¡º,52,131,26,1.1,22,71
2015-01-01,81,¡º,49,112,23,1.3,29,67
2015-01-02,122,«·∂»Œ€»æ,93,163,43,1.8,58,31
2015-01-03,147,«·∂»Œ€»æ,112,186,47,2.1,57,56
2015-01-04,197,÷–∂»Œ€»æ,148,236,65,3.1,85,51
2015-01-05,165,÷–∂»Œ€»æ,125,214,46,2.2,49,25
2015-01-06,264,÷ÿ∂»Œ€»æ,214,302,55,2.8,52,14
2015-01-07,187,÷–∂»Œ€»æ,141,208,37,2.9,44,54
2015-01-08,240,÷ÿ∂»Œ€»æ,190,287,36,3.2,50,75
2015-01-09,266,÷ÿ∂»Œ€»æ,216,318,42,2.8,51,53
2015-01-10,235,÷ÿ∂»Œ€»æ,185,258,50,2.7,54,83
2015-01-11,217,÷ÿ∂»Œ€»æ,167,242,37,2.7,65,99
2015-01-12,207,÷ÿ∂»Œ€»æ,157,232,20,1.9,34,50
2015-01-13,92,¡º,69,113,16,1.5,28,63
2015-01-14,131,«·∂»Œ€»æ,100,136,18,1.8,35,71
2015-01-15,174,÷–∂»Œ€»æ,131,198,20,2,43,53
2015-01-16,153,÷–∂»Œ€»æ,117,176,20,1.8,29,88
2015-01-17,150,«·∂»Œ€»æ,115,189,39,2.2,54,93
2015-01-18,129,«·∂»Œ€»æ,98,169,33,1.9,30,89
2015-01-19,197,÷–∂»Œ€»æ,148,240,43,2.3,60,54
2015-01-20,153,÷–∂»Œ€»æ,117,191,40,2.5,60,61
2015-01-21,152,÷–∂»Œ€»æ,116,203,31,2,39,80
2015-01-22,114,«·∂»Œ€»æ,86,144,34,2.1,38,81
2015-01-23,122,«·∂»Œ€»æ,93,159,46,2.2,56,59
2015-01-24,150,«·∂»Œ€»æ,115,238,43,2.3,55,58
2015-01-25,244,÷ÿ∂»Œ€»æ,194,284,27,1.8,40,63
2015-01-26,294,÷ÿ∂»Œ€»æ,244,316,33,2.1,37,52
2015-01-27,151,÷–∂»Œ€»æ,116,165,15,1.4,20,56
2015-01-28,51,¡º,35,51,7,0.7,18,43
2015-01-29,88,¡º,66,90,17,1,18,43
2015-01-30,116,«·∂»Œ€»æ,88,124,25,1,19,56
2015-01-31,164,÷–∂»Œ€»æ,125,169,28,1.2,17,62
2015-02-01,150,«·∂»Œ€»æ,115,159,20,1.4,12,37
2015-02-02,139,«·∂»Œ€»æ,106,153,18,1.4,22,23
2015-02-03,167,÷–∂»Œ€»æ,127,172,14,1.4,18,59
2015-02-04,208,÷ÿ∂»Œ€»æ,158,218,42,1.8,42,83
2015-02-05,201,÷ÿ∂»Œ€»æ,151,215,54,2.1,45,81
2015-02-06,158,÷–∂»Œ€»æ,121,179,39,1.9,58,92
2015-02-07,209,÷ÿ∂»Œ€»æ,159,236,47,2.1,74,50
2015-02-08,151,÷–∂»Œ€»æ,116,181,38,1.5,33,82
2015-02-09,75,¡º,55,98,19,1.3,38,75
2015-02-10,116,«·∂»Œ€»æ,87,134,29,1.4,47,81
2015-02-11,203,÷ÿ∂»Œ€»æ,153,222,30,1.7,30,83
2015-02-12,217,÷ÿ∂»Œ€»æ,167,244,30,2.4,55,100
2015-02-13,171,÷–∂»Œ€»æ,130,216,47,2.2,52,118
2015-02-14,176,÷–∂»Œ€»æ,133,259,25,2.2,49,74
2015-02-15,172,÷–∂»Œ€»æ,131,184,13,2.2,31,73
2015-02-16,241,÷ÿ∂»Œ€»æ,191,271,20,2.8,39,52
2015-02-17,216,÷ÿ∂»Œ€»æ,166,253,30,2.3,34,130
2015-02-18,175,÷–∂»Œ€»æ,132,210,21,1.7,17,104
2015-02-19,136,«·∂»Œ€»æ,104,153,23,1.2,13,72
2015-02-20,64,¡º,47,65,2,1.3,10,57
2015-02-21,110,«·∂»Œ€»æ,83,108,10,1.5,15,74
2015-02-22,166,÷–∂»Œ€»æ,126,181,5,1.8,17,57
2015-02-23,191,÷–∂»Œ€»æ,144,214,7,1.9,16,52
2015-02-24,129,«·∂»Œ€»æ,98,154,8,1.9,20,45
2015-02-25,121,«·∂»Œ€»æ,91,148,6,1.9,20,36
2015-02-26,89,¡º,67,102,10,2,27,37
2015-02-27,84,¡º,62,98,2,1.6,13,56
2015-02-28,46,”≈,29,46,2,1.3,12,64
2015-03-01,76,¡º,56,84,11,1.6,19,84
2015-03-02,101,«·∂»Œ€»æ,76,114,17,1.9,30,78
2015-03-03,106,«·∂»Œ€»æ,68,162,17,1.6,17,95
2015-03-04,69,¡º,41,89,10,1.5,18,84
2015-03-05,65,¡º,47,54,7,1.2,13,65
2015-03-06,112,«·∂»Œ€»æ,84,125,9,1.4,15,95
2015-03-07,119,«·∂»Œ€»æ,90,137,19,1.9,31,74
2015-03-08,112,«·∂»Œ€»æ,84,140,19,2.1,32,72
2015-03-09,131,«·∂»Œ€»æ,100,161,10,2.1,28,101
2015-03-10,169,÷–∂»Œ€»æ,128,200,10,1.1,23,64
2015-03-11,85,¡º,63,108,15,0.8,23,77
2015-03-12,100,¡º,75,121,15,1,25,97
2015-03-13,117,«·∂»Œ€»æ,89,134,28,1.5,45,88
2015-03-14,151,÷–∂»Œ€»æ,116,178,13,1.3,27,84
2015-03-15,204,÷ÿ∂»Œ€»æ,154,229,10,1.7,33,57
2015-03-16,192,÷–∂»Œ€»æ,145,171,10,1.6,31,49
2015-03-17,91,¡º,68,114,10,1.4,20,35
2015-03-18,43,”≈,30,42,4,1.4,17,53
2015-03-19,69,¡º,50,79,4,1.4,16,53
2015-03-20,66,¡º,48,69,4,1.4,17,90
2015-03-21,88,¡º,65,107,17,1.5,24,102
2015-03-22,100,¡º,75,126,22,1.8,35,119
2015-03-23,86,¡º,58,122,11,1.4,20,82
2015-03-24,82,¡º,59,114,15,1.6,28,105
2015-03-25,88,¡º,65,127,22,1.9,45,108
2015-03-26,70,¡º,45,90,11,1.5,24,72
2015-03-27,88,¡º,65,98,10,1.5,19,116
2015-03-28,92,¡º,68,103,15,1.8,21,93
2015-03-29,104,«·∂»Œ€»æ,78,126,10,2.1,32,71
2015-03-30,79,¡º,58,90,9,2,20,58
2015-03-31,76,¡º,54,101,18,1.9,23,77
2015-04-01,71,¡º,52,81,14,1.6,18,60
2015-04-02,30,”≈,19,30,3,1.5,15,56
2015-04-03,61,¡º,43,73,7,1.5,15,76
2015-04-04,70,¡º,51,76,3,1.7,13,73
2015-04-05,90,¡º,67,94,4,1.4,11,87
2015-04-06,83,¡º,61,107,7,1.6,15,89
2015-04-07,76,¡º,48,101,4,1.2,15,71
2015-04-08,55,¡º,38,60,8,1.3,25,71
2015-04-09,80,¡º,59,90,15,1.9,35,105
2015-04-10,91,¡º,68,103,19,1.7,27,105
2015-04-11,104,«·∂»Œ€»æ,77,118,19,2,41,164
2015-04-12,65,¡º,35,79,12,1.1,14,115
2015-04-13,60,¡º,26,70,11,1.1,20,108
2015-04-14,78,¡º,40,80,16,1.4,23,133
2015-04-15,95,¡º,71,125,29,2,61,93
2015-04-16,105,«·∂»Œ€»æ,79,148,18,1.7,35,111
2015-04-17,109,«·∂»Œ€»æ,73,167,21,1.6,35,89
2015-04-18,116,«·∂»Œ€»æ,88,133,15,1.7,23,74
2015-04-19,51,¡º,36,48,3,1.4,7,81
2015-04-20,53,¡º,34,56,4,1.1,12,91
2015-04-21,68,¡º,44,78,10,1.3,25,122
2015-04-22,71,¡º,49,80,16,1.5,21,125
2015-04-23,104,«·∂»Œ€»æ,63,103,18,1.5,27,164
2015-04-24,95,¡º,71,111,36,1.6,26,127
2015-04-25,119,«·∂»Œ€»æ,90,146,13,2,40,155
2015-04-26,110,«·∂»Œ€»æ,79,126,14,1.5,33,171
2015-04-27,85,¡º,63,116,12,1.3,18,130
2015-04-28,87,¡º,65,112,8,1.4,9,108
2015-04-29,104,«·∂»Œ€»æ,78,120,10,1.4,11,138
2015-04-30,115,«·∂»Œ€»æ,56,93,10,1.3,19,176
2015-05-01,90,¡º,67,123,15,1.8,30,137
2015-05-02,56,¡º,29,61,3,1.3,5,85
2015-05-03,80,¡º,50,80,5,1.4,12,136
2015-05-04,68,¡º,49,87,6,1.3,16,98
2015-05-05,85,¡º,63,93,9,1.6,19,128
2015-05-06,111,«·∂»Œ€»æ,83,120,7,1.7,16,129
2015-05-07,106,«·∂»Œ€»æ,80,120,13,1.8,27,160
2015-05-08,65,¡º,47,81,4,1.6,11,102
2015-05-09,120,«·∂»Œ€»æ,49,75,14,1.6,22,182
