日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,64,良,39,77,12,1.1,16,57
2015-01-01,87,良,65,113,17,0.8,6,81
2015-01-02,58,良,37,66,12,0.6,5,84
2015-01-03,52,良,31,54,11,0.7,7,73
2015-01-04,61,良,34,72,11,1.1,11,56
2015-01-05,81,良,60,109,11,1.5,14,33
2015-01-06,116,轻度污染,88,122,13,1.5,7,96
2015-01-07,58,良,41,50,7,0.9,5,65
2015-01-08,49,优,31,49,10,0.9,5,80
2015-01-09,62,良,45,70,12,0.9,7,92
2015-01-10,77,良,57,93,20,1,16,67
2015-01-11,58,良,40,67,15,0.8,10,79
2015-01-12,59,良,41,69,16,0.9,11,68
2015-01-13,35,优,25,28,7,1,14,67
2015-01-14,29,优,15,17,7,0.9,7,58
2015-01-15,36,优,16,24,6,0.7,4,71
2015-01-16,40,优,24,40,8,0.9,12,70
2015-01-17,91,良,68,102,15,1.1,18,113
2015-01-18,130,轻度污染,99,135,14,1.3,25,87
2015-01-19,76,良,56,95,14,1.1,19,114
2015-01-20,71,良,40,93,14,1.1,29,85
2015-01-21,62,良,38,74,11,1.2,33,63
2015-01-22,68,良,47,86,14,1.2,33,98
2015-01-23,105,轻度污染,79,114,13,1.5,23,100
2015-01-24,84,良,62,87,10,1.5,21,75
2015-01-25,58,良,41,67,8,1.5,21,47
2015-01-26,101,轻度污染,76,101,11,1.6,17,104
2015-01-27,114,轻度污染,87,95,7,1.5,16,100
2015-01-28,49,优,34,46,7,1.2,18,55
2015-01-29,47,优,30,47,9,1.1,17,50
2015-01-30,27,优,19,22,6,1.1,12,33
2015-01-31,44,优,31,43,10,1.3,14,28
2015-02-01,69,良,50,73,10,1.4,18,52
2015-02-02,59,良,43,63,8,1.4,16,26
2015-02-03,45,优,32,42,6,1.4,13,41
2015-02-04,37,优,26,28,6,1.1,18,50
2015-02-05,55,良,39,54,12,1.2,17,92
2015-02-06,95,良,71,98,18,1.2,13,93
2015-02-07,66,良,48,65,10,0.9,14,80
2015-02-08,72,良,53,77,14,0.7,15,110
2015-02-09,55,良,34,60,12,0.6,12,96
2015-02-10,43,优,23,41,10,0.6,9,85
2015-02-11,65,良,46,79,12,1.1,13,61
2015-02-12,74,良,54,90,13,1,14,95
2015-02-13,71,良,47,91,13,1,19,105
2015-02-14,76,良,54,103,9,1.3,27,74
2015-02-15,74,良,54,76,8,1.3,23,28
2015-02-16,45,优,31,42,6,1,13,82
2015-02-17,107,轻度污染,81,110,8,1.1,11,107
2015-02-18,97,良,72,110,9,1.1,10,102
2015-02-19,78,良,55,106,20,0.7,8,105
2015-02-20,44,优,31,44,6,0.6,11,85
2015-02-21,52,良,37,49,6,1.2,15,28
2015-02-22,34,优,24,28,4,1,10,59
2015-02-23,33,优,18,19,4,1.1,10,65
2015-02-24,34,优,16,23,5,1.1,10,68
2015-02-25,34,优,19,28,5,1,12,68
2015-02-26,34,优,12,13,4,0.7,9,68
2015-02-27,36,优,13,12,5,0.8,11,71
2015-02-28,33,优,15,18,5,0.7,13,66
2015-03-01,29,优,13,11,4,0.7,10,57
2015-03-02,39,优,24,39,6,0.8,12,72
2015-03-03,53,良,38,54,8,1.3,18,35
2015-03-04,51,良,36,48,6,0.8,12,60
2015-03-05,36,优,25,27,6,0.8,15,53
2015-03-06,23,优,15,13,6,0.8,17,45
2015-03-07,27,优,18,19,6,0.7,13,53
2015-03-08,34,优,23,34,7,1,19,63
2015-03-09,49,优,23,36,9,1,11,97
2015-03-10,51,良,32,52,6,0.6,10,96
2015-03-11,48,优,31,48,8,0.7,15,78
2015-03-12,54,良,26,57,7,0.7,13,74
2015-03-13,53,良,33,57,7,1,14,82
2015-03-14,52,良,35,55,7,1.1,18,64
2015-03-15,53,良,38,41,6,1,19,34
2015-03-16,37,优,25,37,6,1.1,14,70
2015-03-17,51,良,35,52,7,1.1,14,66
2015-03-18,67,良,44,84,8,1.6,18,61
