»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,60,¡º,26,70,12,0.6,11,60
2015-01-01,54,¡º,28,58,21,1,26,51
2015-01-02,63,¡º,45,74,25,1.8,48,54
2015-01-03,72,¡º,52,81,32,1.9,42,58
2015-01-04,101,«·∂»Œ€»æ,76,109,25,2.5,59,60
2015-01-05,126,«·∂»Œ€»æ,96,134,20,3,63,57
2015-01-06,117,«·∂»Œ€»æ,89,107,16,2.5,21,67
2015-01-07,55,¡º,38,59,13,1.5,22,70
2015-01-08,72,¡º,53,82,17,1.9,41,56
2015-01-09,104,«·∂»Œ€»æ,78,117,23,3.2,69,60
2015-01-10,100,¡º,75,114,20,3,65,62
2015-01-11,98,¡º,73,102,20,2.5,53,68
2015-01-12,101,«·∂»Œ€»æ,76,98,30,2.9,31,57
2015-01-13,50,”≈,35,45,14,1.5,28,61
2015-01-14,40,”≈,28,36,11,1.7,29,59
2015-01-15,54,¡º,38,50,12,1.5,19,79
2015-01-16,82,¡º,61,81,14,2,31,73
2015-01-17,148,«·∂»Œ€»æ,113,148,25,2.9,20,70
2015-01-18,121,«·∂»Œ€»æ,92,130,26,3,38,75
2015-01-19,106,«·∂»Œ€»æ,80,120,16,3,50,63
2015-01-20,69,¡º,50,86,16,1.9,58,72
2015-01-21,91,¡º,68,98,19,2.2,46,84
2015-01-22,94,¡º,70,105,19,2.7,36,81
2015-01-23,80,¡º,59,87,18,2.4,64,66
2015-01-24,92,¡º,69,101,14,2.8,62,73
2015-01-25,158,÷–∂»Œ€»æ,121,147,12,3.9,42,65
2015-01-26,184,÷–∂»Œ€»æ,139,163,16,5.1,50,64
2015-01-27,80,¡º,59,76,13,2.5,29,70
2015-01-28,38,”≈,24,30,13,1,22,75
2015-01-29,39,”≈,17,22,9,0.9,15,78
2015-01-30,57,¡º,40,51,11,1.3,14,92
2015-01-31,87,¡º,64,80,17,2.1,22,86
2015-02-01,56,¡º,40,52,15,1.7,49,93
2015-02-02,63,¡º,46,66,17,1.9,31,106
2015-02-03,82,¡º,61,83,14,2.1,17,60
2015-02-04,105,«·∂»Œ€»æ,79,103,15,2.1,12,62
2015-02-05,83,¡º,62,105,14,1.8,20,58
2015-02-06,57,¡º,34,63,15,1.7,36,47
2015-02-07,73,¡º,53,90,15,2.1,47,57
2015-02-08,70,¡º,49,90,15,1.8,15,49
2015-02-09,40,”≈,25,40,23,1.1,19,46
2015-02-10,52,¡º,34,55,20,1.4,26,41
2015-02-11,76,¡º,56,79,16,1.9,17,65
2015-02-12,104,«·∂»Œ€»æ,78,114,14,2.5,30,60
2015-02-13,106,«·∂»Œ€»æ,80,115,14,2.7,27,60
2015-02-14,131,«·∂»Œ€»æ,100,139,23,3.2,29,52
2015-02-15,55,¡º,39,51,10,1.6,14,48
2015-02-16,124,«·∂»Œ€»æ,95,125,10,3.4,22,59
2015-02-17,148,«·∂»Œ€»æ,114,163,19,3.6,18,72
2015-02-18,107,«·∂»Œ€»æ,80,121,16,2.4,13,69
2015-02-19,75,¡º,55,74,17,1.2,13,70
2015-02-20,40,”≈,28,40,8,1.2,12,56
2015-02-21,31,”≈,20,31,9,1.4,11,60
2015-02-22,63,¡º,46,61,10,2,11,61
2015-02-23,82,¡º,61,76,12,3.1,12,55
2015-02-24,70,¡º,51,71,12,2.7,18,49
2015-02-25,31,”≈,21,31,10,1.8,16,54
2015-02-26,77,¡º,56,78,12,2.5,17,67
2015-02-27,42,”≈,29,42,10,1,11,72
2015-02-28,30,”≈,12,21,10,0.8,8,60
2015-03-01,44,”≈,31,42,11,1.3,20,64
2015-03-02,46,”≈,32,45,10,1.6,19,62
2015-03-03,60,¡º,31,69,10,1.3,10,61
2015-03-04,56,¡º,34,63,17,1.4,16,61
2015-03-05,50,”≈,30,50,14,1.3,13,62
2015-03-06,58,¡º,41,58,11,1.7,15,57
2015-03-07,64,¡º,47,66,11,1.7,18,64
2015-03-08,59,¡º,42,59,14,1.7,22,61
2015-03-09,69,¡º,50,72,11,1.5,32,118
2015-03-10,65,¡º,46,71,20,1,47,118
2015-03-11,57,¡º,39,64,17,1.4,26,74
2015-03-12,79,¡º,58,87,13,1.8,14,112
2015-03-13,70,¡º,51,77,11,1.8,19,59
2015-03-14,119,«·∂»Œ€»æ,90,115,24,3.3,30,76
2015-03-15,119,«·∂»Œ€»æ,90,115,10,2.8,15,74
2015-03-16,87,¡º,65,84,11,2.2,16,56
2015-03-17,71,¡º,52,78,10,3.2,28,53
2015-03-18,23,”≈,15,23,10,1.3,15,34
2015-03-19,37,”≈,23,37,11,1.8,9,44
2015-03-20,75,¡º,55,72,10,1.9,10,52
2015-03-21,78,¡º,57,79,11,2,26,65
2015-03-22,74,¡º,54,91,16,1.9,32,59
2015-03-23,77,¡º,57,102,17,1.6,14,59
2015-03-24,61,¡º,36,72,18,1.2,17,60
2015-03-25,54,¡º,29,58,18,1.2,16,64
2015-03-26,59,¡º,36,68,19,1.3,18,60
2015-03-27,81,¡º,55,87,12,1.4,10,63
2015-03-28,74,¡º,55,78,11,1.6,29,56
2015-03-29,82,¡º,60,79,11,2,35,52
2015-03-30,50,”≈,35,45,8,1.7,14,41
2015-03-31,53,¡º,37,50,8,1.6,16,48
2015-04-01,62,¡º,45,65,8,1.8,18,44
2015-04-02,47,”≈,33,47,7,1,10,38
2015-04-03,62,¡º,44,56,16,2.2,15,54
2015-04-04,60,¡º,43,52,9,3.4,16,38
2015-04-05,40,”≈,28,35,11,1.3,7,41
2015-04-06,51,¡º,36,42,13,1.6,6,24
2015-04-07,44,”≈,31,38,14,0.6,9,54
2015-04-08,41,”≈,29,33,14,0.9,11,54
2015-04-09,64,¡º,46,71,22,1.6,20,52
2015-04-10,76,¡º,56,79,14,1.7,18,70
2015-04-11,96,¡º,72,98,18,2.2,15,70
2015-04-12,79,¡º,58,87,11,1.7,22,57
2015-04-13,45,”≈,26,45,12,0.7,10,50
2015-04-14,46,”≈,32,46,12,1,13,39
2015-04-15,56,¡º,40,59,13,1.2,18,48
2015-04-16,73,¡º,54,88,21,1.6,16,38
2015-04-17,100,¡º,75,119,22,1.2,25,35
2015-04-18,95,¡º,71,123,39,1,27,33
2015-04-19,41,”≈,28,41,13,0.8,15,37
2015-04-20,38,”≈,25,38,17,0.4,14,52
2015-04-21,70,¡º,51,77,33,0.7,35,45
2015-04-22,72,¡º,53,80,17,0.7,38,47
2015-04-23,60,¡º,42,71,25,0.7,41,39
2015-04-24,82,¡º,61,87,17,0.8,35,40
2015-04-25,93,¡º,70,99,19,0.9,32,59
2015-04-26,86,¡º,64,100,18,0.8,33,53
2015-04-27,74,¡º,55,81,14,0.6,21,36
2015-04-28,79,¡º,58,77,10,0.7,18,34
2015-04-29,72,¡º,53,78,9,0.5,15,41
2015-04-30,68,¡º,50,74,21,0.6,18,44
2015-05-01,73,¡º,53,83,37,0.6,20,39
2015-05-02,44,”≈,31,41,11,0.4,16,38
2015-05-03,69,¡º,50,61,12,0.5,15,44
2015-05-04,115,«·∂»Œ€»æ,87,109,18,0.7,16,45
2015-05-05,115,«·∂»Œ€»æ,87,123,20,0.7,21,62
2015-05-06,84,¡º,62,82,13,0.7,29,46
2015-05-07,96,¡º,72,98,10,0.7,32,65
2015-05-08,70,¡º,51,62,12,0.6,31,51
2015-05-09,110,«·∂»Œ€»æ,83,103,13,0.7,24,54
2015-05-10,108,«·∂»Œ€»æ,81,107,28,0.6,22,68
2015-05-11,32,”≈,18,29,15,0.4,15,64
2015-05-12,62,¡º,35,74,13,0.4,18,44
2015-05-13,61,¡º,36,71,14,0.5,25,51
2015-05-14,45,”≈,32,45,14,0.5,16,37
2015-05-15,43,”≈,18,28,12,0.5,21,86
2015-05-16,74,¡º,54,74,19,0.8,16,60
2015-05-17,70,¡º,51,73,21,0.8,20,49
2015-05-18,103,«·∂»Œ€»æ,78,93,13,1,27,63
2015-05-19,117,«·∂»Œ€»æ,88,99,16,0.9,31,58
2015-05-20,116,«·∂»Œ€»æ,88,117,19,0.9,34,55
