»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,104,«·∂»Œ€»æ,66,157,54,2.1,41,66
2015-01-01,83,¡º,48,115,45,1.7,22,67
2015-01-02,111,«·∂»Œ€»æ,84,160,78,1.8,32,40
2015-01-03,136,«·∂»Œ€»æ,104,161,72,2,33,55
2015-01-04,161,÷–∂»Œ€»æ,123,167,50,2.2,31,68
2015-01-05,188,÷–∂»Œ€»æ,142,144,37,2.4,25,48
2015-01-06,90,¡º,67,75,38,1.9,19,53
2015-01-07,82,¡º,60,68,44,2.1,17,48
2015-01-08,84,¡º,62,87,52,1.9,25,40
2015-01-09,111,«·∂»Œ€»æ,84,108,47,2,25,35
2015-01-10,123,«·∂»Œ€»æ,94,126,42,2.1,28,38
2015-01-11,152,÷–∂»Œ€»æ,116,150,54,2.3,32,33
2015-01-12,216,÷ÿ∂»Œ€»æ,166,200,77,2.4,37,57
2015-01-13,273,÷ÿ∂»Œ€»æ,223,264,66,2.5,36,84
2015-01-14,254,÷ÿ∂»Œ€»æ,204,242,45,2.6,31,62
2015-01-15,236,÷ÿ∂»Œ€»æ,186,228,49,2.6,34,35
2015-01-16,219,÷ÿ∂»Œ€»æ,169,201,44,2.5,30,26
2015-01-17,176,÷–∂»Œ€»æ,133,165,55,2.5,31,58
2015-01-18,110,«·∂»Œ€»æ,83,101,35,2.3,18,62
2015-01-19,127,«·∂»Œ€»æ,97,129,48,2.5,29,39
2015-01-20,154,÷–∂»Œ€»æ,118,183,65,3.1,37,53
2015-01-21,100,¡º,75,125,42,2.5,29,63
2015-01-22,74,¡º,52,98,47,2.1,29,75
2015-01-23,113,«·∂»Œ€»æ,86,131,62,2.3,43,55
2015-01-24,217,÷ÿ∂»Œ€»æ,167,237,100,2.8,60,29
2015-01-25,253,÷ÿ∂»Œ€»æ,203,279,85,3.2,66,26
2015-01-26,242,÷ÿ∂»Œ€»æ,192,256,72,3.2,52,24
2015-01-27,124,«·∂»Œ€»æ,94,118,40,3,35,61
2015-01-28,59,¡º,42,46,23,2.3,20,49
2015-01-29,81,¡º,60,70,52,1.8,26,63
2015-01-30,90,¡º,67,93,48,1.9,28,67
2015-01-31,109,«·∂»Œ€»æ,82,91,50,2,21,79
2015-02-01,135,«·∂»Œ€»æ,103,122,42,2,27,83
2015-02-02,152,÷–∂»Œ€»æ,117,142,49,2.1,32,71
2015-02-03,153,÷–∂»Œ€»æ,117,147,42,2.2,33,72
2015-02-04,132,«·∂»Œ€»æ,101,132,41,2.4,36,70
2015-02-05,95,¡º,71,100,39,2.4,29,95
2015-02-06,90,¡º,67,99,51,2.2,35,70
2015-02-07,111,«·∂»Œ€»æ,84,117,40,2.3,32,88
2015-02-08,78,¡º,57,92,36,2.2,22,95
2015-02-09,98,¡º,74,116,38,2,30,108
2015-02-10,107,«·∂»Œ€»æ,81,123,44,1.1,35,86
2015-02-11,106,«·∂»Œ€»æ,80,123,36,1,32,77
2015-02-12,94,¡º,70,117,33,1.5,34,94
2015-02-13,92,¡º,68,108,33,1.2,26,98
2015-02-14,135,«·∂»Œ€»æ,103,161,45,1.4,31,102
2015-02-15,141,«·∂»Œ€»æ,108,172,31,1.7,29,99
2015-02-16,84,¡º,51,118,29,1.1,19,91
2015-02-17,69,¡º,46,89,26,1.1,18,94
2015-02-18,112,«·∂»Œ€»æ,84,146,26,1.1,15,112
2015-02-19,150,«·∂»Œ€»æ,115,164,17,1,12,110
2015-02-20,96,¡º,72,98,12,0.8,12,78
2015-02-21,83,¡º,61,76,16,1,14,62
2015-02-22,94,¡º,70,87,21,1.4,19,41
2015-02-23,51,¡º,36,48,8,1,12,56
2015-02-24,46,”≈,32,43,14,1.1,18,51
2015-02-25,54,¡º,38,57,17,1.2,19,60
2015-02-26,118,«·∂»Œ€»æ,80,186,24,1.2,16,95
2015-02-27,64,¡º,46,66,8,1.1,14,93
2015-02-28,67,¡º,49,56,12,1.1,15,84
