»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,99,¡º,74,129,76,2.9,68,35
2013-12-01,182,÷–∂»Œ€»æ,137,212,102,5.7,84,45
2013-12-02,210,÷ÿ∂»Œ€»æ,160,218,108,5.7,97,44
2013-12-03,235,÷ÿ∂»Œ€»æ,185,231,181,6.5,120,46
2013-12-04,176,÷–∂»Œ€»æ,133,186,94,4.3,86,32
2013-12-05,162,÷–∂»Œ€»æ,123,168,109,4.8,88,42
2013-12-06,186,÷–∂»Œ€»æ,140,179,85,5.1,84,28
2013-12-07,500,—œ÷ÿŒ€»æ,213,282,58,2629.2,77,18
2013-12-08,309,—œ÷ÿŒ€»æ,259,318,93,9.3,114,17
2013-12-09,500,—œ÷ÿŒ€»æ,111,102,92,7667.5,64,34
2013-12-10,500,—œ÷ÿŒ€»æ,129,170,124,2978.1,68,36
2013-12-11,133,«·∂»Œ€»æ,101,140,112,4.5,72,44
2013-12-12,98,¡º,73,102,97,3.6,66,69
2013-12-13,130,«·∂»Œ€»æ,99,148,116,3.7,74,41
2013-12-14,262,÷ÿ∂»Œ€»æ,212,286,182,6.2,118,33
2013-12-15,366,—œ÷ÿŒ€»æ,316,412,268,7,134,34
2013-12-16,414,—œ÷ÿŒ€»æ,371,466,158,8.6,154,41
2013-12-17,261,÷ÿ∂»Œ€»æ,211,231,132,5.4,118,29
2013-12-18,132,«·∂»Œ€»æ,100,75,55,2.3,58,35
2013-12-19,256,÷ÿ∂»Œ€»æ,206,272,85,5.1,95,30
2013-12-20,286,÷ÿ∂»Œ€»æ,236,286,117,6.5,113,28
2013-12-21,292,÷ÿ∂»Œ€»æ,242,282,124,6.8,117,42
2013-12-22,265,÷ÿ∂»Œ€»æ,215,276,119,6.3,110,28
2013-12-23,402,—œ÷ÿŒ€»æ,353,464,164,10.2,146,39
2013-12-24,461,—œ÷ÿŒ€»æ,441,542,175,12.6,180,40
2013-12-25,500,—œ÷ÿŒ€»æ,567,0,92,11.7,186,46
2013-12-26,137,«·∂»Œ€»æ,104,92,70,2.6,71,40
2013-12-27,114,«·∂»Œ€»æ,86,101,76,3.2,71,46
