日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,94,良,70,135,151,0.5,28,76
2015-01-01,127,轻度污染,96,149,200,0.5,30,72
2015-01-02,71,良,52,78,119,0.4,16,86
2015-01-03,88,良,65,104,154,0.6,25,85
2015-01-04,76,良,56,76,75,0.5,22,84
2015-01-05,66,良,48,66,62,0.7,24,69
2015-01-06,40,优,22,40,38,0.7,39,64
2015-01-07,55,良,34,61,79,0.8,39,68
2015-01-08,66,良,45,82,112,1.2,36,50
2015-01-09,32,优,22,31,83,1.3,17,54
2015-01-10,38,优,26,38,78,1.2,14,51
2015-01-11,36,优,25,36,54,1.4,13,57
2015-01-12,39,优,23,39,85,1.7,15,71
2015-01-13,59,良,38,68,146,2.3,31,85
2015-01-14,60,良,39,71,126,1.6,29,65
2015-01-15,61,良,43,71,112,0.9,28,68
2015-01-16,88,良,65,103,99,1,26,52
2015-01-17,84,良,62,101,125,1,26,72
2015-01-18,34,优,22,34,63,1.3,18,66
2015-01-19,58,良,41,57,48,1.3,20,68
2015-01-20,53,良,36,56,71,1.5,23,52
2015-01-21,55,良,37,61,80,1.1,23,76
2015-01-22,61,良,42,73,74,0.9,27,78
2015-01-23,63,良,45,74,56,1,25,81
2015-01-24,56,良,39,62,51,1,24,89
2015-01-25,78,良,57,91,69,1.4,32,74
2015-01-26,66,良,42,82,63,1.1,28,73
2015-01-27,54,良,27,58,51,0.7,20,82
2015-01-28,52,良,29,54,52,1,22,85
2015-01-29,35,优,17,35,34,1.7,21,48
2015-01-30,30,优,17,30,24,0.9,23,45
2015-01-31,41,优,26,41,43,1,24,44
2015-02-01,36,优,23,36,44,1.1,24,28
2015-02-02,31,优,18,31,69,1.3,20,27
2015-02-03,36,优,14,25,69,1.2,14,72
2015-02-04,36,优,23,36,66,1,15,69
2015-02-05,43,优,27,43,121,1,13,65
2015-02-06,58,良,39,66,109,1.3,16,75
2015-02-07,46,优,22,46,49,1.3,11,71
2015-02-08,49,优,24,49,47,1.5,13,77
2015-02-09,57,良,29,63,51,1.2,16,98
2015-02-10,48,优,20,42,69,1.1,25,95
2015-02-11,57,良,25,53,69,1.2,17,108
2015-02-12,63,良,38,75,150,1.5,33,106
2015-02-13,55,良,32,61,56,0.8,20,85
2015-02-14,47,优,12,26,38,0.6,8,93
2015-02-15,63,良,17,32,51,0.8,10,115
2015-02-16,69,良,44,73,68,1.1,20,123
2015-02-17,57,良,32,55,84,1.1,21,108
2015-02-18,59,良,18,37,47,0.7,8,111
2015-02-19,52,良,19,38,41,0.9,6,102
2015-02-20,65,良,15,32,57,1.3,6,118
2015-02-21,56,良,26,45,68,1.7,8,107
2015-02-22,38,优,16,36,62,1.8,7,75
2015-02-23,55,良,15,31,60,1.9,7,106
2015-02-24,52,良,16,37,59,2.1,9,102
2015-02-25,49,优,17,34,56,1.6,9,98
2015-02-26,31,优,12,31,41,0.5,11,52
2015-02-27,68,良,16,37,41,0.7,9,121
2015-02-28,40,优,9,20,37,0.6,7,80
2015-03-01,39,优,11,26,42,0.7,9,78
2015-03-02,37,优,18,31,64,0.8,16,73
2015-03-03,43,优,11,22,35,0.8,8,86
2015-03-04,36,优,14,26,27,0.8,9,71
2015-03-05,35,优,13,26,23,0.7,7,70
2015-03-06,38,优,26,36,49,1.1,14,70
2015-03-07,42,优,26,42,67,1.4,19,52
2015-03-08,50,优,24,35,71,1.5,15,100
2015-03-09,88,良,66,100,105,1.3,22,81
2015-03-10,77,良,56,87,56,1.1,16,83
2015-03-11,45,优,28,45,55,0.4,17,71
2015-03-12,75,良,55,82,67,0.6,17,111
2015-03-13,54,良,34,53,46,0.6,14,105
2015-03-14,69,良,43,64,50,0.9,15,123
2015-03-15,79,良,56,83,52,1.1,17,135
2015-03-16,91,良,56,88,46,1.2,14,149
2015-03-17,91,良,59,94,26,1,14,149
2015-03-18,86,良,61,96,29,1,16,143
2015-03-19,90,良,57,103,27,0.9,21,148
2015-03-20,64,良,40,59,16,0.9,13,117
2015-03-21,73,良,36,63,20,0.8,12,127
2015-03-22,61,良,37,62,14,0.9,14,113
2015-03-23,64,良,46,70,20,1,12,101
2015-03-24,58,良,41,56,22,0.9,20,82
2015-03-25,51,良,34,52,22,0.8,14,68
2015-03-26,43,优,26,43,24,0.6,16,61
2015-03-27,45,优,22,38,18,0.5,8,64
2015-03-28,50,优,32,50,37,0.6,15,67
2015-03-29,52,良,36,54,28,0.6,12,101
2015-03-30,62,良,40,59,21,0.6,9,114
2015-03-31,76,良,41,67,18,0.8,7,131
2015-04-01,87,良,49,87,20,1,8,144
2015-04-02,88,良,45,72,26,1.1,11,145
2015-04-03,83,良,39,81,26,1.2,10,139
2015-04-04,88,良,31,66,28,1,12,146
2015-04-05,98,良,61,86,28,0.9,11,158
2015-04-06,93,良,69,105,29,1.3,13,135
2015-04-07,36,优,21,36,20,1.3,8,71
2015-04-08,52,良,31,54,30,1,12,98
2015-04-09,47,优,26,43,23,0.5,10,93
2015-04-10,51,良,34,52,32,0.6,9,99
2015-04-11,62,良,45,65,56,0.4,14,93
2015-04-12,73,良,35,55,49,0.5,16,128
2015-04-13,94,良,54,102,88,0.7,30,153
2015-04-14,94,良,56,104,55,0.7,24,153
2015-04-15,93,良,59,92,45,0.4,18,151
2015-04-16,107,轻度污染,81,124,48,0.5,23,165
2015-04-17,97,良,58,91,36,0.5,10,156
2015-04-18,90,良,49,78,48,0.6,12,148
2015-04-19,59,良,27,67,37,0.5,16,107
2015-04-20,58,良,18,42,65,0.6,11,109
2015-04-21,62,良,39,75,87,0.9,16,97
2015-04-22,51,良,34,51,66,0.6,15,93
2015-04-23,49,优,29,49,55,0.6,14,83
2015-04-24,46,优,26,46,56,0.8,18,81
2015-04-25,59,良,28,55,80,1,24,111
2015-04-26,74,良,54,87,67,1.1,30,88
2015-04-27,43,优,29,43,43,0.9,15,79
2015-04-28,57,良,19,31,60,0.5,17,108
2015-04-29,71,良,38,62,55,0.6,18,125
2015-04-30,60,良,28,45,31,0.4,12,112
2015-05-01,78,良,26,47,29,0.5,9,134
2015-05-02,94,良,32,59,45,0.6,13,153
2015-05-03,71,良,40,71,48,0.7,11,125
2015-05-04,58,良,42,66,44,0.9,10,107
2015-05-05,58,良,41,65,31,0.9,11,83
2015-05-06,73,良,37,67,32,0.5,11,128
2015-05-07,56,良,34,58,26,0.4,9,107
2015-05-08,63,良,28,45,29,0.4,10,115
2015-05-09,61,良,44,72,40,0.4,12,107
2015-05-10,56,良,24,41,22,0.4,6,107
2015-05-11,55,良,28,48,26,0.5,4,106
2015-05-12,52,良,28,54,28,0.6,6,92
2015-05-13,51,良,20,41,21,0.7,4,101
2015-05-14,59,良,20,41,23,0.7,6,111
2015-05-15,83,良,29,45,14,0.5,5,139
2015-05-16,83,良,30,54,24,0.6,9,139
2015-05-17,66,良,26,43,12,0.6,6,119
2015-05-18,68,良,16,30,22,0.7,7,121
2015-05-19,51,良,27,43,36,0.5,8,101
2015-05-20,41,优,17,22,26,0.5,5,82
2015-05-21,39,优,27,36,23,0.4,6,73
2015-05-22,43,优,15,16,18,0.5,4,86
2015-05-23,66,良,14,21,24,0.5,5,119
2015-05-24,52,良,32,54,34,0.6,11,100
2015-05-25,44,优,22,36,23,0.6,5,88
2015-05-26,56,良,23,50,27,0.6,7,107
2015-05-27,49,优,30,49,55,0.8,11,88
2015-05-28,59,良,36,65,20,0.4,9,111
2015-05-29,52,良,25,47,28,0.6,8,102
2015-05-30,48,优,9,20,20,0.5,7,96
2015-05-31,46,优,23,38,19,0.4,11,91
2015-06-01,46,优,22,40,17,0.4,7,91
2015-06-02,49,优,20,36,18,0.5,6,97
2015-06-03,47,优,16,28,20,0.5,7,94
2015-06-04,42,优,24,42,15,0.2,7,81
2015-06-05,39,优,13,24,26,0.3,6,78
2015-06-06,36,优,17,31,15,0.3,7,71
2015-06-07,39,优,16,31,18,0.2,5,77
2015-06-08,50,优,13,25,20,0.2,4,99
2015-06-09,48,优,19,34,25,0.3,9,96
2015-06-10,40,优,17,32,23,0.3,7,80
2015-06-11,75,良,35,65,19,0.4,8,130
2015-06-12,57,良,25,45,14,0.4,7,108
2015-06-13,48,优,16,32,16,0.4,6,96
2015-06-14,56,良,32,62,45,0.5,11,90
2015-06-15,41,优,13,27,14,0.5,5,81
2015-06-16,36,优,12,25,12,0.5,4,71
2015-06-17,45,优,15,30,16,0.6,6,89
2015-06-18,48,优,18,31,17,0.6,8,96
2015-06-19,58,良,39,66,40,0.5,13,74
2015-06-20,36,优,18,36,15,0.5,8,70
2015-06-21,42,优,14,25,21,0.6,7,84
2015-06-22,35,优,16,33,20,0.7,8,70
2015-06-23,34,优,18,31,18,0.6,5,68
2015-06-24,34,优,14,34,10,0.5,5,66
2015-06-25,30,优,15,25,19,0.5,5,60
2015-06-26,30,优,12,23,18,0.6,5,59
2015-06-27,38,优,13,27,13,0.3,3,75
2015-06-28,43,优,14,28,14,0.4,3,85
2015-06-29,43,优,17,32,15,0.4,4,86
2015-06-30,47,优,17,34,16,0.4,5,93
2015-07-01,42,优,15,30,19,0.6,7,83
2015-07-02,55,良,28,59,28,0.6,12,102
2015-07-03,46,优,18,41,24,0.4,8,91
2015-07-04,45,优,12,21,19,0.4,5,89
2015-07-05,47,优,11,25,22,0.5,6,94
2015-07-06,66,良,17,31,19,0.5,7,119
2015-07-07,84,良,26,51,25,0.4,10,141
2015-07-08,93,良,36,67,24,0.6,13,151
2015-07-09,93,良,36,76,21,0.6,6,151
2015-07-10,91,良,41,80,17,0.6,6,149
2015-07-11,69,良,37,73,21,0.5,7,123
2015-07-12,53,良,16,39,16,0.5,6,103
2015-07-13,43,优,18,38,18,0.7,8,85
2015-07-14,49,优,20,45,12,0.5,7,97
2015-07-15,63,良,17,35,14,0.4,6,116
2015-07-16,74,良,21,49,20,0.4,10,129
2015-07-17,83,良,36,87,36,0.6,22,139
2015-07-18,76,良,32,71,21,0.6,17,131
2015-07-19,77,良,51,104,29,0.8,23,127
2015-07-20,97,良,46,95,22,0.7,18,156
2015-07-21,82,良,35,70,13,0.6,10,138
