»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,73,¡º,53,91,71,1.8,52,90
2014-01-01,108,«·∂»Œ€»æ,81,136,70,1.9,73,87
2014-01-02,172,÷–∂»Œ€»æ,130,190,105,1.9,111,56
2014-01-03,226,÷ÿ∂»Œ€»æ,176,265,135,1.7,137,30
2014-01-04,201,÷ÿ∂»Œ€»æ,151,229,73,1.9,81,20
2014-01-05,243,÷ÿ∂»Œ€»æ,193,264,72,1.9,94,49
2014-01-06,88,¡º,65,96,50,1.4,59,61
2014-01-07,83,¡º,61,84,40,1.5,55,49
2014-01-08,59,¡º,42,48,27,1.6,47,36
2014-01-09,59,¡º,39,67,42,1.5,47,45
2014-01-10,71,¡º,52,86,48,1.5,48,72
2014-01-11,73,¡º,54,72,38,1.6,57,61
2014-01-12,128,«·∂»Œ€»æ,97,118,53,2,70,23
2014-01-13,123,«·∂»Œ€»æ,93,134,58,2,60,42
2014-01-14,63,¡º,46,73,49,1.9,62,41
2014-01-15,91,¡º,68,93,44,2,64,71
2014-01-16,95,¡º,71,93,59,1.9,78,44
2014-01-17,176,÷–∂»Œ€»æ,133,179,50,2.1,91,44
2014-01-18,261,÷ÿ∂»Œ€»æ,211,247,60,0.5,74,37
2014-01-20,162,÷–∂»Œ€»æ,123,225,81,1.1,68,50
2014-01-21,88,¡º,53,126,55,2.3,57,35
2014-01-22,68,¡º,49,67,48,1.9,54,67
2014-01-23,100,¡º,75,101,55,1.4,72,58
2014-01-24,104,«·∂»Œ€»æ,79,105,39,1.5,76,61
2014-01-25,206,÷ÿ∂»Œ€»æ,156,188,50,1.4,76,32
2014-01-26,66,¡º,48,72,34,1.4,29,64
2014-01-27,51,¡º,28,52,26,1.3,35,59
2014-01-28,103,«·∂»Œ€»æ,77,106,42,1.6,55,64
2014-01-29,97,¡º,72,92,21,1.6,29,62
2014-01-30,177,÷–∂»Œ€»æ,134,136,23,1.8,44,19
2014-01-31,223,÷ÿ∂»Œ€»æ,173,182,23,1.7,29,64
2014-02-01,155,÷–∂»Œ€»æ,119,110,28,1.7,29,75
2014-02-02,248,÷ÿ∂»Œ€»æ,198,278,20,2,42,33
2014-02-03,99,¡º,74,130,22,1.6,28,53
2014-02-04,41,”≈,21,41,23,1.8,12,75
2014-02-05,36,”≈,15,22,16,1.8,15,72
2014-02-06,23,”≈,12,17,20,1.8,24,46
2014-02-07,40,”≈,28,30,16,1.6,31,27
2014-02-08,63,¡º,45,60,33,1.4,28,55
2014-02-09,68,¡º,49,70,36,1.1,27,54
2014-02-10,40,”≈,27,40,22,1,25,53
2014-02-11,53,¡º,37,53,34,1.1,33,57
2014-02-12,69,¡º,50,65,59,1.1,43,41
2014-02-13,60,¡º,43,60,30,1.2,42,50
2014-02-14,96,¡º,72,103,37,1.3,47,77
2014-02-15,83,¡º,62,69,38,1.1,45,94
2014-02-16,38,”≈,27,32,25,0.9,35,61
2014-02-17,36,”≈,24,36,24,1.2,43,41
2014-02-18,37,”≈,26,33,21,1.2,35,70
2014-02-19,78,¡º,58,80,34,1.4,34,70
2014-02-20,74,¡º,54,74,72,1.4,39,75
2014-02-21,130,«·∂»Œ€»æ,99,132,55,1.5,35,124
2014-02-22,111,«·∂»Œ€»æ,83,105,43,1.3,35,113
2014-02-23,84,¡º,63,79,30,1.3,33,118
2014-02-24,103,«·∂»Œ€»æ,77,89,31,1.4,42,86
2014-02-25,33,”≈,20,21,18,1.4,37,65
2014-02-26,55,¡º,39,47,22,1.5,58,51
2014-02-27,124,«·∂»Œ€»æ,94,123,45,1.4,67,38
2014-02-28,89,¡º,67,80,37,1.2,47,47
2014-03-01,49,”≈,35,48,30,0.8,50,48
2014-03-02,82,¡º,61,95,60,1.1,51,80
2014-03-03,58,¡º,41,65,34,0.8,27,101
2014-03-04,54,¡º,38,56,28,0.8,45,92
2014-03-05,71,¡º,51,78,46,0.9,38,92
2014-03-06,44,”≈,27,44,27,0.7,26,84
2014-03-07,42,”≈,25,42,28,0.7,35,82
2014-03-08,44,”≈,31,40,31,0.7,26,88
2014-03-09,60,¡º,43,65,35,1,62,92
2014-03-10,152,÷–∂»Œ€»æ,116,110,48,1.2,63,137
2014-03-11,199,÷–∂»Œ€»æ,150,115,50,1.2,37,145
2014-03-12,99,¡º,74,65,36,1.3,58,95
2014-03-13,55,¡º,29,60,31,1,42,78
2014-03-14,60,¡º,42,71,53,1.2,48,106
2014-03-15,71,¡º,51,92,41,1.3,65,120
2014-03-16,128,«·∂»Œ€»æ,97,130,56,1.4,67,162
2014-03-17,104,«·∂»Œ€»æ,78,104,47,1.4,56,110
2014-03-18,139,«·∂»Œ€»æ,106,184,71,1.8,73,164
2014-03-19,120,«·∂»Œ€»æ,81,189,31,1.5,42,116
2014-03-20,133,«·∂»Œ€»æ,71,93,33,1.7,58,196
2014-03-21,62,¡º,40,73,45,1.5,58,94
2014-03-22,86,¡º,63,97,52,1.5,62,141
2014-03-23,90,¡º,56,74,41,1.5,39,148
2014-03-24,100,¡º,75,101,50,1.8,64,81
2014-03-25,106,«·∂»Œ€»æ,80,92,28,2.1,73,47
2014-03-26,82,¡º,61,83,24,2,48,128
2014-03-27,106,«·∂»Œ€»æ,79,78,27,2,42,139
2014-03-28,75,¡º,55,68,24,1.9,42,91
2014-03-29,102,«·∂»Œ€»æ,76,88,26,1.6,67,66
2014-03-30,93,¡º,69,105,37,2.1,47,142
2014-03-31,83,¡º,62,79,30,1.9,46,99
2014-04-01,95,¡º,71,98,35,1.5,45,149
2014-04-02,82,¡º,61,83,37,1.3,49,127
2014-04-03,78,¡º,45,75,39,1.3,34,134
2014-04-04,63,¡º,32,77,38,1.4,53,104
2014-04-05,81,¡º,50,111,53,1.6,66,99
2014-04-06,120,«·∂»Œ€»æ,91,31,22,1,19,104
2014-04-07,114,«·∂»Œ€»æ,86,82,29,1.4,46,118
2014-04-08,87,¡º,65,83,23,1.6,43,122
2014-04-09,120,«·∂»Œ€»æ,91,112,36,1.7,49,158
2014-04-10,154,÷–∂»Œ€»æ,64,86,40,1.5,42,219
2014-04-11,106,«·∂»Œ€»æ,53,75,20,1.3,39,167
2014-04-12,48,”≈,34,43,14,1.5,36,82
2014-04-13,49,”≈,32,49,31,1.5,34,75
2014-04-14,122,«·∂»Œ€»æ,50,75,26,1.6,33,184
2014-04-15,97,¡º,39,60,24,1.5,23,156
2014-04-16,72,¡º,46,61,18,1.8,40,126
