»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,155,÷–∂»Œ€»æ,118,167,40,3.2,44,42
2014-01-01,149,«·∂»Œ€»æ,114,160,42,3,33,51
2014-01-02,167,÷–∂»Œ€»æ,127,186,45,3.1,43,37
2014-01-03,132,«·∂»Œ€»æ,101,154,39,3.1,49,72
2014-01-04,125,«·∂»Œ€»æ,95,160,50,3.1,56,85
2014-01-05,195,÷–∂»Œ€»æ,146,220,57,3.3,53,80
2014-01-06,239,÷ÿ∂»Œ€»æ,189,285,44,3.7,56,48
2014-01-07,222,÷ÿ∂»Œ€»æ,172,243,39,3.5,45,26
2014-01-08,105,«·∂»Œ€»æ,79,114,34,3,38,28
2014-01-09,82,¡º,61,102,39,2.9,36,32
2014-01-10,116,«·∂»Œ€»æ,88,133,41,3,38,32
2014-01-11,129,«·∂»Œ€»æ,98,147,33,3.2,38,22
2014-01-12,135,«·∂»Œ€»æ,103,142,35,3.4,43,20
2014-01-13,105,«·∂»Œ€»æ,79,96,28,3,37,72
2014-01-14,131,«·∂»Œ€»æ,100,143,49,3.2,47,42
2014-01-15,213,÷ÿ∂»Œ€»æ,163,247,57,3.1,57,16
2014-01-16,147,«·∂»Œ€»æ,113,180,52,2.8,46,31
2014-01-17,148,«·∂»Œ€»æ,114,174,54,3.1,44,54
2014-01-18,171,÷–∂»Œ€»æ,129,188,50,3.2,50,47
2014-01-19,174,÷–∂»Œ€»æ,132,175,45,3.1,46,45
2014-01-20,65,¡º,46,80,21,2.7,38,86
2014-01-21,93,¡º,70,117,42,2.8,43,46
2014-01-22,152,÷–∂»Œ€»æ,116,179,51,3,50,93
2014-01-23,194,÷–∂»Œ€»æ,146,224,55,3.2,57,98
2014-01-24,227,÷ÿ∂»Œ€»æ,177,264,51,3.4,65,62
2014-01-25,242,÷ÿ∂»Œ€»æ,192,282,49,3.5,61,56
2014-01-26,266,÷ÿ∂»Œ€»æ,216,317,55,3.6,55,67
2014-01-27,296,÷ÿ∂»Œ€»æ,246,345,39,3.7,50,42
2014-01-28,320,—œ÷ÿŒ€»æ,270,376,49,3.9,50,19
2014-01-29,286,÷ÿ∂»Œ€»æ,236,336,39,3.8,45,39
2014-01-30,299,÷ÿ∂»Œ€»æ,249,348,29,3.5,31,39
2014-01-31,324,—œ÷ÿŒ€»æ,274,372,38,3.5,31,72
2014-02-01,255,÷ÿ∂»Œ€»æ,205,271,28,3.4,29,78
2014-02-02,192,÷–∂»Œ€»æ,144,187,27,3.3,30,87
2014-02-03,225,÷ÿ∂»Œ€»æ,175,224,35,3.5,44,58
2014-02-04,217,÷ÿ∂»Œ€»æ,167,221,39,3.5,36,51
2014-02-05,128,«·∂»Œ€»æ,97,135,16,3.3,27,45
2014-02-06,33,”≈,20,27,10,3.3,17,28
2014-02-07,63,¡º,45,63,23,2.9,23,43
2014-02-08,54,¡º,38,58,14,2.9,20,41
2014-02-09,51,¡º,36,52,15,3,21,34
2014-02-10,50,”≈,35,40,12,3,19,37
2014-02-11,50,”≈,35,49,22,3.2,20,39
2014-02-12,92,¡º,69,84,32,3.2,26,33
2014-02-13,98,¡º,73,93,32,3.3,25,52
2014-02-14,131,«·∂»Œ€»æ,100,130,42,3.2,33,62
2014-02-15,169,÷–∂»Œ€»æ,129,171,46,1,37,45
2014-02-16,189,÷–∂»Œ€»æ,142,190,51,1,38,56
2014-02-17,178,÷–∂»Œ€»æ,134,173,34,1,31,52
2014-02-18,102,«·∂»Œ€»æ,77,99,26,0.9,28,70
2014-02-19,107,«·∂»Œ€»æ,81,110,44,1.1,37,81
2014-02-20,142,«·∂»Œ€»æ,109,148,56,1.2,53,51
2014-02-21,165,÷–∂»Œ€»æ,126,182,62,1.3,53,50
2014-02-22,179,÷–∂»Œ€»æ,135,187,63,1.3,47,74
2014-02-23,211,÷ÿ∂»Œ€»æ,161,218,72,1.4,53,61
2014-02-24,229,÷ÿ∂»Œ€»æ,179,242,69,1.5,50,82
2014-02-25,223,÷ÿ∂»Œ€»æ,173,231,58,1.4,44,111
2014-02-26,157,÷–∂»Œ€»æ,120,150,32,1.3,35,90
2014-02-27,43,”≈,30,43,18,1.1,28,39
2014-02-28,65,¡º,47,80,17,0.9,31,34
2014-03-01,46,”≈,28,46,16,0.8,28,32
2014-03-02,51,¡º,35,52,16,0.8,30,41
2014-03-03,62,¡º,45,66,35,0.8,35,43
2014-03-04,71,¡º,51,76,24,0.9,34,96
2014-03-05,98,¡º,73,108,49,1,46,53
2014-03-06,77,¡º,57,76,23,0.9,31,48
2014-03-07,54,¡º,38,47,17,1,31,36
2014-03-08,38,”≈,26,38,20,0.9,28,69
2014-03-09,104,«·∂»Œ€»æ,78,110,48,1.1,41,77
2014-03-10,139,«·∂»Œ€»æ,106,134,40,1.1,36,104
2014-03-11,148,«·∂»Œ€»æ,113,163,38,1.1,38,111
2014-03-12,109,«·∂»Œ€»æ,82,132,28,1,37,111
2014-03-13,109,«·∂»Œ€»æ,79,169,31,0.8,46,78
2014-03-14,89,¡º,67,123,24,0.7,30,101
2014-03-15,116,«·∂»Œ€»æ,88,140,36,1,43,85
2014-03-16,122,«·∂»Œ€»æ,93,145,39,1.1,47,121
2014-03-17,139,«·∂»Œ€»æ,106,158,42,1.2,49,149
2014-03-18,176,÷–∂»Œ€»æ,133,206,44,1.2,55,165
2014-03-19,204,÷ÿ∂»Œ€»æ,154,226,42,1.3,52,148
2014-03-20,73,¡º,31,77,12,0.6,22,128
2014-03-21,65,¡º,35,81,19,0.6,29,44
2014-03-22,76,¡º,56,97,19,0.7,30,40
2014-03-23,88,¡º,65,102,53,0.8,35,53
2014-03-24,115,«·∂»Œ€»æ,87,131,73,1,43,44
2014-03-25,101,«·∂»Œ€»æ,76,109,73,1,44,87
2014-03-26,116,«·∂»Œ€»æ,88,122,43,1,44,130
2014-03-27,161,÷–∂»Œ€»æ,122,165,40,1.1,48,102
2014-03-28,97,¡º,72,99,27,0.9,33,118
2014-03-29,99,¡º,75,111,62,0.9,39,101
2014-03-30,101,«·∂»Œ€»æ,76,113,21,0.8,23,112
2014-03-31,43,”≈,27,43,10,0.6,19,76
2014-04-01,50,”≈,30,51,21,0.7,32,74
2014-04-02,67,¡º,49,82,32,0.8,34,105
2014-04-03,81,¡º,60,87,28,0.8,35,67
2014-04-04,68,¡º,49,71,20,0.7,30,83
2014-04-05,67,¡º,49,64,13,0.7,28,66
2014-04-06,64,¡º,40,59,19,0.7,26,117
2014-04-07,81,¡º,60,82,22,0.8,27,107
2014-04-08,112,«·∂»Œ€»æ,85,124,46,1.1,40,93
2014-04-09,126,«·∂»Œ€»æ,96,138,49,1.1,44,81
2014-04-10,117,«·∂»Œ€»æ,89,129,40,1.1,36,64
2014-04-11,111,«·∂»Œ€»æ,84,124,47,1.1,37,80
2014-04-12,73,¡º,39,65,19,0.9,32,128
2014-04-13,85,¡º,63,102,47,0.9,37,136
2014-04-14,99,¡º,74,114,48,0.9,32,106
2014-04-15,101,«·∂»Œ€»æ,76,114,23,1,32,102
2014-04-16,119,«·∂»Œ€»æ,90,139,22,1,31,112
2014-04-17,132,«·∂»Œ€»æ,101,144,39,1.1,36,147
2014-04-18,89,¡º,67,102,20,0.9,25,133
2014-04-19,66,¡º,20,35,10,0.6,17,119
2014-04-20,63,¡º,46,72,35,0.8,29,85
2014-04-21,40,”≈,27,40,20,0.9,21,64
2014-04-22,57,¡º,23,41,22,0.8,20,108
2014-04-23,74,¡º,54,82,32,0.8,30,100
2014-04-24,91,¡º,68,95,22,0.8,23,139
2014-04-25,83,¡º,62,97,18,0.7,24,105
2014-04-26,77,¡º,48,104,21,0.5,25,76
2014-04-27,103,«·∂»Œ€»æ,78,146,48,0.7,32,96
2014-04-28,83,¡º,61,115,28,0.7,31,64
2014-04-29,63,¡º,42,77,30,0.6,28,64
2014-04-30,72,¡º,47,83,40,0.8,36,126
2014-05-01,101,«·∂»Œ€»æ,76,127,31,0.8,31,156
2014-05-02,80,¡º,59,99,11,0.7,22,127
2014-05-03,58,¡º,33,66,7,0.6,20,59
2014-05-04,51,¡º,30,53,12,0.7,26,59
2014-05-05,53,¡º,25,56,21,0.7,24,90
2014-05-06,74,¡º,54,95,26,0.9,31,118
2014-05-07,92,¡º,69,112,33,0.8,34,144
2014-05-08,118,«·∂»Œ€»æ,90,126,33,0.9,33,93
2014-05-09,108,«·∂»Œ€»æ,82,120,34,0.8,32,91
2014-05-10,96,¡º,72,116,15,0.7,26,81
2014-05-11,81,¡º,60,106,30,0.8,35,113
2014-05-12,120,«·∂»Œ€»æ,91,149,34,0.9,37,142
2014-05-13,193,÷–∂»Œ€»æ,145,207,42,1.2,39,108
2014-05-14,182,÷–∂»Œ€»æ,138,205,33,1.2,48,76
2014-05-15,64,¡º,46,78,14,0.7,26,77
2014-05-16,75,¡º,55,96,17,0.6,25,115
2014-05-17,89,¡º,66,109,22,0.7,29,135
2014-05-18,117,«·∂»Œ€»æ,89,137,39,0.9,35,165
2014-05-19,81,¡º,59,91,19,0.8,25,132
2014-05-20,104,«·∂»Œ€»æ,78,127,30,1,32,94
2014-05-21,79,¡º,59,92,25,0.8,22,88
2014-05-22,98,¡º,74,113,41,0.9,35,72
2014-05-23,92,¡º,69,112,33,0.9,33,81
2014-05-24,111,«·∂»Œ€»æ,84,128,30,1.1,31,137
2014-05-25,79,¡º,55,107,14,0.8,19,93
2014-05-26,103,«·∂»Œ€»æ,63,156,22,0.6,20,89
2014-05-27,116,«·∂»Œ€»æ,74,181,66,0.8,29,74
2014-05-28,109,«·∂»Œ€»æ,79,167,53,1,34,132
2014-05-29,120,«·∂»Œ€»æ,91,177,49,1.1,46,107
2014-05-30,139,«·∂»Œ€»æ,106,180,53,1.1,37,172
2014-05-31,121,«·∂»Œ€»æ,92,153,47,1,31,176
2014-06-01,118,«·∂»Œ€»æ,90,140,43,1,32,168
2014-06-02,126,«·∂»Œ€»æ,77,118,41,1,26,189
2014-06-03,101,«·∂»Œ€»æ,40,68,37,0.9,22,161
2014-06-04,45,”≈,28,45,10,1,22,41
2014-06-05,50,”≈,33,50,19,1,27,43
2014-06-06,62,¡º,44,69,20,1.1,28,58
2014-06-07,80,¡º,41,66,19,0.8,19,136
2014-06-08,71,¡º,52,78,20,1,24,101
2014-06-09,47,”≈,33,46,19,0.9,21,65
2014-06-10,51,¡º,35,48,13,0.9,23,65
2014-06-11,61,¡º,44,62,26,1,31,51
2014-06-12,56,¡º,40,56,11,0.9,25,64
2014-06-13,47,”≈,33,44,9,0.9,25,69
2014-06-14,58,¡º,41,60,15,1,28,80
2014-06-15,59,¡º,42,63,32,1.1,33,94
2014-06-16,60,¡º,28,46,18,0.9,24,112
2014-06-17,92,¡º,52,76,38,1,30,150
2014-06-18,126,«·∂»Œ€»æ,76,115,29,1.1,31,189
2014-06-19,72,¡º,51,79,15,0.9,22,126
2014-06-20,64,¡º,20,34,18,0.7,16,117
2014-06-21,63,¡º,20,30,14,0.6,12,116
2014-06-22,58,¡º,39,66,68,0.8,27,88
2014-06-23,58,¡º,42,66,25,0.8,23,62
2014-06-24,35,”≈,22,33,8,0.8,18,69
2014-06-25,42,”≈,26,42,14,1,21,79
2014-06-26,60,¡º,39,70,33,1.2,32,71
2014-06-27,62,¡º,44,73,21,1.1,30,80
2014-06-28,62,¡º,43,74,33,1,27,63
2014-06-29,39,”≈,24,35,16,0.8,17,77
2014-06-30,48,”≈,30,48,22,0.8,20,64
2014-07-01,49,”≈,34,49,31,0.7,20,90
2014-07-02,79,¡º,50,76,44,0.8,24,135
2014-07-03,56,¡º,40,62,19,0.9,25,82
2014-07-04,63,¡º,27,46,31,0.8,18,116
2014-07-05,78,¡º,41,69,28,0.8,22,134
2014-07-06,60,¡º,42,69,22,0.9,23,75
2014-07-07,58,¡º,41,63,17,0.9,21,85
2014-07-08,86,¡º,56,86,20,1,22,143
2014-07-09,65,¡º,47,72,9,0.9,14,104
2014-07-10,42,”≈,21,33,7,0.7,12,83
2014-07-11,62,¡º,17,33,19,0.7,16,114
2014-07-12,47,”≈,21,38,12,0.7,21,94
2014-07-13,55,¡º,23,44,36,0.8,23,106
2014-07-14,47,”≈,29,47,16,0.8,24,75
2014-07-15,31,”≈,15,25,17,0.8,13,61
2014-07-16,54,¡º,25,41,25,0.8,16,105
2014-07-17,98,¡º,36,64,31,0.8,19,157
2014-07-18,83,¡º,45,75,31,0.8,21,139
2014-07-19,87,¡º,35,62,23,0.8,20,144
2014-07-20,59,¡º,31,51,16,0.7,15,111
2014-07-21,65,¡º,26,46,22,0.7,16,118
2014-07-22,96,¡º,20,44,21,0.7,18,155
2014-07-23,101,«·∂»Œ€»æ,25,50,25,0.7,19,161
2014-07-24,68,¡º,20,39,12,0.7,17,122
2014-07-25,91,¡º,21,43,21,0.8,22,149
2014-07-26,131,«·∂»Œ€»æ,41,72,28,0.9,25,194
2014-07-27,120,«·∂»Œ€»æ,61,96,28,0.9,24,182
2014-07-28,119,«·∂»Œ€»æ,62,96,25,0.9,21,181
2014-07-29,111,«·∂»Œ€»æ,32,54,23,0.7,18,172
2014-07-30,123,«·∂»Œ€»æ,40,67,18,0.7,20,185
2014-07-31,70,¡º,51,78,12,0.8,18,119
2014-08-01,46,”≈,17,30,7,0.6,16,91
2014-08-02,93,¡º,29,46,20,0.7,19,152
