»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,138,«·∂»Œ€»æ,105,152,81,2.5,51,43
2014-01-01,177,÷–∂»Œ€»æ,134,173,60,2.8,39,54
2014-01-02,260,÷ÿ∂»Œ€»æ,210,276,74,2.8,52,31
2014-01-03,263,÷ÿ∂»Œ€»æ,213,272,59,1.9,40,49
2014-01-04,292,÷ÿ∂»Œ€»æ,242,315,83,1.6,52,55
2014-01-05,283,÷ÿ∂»Œ€»æ,233,308,60,1.7,55,49
2014-01-06,281,÷ÿ∂»Œ€»æ,231,302,70,1.8,57,24
2014-01-07,282,÷ÿ∂»Œ€»æ,232,258,58,1.7,35,14
2014-01-08,232,÷ÿ∂»Œ€»æ,182,210,57,1.8,28,20
2014-01-09,206,÷ÿ∂»Œ€»æ,156,198,68,1.9,34,32
2014-01-10,216,÷ÿ∂»Œ€»æ,166,203,74,2,38,27
2014-01-11,130,«·∂»Œ€»æ,99,116,32,1.9,28,37
2014-01-12,140,«·∂»Œ€»æ,107,147,33,1.9,31,41
2014-01-13,160,÷–∂»Œ€»æ,122,180,61,2,36,33
2014-01-14,244,÷ÿ∂»Œ€»æ,194,248,48,2.1,36,52
2014-01-15,348,—œ÷ÿŒ€»æ,298,360,59,2,37,60
2014-01-16,313,—œ÷ÿŒ€»æ,263,328,96,2.1,42,39
2014-01-17,316,—œ÷ÿŒ€»æ,266,336,76,2.3,40,44
2014-01-18,304,—œ÷ÿŒ€»æ,254,322,82,2.3,40,38
2014-01-19,314,—œ÷ÿŒ€»æ,264,342,81,2.4,44,34
2014-01-20,223,÷ÿ∂»Œ€»æ,173,246,68,2.1,36,45
2014-01-21,139,«·∂»Œ€»æ,106,170,52,1.8,33,27
2014-01-22,187,÷–∂»Œ€»æ,141,209,71,1.6,37,50
2014-01-23,259,÷ÿ∂»Œ€»æ,209,269,95,2.2,43,57
2014-01-24,292,÷ÿ∂»Œ€»æ,242,297,88,2.6,49,43
2014-01-25,307,—œ÷ÿŒ€»æ,257,322,130,2.5,49,44
2014-01-26,277,÷ÿ∂»Œ€»æ,227,284,120,2.4,44,54
2014-01-27,335,—œ÷ÿŒ€»æ,285,335,95,2.3,40,73
2014-01-28,393,—œ÷ÿŒ€»æ,343,379,75,2.4,38,45
2014-01-29,283,÷ÿ∂»Œ€»æ,233,270,108,2,27,50
2014-01-30,301,—œ÷ÿŒ€»æ,251,333,97,2.2,23,48
2014-01-31,416,—œ÷ÿŒ€»æ,375,465,126,2.3,25,35
2014-02-01,295,÷ÿ∂»Œ€»æ,245,310,77,2.2,19,45
2014-02-02,299,÷ÿ∂»Œ€»æ,249,310,80,2.4,21,57
2014-02-03,232,÷ÿ∂»Œ€»æ,182,238,47,2.4,18,46
2014-02-04,125,«·∂»Œ€»æ,95,123,45,2.1,13,56
2014-02-05,58,¡º,41,48,38,1.8,10,39
2014-02-06,96,¡º,72,78,71,1.8,14,33
2014-02-07,39,”≈,27,32,46,1.7,16,53
2014-02-08,98,¡º,74,80,63,1.9,17,52
2014-02-09,126,«·∂»Œ€»æ,96,103,62,2.1,15,72
