»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,124,«·∂»Œ€»æ,94,176,66,0.8,42,93
2015-01-01,85,¡º,55,120,48,0.7,31,66
2015-01-02,85,¡º,63,116,77,1,41,59
2015-01-03,132,«·∂»Œ€»æ,101,170,95,1.5,60,59
2015-01-04,141,«·∂»Œ€»æ,108,177,91,1.5,67,73
2015-01-05,130,«·∂»Œ€»æ,99,158,93,1.6,71,44
2015-01-06,99,¡º,75,88,39,2.1,45,35
2015-01-07,80,¡º,59,69,39,2,43,27
2015-01-08,61,¡º,44,61,46,1.2,33,80
2015-01-09,75,¡º,55,81,63,1.2,44,46
2015-01-10,90,¡º,67,91,65,1.5,48,63
2015-01-11,85,¡º,63,98,76,1.3,47,47
2015-01-12,79,¡º,58,81,49,1.1,37,35
2015-01-13,60,¡º,43,54,24,1,26,35
2015-01-14,57,¡º,40,51,31,0.9,28,50
2015-01-15,56,¡º,40,58,50,1,32,61
2015-01-16,64,¡º,46,65,46,1.1,33,72
2015-01-17,82,¡º,61,88,56,1,37,85
2015-01-18,80,¡º,59,88,62,1.2,45,54
2015-01-19,88,¡º,66,101,48,0.9,38,74
2015-01-20,113,«·∂»Œ€»æ,85,137,74,1.4,54,51
2015-01-21,74,¡º,55,78,42,1.2,38,83
2015-01-22,66,¡º,48,82,53,1,40,72
2015-01-23,78,¡º,57,92,74,1.3,52,64
2015-01-24,94,¡º,70,110,68,1.3,60,48
2015-01-25,103,«·∂»Œ€»æ,78,104,48,2.1,50,22
2015-01-26,105,«·∂»Œ€»æ,79,122,48,2.8,50,12
2015-01-27,63,¡º,46,67,36,2.4,42,11
2015-01-28,23,”≈,16,18,15,1.1,24,10
2015-01-29,22,”≈,15,18,19,1.1,23,13
2015-01-30,42,”≈,29,34,22,1.1,26,10
2015-01-31,45,”≈,32,37,21,0.8,23,25
2015-02-01,71,¡º,52,64,29,1,28,26
2015-02-02,56,¡º,40,48,20,1.2,35,19
2015-02-03,34,”≈,24,28,15,1.1,26,18
2015-02-04,62,¡º,45,58,28,1.4,33,24
2015-02-05,66,¡º,47,65,27,1.3,30,63
2015-02-06,73,¡º,53,75,33,1.1,32,81
2015-02-07,71,¡º,52,81,43,1.1,47,51
2015-02-08,72,¡º,53,78,42,1,32,79
2015-02-09,58,¡º,39,65,35,0.7,33,74
2015-02-10,62,¡º,44,71,55,1.1,44,50
2015-02-11,80,¡º,59,85,52,1.4,35,95
2015-02-12,67,¡º,48,71,31,1,34,89
2015-02-13,69,¡º,50,74,33,1.2,40,90
2015-02-14,80,¡º,59,87,34,1.4,44,51
2015-02-15,61,¡º,44,55,17,1.3,23,58
2015-02-16,58,¡º,41,55,27,1.1,20,85
2015-02-17,84,¡º,62,89,40,1.4,21,110
2015-02-18,96,¡º,72,93,46,1.2,17,83
2015-02-19,112,«·∂»Œ€»æ,85,112,57,1,17,70
2015-02-20,78,¡º,58,78,16,1.1,15,42
2015-02-21,35,”≈,24,30,14,1,13,30
2015-02-22,45,”≈,32,37,19,1.1,17,26
2015-02-23,39,”≈,27,31,12,1.1,16,36
2015-02-24,49,”≈,34,41,19,1.3,18,36
2015-02-25,41,”≈,28,35,13,1.3,18,33
2015-02-26,25,”≈,18,20,16,0.8,20,28
2015-02-27,19,”≈,13,15,10,0.9,17,30
2015-02-28,20,”≈,13,14,10,0.7,14,40
2015-03-01,27,”≈,19,22,15,0.7,16,45
2015-03-02,44,”≈,30,37,26,0.9,24,34
2015-03-03,34,”≈,24,27,15,1,24,36
2015-03-04,55,¡º,36,60,19,0.9,25,51
2015-03-05,34,”≈,24,29,10,0.8,17,64
2015-03-06,27,”≈,19,21,12,0.8,18,49
2015-03-07,43,”≈,30,39,33,1,31,20
2015-03-08,33,”≈,23,26,17,1,28,20
2015-03-09,41,”≈,29,37,24,1,25,43
2015-03-10,59,¡º,42,56,26,0.8,28,34
2015-03-11,57,¡º,41,54,24,0.9,24,52
2015-03-12,40,”≈,28,40,22,0.7,21,74
2015-03-13,44,”≈,30,44,25,0.9,34,56
2015-03-14,41,”≈,29,34,17,1.1,35,33
2015-03-15,30,”≈,21,24,13,1,27,43
2015-03-16,40,”≈,28,34,24,1.4,30,34
2015-03-17,53,¡º,38,52,35,1.3,29,55
2015-03-18,45,”≈,31,41,26,1.6,30,44
2015-03-19,34,”≈,24,31,23,1.3,27,26
2015-03-20,30,”≈,21,30,22,1.4,25,29
2015-03-21,41,”≈,28,37,25,1,24,50
2015-03-22,44,”≈,31,44,32,1,20,59
2015-03-23,35,”≈,25,30,16,0.9,20,57
2015-03-24,50,”≈,33,50,25,0.9,21,68
2015-03-25,53,¡º,33,56,42,0.8,25,87
2015-03-26,48,”≈,32,48,38,0.8,27,70
2015-03-27,37,”≈,22,32,18,0.7,13,73
2015-03-28,45,”≈,32,45,24,0.7,21,65
2015-03-29,52,¡º,36,47,26,1,22,49
2015-03-30,40,”≈,28,34,15,1,21,62
2015-03-31,37,”≈,26,34,15,1,17,70
2015-04-01,39,”≈,25,34,17,0.9,15,77
2015-04-02,44,”≈,28,38,16,1.1,15,87
2015-04-03,46,”≈,32,45,28,1.3,27,71
2015-04-04,51,¡º,35,52,26,1.2,24,58
2015-04-05,37,”≈,26,34,23,1.3,18,49
2015-04-06,43,”≈,30,37,23,1.2,18,47
2015-04-07,29,”≈,14,17,11,0.8,14,58
2015-04-08,30,”≈,21,27,18,0.6,16,51
2015-04-09,35,”≈,25,30,19,0.7,20,40
2015-04-10,34,”≈,24,32,21,0.7,19,68
2015-04-11,63,¡º,34,48,28,0.8,20,116
2015-04-12,73,¡º,37,52,31,1.1,20,128
2015-04-13,58,¡º,20,43,17,0.7,16,109
2015-04-14,60,¡º,19,33,21,0.8,17,112
2015-04-15,53,¡º,32,57,33,1,42,91
2015-04-16,58,¡º,39,60,28,1.9,25,110
2015-04-17,68,¡º,49,73,51,1,20,117
2015-04-18,60,¡º,43,66,40,0.9,33,101
2015-04-19,44,”≈,30,39,21,1.2,25,26
2015-04-20,31,”≈,21,25,14,1.1,14,47
2015-04-21,38,”≈,22,31,19,0.8,16,75
2015-04-22,60,¡º,43,62,27,0.9,22,94
2015-04-23,104,«·∂»Œ€»æ,78,111,48,1,30,100
2015-04-24,80,¡º,59,79,26,1.2,30,67
2015-04-25,83,¡º,61,84,20,0.8,27,79
2015-04-26,81,¡º,60,81,22,0.8,22,108
2015-04-27,86,¡º,64,86,23,1,29,68
2015-04-28,73,¡º,54,71,18,0.9,15,51
2015-04-29,75,¡º,55,78,19,0.9,16,104
2015-04-30,117,«·∂»Œ€»æ,89,147,34,1,19,120
2015-05-01,58,¡º,42,63,19,0.8,15,81
2015-05-02,41,”≈,27,35,14,0.6,9,81
2015-05-03,61,¡º,37,59,23,0.9,15,113
2015-05-04,64,¡º,46,70,26,0.7,16,95
2015-05-05,62,¡º,45,67,19,0.7,16,85
2015-05-06,65,¡º,47,78,17,0.9,11,81
2015-05-07,66,¡º,40,82,26,1.2,11,97
2015-05-08,44,”≈,26,44,18,0.7,13,65
2015-05-09,62,¡º,36,73,22,0.9,15,100
2015-05-10,80,¡º,50,109,27,1,18,84
2015-05-11,40,”≈,22,40,10,0.6,11,69
2015-05-12,66,¡º,35,81,18,0.8,13,82
2015-05-13,73,¡º,54,95,20,0.8,23,77
2015-05-14,75,¡º,55,75,14,1,16,60
2015-05-15,57,¡º,40,65,15,1.2,15,64
2015-05-16,34,”≈,24,33,3,0.7,12,51
2015-05-17,63,¡º,43,76,13,0.8,12,55
2015-05-18,70,¡º,47,89,14,0.9,19,51
2015-05-19,54,¡º,35,57,18,0.8,13,80
2015-05-20,75,¡º,54,100,30,1,20,62
2015-05-21,83,¡º,61,112,21,0.8,18,122
2015-05-22,65,¡º,47,72,31,0.9,15,90
2015-05-23,59,¡º,42,58,7,0.6,12,74
2015-05-24,96,¡º,72,105,36,1.4,20,127
2015-05-25,124,«·∂»Œ€»æ,94,145,55,1.3,14,138
2015-05-26,127,«·∂»Œ€»æ,96,150,56,1.1,13,154
2015-05-27,68,¡º,50,71,11,0.9,9,100
2015-05-28,44,”≈,31,40,5,0.7,9,48
2015-05-29,66,¡º,48,73,14,1.1,9,101
