»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,249,÷ÿ∂»Œ€»æ,199,272,81,2,95,35
2013-12-03,106,«·∂»Œ€»æ,80,136,47,1.6,54,46
2013-12-04,128,«·∂»Œ€»æ,97,151,65,1.7,57,47
2013-12-05,116,«·∂»Œ€»æ,88,152,54,1.6,53,64
2013-12-06,121,«·∂»Œ€»æ,92,145,55,1.6,56,57
2013-12-07,171,÷–∂»Œ€»æ,129,187,70,1.7,62,52
2013-12-08,93,¡º,70,121,38,1.3,38,96
2013-12-09,75,¡º,50,100,37,1.4,45,79
2013-12-10,109,«·∂»Œ€»æ,82,129,54,1.9,47,63
2013-12-11,101,«·∂»Œ€»æ,76,127,65,1.9,47,44
2013-12-12,122,«·∂»Œ€»æ,92,144,62,2.1,50,42
2013-12-13,177,÷–∂»Œ€»æ,134,188,88,2.4,64,33
2013-12-14,130,«·∂»Œ€»æ,99,159,76,2.1,59,31
2013-12-15,93,¡º,69,110,51,2,53,33
2013-12-16,111,«·∂»Œ€»æ,84,130,63,2.2,51,46
2013-12-17,229,÷ÿ∂»Œ€»æ,179,225,81,2.6,66,31
2013-12-18,436,—œ÷ÿŒ€»æ,404,462,91,3.7,91,17
2013-12-20,349,—œ÷ÿŒ€»æ,299,363,86,3.5,62,52
2013-12-21,266,÷ÿ∂»Œ€»æ,216,240,73,3,61,39
2013-12-22,472,—œ÷ÿŒ€»æ,458,550,73,4.3,95,19
2013-12-23,443,—œ÷ÿŒ€»æ,414,493,87,4.3,89,16
2013-12-24,459,—œ÷ÿŒ€»æ,438,502,145,4.7,100,18
2013-12-25,289,÷ÿ∂»Œ€»æ,239,288,77,3.6,54,39
2013-12-26,73,¡º,50,95,32,2.2,36,54
2013-12-27,144,«·∂»Œ€»æ,110,155,55,2.6,51,28
2013-12-28,133,«·∂»Œ€»æ,102,146,57,2.8,50,50
2013-12-29,175,÷–∂»Œ€»æ,132,184,71,3,62,26
2013-12-30,170,÷–∂»Œ€»æ,129,242,63,3.2,57,45
2013-12-31,127,«·∂»Œ€»æ,97,145,67,2.7,55,49
2014-01-01,111,«·∂»Œ€»æ,84,127,58,2.1,51,48
2014-01-02,94,¡º,70,109,53,2.2,45,46
2014-01-03,82,¡º,61,107,57,2.1,43,46
2014-01-04,95,¡º,71,117,62,2.2,52,42
2014-01-05,152,÷–∂»Œ€»æ,117,156,93,2.5,60,23
2014-01-06,232,÷ÿ∂»Œ€»æ,182,245,131,3.1,72,15
2014-01-07,133,«·∂»Œ€»æ,102,160,66,2.4,45,62
2014-01-08,58,¡º,30,66,24,1.7,24,69
2014-01-09,105,«·∂»Œ€»æ,79,128,75,2.3,51,34
2014-01-10,164,÷–∂»Œ€»æ,125,185,86,2.8,64,26
2014-01-11,121,«·∂»Œ€»æ,92,149,66,2.5,50,50
2014-01-12,90,¡º,67,120,50,2.3,46,53
2014-01-13,123,«·∂»Œ€»æ,93,148,69,2.6,52,37
2014-01-14,201,÷ÿ∂»Œ€»æ,151,211,92,3,65,35
2014-01-15,281,÷ÿ∂»Œ€»æ,231,298,137,3.6,78,25
2014-01-16,255,÷ÿ∂»Œ€»æ,205,262,101,3.2,70,50
2014-01-17,150,«·∂»Œ€»æ,115,164,63,2.5,55,61
2014-01-18,159,÷–∂»Œ€»æ,122,173,78,2.5,58,48
2014-01-19,109,«·∂»Œ€»æ,82,161,56,2.3,52,61
2014-01-20,84,¡º,62,119,43,2.1,42,59
2014-01-21,110,«·∂»Œ€»æ,83,140,63,2.4,47,36
2014-01-22,195,÷–∂»Œ€»æ,147,195,108,2.7,66,46
2014-01-23,258,÷ÿ∂»Œ€»æ,208,264,119,3.1,82,54
