»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,70,¡º,44,90,30,1.9,18,56
2015-01-01,57,¡º,31,64,27,2,27,51
2015-01-02,58,¡º,37,66,29,2.1,27,51
2015-01-03,64,¡º,46,78,33,2.2,36,52
2015-01-04,69,¡º,50,86,34,2.1,35,63
2015-01-05,97,¡º,73,111,30,2.3,41,63
2015-01-06,169,÷–∂»Œ€»æ,128,145,30,2.4,28,54
2015-01-07,70,¡º,51,71,27,2.1,22,47
2015-01-08,91,¡º,68,98,29,2.2,25,52
2015-01-09,102,«·∂»Œ€»æ,77,114,31,2.3,31,53
2015-01-10,107,«·∂»Œ€»æ,81,122,32,2.3,38,57
2015-01-11,86,¡º,64,94,26,2.1,31,62
2015-01-12,115,«·∂»Œ€»æ,87,111,27,2.2,27,58
2015-01-13,54,¡º,38,53,20,2,34,68
2015-01-14,62,¡º,45,57,20,2.1,32,92
2015-01-15,70,¡º,51,70,20,2.1,23,58
2015-01-16,105,«·∂»Œ€»æ,79,102,23,2.2,25,58
2015-01-17,172,÷–∂»Œ€»æ,131,160,25,2.4,27,63
2015-01-18,129,«·∂»Œ€»æ,98,138,27,2.4,26,65
2015-01-19,89,¡º,67,113,29,2.1,26,66
2015-01-20,98,¡º,73,128,34,2.2,39,67
2015-01-21,113,«·∂»Œ€»æ,85,133,37,2.3,26,66
2015-01-22,139,«·∂»Œ€»æ,106,141,37,2.6,35,61
2015-01-23,141,«·∂»Œ€»æ,108,128,33,2.6,40,73
2015-01-24,197,÷–∂»Œ€»æ,148,175,35,2.6,64,82
2015-01-25,251,÷ÿ∂»Œ€»æ,201,201,37,3,50,87
2015-01-26,251,÷ÿ∂»Œ€»æ,201,207,23,2.8,41,55
2015-01-27,102,«·∂»Œ€»æ,77,82,24,2.2,24,99
2015-01-28,72,¡º,28,40,23,1.9,33,126
2015-01-29,75,¡º,25,34,28,2,37,130
2015-01-30,69,¡º,50,65,36,2.2,32,64
2015-01-31,65,¡º,47,65,34,1.9,26,65
2015-02-01,45,”≈,29,45,27,1.8,25,66
2015-02-02,59,¡º,42,62,26,1.9,31,66
2015-02-03,87,¡º,65,94,31,1.7,41,72
2015-02-04,115,«·∂»Œ€»æ,87,113,35,1.7,29,53
2015-02-05,93,¡º,70,100,34,1.9,30,53
2015-02-06,53,¡º,33,55,28,1.7,30,45
2015-02-07,57,¡º,39,63,29,1.8,30,52
