»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,54,¡º,18,58,27,0.6,41,93
2015-01-01,56,¡º,39,62,49,0.9,60,99
2015-01-02,73,¡º,54,65,49,0.8,61,106
2015-01-03,87,¡º,65,74,45,1.1,59,94
2015-01-04,98,¡º,73,93,54,1.2,59,101
2015-01-05,176,÷–∂»Œ€»æ,133,149,56,1.8,72,92
2015-01-06,88,¡º,66,89,54,1.3,56,86
2015-01-07,70,¡º,49,90,50,1.1,55,79
2015-01-08,105,«·∂»Œ€»æ,79,128,69,1.5,57,95
2015-01-09,129,«·∂»Œ€»æ,98,144,67,1.7,68,92
2015-01-10,130,«·∂»Œ€»æ,99,144,80,1.9,72,93
2015-01-11,108,«·∂»Œ€»æ,81,105,43,1.3,50,108
2015-01-12,45,”≈,29,43,16,0.6,35,89
2015-01-13,47,”≈,26,37,17,0.6,31,93
2015-01-14,57,¡º,41,54,23,0.8,42,91
2015-01-15,70,¡º,51,69,29,0.8,42,88
2015-01-16,114,«·∂»Œ€»æ,86,115,39,1,41,100
2015-01-17,79,¡º,58,91,43,0.9,48,97
2015-01-18,87,¡º,65,117,38,0.9,49,123
2015-01-19,79,¡º,57,108,46,1.1,50,103
2015-01-20,108,«·∂»Œ€»æ,81,100,37,0.9,52,93
2015-01-21,153,÷–∂»Œ€»æ,117,137,47,1.4,56,100
2015-01-22,123,«·∂»Œ€»æ,93,112,51,1.3,53,91
2015-01-23,145,«·∂»Œ€»æ,111,133,84,1.3,45,104
2015-01-24,219,÷ÿ∂»Œ€»æ,169,184,51,1.5,49,97
2015-01-25,193,÷–∂»Œ€»æ,145,146,42,1.5,52,95
2015-01-26,183,÷–∂»Œ€»æ,138,155,49,1.3,42,105
2015-01-27,85,¡º,63,78,36,0.8,33,90
2015-01-28,51,¡º,36,44,23,0.7,24,93
2015-01-29,97,¡º,38,47,29,0.8,19,156
2015-01-30,108,«·∂»Œ€»æ,81,95,50,1.1,28,99
2015-01-31,67,¡º,49,62,36,0.9,27,67
2015-02-01,63,¡º,45,58,28,0.8,23,67
2015-02-02,86,¡º,64,83,27,1,29,76
2015-02-03,125,«·∂»Œ€»æ,95,116,37,1.2,33,74
2015-02-04,170,÷–∂»Œ€»æ,129,160,56,1.4,34,71
2015-02-05,70,¡º,51,79,51,1.1,35,73
2015-02-06,97,¡º,73,98,45,1.4,34,96
2015-02-07,103,«·∂»Œ€»æ,78,96,52,1.1,33,85
2015-02-08,52,¡º,32,54,36,0.8,23,84
2015-02-09,67,¡º,49,64,38,0.8,31,90
2015-02-10,72,¡º,52,69,36,0.9,29,106
2015-02-11,98,¡º,74,99,54,1.1,25,144
2015-02-12,180,÷–∂»Œ€»æ,136,155,78,1.7,37,111
2015-02-13,159,÷–∂»Œ€»æ,122,127,44,1.6,31,114
2015-02-14,154,÷–∂»Œ€»æ,118,136,46,1.8,36,106
2015-02-15,165,÷–∂»Œ€»æ,125,109,38,1.8,30,82
2015-02-16,181,÷–∂»Œ€»æ,137,150,37,1.8,24,107
2015-02-17,143,«·∂»Œ€»æ,109,139,30,1.4,22,133
2015-02-18,72,¡º,52,68,22,0.7,16,111
2015-02-19,66,¡º,48,54,22,0.5,14,104
2015-02-20,61,¡º,28,39,20,0.4,12,113
2015-02-21,78,¡º,58,58,34,0.8,22,102
2015-02-22,123,«·∂»Œ€»æ,94,119,51,1.1,18,120
2015-02-23,72,¡º,49,86,61,0.8,19,126
2015-02-24,85,¡º,63,83,52,1,19,134
2015-02-25,85,¡º,63,82,35,1.1,20,121
2015-02-26,59,¡º,42,58,15,0.7,17,81
2015-02-27,48,”≈,33,48,14,0.5,15,72
2015-02-28,42,”≈,21,30,15,0.5,16,84
2015-03-01,75,¡º,50,52,38,0.8,26,130
2015-03-02,70,¡º,51,64,29,0.8,22,82
2015-03-03,71,¡º,49,92,31,0.8,23,81
2015-03-04,48,”≈,23,48,22,0.6,20,76
2015-03-05,51,¡º,35,53,30,0.6,20,71
2015-03-06,68,¡º,49,60,23,0.7,24,86
2015-03-07,73,¡º,54,66,29,0.7,23,86
2015-03-08,80,¡º,59,72,24,0.8,25,83
2015-03-09,104,«·∂»Œ€»æ,78,116,42,1.1,31,58
2015-03-10,50,”≈,27,50,20,0.5,17,89
2015-03-11,82,¡º,60,105,38,0.7,25,97
2015-03-12,100,¡º,75,123,18,0.8,18,95
2015-03-13,139,«·∂»Œ€»æ,106,133,25,1,22,81
2015-03-14,119,«·∂»Œ€»æ,90,121,21,0.7,18,75
2015-03-15,137,«·∂»Œ€»æ,105,125,21,0.9,25,62
2015-03-16,152,÷–∂»Œ€»æ,116,126,20,1,24,59
2015-03-17,95,¡º,71,83,12,1,22,52
2015-03-18,61,¡º,44,50,11,0.8,16,79
2015-03-19,91,¡º,68,70,21,0.9,20,96
2015-03-20,104,«·∂»Œ€»æ,78,92,30,1.1,22,82
2015-03-21,78,¡º,57,95,34,1.3,24,76
2015-03-22,98,¡º,73,141,36,1.6,28,87
2015-03-23,66,¡º,29,83,16,0.5,18,70
2015-03-24,43,”≈,26,43,23,0.6,21,80
2015-03-25,52,¡º,34,54,29,0.6,20,101
2015-03-26,40,”≈,28,37,18,0.5,18,78
2015-03-27,55,¡º,33,42,18,0.6,23,92
2015-03-28,84,¡º,62,76,21,0.9,22,92
2015-03-29,123,«·∂»Œ€»æ,94,138,36,1.4,30,93
2015-03-30,94,¡º,70,130,28,1,19,93
2015-03-31,71,¡º,52,66,19,1,20,81
2015-04-01,55,¡º,39,47,12,0.8,14,59
2015-04-02,38,”≈,27,33,20,0.8,16,74
2015-04-03,73,¡º,53,60,23,0.9,21,74
2015-04-04,58,¡º,41,37,16,0.7,15,73
2015-04-05,107,«·∂»Œ€»æ,81,76,34,1.1,27,59
2015-04-06,121,«·∂»Œ€»æ,92,96,30,1.2,21,60
2015-04-07,36,”≈,21,36,20,0.4,18,58
2015-04-08,56,¡º,40,59,67,0.8,26,96
2015-04-09,80,¡º,59,72,115,0.7,26,118
2015-04-10,80,¡º,59,80,34,0.8,30,109
2015-04-11,72,¡º,53,68,34,0.7,24,117
2015-04-12,62,¡º,44,73,27,0.7,26,88
2015-04-13,42,”≈,27,42,21,0.6,19,74
2015-04-14,50,”≈,35,48,25,0.7,18,91
2015-04-15,51,¡º,30,53,22,0.7,17,81
2015-04-16,110,«·∂»Œ€»æ,42,170,21,0.5,24,76
2015-04-17,117,«·∂»Œ€»æ,55,184,27,0.5,28,108
2015-04-18,94,¡º,61,138,27,0.5,19,121
2015-04-19,56,¡º,40,55,25,0.4,18,61
2015-04-20,54,¡º,38,58,33,0.4,29,78
2015-04-21,72,¡º,53,79,44,0.5,52,100
2015-04-22,58,¡º,40,66,34,0.4,28,98
2015-04-23,57,¡º,36,54,36,0.5,31,108
2015-04-24,69,¡º,34,56,32,0.7,34,123
2015-04-25,84,¡º,62,75,43,0.7,34,85
2015-04-26,88,¡º,66,90,34,0.7,48,109
2015-04-27,89,¡º,66,108,40,0.8,36,68
2015-04-28,89,¡º,66,103,19,0.8,28,30
2015-04-29,106,«·∂»Œ€»æ,80,123,24,0.9,28,60
2015-04-30,62,¡º,44,69,20,0.4,27,86
2015-05-01,73,¡º,53,73,22,0.5,22,85
2015-05-02,58,¡º,41,61,14,0.5,23,74
2015-05-03,67,¡º,49,73,16,0.6,26,52
2015-05-04,63,¡º,38,77,20,0.5,22,51
2015-05-05,63,¡º,40,76,23,0.6,28,101
2015-05-06,74,¡º,54,86,19,0.6,33,97
2015-05-07,59,¡º,42,66,23,0.5,28,87
2015-05-08,71,¡º,52,66,15,0.7,25,84
2015-05-09,65,¡º,47,66,16,0.3,22,85
2015-05-10,58,¡º,41,62,16,0.3,18,80
2015-05-11,60,¡º,43,66,13,0.3,17,79
2015-05-12,57,¡º,33,63,13,0.2,22,66
2015-05-13,65,¡º,47,75,13,0.2,28,66
2015-05-14,73,¡º,53,68,13,0.4,21,54
2015-05-15,87,¡º,65,100,13,0.5,23,80
2015-05-16,68,¡º,49,62,17,0.3,26,87
2015-05-17,84,¡º,62,79,26,0.5,25,101
2015-05-18,71,¡º,52,69,15,0.5,23,70
2015-05-19,81,¡º,60,84,16,0.6,20,105
2015-05-20,67,¡º,47,83,19,0.4,25,103
2015-05-21,56,¡º,40,56,20,0.3,31,97
2015-05-22,60,¡º,43,66,21,0.5,38,100
2015-05-23,76,¡º,56,85,18,0.5,35,92
2015-05-24,104,«·∂»Œ€»æ,78,118,16,0.5,29,133
2015-05-25,112,«·∂»Œ€»æ,84,136,24,0.5,31,124
2015-05-26,85,¡º,63,108,35,0.6,32,120
2015-05-27,76,¡º,56,85,32,0.7,29,113
2015-05-28,56,¡º,37,61,15,0.4,28,74
2015-05-29,57,¡º,39,64,18,0.5,63,58
2015-05-30,89,¡º,66,124,30,1.1,40,94
2015-05-31,81,¡º,49,112,43,0.6,73,100
2015-06-01,75,¡º,45,100,39,0.6,22,113
2015-06-02,91,¡º,68,108,18,0.9,23,97
2015-06-03,72,¡º,53,82,19,0.7,21,78
2015-06-04,56,¡º,32,62,22,0.7,26,64
2015-06-05,71,¡º,43,92,10,0.5,18,50
2015-06-06,77,¡º,49,103,8,0.6,21,58
2015-06-07,88,¡º,65,123,11,0.7,22,60
2015-06-08,100,¡º,75,138,16,0.9,21,64
2015-06-09,216,÷ÿ∂»Œ€»æ,166,218,11,1.3,18,74
2015-06-10,87,¡º,65,82,13,0.9,19,73
2015-06-11,140,«·∂»Œ€»æ,107,172,9,0.9,20,58
2015-06-12,395,—œ÷ÿŒ€»æ,345,92,14,2.2,23,70
2015-06-13,273,÷ÿ∂»Œ€»æ,223,76,16,1.5,19,51
2015-06-14,99,¡º,74,92,19,1.1,19,31
2015-06-15,215,÷ÿ∂»Œ€»æ,165,72,7,1.5,20,27
2015-06-16,52,¡º,36,21,6,0.6,21,39
2015-06-17,49,”≈,34,21,9,0.6,21,51
2015-06-18,39,”≈,27,39,11,0.6,19,45
2015-06-19,49,”≈,34,49,14,0.7,21,60
2015-06-20,65,¡º,47,56,11,0.8,20,55
2015-06-21,64,¡º,46,59,15,0.7,19,59
2015-06-22,47,”≈,33,44,11,0.6,19,57
2015-06-23,56,¡º,40,49,11,0.6,18,49
2015-06-24,49,”≈,10,26,12,0.4,22,97
2015-06-25,30,”≈,8,23,8,0.6,20,59
2015-06-26,26,”≈,15,26,11,0.7,21,30
