»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,202,÷ÿ∂»Œ€»æ,152,231,73,1.9,118,42
2013-12-03,327,—œ÷ÿŒ€»æ,258,442,90,3.3,146,36
2013-12-04,309,—œ÷ÿŒ€»æ,259,347,74,3.1,106,81
2013-12-05,265,÷ÿ∂»Œ€»æ,215,276,48,2.6,79,58
2013-12-06,141,«·∂»Œ€»æ,108,170,52,1.6,70,32
2013-12-07,309,—œ÷ÿŒ€»æ,259,326,31,2.3,72,35
2013-12-08,223,÷ÿ∂»Œ€»æ,173,248,23,1.8,54,25
2013-12-09,200,÷–∂»Œ€»æ,150,229,56,1.6,63,43
2013-12-10,118,«·∂»Œ€»æ,89,156,73,1.5,69,43
2013-12-11,138,«·∂»Œ€»æ,105,185,71,1.5,69,32
2013-12-12,181,÷–∂»Œ€»æ,137,219,56,1.6,71,35
2013-12-13,97,¡º,73,138,42,1.8,59,42
2013-12-14,199,÷–∂»Œ€»æ,149,221,57,1.9,86,33
2013-12-15,234,÷ÿ∂»Œ€»æ,184,260,69,2.3,81,35
2013-12-16,205,÷ÿ∂»Œ€»æ,155,223,48,2.3,73,22
2013-12-17,147,«·∂»Œ€»æ,113,162,42,1.9,59,32
2013-12-18,103,«·∂»Œ€»æ,78,119,56,1.8,55,25
2013-12-19,169,÷–∂»Œ€»æ,129,192,73,2.4,67,34
2013-12-20,198,÷–∂»Œ€»æ,149,227,152,2.7,90,27
2013-12-21,93,¡º,70,110,72,1.7,54,51
2013-12-22,178,÷–∂»Œ€»æ,134,193,62,2.2,61,33
2013-12-23,215,÷ÿ∂»Œ€»æ,165,241,86,2.6,82,35
2013-12-24,270,÷ÿ∂»Œ€»æ,220,310,212,3.6,122,16
2013-12-25,338,—œ÷ÿŒ€»æ,288,390,165,3.9,130,17
2013-12-26,190,÷–∂»Œ€»æ,143,227,91,2.1,64,43
2013-12-27,70,¡º,39,90,71,1.4,48,41
2013-12-28,106,«·∂»Œ€»æ,80,142,75,1.6,66,28
2013-12-29,127,«·∂»Œ€»æ,97,177,91,1.8,71,43
2013-12-30,122,«·∂»Œ€»æ,93,163,61,1.4,67,43
2013-12-31,114,«·∂»Œ€»æ,85,178,50,1.4,61,51
2014-01-01,128,«·∂»Œ€»æ,80,206,68,1.9,66,41
2014-01-02,182,÷–∂»Œ€»æ,137,248,76,2.4,96,38
2014-01-03,276,÷ÿ∂»Œ€»æ,226,358,112,3.1,134,24
2014-01-04,84,¡º,63,113,55,1.8,54,34
2014-01-05,145,«·∂»Œ€»æ,111,180,49,2,75,25
2014-01-06,110,«·∂»Œ€»æ,83,126,38,1.7,42,51
2014-01-07,65,¡º,47,71,22,1.4,32,40
2014-01-08,75,¡º,55,83,35,1.7,38,45
2014-01-09,62,¡º,43,73,32,1.5,22,46
2014-01-10,97,¡º,73,117,43,1.7,37,45
2014-01-11,133,«·∂»Œ€»æ,101,151,39,1.9,39,61
2014-01-12,188,÷–∂»Œ€»æ,142,207,67,2.4,51,33
2014-01-13,73,¡º,53,97,39,1.9,31,40
2014-01-14,84,¡º,63,95,30,1.5,31,50
2014-01-15,137,«·∂»Œ€»æ,105,155,52,2,40,60
