»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,144,«·∂»Œ€»æ,110,152,34,1.6,71,52
2014-01-01,150,«·∂»Œ€»æ,115,156,41,1.3,62,48
2014-01-02,160,÷–∂»Œ€»æ,122,171,42,1.4,72,38
2014-01-03,202,÷ÿ∂»Œ€»æ,152,198,58,1.7,76,39
2014-01-04,283,÷ÿ∂»Œ€»æ,233,276,67,2,79,34
2014-01-05,306,—œ÷ÿŒ€»æ,256,287,47,1.8,74,52
2014-01-06,329,—œ÷ÿŒ€»æ,279,325,62,2,91,46
2014-01-07,276,÷ÿ∂»Œ€»æ,226,237,42,2.1,73,48
2014-01-08,118,«·∂»Œ€»æ,90,52,20,1.5,40,48
2014-01-09,69,¡º,50,66,23,0.9,36,40
2014-01-10,126,«·∂»Œ€»æ,96,124,38,1.2,44,45
2014-01-11,125,«·∂»Œ€»æ,95,89,30,1.2,50,43
2014-01-12,81,¡º,60,29,22,1.2,43,47
2014-01-13,140,«·∂»Œ€»æ,107,118,34,1.4,48,49
2014-01-14,131,«·∂»Œ€»æ,100,126,35,1.2,65,48
2014-01-15,148,«·∂»Œ€»æ,113,128,37,1.2,54,70
2014-01-16,155,÷–∂»Œ€»æ,118,146,37,1.1,69,64
2014-01-17,196,÷–∂»Œ€»æ,147,187,44,1.4,85,62
2014-01-18,269,÷ÿ∂»Œ€»æ,219,224,52,1.6,68,75
2014-01-19,295,÷ÿ∂»Œ€»æ,245,279,50,1.8,78,75
2014-01-20,203,÷ÿ∂»Œ€»æ,153,199,44,1.4,55,57
2014-01-21,95,¡º,71,138,43,0.9,45,51
2014-01-22,85,¡º,63,91,41,0.8,59,55
2014-01-23,103,«·∂»Œ€»æ,77,113,36,1.1,65,62
2014-01-24,76,¡º,55,87,27,1,56,59
2014-01-25,136,«·∂»Œ€»æ,104,169,41,1,53,69
2014-01-26,103,«·∂»Œ€»æ,77,105,21,0.7,30,59
2014-01-27,67,¡º,48,72,19,0.8,44,49
2014-01-28,119,«·∂»Œ€»æ,90,115,29,1.2,59,40
2014-01-29,104,«·∂»Œ€»æ,78,96,21,0.8,44,49
2014-01-30,213,÷ÿ∂»Œ€»æ,163,243,25,1.4,40,71
2014-01-31,394,—œ÷ÿŒ€»æ,344,394,13,1.5,37,55
2014-02-01,120,«·∂»Œ€»æ,91,108,11,1,30,69
2014-02-02,207,÷ÿ∂»Œ€»æ,157,183,12,1.5,44,49
2014-02-03,108,«·∂»Œ€»æ,81,99,8,1.3,25,59
2014-02-04,47,”≈,29,47,11,0.6,15,66
2014-02-05,43,”≈,28,43,12,0.7,21,67
2014-02-06,54,¡º,38,29,10,0.8,31,41
2014-02-07,25,”≈,13,5,7,0.9,16,49
2014-02-08,49,”≈,35,41,12,0.9,18,55
2014-02-09,88,¡º,66,28,23,1,25,63
2014-02-10,54,¡º,38,26,14,0.7,14,71
2014-02-11,68,¡º,50,52,17,0.8,25,74
2014-02-12,98,¡º,73,58,25,1.1,51,54
2014-02-13,76,¡º,56,52,19,1.1,55,67
2014-02-14,98,¡º,74,86,20,1,39,73
2014-02-15,143,«·∂»Œ€»æ,110,121,39,1.1,44,83
2014-02-16,99,¡º,74,44,28,1,58,78
2014-02-17,72,¡º,52,39,26,1.2,54,48
2014-02-18,32,”≈,22,14,15,0.9,51,59
2014-02-19,66,¡º,48,52,16,1,40,40
2014-02-20,64,¡º,46,51,16,0.8,22,47
2014-02-21,139,«·∂»Œ€»æ,107,137,33,1.1,45,57
2014-02-22,188,÷–∂»Œ€»æ,141,171,40,1.1,48,59
2014-02-23,115,«·∂»Œ€»æ,87,90,19,0.7,33,42
2014-02-24,164,÷–∂»Œ€»æ,125,126,26,1.1,52,42
2014-02-25,65,¡º,47,52,28,1.2,62,51
2014-02-26,76,¡º,56,67,20,1.3,51,34
2014-02-27,111,«·∂»Œ€»æ,84,112,36,1.3,58,37
2014-02-28,103,«·∂»Œ€»æ,77,87,35,1,47,43
2014-03-01,33,”≈,23,30,14,0.9,38,45
2014-03-02,89,¡º,66,100,31,1.1,34,53
2014-03-03,79,¡º,58,94,41,0.8,31,66
2014-03-04,60,¡º,43,67,17,0.9,40,51
2014-03-05,95,¡º,71,103,24,1,37,55
2014-03-06,43,”≈,30,43,28,0.7,30,58
2014-03-07,54,¡º,37,57,26,0.7,40,48
2014-03-08,51,¡º,36,43,22,0.7,34,61
2014-03-09,72,¡º,52,74,21,0.9,35,47
2014-03-10,114,«·∂»Œ€»æ,86,122,35,1,47,96
2014-03-11,136,«·∂»Œ€»æ,104,156,32,1.1,43,67
2014-03-12,60,¡º,42,69,23,1,41,51
2014-03-13,60,¡º,40,71,17,0.8,22,57
2014-03-14,68,¡º,39,86,25,1,45,55
2014-03-15,78,¡º,42,105,31,1,51,54
2014-03-16,83,¡º,51,116,33,1,49,64
2014-03-17,69,¡º,39,88,28,1.1,44,58
2014-03-18,84,¡º,57,118,39,1,40,74
2014-03-19,137,«·∂»Œ€»æ,105,166,18,1,44,71
2014-03-20,77,¡º,52,104,33,1,43,43
2014-03-21,74,¡º,47,97,25,1,44,59
2014-03-22,73,¡º,39,96,31,0.9,47,74
2014-03-23,80,¡º,45,111,38,1,56,69
2014-03-24,67,¡º,36,85,28,0.9,42,61
2014-03-25,73,¡º,43,96,33,1.1,52,44
2014-03-26,81,¡º,58,112,22,1.3,40,81
2014-03-27,115,«·∂»Œ€»æ,87,164,36,1.3,46,100
2014-03-28,68,¡º,40,85,22,1.1,48,60
2014-03-29,48,”≈,19,48,17,0.9,41,34
2014-03-30,89,¡º,57,128,23,1.1,31,87
2014-03-31,89,¡º,66,117,34,1,33,77
2014-04-01,75,¡º,52,101,26,0.9,50,41
2014-04-02,83,¡º,59,117,38,0.9,41,60
2014-04-03,76,¡º,54,102,21,0.8,51,48
2014-04-04,64,¡º,29,79,20,0.7,33,70
2014-04-05,81,¡º,47,113,28,0.9,40,78
2014-04-06,54,¡º,20,58,29,0.5,29,64
2014-04-07,60,¡º,39,70,20,0.8,34,55
2014-04-08,81,¡º,60,107,23,1.1,39,55
2014-04-09,129,«·∂»Œ€»æ,98,174,37,1.2,45,102
2014-04-10,90,¡º,67,128,37,1,42,107
2014-04-11,93,¡º,69,136,35,1,63,77
2014-04-12,104,«·∂»Œ€»æ,79,147,22,1.2,57,49
2014-04-13,43,”≈,27,43,8,0.8,17,53
2014-04-14,68,¡º,46,86,26,0.7,24,95
2014-04-15,74,¡º,44,98,30,0.8,41,81
2014-04-16,72,¡º,45,93,22,1,59,55
2014-04-17,95,¡º,71,137,23,1.3,56,42
2014-04-18,98,¡º,73,125,29,1.2,45,46
2014-04-19,51,¡º,32,52,15,0.7,29,47
2014-04-20,59,¡º,35,68,19,0.8,32,47
2014-04-21,53,¡º,31,55,25,0.8,33,52
2014-04-22,45,”≈,24,45,14,0.9,31,58
2014-04-23,68,¡º,42,85,25,1,37,76
2014-04-24,71,¡º,46,92,27,1,46,68
2014-04-25,53,¡º,33,56,21,0.9,38,49
2014-04-26,70,¡º,39,90,22,1.2,55,44
2014-04-27,36,”≈,19,36,11,1.4,31,41
2014-04-28,53,¡º,26,56,14,0.9,21,69
2014-04-29,69,¡º,38,87,22,1,29,76
2014-04-30,94,¡º,61,138,32,1.4,46,102
2014-05-01,85,¡º,60,120,24,1.2,40,85
2014-05-02,90,¡º,44,130,25,1.1,32,89
2014-05-03,81,¡º,41,112,32,1,23,91
2014-05-04,67,¡º,39,83,16,1,40,65
2014-05-05,60,¡º,29,70,24,0.6,30,88
2014-05-06,64,¡º,33,78,26,0.6,40,75
2014-05-07,65,¡º,34,81,24,0.8,39,82
2014-05-08,88,¡º,60,126,32,1,36,114
2014-05-09,93,¡º,67,135,42,0.9,45,95
2014-05-10,53,¡º,29,56,12,0.7,30,53
2014-05-11,43,”≈,22,43,14,1,30,34
2014-05-12,68,¡º,40,85,21,1,28,92
2014-05-13,78,¡º,57,104,21,1,46,63
2014-05-14,56,¡º,39,61,18,1.1,35,43
2014-05-15,84,¡º,54,118,24,1.2,35,89
2014-05-16,104,«·∂»Œ€»æ,78,151,28,1.3,40,92
2014-05-17,86,¡º,64,99,13,1.3,49,49
2014-05-18,58,¡º,42,52,11,0.8,29,52
2014-05-19,163,÷–∂»Œ€»æ,124,73,22,0.8,34,60
2014-05-20,95,¡º,71,70,16,0.9,30,73
2014-05-21,115,«·∂»Œ€»æ,87,140,27,1.1,35,105
2014-05-22,68,¡º,50,65,16,0.7,22,89
2014-05-23,74,¡º,54,29,18,0.5,26,50
2014-05-24,80,¡º,59,56,18,0.7,31,49
2014-05-25,74,¡º,54,82,20,1,33,35
2014-05-26,80,¡º,55,111,17,1.1,36,85
2014-05-27,106,«·∂»Œ€»æ,80,148,23,1,32,72
2014-05-28,125,«·∂»Œ€»æ,95,183,25,0.9,39,88
2014-05-29,140,«·∂»Œ€»æ,107,169,28,1.1,38,84
2014-05-30,83,¡º,61,97,18,0.9,30,64
2014-05-31,51,¡º,29,52,12,0.8,33,42
2014-06-01,46,”≈,29,46,12,1.1,37,30
2014-06-02,44,”≈,31,43,11,0.9,16,63
2014-06-03,60,¡º,43,63,14,0.8,21,72
