»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,156,÷–∂»Œ€»æ,80,262,112,1.7,71,87
2014-01-01,134,«·∂»Œ€»æ,91,218,174,2,73,40
2014-01-02,158,÷–∂»Œ€»æ,121,229,166,2.2,76,44
2014-01-03,165,÷–∂»Œ€»æ,126,220,146,2.2,64,35
2014-01-04,69,¡º,50,87,67,1.2,45,44
2014-01-05,196,÷–∂»Œ€»æ,147,212,130,2.1,74,16
2014-01-06,207,÷ÿ∂»Œ€»æ,157,212,76,1.7,57,34
2014-01-07,228,÷ÿ∂»Œ€»æ,178,234,107,2.4,77,14
2014-01-08,54,¡º,32,57,44,0.7,25,51
2014-01-09,124,«·∂»Œ€»æ,94,136,133,1.7,63,31
2014-01-10,218,÷ÿ∂»Œ€»æ,168,225,141,2.4,72,32
2014-01-11,272,÷ÿ∂»Œ€»æ,222,288,141,2.7,75,40
2014-01-12,164,÷–∂»Œ€»æ,125,178,115,1.9,56,57
2014-01-13,77,¡º,57,90,62,1.1,49,54
2014-01-14,236,÷ÿ∂»Œ€»æ,186,249,172,2.6,81,31
2014-01-15,311,—œ÷ÿŒ€»æ,261,322,107,2.7,79,42
2014-01-16,215,÷ÿ∂»Œ€»æ,165,207,54,1.7,65,46
2014-01-17,243,÷ÿ∂»Œ€»æ,193,228,85,2.1,61,26
2014-01-18,251,÷ÿ∂»Œ€»æ,201,250,210,2.6,77,33
2014-01-19,269,÷ÿ∂»Œ€»æ,219,289,166,2.3,86,36
2014-01-20,201,÷ÿ∂»Œ€»æ,151,275,110,1.8,53,55
2014-01-21,71,¡º,52,91,107,1.2,46,29
2014-01-22,88,¡º,66,107,96,1.2,53,50
2014-01-23,119,«·∂»Œ€»æ,90,150,86,1.2,51,65
2014-01-24,229,÷ÿ∂»Œ€»æ,179,244,125,2.4,82,38
2014-01-25,75,¡º,55,91,56,0.8,26,60
2014-01-26,62,¡º,34,73,69,0.9,32,53
2014-01-27,84,¡º,62,110,122,1.2,45,60
2014-01-28,71,¡º,48,92,57,0.8,27,59
2014-01-29,99,¡º,74,116,75,1.1,27,74
2014-01-30,211,÷ÿ∂»Œ€»æ,161,212,83,1.9,39,69
2014-01-31,249,÷ÿ∂»Œ€»æ,199,251,77,1.7,29,59
2014-02-01,210,÷ÿ∂»Œ€»æ,160,243,65,2.1,27,49
2014-02-02,216,÷ÿ∂»Œ€»æ,166,244,117,2.6,39,37
2014-02-03,59,¡º,18,68,50,0.6,17,61
2014-02-04,53,¡º,29,56,77,0.8,22,58
2014-02-05,45,”≈,26,45,53,0.6,21,51
2014-02-06,39,”≈,27,35,37,0.6,14,61
2014-02-07,36,”≈,23,36,49,0.8,18,49
2014-02-08,83,¡º,62,84,79,1.2,33,46
2014-02-09,38,”≈,23,38,52,0.7,15,58
2014-02-10,44,”≈,29,44,88,0.8,29,59
2014-02-11,108,«·∂»Œ€»æ,81,102,166,1.5,55,49
2014-02-12,181,÷–∂»Œ€»æ,137,168,172,2.2,66,54
2014-02-13,124,«·∂»Œ€»æ,94,119,85,1.4,37,177
2014-02-14,154,÷–∂»Œ€»æ,118,149,107,1.4,55,67
2014-02-15,221,÷ÿ∂»Œ€»æ,171,196,89,1.6,41,88
2014-02-16,223,÷ÿ∂»Œ€»æ,173,207,94,1.9,48,90
2014-02-17,126,«·∂»Œ€»æ,95,127,63,1.2,31,71
2014-02-18,62,¡º,45,65,55,1,28,64
2014-02-19,118,«·∂»Œ€»æ,90,108,55,1.2,39,64
2014-02-20,164,÷–∂»Œ€»æ,125,150,72,1.5,42,65
2014-02-21,198,÷–∂»Œ€»æ,148,185,67,1.3,34,81
2014-02-22,145,«·∂»Œ€»æ,111,149,73,1.2,37,94
2014-02-23,134,«·∂»Œ€»æ,102,134,81,1.2,42,74
2014-02-24,180,÷–∂»Œ€»æ,136,176,65,1.4,40,151
2014-02-25,200,÷–∂»Œ€»æ,150,191,63,1.3,41,106
2014-02-26,159,÷–∂»Œ€»æ,121,156,68,1.3,45,86
2014-02-27,118,«·∂»Œ€»æ,89,105,46,1.2,28,73
2014-02-28,55,¡º,30,59,51,0.9,27,71
2014-03-01,125,«·∂»Œ€»æ,95,134,116,1.3,42,82
2014-03-02,161,÷–∂»Œ€»æ,123,167,95,1.6,56,83
2014-03-03,161,÷–∂»Œ€»æ,123,177,73,1.3,42,93
2014-03-04,113,«·∂»Œ€»æ,85,111,55,1.1,33,78
2014-03-05,144,«·∂»Œ€»æ,110,134,70,1.2,40,78
2014-03-06,132,«·∂»Œ€»æ,101,141,98,1.5,53,63
2014-03-07,153,÷–∂»Œ€»æ,117,166,99,1.4,57,65
2014-03-08,243,÷ÿ∂»Œ€»æ,193,245,111,1.9,66,73
2014-03-09,238,÷ÿ∂»Œ€»æ,188,239,105,2.1,54,80
2014-03-10,199,÷–∂»Œ€»æ,149,206,72,1.6,48,118
2014-03-11,178,÷–∂»Œ€»æ,134,188,54,1.3,28,103
2014-03-12,88,¡º,65,119,40,0.7,29,74
2014-03-13,94,¡º,70,126,123,1.4,63,71
2014-03-14,98,¡º,65,145,80,1.1,62,73
2014-03-15,102,«·∂»Œ€»æ,65,153,62,0.9,57,93
2014-03-16,88,¡º,64,126,42,0.8,32,121
2014-03-17,145,«·∂»Œ€»æ,100,240,56,1,46,129
2014-03-18,151,÷–∂»Œ€»æ,78,251,47,1,34,98
2014-03-19,87,¡º,65,96,45,0.9,34,93
2014-03-20,75,¡º,55,100,39,0.9,40,77
2014-03-21,93,¡º,64,136,83,1.1,63,77
2014-03-22,108,«·∂»Œ€»æ,82,154,76,1,46,106
2014-03-23,215,÷ÿ∂»Œ€»æ,165,255,86,1.4,51,115
2014-03-24,131,«·∂»Œ€»æ,100,164,47,0.9,38,142
2014-03-25,226,÷ÿ∂»Œ€»æ,176,245,66,1.5,55,113
2014-03-26,261,÷ÿ∂»Œ€»æ,211,287,91,2,51,146
2014-03-27,200,÷–∂»Œ€»æ,150,218,45,1.3,37,139
2014-03-28,124,«·∂»Œ€»æ,94,140,66,1,33,146
2014-03-29,116,«·∂»Œ€»æ,88,118,75,0.9,33,90
2014-03-30,150,«·∂»Œ€»æ,115,188,69,1.6,58,151
2014-03-31,138,«·∂»Œ€»æ,106,187,55,1.2,49,124
2014-04-01,144,«·∂»Œ€»æ,110,196,87,1.2,52,138
2014-04-02,120,«·∂»Œ€»æ,91,166,46,0.9,32,134
2014-04-03,93,¡º,44,135,27,0.6,21,97
2014-04-04,118,«·∂»Œ€»æ,50,187,51,0.7,40,104
2014-04-05,78,¡º,33,106,31,0.5,27,85
2014-04-06,119,«·∂»Œ€»æ,86,187,118,1.2,71,88
2014-04-07,116,«·∂»Œ€»æ,88,166,71,0.9,44,120
2014-04-08,178,÷–∂»Œ€»æ,135,253,98,1.4,66,146
2014-04-09,156,÷–∂»Œ€»æ,119,220,64,1.3,42,157
2014-04-10,120,«·∂»Œ€»æ,91,162,65,1.2,37,130
2014-04-11,156,÷–∂»Œ€»æ,119,193,38,1,38,102
2014-04-12,169,÷–∂»Œ€»æ,129,197,70,1.2,45,78
2014-04-13,207,÷ÿ∂»Œ€»æ,157,218,156,1.3,41,169
2014-04-14,258,÷ÿ∂»Œ€»æ,208,292,107,1.6,51,199
2014-04-15,209,÷ÿ∂»Œ€»æ,159,269,81,1.5,51,125
2014-04-16,102,«·∂»Œ€»æ,63,155,46,0.6,34,132
2014-04-17,74,¡º,54,76,33,0.6,27,97
2014-04-18,67,¡º,49,75,31,0.6,19,98
2014-04-19,69,¡º,40,87,45,0.7,25,96
2014-04-20,114,«·∂»Œ€»æ,86,154,99,1,44,131
2014-04-21,97,¡º,73,119,44,0.8,36,145
2014-04-22,189,÷–∂»Œ€»æ,143,232,138,1.7,64,160
2014-04-23,127,«·∂»Œ€»æ,97,153,40,0.9,28,141
2014-04-24,87,¡º,56,124,61,0.7,38,143
2014-04-25,78,¡º,46,106,39,0.5,31,116
2014-04-26,52,¡º,37,52,23,0.5,26,102
2014-04-27,46,”≈,30,36,16,0.5,26,91
2014-04-28,66,¡º,40,82,39,0.8,29,98
2014-04-29,138,«·∂»Œ€»æ,106,209,132,1.9,73,183
2014-04-30,143,«·∂»Œ€»æ,109,193,82,1.4,57,189
2014-05-01,112,«·∂»Œ€»æ,80,152,49,1,33,173
2014-05-02,106,«·∂»Œ€»æ,61,161,67,0.9,31,150
2014-05-03,77,¡º,46,100,31,0.5,30,132
2014-05-04,82,¡º,44,114,33,0.5,24,116
2014-05-05,93,¡º,69,132,61,0.9,41,92
2014-05-06,98,¡º,57,146,45,0.6,22,139
2014-05-07,102,«·∂»Œ€»æ,72,155,41,0.8,22,140
2014-05-08,95,¡º,71,112,33,0.8,25,125
2014-05-09,74,¡º,35,98,57,0.5,28,120
2014-05-10,77,¡º,32,89,34,0.5,39,132
2014-05-11,53,¡º,37,52,32,0.9,48,104
2014-05-12,80,¡º,55,110,60,1.1,61,125
2014-05-13,95,¡º,50,114,42,0.9,33,154
2014-05-18,96,¡º,37,85,30,0.6,1,155
2014-05-19,148,«·∂»Œ€»æ,113,181,41,1.3,19,139
2014-05-20,143,«·∂»Œ€»æ,104,203,64,1.2,44,207
2014-05-21,155,÷–∂»Œ€»æ,118,206,38,1.2,42,208
2014-05-22,177,÷–∂»Œ€»æ,83,168,53,1.2,44,242
2014-05-23,107,«·∂»Œ€»æ,54,132,35,0.7,29,168
2014-05-24,60,¡º,29,50,50,0.6,28,112
2014-05-25,127,«·∂»Œ€»æ,92,204,75,1.1,50,134
2014-05-26,147,«·∂»Œ€»æ,78,245,165,1.3,72,144
2014-05-27,150,«·∂»Œ€»æ,62,251,64,0.6,37,145
2014-05-28,101,«·∂»Œ€»æ,31,90,76,0.7,39,161
2014-05-29,192,÷–∂»Œ€»æ,65,170,52,0.8,44,257
2014-05-30,204,÷ÿ∂»Œ€»æ,125,267,83,1.3,49,289
2014-05-31,200,÷–∂»Œ€»æ,127,275,77,1.2,43,265
2014-06-01,149,«·∂»Œ€»æ,42,88,29,0.5,19,214
2014-06-02,159,÷–∂»Œ€»æ,25,41,20,0.5,15,224
2014-06-03,157,÷–∂»Œ€»æ,33,52,31,0.5,20,222
2014-06-04,78,¡º,48,72,31,0.6,19,133
2014-06-05,113,«·∂»Œ€»æ,86,127,46,1,35,163
2014-06-06,176,÷–∂»Œ€»æ,121,186,46,1.3,38,241
2014-06-07,98,¡º,52,75,33,1,27,157
2014-06-08,121,«·∂»Œ€»æ,61,96,30,0.9,36,183
2014-06-09,97,¡º,45,60,24,0.6,25,156
2014-06-10,145,«·∂»Œ€»æ,111,149,36,0.9,31,188
2014-06-11,96,¡º,72,102,26,0.8,26,118
2014-06-12,146,«·∂»Œ€»æ,81,138,72,1.4,43,211
2014-06-13,79,¡º,41,75,36,0.7,31,135
2014-06-14,160,÷–∂»Œ€»æ,63,100,35,0.7,28,225
2014-06-15,144,«·∂»Œ€»æ,110,161,26,1.1,35,175
2014-06-16,161,÷–∂»Œ€»æ,123,149,18,1.1,23,135
2014-06-17,71,¡º,33,55,17,0.6,16,125
2014-06-18,141,«·∂»Œ€»æ,94,128,33,1.2,26,205
2014-06-19,180,÷–∂»Œ€»æ,136,183,46,1.6,32,166
2014-06-20,74,¡º,40,50,8,0.8,20,129
2014-06-21,72,¡º,52,69,12,0.7,16,74
2014-06-22,79,¡º,59,83,24,1,26,126
2014-06-23,108,«·∂»Œ€»æ,51,79,35,1.3,31,169
2014-06-24,141,«·∂»Œ€»æ,77,122,37,1.3,36,205
2014-06-25,121,«·∂»Œ€»æ,92,138,31,1.6,34,136
2014-06-26,175,÷–∂»Œ€»æ,132,184,32,1.5,30,197
2014-06-27,113,«·∂»Œ€»æ,85,134,35,1.3,42,153
2014-06-28,150,«·∂»Œ€»æ,58,109,56,1.2,70,215
2014-06-29,147,«·∂»Œ€»æ,76,133,53,1.2,34,212
2014-06-30,141,«·∂»Œ€»æ,71,149,129,1.4,44,205
2014-07-01,155,÷–∂»Œ€»æ,118,200,45,1.3,34,175
2014-07-02,91,¡º,68,104,29,0.9,13,139
2014-07-03,118,«·∂»Œ€»æ,48,78,36,0.7,14,180
2014-07-04,120,«·∂»Œ€»æ,91,151,71,1.5,42,152
2014-07-05,107,«·∂»Œ€»æ,65,102,27,0.9,29,168
2014-07-06,96,¡º,24,55,18,0.6,21,155
2014-07-07,119,«·∂»Œ€»æ,34,72,20,0.6,19,181
2014-07-08,184,÷–∂»Œ€»æ,85,149,50,1.2,23,249
2014-07-09,101,«·∂»Œ€»æ,26,72,42,0.9,29,161
2014-07-10,100,¡º,74,150,127,1.8,63,110
2014-07-11,204,÷ÿ∂»Œ€»æ,125,209,114,2.4,58,287
2014-07-12,223,÷ÿ∂»Œ€»æ,173,263,92,2,37,246
2014-07-13,202,÷ÿ∂»Œ€»æ,94,159,67,1.6,35,277
2014-07-14,152,÷–∂»Œ€»æ,79,133,43,1,23,217
2014-07-15,137,«·∂»Œ€»æ,56,92,43,0.8,16,201
2014-07-16,108,«·∂»Œ€»æ,74,127,24,0.8,29,169
2014-07-17,136,«·∂»Œ€»æ,79,124,21,0.9,16,200
2014-07-18,134,«·∂»Œ€»æ,66,109,28,0.9,19,197
2014-07-19,126,«·∂»Œ€»æ,65,112,40,1.2,27,189
2014-07-20,91,¡º,54,94,38,1,24,149
2014-07-21,86,¡º,55,100,28,1,16,143
2014-07-22,65,¡º,47,73,28,0.9,16,110
2014-07-23,67,¡º,48,78,36,1.2,25,113
2014-07-24,64,¡º,45,77,21,0.9,20,74
2014-07-25,49,”≈,14,27,19,0.7,15,98
2014-07-26,163,÷–∂»Œ€»æ,95,153,81,1.8,56,228
2014-07-27,168,÷–∂»Œ€»æ,107,155,36,1.3,32,233
2014-07-28,162,÷–∂»Œ€»æ,93,138,22,1.2,19,227
2014-07-29,133,«·∂»Œ€»æ,91,143,30,1.1,22,196
2014-07-30,93,¡º,69,105,28,0.9,22,149
2014-07-31,88,¡º,66,100,19,0.8,24,129
2014-08-01,52,¡º,26,53,23,0.5,18,77
2014-08-02,48,”≈,22,48,35,0.9,23,50
2014-08-03,89,¡º,47,85,66,1.2,29,147
2014-08-04,127,«·∂»Œ€»æ,85,139,46,1.3,29,190
2014-08-05,52,¡º,15,40,19,0.7,23,102
2014-08-06,66,¡º,48,80,53,1,41,116
2014-08-07,135,«·∂»Œ€»æ,71,113,41,1.5,39,199
2014-08-08,125,«·∂»Œ€»æ,51,88,30,1.2,36,187
2014-08-09,150,«·∂»Œ€»æ,79,133,81,1.3,50,215
2014-08-10,170,÷–∂»Œ€»æ,95,151,125,1.5,48,235
2014-08-11,181,÷–∂»Œ€»æ,137,224,103,2,59,243
2014-08-12,105,«·∂»Œ€»æ,61,109,31,1.1,35,165
2014-08-13,74,¡º,54,96,29,0.9,38,104
2014-08-14,140,«·∂»Œ€»æ,75,111,59,1.1,31,204
2014-08-15,140,«·∂»Œ€»æ,101,158,46,1.3,49,204
2014-08-16,156,÷–∂»Œ€»æ,101,162,62,1.2,38,221
2014-08-17,97,¡º,72,111,55,1.1,31,147
2014-08-18,107,«·∂»Œ€»æ,81,116,37,1.2,43,118
2014-08-19,94,¡º,70,104,57,1.5,41,145
2014-08-20,167,÷–∂»Œ€»æ,89,138,47,1.4,39,232
2014-08-21,174,÷–∂»Œ€»æ,114,182,64,1.6,41,239
2014-08-22,120,«·∂»Œ€»æ,91,151,37,1.2,33,180
2014-08-23,130,«·∂»Œ€»æ,97,153,35,1.2,27,193
2014-08-24,95,¡º,71,104,35,1.1,24,143
2014-08-25,101,«·∂»Œ€»æ,41,63,30,1.1,17,161
2014-08-26,118,«·∂»Œ€»æ,58,104,46,1.3,36,180
2014-08-27,124,«·∂»Œ€»æ,54,99,30,0.9,31,186
2014-08-28,160,÷–∂»Œ€»æ,78,139,73,1.4,39,225
2014-08-29,161,÷–∂»Œ€»æ,89,158,65,1.3,36,226
2014-08-30,117,«·∂»Œ€»æ,46,100,42,0.8,30,179
2014-08-31,107,«·∂»Œ€»æ,65,113,63,1,29,168
2014-09-01,79,¡º,35,79,35,0.9,28,135
2014-09-02,56,¡º,34,62,30,0.8,29,105
2014-09-03,48,”≈,32,48,33,0.7,21,93
2014-09-04,85,¡º,37,74,32,1.1,34,142
2014-09-05,134,«·∂»Œ€»æ,54,98,39,0.9,30,197
2014-09-06,172,÷–∂»Œ€»æ,85,138,56,1.3,28,237
2014-09-07,117,«·∂»Œ€»æ,89,153,50,1.4,35,153
2014-09-08,126,«·∂»Œ€»æ,96,162,57,1.6,37,129
2014-09-09,92,¡º,39,85,48,0.8,28,150
2014-09-10,92,¡º,38,87,35,0.8,31,150
2014-09-11,83,¡º,42,104,36,0.8,46,140
2014-09-12,97,¡º,72,128,78,1.4,50,138
2014-09-13,102,«·∂»Œ€»æ,77,138,75,1.6,51,134
2014-09-14,89,¡º,66,104,71,1.1,43,76
2014-09-15,57,¡º,39,64,34,0.9,32,66
2014-09-16,79,¡º,58,106,51,1.6,42,75
2014-09-17,57,¡º,41,54,26,1,28,57
2014-09-18,86,¡º,64,96,45,1.2,38,122
2014-09-19,124,«·∂»Œ€»æ,94,145,48,1.4,35,168
2014-09-20,88,¡º,60,93,22,0.9,23,145
2014-09-21,131,«·∂»Œ€»æ,96,146,67,1.4,31,194
2014-09-22,137,«·∂»Œ€»æ,91,146,36,1.3,40,201
2014-09-23,83,¡º,55,97,44,0.8,32,139
2014-09-24,54,¡º,34,58,25,0.7,23,102
2014-09-25,69,¡º,32,55,32,0.8,22,123
2014-09-26,90,¡º,67,118,33,1.1,38,144
2014-09-27,203,÷ÿ∂»Œ€»æ,153,207,57,1.5,42,131
2014-09-28,141,«·∂»Œ€»æ,108,147,28,1.2,30,81
2014-09-29,53,¡º,35,56,20,0.7,17,101
2014-09-30,42,”≈,20,40,21,0.5,17,84
2014-10-01,68,¡º,45,82,42,0.7,32,121
