»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,125,«·∂»Œ€»æ,95,159,51,1.8,52,34
2014-01-01,111,«·∂»Œ€»æ,83,148,47,1.7,49,37
2014-01-02,134,«·∂»Œ€»æ,102,191,64,1.7,63,19
2014-01-03,155,÷–∂»Œ€»æ,119,216,50,2,51,29
2014-01-04,126,«·∂»Œ€»æ,96,198,49,1.8,55,25
2014-01-05,106,«·∂»Œ€»æ,80,160,45,1.7,49,38
2014-01-06,174,÷–∂»Œ€»æ,132,225,44,2.1,67,26
2014-01-07,199,÷–∂»Œ€»æ,149,287,25,2.4,47,4
2014-01-08,145,«·∂»Œ€»æ,111,187,35,1.9,28,20
2014-01-09,165,÷–∂»Œ€»æ,126,224,42,2.2,49,16
2014-01-10,137,«·∂»Œ€»æ,104,210,26,2.2,41,10
2014-01-11,81,¡º,48,111,15,1.8,36,16
2014-01-12,130,«·∂»Œ€»æ,82,210,32,2,39,22
2014-01-13,480,—œ÷ÿŒ€»æ,155,580,46,2.2,55,15
2014-01-14,187,÷–∂»Œ€»æ,141,276,37,2.2,46,28
2014-01-15,134,«·∂»Œ€»æ,102,189,29,2.1,47,23
2014-01-16,122,«·∂»Œ€»æ,93,159,24,2.1,54,25
2014-01-17,197,÷–∂»Œ€»æ,148,287,51,2.1,50,36
2014-01-18,177,÷–∂»Œ€»æ,132,303,57,1.8,55,31
2014-01-19,152,÷–∂»Œ€»æ,107,254,53,1.7,49,36
2014-01-20,163,÷–∂»Œ€»æ,104,275,55,1.5,47,31
2014-01-21,111,«·∂»Œ€»æ,68,173,42,1.3,34,23
2014-01-22,90,¡º,61,130,31,1.2,39,34
2014-01-23,86,¡º,62,123,31,1.2,34,45
2014-01-24,105,«·∂»Œ€»æ,79,138,33,1.2,36,52
2014-01-25,185,÷–∂»Œ€»æ,140,263,73,1.7,52,40
2014-01-26,246,÷ÿ∂»Œ€»æ,191,382,70,2.5,65,20
2014-01-27,303,—œ÷ÿŒ€»æ,211,422,34,2.6,52,38
2014-01-28,234,÷ÿ∂»Œ€»æ,184,366,35,2.2,48,31
2014-01-29,180,÷–∂»Œ€»æ,136,289,21,2.1,26,18
2014-01-30,173,÷–∂»Œ€»æ,131,239,32,2.1,22,40
2014-01-31,201,÷ÿ∂»Œ€»æ,151,251,33,1.4,23,43
2014-02-01,141,«·∂»Œ€»æ,108,177,26,1.5,25,35
2014-02-02,186,÷–∂»Œ€»æ,140,274,21,2.1,26,28
2014-02-03,146,«·∂»Œ€»æ,110,242,27,2.5,28,22
2014-02-04,70,¡º,37,90,16,1.8,19,14
2014-02-05,51,¡º,27,51,15,1.6,16,14
2014-02-06,43,”≈,24,43,15,1.8,13,11
2014-02-07,76,¡º,56,92,24,2,14,11
2014-02-08,77,¡º,54,104,19,1.9,14,16
2014-02-09,93,¡º,69,127,44,2.2,16,21
2014-02-10,96,¡º,72,119,39,2.1,15,21
2014-02-11,80,¡º,59,99,33,1.7,16,26
2014-02-12,92,¡º,69,120,29,1.7,17,23
2014-02-13,97,¡º,73,126,27,1.7,15,29
2014-02-14,106,«·∂»Œ€»æ,80,148,23,1.6,23,25
2014-02-15,82,¡º,60,104,18,1.4,22,22
2014-02-16,87,¡º,64,121,23,1.4,21,17
2014-02-17,98,¡º,72,146,21,1.6,20,13
2014-02-18,63,¡º,38,75,19,1.7,18,15
2014-02-19,75,¡º,45,99,25,1.5,25,25
2014-02-20,70,¡º,51,80,25,1.5,26,25
2014-02-21,73,¡º,53,96,30,1.3,41,29
2014-02-22,106,«·∂»Œ€»æ,80,155,37,1.4,41,19
2014-02-23,143,«·∂»Œ€»æ,109,214,32,1.6,47,13
2014-02-24,111,«·∂»Œ€»æ,77,172,20,1.4,30,10
2014-02-25,81,¡º,49,111,16,1.3,18,12
2014-02-26,94,¡º,62,138,19,1.2,22,23
2014-02-27,76,¡º,49,102,20,1.2,31,18
2014-02-28,48,”≈,21,48,13,1.1,17,8
2014-03-01,69,¡º,48,88,18,0.9,16,10
2014-03-02,79,¡º,58,105,16,1.1,22,9
2014-03-03,77,¡º,55,104,23,1.2,31,9
2014-03-04,94,¡º,70,131,26,1.2,28,28
2014-03-05,117,«·∂»Œ€»æ,89,169,34,1.3,36,19
2014-03-06,90,¡º,67,125,19,1,23,25
2014-03-07,58,¡º,36,66,16,0.7,15,19
2014-03-08,56,¡º,35,61,22,0.7,20,25
2014-03-09,76,¡º,55,102,38,0.8,26,40
2014-03-10,98,¡º,73,128,39,0.9,31,39
2014-03-11,100,¡º,75,131,35,1,34,25
2014-03-12,90,¡º,54,130,22,1,25,15
2014-03-13,103,«·∂»Œ€»æ,61,155,25,0.8,21,27
2014-03-14,93,¡º,70,133,35,0.9,32,27
2014-03-15,85,¡º,63,116,44,0.9,32,36
2014-03-16,78,¡º,57,106,31,0.9,26,31
2014-03-17,61,¡º,38,72,29,1,23,40
2014-03-18,71,¡º,45,92,36,0.9,31,29
2014-03-19,142,«·∂»Œ€»æ,87,234,26,1,22,22
2014-03-20,83,¡º,45,116,25,0.8,19,27
2014-03-21,71,¡º,44,91,32,0.7,24,41
2014-03-22,78,¡º,51,107,37,0.8,32,38
2014-03-23,89,¡º,64,128,45,1,31,25
2014-03-24,89,¡º,65,128,33,1.3,29,17
2014-03-25,74,¡º,52,98,26,1.2,21,30
2014-03-26,78,¡º,55,106,51,1.1,32,34
2014-03-27,83,¡º,60,117,35,0.9,31,33
2014-03-28,199,÷–∂»Œ€»æ,33,348,22,0.8,23,27
2014-03-30,106,«·∂»Œ€»æ,69,162,23,0.7,36,35
2014-03-31,86,¡º,62,121,22,0.8,22,53
2014-04-01,84,¡º,60,117,33,0.9,36,47
2014-04-02,115,«·∂»Œ€»æ,87,163,39,0.9,43,42
2014-04-03,99,¡º,74,144,32,0.8,33,56
2014-04-04,110,«·∂»Œ€»æ,80,169,29,0.9,29,53
2014-04-05,112,«·∂»Œ€»æ,84,167,40,1,37,52
2014-04-06,100,¡º,71,149,27,1,32,41
2014-04-07,93,¡º,69,129,33,1,26,22
2014-04-08,84,¡º,63,116,41,1.2,32,38
2014-04-09,94,¡º,69,137,39,1.3,34,49
2014-04-10,90,¡º,64,130,45,1.1,36,37
2014-04-11,86,¡º,50,123,34,1,26,30
2014-04-12,59,¡º,34,67,27,1,18,22
2014-04-13,72,¡º,47,94,30,0.9,16,41
2014-04-14,62,¡º,33,74,36,1,25,38
2014-04-15,72,¡º,44,93,35,1.1,33,32
2014-04-16,70,¡º,30,91,28,1.1,20,14
2014-04-17,54,¡º,23,58,28,1.1,18,26
2014-04-18,79,¡º,43,107,42,1.1,28,25
2014-04-19,53,¡º,18,55,35,0.7,15,26
2014-04-20,81,¡º,36,112,33,0.7,15,25
2014-04-21,63,¡º,23,76,21,0.8,19,21
2014-04-22,60,¡º,30,70,16,0.7,18,35
2014-04-23,63,¡º,38,76,20,0.8,31,26
2014-04-24,69,¡º,42,89,19,1,29,12
2014-04-25,63,¡º,28,75,18,1,25,11
2014-04-26,52,¡º,23,54,18,0.8,19,20
2014-04-27,75,¡º,34,100,18,0.8,20,40
2014-04-28,80,¡º,38,111,24,0.8,31,45
2014-04-29,90,¡º,57,129,34,0.9,37,35
2014-04-30,95,¡º,63,139,39,0.9,30,41
2014-05-01,85,¡º,53,119,49,0.9,28,46
2014-05-02,112,«·∂»Œ€»æ,54,174,47,0.8,29,36
2014-05-03,104,«·∂»Œ€»æ,39,159,51,0.7,28,26
2014-05-04,74,¡º,34,97,33,0.8,20,22
2014-05-05,86,¡º,46,123,20,0.9,30,45
2014-05-06,87,¡º,54,123,49,0.9,28,52
2014-05-07,88,¡º,61,126,61,0.9,24,54
2014-05-08,78,¡º,43,105,39,0.9,20,44
2014-05-09,62,¡º,30,74,14,1,17,33
2014-05-10,42,”≈,12,42,12,1,18,18
2014-05-11,45,”≈,18,45,12,1.1,17,48
2014-05-12,68,¡º,42,86,28,1.1,31,79
2014-05-13,78,¡º,50,105,17,1.3,26,53
2014-05-14,81,¡º,50,113,24,1.5,15,30
2014-05-15,71,¡º,31,92,30,1.2,22,46
2014-05-16,114,«·∂»Œ€»æ,86,174,48,1.6,23,70
2014-05-17,100,¡º,73,150,24,1.6,21,35
2014-05-18,111,«·∂»Œ€»æ,84,168,23,1.7,24,38
2014-05-19,160,÷–∂»Œ€»æ,122,241,46,2,33,28
2014-05-20,144,«·∂»Œ€»æ,108,239,24,1.8,27,52
2014-05-21,134,«·∂»Œ€»æ,95,219,18,1.6,29,34
2014-05-22,81,¡º,47,112,24,1.5,21,33
2014-05-23,92,¡º,62,134,33,1.6,24,50
2014-05-24,72,¡º,44,94,72,1.6,23,40
2014-05-25,93,¡º,54,137,71,1.7,20,37
2014-05-26,181,÷–∂»Œ€»æ,78,312,37,1.5,24,36
2014-05-27,106,«·∂»Œ€»æ,49,161,31,1.4,18,51
2014-05-28,99,¡º,51,148,64,1.5,26,49
2014-05-29,96,¡º,55,141,111,1.6,34,41
2014-05-30,78,¡º,43,105,33,1.7,27,31
2014-05-31,67,¡º,39,84,24,1.6,21,41
2014-06-01,62,¡º,34,74,23,1.4,17,36
2014-06-02,73,¡º,44,96,22,1.3,21,80
2014-06-03,80,¡º,49,109,24,1.3,23,75
2014-06-04,81,¡º,50,113,35,1.3,29,74
2014-06-05,114,«·∂»Œ€»æ,86,173,34,1.5,29,51
2014-06-06,129,«·∂»Œ€»æ,98,196,35,1.5,33,59
2014-06-07,109,«·∂»Œ€»æ,82,167,35,1.3,30,70
2014-06-08,131,«·∂»Œ€»æ,100,194,35,1.6,37,66
2014-06-09,146,«·∂»Œ€»æ,112,217,34,1.6,31,54
2014-06-10,100,¡º,75,147,28,1.4,18,74
2014-06-11,106,«·∂»Œ€»æ,80,158,32,1.5,28,83
2014-06-12,161,÷–∂»Œ€»æ,123,240,32,1.7,33,84
2014-06-13,233,÷ÿ∂»Œ€»æ,183,329,32,1.8,32,75
2014-06-14,95,¡º,70,140,27,1.5,22,83
2014-06-15,99,¡º,75,145,25,1.6,20,71
2014-06-16,86,¡º,55,122,25,1.5,21,44
2014-06-17,90,¡º,55,129,29,1.4,16,52
2014-06-18,80,¡º,37,109,34,1.5,17,58
2014-06-19,71,¡º,38,92,36,1.3,19,48
2014-06-20,63,¡º,34,77,30,1.3,21,49
2014-06-21,74,¡º,44,98,34,1.4,21,45
2014-06-22,84,¡º,54,118,33,1.6,24,64
2014-06-23,97,¡º,69,145,36,1.5,29,53
2014-06-24,53,¡º,18,57,23,1.2,18,58
2014-06-25,65,¡º,33,79,32,1.3,24,42
2014-06-26,55,¡º,18,59,22,1.3,18,30
2014-06-27,59,¡º,25,67,25,1.4,18,43
2014-06-28,68,¡º,35,86,27,1.5,21,39
2014-06-29,68,¡º,30,86,28,1.5,29,48
2014-06-30,93,¡º,61,136,24,1.6,21,57
2014-07-01,86,¡º,56,122,24,1.7,21,46
2014-07-02,70,¡º,38,91,23,1.7,14,39
2014-07-03,65,¡º,28,79,23,1.5,14,44
2014-07-04,56,¡º,16,61,16,1.1,12,30
2014-07-05,53,¡º,22,56,14,1.1,10,33
2014-07-06,56,¡º,25,61,12,1.2,12,44
2014-07-07,65,¡º,34,79,15,1.2,19,60
2014-07-08,74,¡º,45,98,25,1.3,23,53
