日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,100,良,70,109,26,1,52,160
2015-01-01,120,轻度污染,91,109,26,1,39,140
2015-01-02,136,轻度污染,104,129,41,1.1,43,151
2015-01-03,126,轻度污染,96,118,40,1,37,132
2015-01-04,96,良,72,111,9,1,42,89
2015-01-05,126,轻度污染,96,125,12,1.1,49,47
2015-01-06,88,良,65,57,5,1.1,28,29
2015-01-07,53,良,37,45,6,1.2,16,46
2015-01-08,70,良,51,62,11,1.2,16,70
2015-01-09,74,良,54,68,7,0.9,20,56
2015-01-10,23,优,13,14,3,0.7,11,46
2015-01-11,21,优,13,12,3,0.7,14,42
2015-01-12,36,优,25,15,6,0.8,16,56
2015-01-13,57,良,41,51,9,0.7,20,79
2015-01-14,104,轻度污染,79,101,19,1.1,37,97
2015-01-15,103,轻度污染,77,98,17,1.2,34,102
2015-01-16,138,轻度污染,105,131,29,1.3,44,109
2015-01-17,154,中度污染,118,141,23,1.1,43,126
2015-01-18,170,中度污染,129,146,36,1.2,46,128
2015-01-19,179,中度污染,135,162,29,1.2,45,112
2015-01-20,221,重度污染,171,195,38,1.4,48,97
2015-01-21,212,重度污染,162,185,19,1.5,43,108
2015-01-22,197,中度污染,148,172,25,1.4,40,128
2015-01-23,157,中度污染,120,147,29,1.3,36,125
2015-01-24,85,良,63,88,7,0.9,28,106
2015-01-25,84,良,62,78,10,0.9,25,105
2015-01-26,124,轻度污染,94,95,14,1.1,32,94
2015-01-27,108,轻度污染,81,72,15,1,23,87
2015-01-28,70,良,51,58,5,1,23,83
2015-01-29,51,良,36,50,6,1,18,84
2015-01-30,41,优,28,41,3,1.4,18,56
2015-01-31,43,优,30,35,3,1,17,28
2015-02-01,49,优,34,35,3,1.1,15,27
2015-02-02,75,良,55,54,4,1.2,23,31
2015-02-03,130,轻度污染,99,41,5,1.4,33,24
2015-02-04,20,优,14,15,3,1.2,16,26
2015-02-05,76,良,56,51,7,1.2,20,70
2015-02-06,129,轻度污染,99,75,18,1.3,26,119
