»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,47,”≈,22,47,24,0.3,17,66
2015-01-01,67,¡º,40,83,58,0.6,27,58
2015-01-02,127,«·∂»Œ€»æ,96,153,119,1.8,49,46
2015-01-03,91,¡º,68,128,86,1.3,37,62
2015-01-04,118,«·∂»Œ€»æ,89,175,78,1.3,41,34
2015-01-05,100,¡º,50,150,60,0.9,27,65
2015-01-06,64,¡º,35,78,65,0.9,25,55
2015-01-07,94,¡º,60,137,62,1.4,32,68
2015-01-08,93,¡º,41,135,39,0.5,19,75
2015-01-09,93,¡º,70,134,67,1.7,39,63
2015-01-10,169,÷–∂»Œ€»æ,128,213,168,3.2,57,42
2015-01-11,198,÷–∂»Œ€»æ,149,232,171,2.9,60,46
2015-01-12,151,÷–∂»Œ€»æ,116,193,121,2,54,47
2015-01-13,132,«·∂»Œ€»æ,100,180,90,1.4,45,39
2015-01-14,64,¡º,42,78,72,1.1,33,45
2015-01-15,58,¡º,33,66,41,1.2,27,79
2015-01-16,56,¡º,37,62,43,1.3,27,67
2015-01-17,63,¡º,44,75,33,1.3,27,73
2015-01-18,57,¡º,22,65,17,0.9,16,79
2015-01-19,77,¡º,50,105,67,1.7,36,62
2015-01-20,62,¡º,40,75,50,2.4,26,74
2015-01-21,58,¡º,36,66,49,0.9,30,65
2015-01-22,66,¡º,44,83,79,0.9,31,55
2015-01-23,108,«·∂»Œ€»æ,81,144,121,1.8,47,53
2015-01-24,76,¡º,56,103,55,1.1,34,73
2015-01-25,68,¡º,41,87,45,1.4,28,75
2015-01-26,97,¡º,30,144,58,1,15,67
2015-01-27,52,¡º,30,54,72,1,29,56
2015-01-28,64,¡º,47,75,63,1,32,37
2015-01-29,74,¡º,37,98,39,1,26,69
2015-01-30,63,¡º,38,77,84,1,25,70
2015-01-31,59,¡º,39,68,98,1.1,29,64
2015-03-01,57,¡º,25,65,13,0.4,14,94
2015-03-02,114,«·∂»Œ€»æ,51,177,17,0.3,14,95
2015-03-03,63,¡º,28,76,50,0.4,16,85
2015-03-04,46,”≈,28,44,50,0.6,20,91
2015-03-05,66,¡º,44,83,40,0.7,29,67
2015-03-06,63,¡º,31,76,19,0.4,19,104
2015-03-07,71,¡º,37,93,23,0.5,21,98
2015-03-08,72,¡º,34,94,31,0.3,14,94
2015-03-09,46,”≈,21,37,37,0.4,18,92
2015-03-10,49,”≈,27,44,37,0.5,22,98
2015-03-11,53,¡º,30,57,35,0.7,25,96
2015-03-12,84,¡º,54,117,95,0.9,33,92
2015-03-13,75,¡º,44,99,52,0.8,27,92
2015-03-14,94,¡º,40,137,17,0.4,15,94
2015-03-15,83,¡º,46,116,47,0.8,25,92
2015-03-16,72,¡º,37,94,27,0.6,20,112
2015-03-17,70,¡º,33,89,41,0.7,22,98
2015-03-18,62,¡º,30,74,16,0.6,16,103
2015-03-19,70,¡º,34,90,13,0.5,16,103
2015-03-20,81,¡º,33,112,10,0.3,15,106
2015-03-21,72,¡º,41,93,39,0.5,20,109
2015-03-22,55,¡º,28,60,31,0.4,19,98
2015-03-23,52,¡º,29,49,60,0.6,25,102
2015-03-24,61,¡º,33,54,40,0.7,24,113
2015-03-25,72,¡º,43,81,28,0.6,19,126
2015-03-26,80,¡º,44,67,17,0.7,21,136
2015-03-27,121,«·∂»Œ€»æ,51,88,34,0.8,26,114
2015-03-28,246,÷ÿ∂»Œ€»æ,115,382,28,0.8,27,102
2015-03-29,157,÷–∂»Œ€»æ,86,265,30,0.7,24,125
2015-03-30,158,÷–∂»Œ€»æ,73,265,37,0.9,27,118
2015-03-31,171,÷–∂»Œ€»æ,53,292,8,0.9,13,101
2015-04-01,60,¡º,34,69,43,2.6,21,90
2015-04-02,56,¡º,22,29,17,2.9,16,107
2015-04-03,45,”≈,30,36,23,0.4,19,90
2015-04-04,56,¡º,26,58,12,0.3,18,107
2015-04-05,67,¡º,29,85,18,0.2,15,98
2015-04-06,55,¡º,23,33,18,0.2,17,106
2015-04-07,51,¡º,29,47,33,0.4,25,101
2015-04-08,60,¡º,43,63,37,1,34,106
2015-04-09,61,¡º,34,73,8,0.4,23,106
2015-04-10,67,¡º,30,85,8,0.3,20,107
2015-04-11,75,¡º,31,99,9,0.3,17,107
2015-04-12,59,¡º,28,59,28,0.4,17,111
2015-04-13,71,¡º,37,56,54,0.7,31,125
2015-04-14,97,¡º,57,145,35,0.7,30,112
2015-04-15,175,÷–∂»Œ€»æ,82,300,13,0.3,16,103
2015-04-16,65,¡º,27,79,15,0.4,22,111
2015-04-17,75,¡º,44,96,19,0.5,28,130
2015-04-18,63,¡º,29,70,7,0.3,14,115
2015-04-19,65,¡º,20,46,8,0.3,24,118
2015-04-20,67,¡º,36,72,16,0.5,35,120
2015-04-21,66,¡º,20,55,8,0.2,18,119
2015-04-22,95,¡º,26,66,14,0.4,27,154
2015-04-23,71,¡º,31,92,8,0.4,25,119
2015-04-24,69,¡º,21,61,19,0.4,26,123
2015-04-25,82,¡º,34,93,11,0.5,38,138
2015-04-26,88,¡º,38,108,16,0.7,20,145
2015-04-27,118,«·∂»Œ€»æ,49,186,21,0.8,21,123
2015-04-28,70,¡º,36,81,16,0.4,23,124
2015-04-29,78,¡º,32,74,11,0.4,19,133
2015-04-30,195,÷–∂»Œ€»æ,86,340,8,0.4,16,122
2015-05-01,69,¡º,26,76,5,0.3,14,123
2015-05-02,84,¡º,31,119,4,0.4,16,120
2015-05-03,82,¡º,31,115,9,0.3,14,116
2015-05-04,78,¡º,23,79,14,0.4,20,133
2015-05-05,91,¡º,27,131,5,0.3,15,114
2015-05-06,73,¡º,30,96,10,0.4,17,111
2015-05-07,99,¡º,41,148,7,0.3,16,112
2015-05-08,68,¡º,23,85,7,0.4,25,115
2015-05-09,114,«·∂»Œ€»æ,52,178,8,0.3,20,134
2015-05-10,133,«·∂»Œ€»æ,101,167,2,0.3,14,113
2015-05-11,68,¡º,22,52,3,0.4,19,121
2015-05-12,71,¡º,29,72,4,0.4,25,125
2015-05-13,92,¡º,38,134,8,0.5,18,106
2015-05-14,84,¡º,42,118,8,0.4,17,110
2015-05-15,73,¡º,25,48,6,0.4,21,127
