»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,227,÷ÿ∂»Œ€»æ,177,238,96,2.7,87,32
2013-12-03,267,÷ÿ∂»Œ€»æ,217,271,122,2.7,123,25
2013-12-04,302,—œ÷ÿŒ€»æ,252,277,59,2.5,86,45
2013-12-05,351,—œ÷ÿŒ€»æ,301,356,77,3,104,45
2013-12-06,348,—œ÷ÿŒ€»æ,298,359,56,2.4,79,19
2013-12-07,360,—œ÷ÿŒ€»æ,310,386,77,3.1,96,37
2013-12-08,334,—œ÷ÿŒ€»æ,284,347,63,2.5,90,48
2013-12-09,178,÷–∂»Œ€»æ,134,186,47,1.7,54,39
2013-12-10,117,«·∂»Œ€»æ,88,134,61,1.4,54,42
2013-12-11,135,«·∂»Œ€»æ,103,153,63,1.6,54,41
2013-12-12,188,÷–∂»Œ€»æ,141,209,118,1.9,74,34
2013-12-13,178,÷–∂»Œ€»æ,134,180,80,1.7,64,40
2013-12-14,134,«·∂»Œ€»æ,102,148,83,1.9,66,37
2013-12-15,163,÷–∂»Œ€»æ,124,163,72,1.7,52,53
2013-12-16,49,”≈,34,41,30,0.9,36,38
2013-12-17,50,”≈,35,40,22,0.9,31,36
2013-12-18,92,¡º,68,86,35,1.1,28,56
2013-12-19,158,÷–∂»Œ€»æ,120,148,57,1.6,44,43
2013-12-20,214,÷ÿ∂»Œ€»æ,164,202,80,2,61,30
2013-12-21,115,«·∂»Œ€»æ,87,111,50,1.4,48,55
2013-12-22,142,«·∂»Œ€»æ,108,131,47,1.6,50,47
2013-12-23,166,÷–∂»Œ€»æ,126,143,43,1.6,51,45
2013-12-24,256,÷ÿ∂»Œ€»æ,206,244,102,2.1,68,38
2013-12-25,312,—œ÷ÿŒ€»æ,262,321,104,2.8,82,25
2013-12-26,281,÷ÿ∂»Œ€»æ,231,318,90,2.2,70,24
2013-12-27,83,¡º,60,115,52,1,42,45
2013-12-28,127,«·∂»Œ€»æ,96,150,59,1.5,52,39
2013-12-29,168,÷–∂»Œ€»æ,127,188,78,1.7,55,38
2013-12-30,149,«·∂»Œ€»æ,114,177,83,1.7,55,48
2013-12-31,144,«·∂»Œ€»æ,110,172,79,1.7,58,58
2013-12-01,234,÷ÿ∂»Œ€»æ,184,238,88,2.3,83,32
2014-01-01,173,÷–∂»Œ€»æ,131,187,76,2,63,69
2014-01-02,224,÷ÿ∂»Œ€»æ,174,248,102,2.4,92,46
2014-01-03,257,÷ÿ∂»Œ€»æ,207,282,95,2.2,94,41
2014-01-04,147,«·∂»Œ€»æ,112,170,48,1.3,46,37
2014-01-05,188,÷–∂»Œ€»æ,141,200,84,1.9,72,47
2014-01-06,102,«·∂»Œ€»æ,76,117,58,1.4,54,57
2014-01-07,94,¡º,70,90,43,1.3,54,22
2014-01-08,53,¡º,37,44,18,1,25,60
2014-01-09,68,¡º,49,75,38,1.1,35,50
2014-01-10,98,¡º,73,115,60,1.5,50,56
2014-01-11,97,¡º,72,93,48,1.4,48,36
2014-01-12,169,÷–∂»Œ€»æ,128,156,47,1.5,43,70
2014-01-13,90,¡º,67,98,38,1.1,35,51
2014-01-14,84,¡º,62,91,43,1.2,47,66
2014-01-15,114,«·∂»Œ€»æ,86,122,56,1.6,57,58
2014-01-16,123,«·∂»Œ€»æ,93,130,48,1.5,56,72
2014-01-17,216,÷ÿ∂»Œ€»æ,166,220,64,2,70,56
2014-01-18,261,÷ÿ∂»Œ€»æ,211,263,49,2,54,55
2014-01-19,300,÷ÿ∂»Œ€»æ,250,316,56,2.5,67,86
2014-01-20,200,÷–∂»Œ€»æ,150,260,48,1.8,52,56
2014-01-21,79,¡º,45,107,40,1.1,40,67
2014-01-22,99,¡º,74,107,55,1.3,49,57
2014-01-23,113,«·∂»Œ€»æ,85,118,45,1.3,54,72
2014-01-24,104,«·∂»Œ€»æ,78,114,40,1.4,62,62
2014-01-25,200,÷–∂»Œ€»æ,150,205,45,1.6,52,62
2014-01-26,64,¡º,44,78,25,0.8,26,66
2014-01-27,60,¡º,41,70,24,0.9,38,69
2014-01-28,118,«·∂»Œ€»æ,89,128,33,1.2,37,69
2014-01-29,109,«·∂»Œ€»æ,82,109,21,1.2,31,38
2014-01-30,248,÷ÿ∂»Œ€»æ,198,232,30,2.5,42,67
2014-01-31,224,÷ÿ∂»Œ€»æ,174,215,26,2,30,85
2014-02-01,143,«·∂»Œ€»æ,109,133,26,1.4,27,84
2014-02-02,251,÷ÿ∂»Œ€»æ,201,308,20,2.8,38,34
2014-02-03,102,«·∂»Œ€»æ,76,130,17,1.2,19,71
2014-02-04,51,¡º,25,51,20,0.7,14,84
2014-02-05,31,”≈,18,27,17,0.8,17,62
2014-02-06,29,”≈,13,14,12,0.7,15,58
2014-02-07,37,”≈,22,23,12,0.7,15,73
2014-02-08,79,¡º,58,70,23,0.9,15,78
2014-02-09,77,¡º,56,69,26,0.9,15,68
2014-02-10,43,”≈,30,42,17,0.6,12,69
2014-02-11,60,¡º,43,56,22,0.7,21,75
2014-02-12,68,¡º,49,61,25,0.8,24,71
2014-02-13,68,¡º,49,66,24,1,24,76
2014-02-14,102,«·∂»Œ€»æ,76,102,33,1.1,38,92
2014-02-15,109,«·∂»Œ€»æ,82,110,66,1.4,54,71
2014-02-16,67,¡º,48,57,28,1.1,51,38
2014-02-17,45,”≈,31,36,17,0.9,31,77
2014-02-18,40,”≈,28,32,16,0.8,26,71
2014-02-19,112,«·∂»Œ€»æ,84,104,34,1.2,36,71
2014-02-20,137,«·∂»Œ€»æ,104,138,44,1.5,48,80
2014-02-21,155,÷–∂»Œ€»æ,118,160,71,1.6,60,98
2014-02-22,143,«·∂»Œ€»æ,109,144,63,1.4,57,80
2014-02-23,122,«·∂»Œ€»æ,92,124,53,1.3,44,98
2014-02-24,138,«·∂»Œ€»æ,105,138,52,1.5,56,58
2014-02-25,54,¡º,38,42,26,1.2,43,52
2014-02-26,73,¡º,53,65,22,1.1,37,78
2014-02-27,179,÷–∂»Œ€»æ,135,175,43,1.9,61,30
2014-02-28,83,¡º,61,70,29,1.5,39,37
2014-03-01,53,¡º,37,52,26,0.9,31,68
2014-03-02,108,«·∂»Œ€»æ,81,118,49,1.2,42,96
2014-03-03,88,¡º,65,109,50,1.3,42,96
2014-03-04,74,¡º,54,71,34,1.2,54,32
2014-03-05,82,¡º,60,87,36,1,32,88
2014-03-06,59,¡º,40,67,40,0.9,35,75
2014-03-07,64,¡º,46,78,52,1,46,74
2014-03-08,89,¡º,66,97,43,1.2,50,64
2014-03-09,108,«·∂»Œ€»æ,81,114,43,1.4,53,103
2014-03-10,180,÷–∂»Œ€»æ,136,192,63,1.7,68,120
2014-03-11,153,÷–∂»Œ€»æ,117,163,54,1.5,50,132
2014-03-12,89,¡º,66,82,34,1.5,41,80
2014-03-13,61,¡º,32,72,34,1.1,33,81
2014-03-14,92,¡º,68,120,49,1.5,51,86
2014-03-15,105,«·∂»Œ€»æ,79,140,60,1.6,63,111
2014-03-16,123,«·∂»Œ€»æ,93,152,64,1.7,61,122
2014-03-17,97,¡º,72,126,52,1.6,55,110
