»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,97,¡º,73,87,127,0.6,101,118
2014-01-01,153,÷–∂»Œ€»æ,117,141,187,1.1,127,122
2014-01-02,157,÷–∂»Œ€»æ,120,134,178,1.1,156,60
2014-01-03,211,÷ÿ∂»Œ€»æ,161,179,187,1.3,169,93
2014-01-04,129,«·∂»Œ€»æ,98,110,81,1,86,49
2014-01-05,98,¡º,73,78,62,0.6,93,59
2014-01-06,65,¡º,47,50,54,0.3,92,68
2014-01-07,71,¡º,52,58,78,0.6,95,49
2014-01-08,46,”≈,32,39,41,0.5,62,63
2014-01-09,50,”≈,35,44,68,0.4,52,58
2014-01-10,71,¡º,52,58,57,0.4,77,46
2014-01-11,72,¡º,53,59,56,0.4,59,55
2014-01-12,135,«·∂»Œ€»æ,103,120,68,1.3,80,65
2014-01-13,60,¡º,43,54,64,0.5,50,84
2014-01-14,47,”≈,26,32,77,0.4,69,94
2014-01-15,53,¡º,38,45,77,0.4,71,86
2014-01-16,104,«·∂»Œ€»æ,78,94,95,0.8,86,102
2014-01-17,158,÷–∂»Œ€»æ,120,133,102,1.1,137,82
2014-01-18,184,÷–∂»Œ€»æ,139,162,89,1.4,93,90
2014-01-19,168,÷–∂»Œ€»æ,127,152,99,1.5,113,138
2014-01-20,183,÷–∂»Œ€»æ,138,198,143,1.4,112,83
2014-01-21,62,¡º,44,75,108,0.8,74,68
2014-01-22,73,¡º,54,65,89,0.7,93,76
2014-01-23,81,¡º,60,72,81,0.7,109,111
2014-01-24,75,¡º,55,65,90,0.5,86,104
2014-01-25,118,«·∂»Œ€»æ,89,108,76,0.7,79,93
2014-01-26,58,¡º,29,43,53,0.4,40,109
2014-01-27,50,”≈,25,36,60,0.4,64,100
2014-01-28,75,¡º,55,69,69,0.6,64,110
2014-01-29,78,¡º,57,70,57,0.7,61,92
2014-01-30,189,÷–∂»Œ€»æ,142,158,76,1.4,73,74
2014-01-31,176,÷–∂»Œ€»æ,133,153,66,1.1,49,150
2014-02-01,103,«·∂»Œ€»æ,77,88,67,1,53,130
2014-02-02,167,÷–∂»Œ€»æ,127,195,53,0.7,71,77
2014-02-03,56,¡º,36,53,48,0.7,32,107
2014-02-04,72,¡º,18,27,53,0.2,29,126
2014-02-05,68,¡º,13,17,47,0.2,33,121
2014-02-06,45,”≈,13,14,44,0.2,34,90
2014-02-07,41,”≈,22,23,44,0.3,34,82
2014-02-08,72,¡º,52,59,70,0.6,43,87
2014-02-09,66,¡º,47,55,57,0.9,41,83
2014-02-10,48,”≈,34,40,51,0.5,38,81
2014-02-11,63,¡º,45,52,47,0.4,40,87
2014-02-12,57,¡º,39,46,55,0.6,43,108
2014-02-13,78,¡º,34,44,63,0.5,43,133
2014-02-14,73,¡º,54,64,65,0.8,56,110
2014-02-15,67,¡º,38,46,61,0.4,63,120
2014-02-16,51,¡º,36,41,56,0.5,89,97
2014-02-17,47,”≈,30,37,38,0.6,54,93
2014-02-18,71,¡º,23,26,38,0.5,43,125
2014-02-19,88,¡º,65,76,68,0.7,60,79
2014-02-20,147,«·∂»Œ€»æ,113,133,119,1.3,76,72
2014-02-21,131,«·∂»Œ€»æ,100,116,67,1.4,110,119
