»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,163,÷–∂»Œ€»æ,93,277,66,0.1,18,44
2014-01-02,118,«·∂»Œ€»æ,88,186,62,0.8,43,35
2014-01-16,246,÷ÿ∂»Œ€»æ,196,65,82,2,54,36
2014-01-17,184,÷–∂»Œ€»æ,139,167,60,1.8,38,42
2014-01-18,252,÷ÿ∂»Œ€»æ,202,245,80,1.4,49,33
2014-01-19,189,÷–∂»Œ€»æ,142,87,79,1.9,61,34
2014-01-20,177,÷–∂»Œ€»æ,134,220,54,1.1,38,73
2014-01-21,59,¡º,42,65,26,1.5,24,43
2014-01-22,105,«·∂»Œ€»æ,79,118,50,2.1,36,33
2014-01-23,102,«·∂»Œ€»æ,77,131,63,1.5,52,51
2014-01-24,116,«·∂»Œ€»æ,88,108,30,1.6,39,45
2014-01-25,118,«·∂»Œ€»æ,63,186,23,1.3,33,72
2014-01-26,51,¡º,23,53,24,1.2,1,77
2014-01-27,56,¡º,40,62,22,1.6,5,67
2014-01-28,65,¡º,38,80,16,1,17,81
2014-01-29,64,¡º,45,79,35,1.1,29,72
2014-01-30,171,÷–∂»Œ€»æ,129,164,44,1.5,31,77
2014-01-31,135,«·∂»Œ€»æ,103,144,12,1.3,19,69
2014-02-01,64,¡º,46,59,9,1.2,20,73
2014-02-02,130,«·∂»Œ€»æ,99,126,50,1.7,27,51
2014-02-03,55,¡º,16,61,9,0.8,12,76
2014-02-04,40,”≈,14,38,13,0.8,11,80
2014-02-05,39,”≈,13,32,6,0.7,9,77
2014-02-06,46,”≈,20,30,7,0.7,10,92
2014-02-07,38,”≈,26,35,10,1.1,18,61
2014-02-08,47,”≈,32,47,15,1.1,13,83
2014-02-09,44,”≈,14,40,5,0.8,7,87
2014-02-10,53,¡º,14,56,6,0.8,8,87
2014-02-11,62,¡º,44,61,30,1.4,22,91
2014-02-12,98,¡º,73,88,56,1.6,31,86
2014-02-13,88,¡º,60,125,44,1.5,24,87
2014-02-14,138,«·∂»Œ€»æ,105,125,55,1.7,39,103
2014-02-15,196,÷–∂»Œ€»æ,147,179,69,1.9,47,106
2014-02-16,113,«·∂»Œ€»æ,85,147,34,1.6,34,103
2014-02-17,68,¡º,47,86,16,1.3,20,85
2014-02-18,80,¡º,59,108,28,1.6,25,79
2014-02-19,115,«·∂»Œ€»æ,87,113,35,2,50,33
2014-02-20,68,¡º,50,64,14,0.8,20,109
2014-02-21,361,—œ÷ÿŒ€»æ,158,469,62,1.6,47,93
2014-02-22,137,«·∂»Œ€»æ,105,116,49,1.2,45,99
2014-02-23,121,«·∂»Œ€»æ,92,132,49,1.1,44,115
2014-02-24,149,«·∂»Œ€»æ,115,154,23,1.1,22,111
2014-02-25,182,÷–∂»Œ€»æ,137,155,18,1.2,22,106
2014-02-26,391,—œ÷ÿŒ€»æ,341,121,20,1.1,27,119
2014-02-27,113,«·∂»Œ€»æ,86,92,23,1,36,81
2014-02-28,47,”≈,7,47,8,0.5,13,79
2014-03-05,97,¡º,31,144,9,0.8,16,107
2014-03-06,102,«·∂»Œ€»æ,76,121,35,1.1,45,87
2014-03-07,71,¡º,52,89,37,0.9,40,87
2014-03-08,158,÷–∂»Œ€»æ,121,186,42,1.4,46,95
2014-03-09,149,«·∂»Œ€»æ,114,181,41,1.6,38,91
2014-03-10,67,¡º,41,83,40,1,31,84
2014-03-11,95,¡º,71,137,37,1.2,34,134
2014-03-12,88,¡º,37,127,11,0.8,21,102
2014-03-13,75,¡º,33,100,15,0.8,27,97
2014-03-14,137,«·∂»Œ€»æ,66,223,42,1.5,54,86
2014-03-15,128,«·∂»Œ€»æ,86,206,46,1.4,57,119
2014-03-16,121,«·∂»Œ€»æ,92,180,42,1.2,57,139
2014-03-17,157,÷–∂»Œ€»æ,115,263,42,1.4,45,166
2014-03-18,248,÷ÿ∂»Œ€»æ,68,383,21,1.2,25,96
2014-03-19,193,÷–∂»Œ€»æ,62,337,24,1.2,37,88
2014-03-20,84,¡º,37,118,13,1.1,25,96
2014-03-21,95,¡º,71,138,31,1.4,31,106
2014-03-24,77,¡º,57,88,10,1.4,2,95
2014-03-26,176,÷–∂»Œ€»æ,133,170,15,1.8,23,156
2014-03-27,182,÷–∂»Œ€»æ,137,201,25,1.3,49,135
2014-03-28,66,¡º,39,75,29,0.4,28,119
2014-03-29,85,¡º,63,115,11,0.6,29,107
2014-03-30,134,«·∂»Œ€»æ,82,151,18,1,38,197
2014-03-31,106,«·∂»Œ€»æ,80,158,16,0.7,49,161
2014-04-01,89,¡º,63,113,25,0.5,50,147
2014-04-02,96,¡º,65,142,19,0.6,37,131
2014-04-03,79,¡º,44,109,15,0.5,23,106
2014-04-04,100,¡º,36,151,17,0.5,33,114
2014-04-05,74,¡º,26,99,11,0.5,19,95
2014-04-06,89,¡º,55,129,32,0.9,42,105
2014-04-07,77,¡º,50,105,30,0.8,39,128
2014-04-08,127,«·∂»Œ€»æ,47,204,13,0.7,23,172
2014-04-09,100,¡º,75,146,12,0.9,21,147
2014-04-10,134,«·∂»Œ€»æ,103,8,12,0.8,30,113
2014-04-14,176,÷–∂»Œ€»æ,133,98,44,1.1,51,206
2014-04-15,193,÷–∂»Œ€»æ,145,196,33,1.2,48,132
2014-04-16,88,¡º,45,61,12,0.6,36,146
2014-04-17,49,”≈,27,30,4,0.5,26,98
2014-04-18,53,¡º,36,56,9,0.6,25,104
2014-04-19,68,¡º,47,86,16,0.7,36,117
2014-04-20,98,¡º,74,66,21,1.1,46,152
2014-04-21,102,«·∂»Œ€»æ,77,77,18,1.2,42,157
2014-04-22,173,÷–∂»Œ€»æ,131,177,33,1.3,50,169
2014-04-23,114,«·∂»Œ€»æ,86,88,26,1,38,146
2014-04-24,93,¡º,39,112,13,0.5,30,151
2014-04-25,74,¡º,40,80,11,0.6,26,129
2014-04-26,62,¡º,21,30,4,0.5,18,114
2014-04-27,57,¡º,5,10,1,0.3,13,108
2014-04-28,67,¡º,39,84,11,0.6,22,114
2014-04-29,84,¡º,50,119,24,0.9,35,139
2014-04-30,127,«·∂»Œ€»æ,58,126,18,1.1,48,190
2014-05-01,138,«·∂»Œ€»æ,74,144,27,1.2,34,202
2014-05-02,135,«·∂»Œ€»æ,56,124,13,1,22,198
2014-05-03,61,¡º,31,73,11,1,27,113
2014-05-04,73,¡º,30,96,5,0.6,14,114
2014-05-05,76,¡º,42,102,25,1.2,32,106
2014-05-06,111,«·∂»Œ€»æ,47,111,18,1.2,31,172
2014-05-07,93,¡º,65,111,27,1,32,152
2014-05-08,91,¡º,40,66,10,0.4,24,149
2014-05-09,77,¡º,36,63,7,0.4,26,132
2014-05-10,87,¡º,30,64,4,0.3,19,144
2014-05-11,66,¡º,26,38,5,0.5,20,119
2014-05-12,84,¡º,50,93,14,0.8,39,141
2014-05-13,116,«·∂»Œ€»æ,63,118,15,0.8,42,178
2014-05-14,105,«·∂»Œ€»æ,64,145,13,0.9,36,166
2014-05-15,93,¡º,55,135,48,1,51,131
2014-05-16,141,«·∂»Œ€»æ,87,172,30,1,45,205
2014-05-17,125,«·∂»Œ€»æ,39,114,10,0.6,25,187
2014-05-18,93,¡º,39,64,7,0.7,29,151
2014-05-19,70,¡º,49,89,7,0.8,27,114
2014-05-20,102,«·∂»Œ€»æ,77,115,7,0.4,29,146
