»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,104,«·∂»Œ€»æ,78,157,71,1.8,63,49
2013-12-01,149,«·∂»Œ€»æ,114,171,107,1.9,65,70
2013-12-02,238,÷ÿ∂»Œ€»æ,188,275,128,2.2,75,102
2013-12-03,169,÷–∂»Œ€»æ,128,185,133,1.8,70,63
2013-12-04,149,«·∂»Œ€»æ,95,130,81,1.5,54,96
2013-12-05,133,«·∂»Œ€»æ,101,169,118,1.7,63,57
2013-12-06,189,÷–∂»Œ€»æ,142,206,91,2,65,114
2013-12-07,258,÷ÿ∂»Œ€»æ,208,256,131,1.9,78,84
2013-12-08,333,—œ÷ÿŒ€»æ,283,357,86,2,67,88
2013-12-09,64,¡º,38,76,59,1,33,81
2013-12-10,134,«·∂»Œ€»æ,102,166,101,1.5,50,83
2013-12-11,74,¡º,54,86,70,1.1,43,75
2013-12-12,500,—œ÷ÿŒ€»æ,80,131,95,626,57,66
2013-12-13,500,—œ÷ÿŒ€»æ,174,230,145,440.9,78,27
2013-12-14,245,÷ÿ∂»Œ€»æ,195,252,94,2.6,77,61
2013-12-15,381,—œ÷ÿŒ€»æ,331,483,146,4.3,114,16
2013-12-16,495,—œ÷ÿŒ€»æ,492,490,110,4,111,16
2013-12-17,390,—œ÷ÿŒ€»æ,340,397,81,3.6,83,16
2013-12-18,244,÷ÿ∂»Œ€»æ,194,209,87,2.9,62,31
2013-12-19,310,—œ÷ÿŒ€»æ,260,317,97,2.9,71,19
2013-12-20,442,—œ÷ÿŒ€»æ,412,513,105,4.1,99,20
2013-12-21,464,—œ÷ÿŒ€»æ,445,543,128,4,114,15
2013-12-22,442,—œ÷ÿŒ€»æ,412,428,124,3.1,98,26
2013-12-23,454,—œ÷ÿŒ€»æ,431,466,160,3.3,112,19
2013-12-24,434,—œ÷ÿŒ€»æ,400,399,131,3.1,103,28
2013-12-25,367,—œ÷ÿŒ€»æ,317,390,123,2.5,88,31
2013-12-26,85,¡º,61,120,53,1.4,38,61
2013-12-27,79,¡º,58,90,66,1.5,46,60
2013-12-28,80,¡º,51,110,57,1.9,41,82
2013-12-29,92,¡º,56,133,83,1.8,65,64
2013-12-30,90,¡º,53,130,79,1.7,60,68
2014-01-01,127,«·∂»Œ€»æ,96,199,104,2.3,68,38
2014-01-02,139,«·∂»Œ€»æ,106,205,133,1.9,70,21
2014-01-03,93,¡º,46,135,59,0.8,39,64
2014-01-04,134,«·∂»Œ€»æ,102,194,100,1.4,68,52
2014-01-05,208,÷ÿ∂»Œ€»æ,158,266,133,1.9,85,23
2014-01-06,340,—œ÷ÿŒ€»æ,290,404,111,2.3,101,21
2014-01-07,254,÷ÿ∂»Œ€»æ,204,289,106,2.3,87,44
2014-01-08,205,÷ÿ∂»Œ€»æ,155,220,110,2.2,84,16
2014-01-09,178,÷–∂»Œ€»æ,134,193,107,1.6,68,34
2014-01-10,275,÷ÿ∂»Œ€»æ,225,302,89,2,73,24
2014-01-11,260,÷ÿ∂»Œ€»æ,210,282,101,1.8,78,26
2014-01-12,153,÷–∂»Œ€»æ,117,189,96,1.4,71,29
2014-01-13,216,÷ÿ∂»Œ€»æ,166,244,90,1.7,74,38
2014-01-14,309,—œ÷ÿŒ€»æ,259,349,60,1.6,60,25
2014-01-15,286,÷ÿ∂»Œ€»æ,236,322,104,1.4,56,24
2014-01-16,304,—œ÷ÿŒ€»æ,254,370,98,2,80,28
2014-01-17,304,—œ÷ÿŒ€»æ,254,367,111,2.5,87,50
2014-01-18,357,—œ÷ÿŒ€»æ,307,411,94,2.5,81,58
2014-01-19,209,÷ÿ∂»Œ€»æ,159,259,78,1.4,56,52
2014-01-20,81,¡º,36,112,48,0.6,35,69
2014-01-21,88,¡º,65,96,92,1,58,82
2014-01-22,150,«·∂»Œ€»æ,115,182,63,1.4,70,90
2014-01-23,198,÷–∂»Œ€»æ,148,240,71,1.6,77,114
2014-01-24,284,÷ÿ∂»Œ€»æ,234,337,148,2.5,110,41
2014-01-25,222,÷ÿ∂»Œ€»æ,172,256,118,2.3,84,58
2014-01-26,130,«·∂»Œ€»æ,99,152,62,1.3,55,51
2014-01-27,211,÷ÿ∂»Œ€»æ,161,226,69,1.9,66,89
2014-01-28,234,÷ÿ∂»Œ€»æ,184,259,105,2.1,68,66
2014-01-29,267,÷ÿ∂»Œ€»æ,217,283,54,2.1,48,123
2014-01-30,318,—œ÷ÿŒ€»æ,268,317,71,2,53,76
2014-01-31,395,—œ÷ÿŒ€»æ,345,446,36,2.6,40,9
2014-02-01,333,—œ÷ÿŒ€»æ,283,353,78,3.3,69,20
2014-02-02,350,—œ÷ÿŒ€»æ,300,382,68,3.2,54,62
2014-02-03,166,÷–∂»Œ€»æ,126,190,46,1.8,35,65
2014-02-04,85,¡º,63,96,37,0.8,32,52
2014-02-05,79,¡º,58,80,32,1,26,50
2014-02-06,87,¡º,64,76,49,1.2,27,55
2014-02-07,134,«·∂»Œ€»æ,102,114,90,1.3,41,82
2014-02-08,225,÷ÿ∂»Œ€»æ,175,200,80,1.7,34,93
2014-02-09,119,«·∂»Œ€»æ,90,100,51,1.4,25,84
2014-02-10,57,¡º,40,55,32,0.7,29,81
2014-02-11,100,¡º,75,99,36,0.9,36,91
2014-02-12,170,÷–∂»Œ€»æ,129,158,66,1,44,112
2014-02-13,236,÷ÿ∂»Œ€»æ,186,234,140,1.5,64,74
2014-02-14,262,÷ÿ∂»Œ€»æ,212,269,81,1.7,56,109
2014-02-15,201,÷ÿ∂»Œ€»æ,151,185,49,1.1,46,98
2014-02-16,206,÷ÿ∂»Œ€»æ,156,193,48,1.3,49,70
2014-02-17,264,÷ÿ∂»Œ€»æ,214,244,47,2,56,48
2014-02-18,87,¡º,64,78,40,0.7,36,83
2014-02-19,127,«·∂»Œ€»æ,96,130,40,1.2,45,83
2014-02-20,196,÷–∂»Œ€»æ,147,203,63,1.5,51,89
2014-02-21,148,«·∂»Œ€»æ,113,165,93,1,48,74
2014-02-22,201,÷ÿ∂»Œ€»æ,151,221,80,1.3,59,74
