»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,81,¡º,60,89,32,1.6,42,44
2015-01-01,85,¡º,63,109,44,2.3,52,16
2015-01-02,86,¡º,58,122,53,2.4,62,19
2015-01-03,104,«·∂»Œ€»æ,78,131,68,2.5,55,19
2015-01-04,132,«·∂»Œ€»æ,100,140,48,1.5,50,32
2015-01-05,62,¡º,13,74,28,0.7,15,88
2015-01-06,44,”≈,8,20,24,0.4,22,88
2015-01-07,37,”≈,15,37,22,0.8,35,54
2015-01-08,50,”≈,20,51,19,1,30,73
2015-01-09,59,¡º,30,68,27,0.7,35,45
2015-01-10,67,¡º,49,75,25,0.6,35,48
2015-01-11,66,¡º,48,73,27,0.8,32,70
2015-01-12,68,¡º,49,80,29,1.1,36,49
2015-01-13,92,¡º,69,112,41,1.2,42,30
2015-01-14,93,¡º,69,109,47,1,38,55
2015-01-15,60,¡º,36,70,44,0.9,33,67
2015-01-16,63,¡º,32,77,45,1,38,65
2015-01-17,62,¡º,38,73,50,1.1,34,51
2015-01-18,57,¡º,22,64,54,1.2,31,72
2015-01-19,69,¡º,36,88,56,1.4,39,43
2015-01-20,66,¡º,39,81,41,1.5,30,66
2015-01-21,61,¡º,21,73,46,1.6,36,71
2015-01-22,77,¡º,51,103,54,1.8,43,64
2015-01-23,92,¡º,68,133,63,2.3,57,49
2015-01-24,74,¡º,49,98,50,2.2,45,67
2015-01-25,66,¡º,46,81,48,2.4,41,50
2015-01-26,86,¡º,64,107,58,2.2,41,68
2015-01-27,54,¡º,38,58,37,1.1,20,73
2015-01-28,33,”≈,8,20,32,1.4,18,65
2015-01-29,52,¡º,13,54,30,1.1,13,85
2015-01-30,42,”≈,18,42,27,0.9,21,79
2015-01-31,33,”≈,16,29,24,0.7,28,65
2015-02-01,57,¡º,41,55,27,1.1,33,35
2015-02-02,77,¡º,56,78,31,1.4,33,32
2015-02-03,45,”≈,27,45,20,1.5,30,78
2015-02-04,57,¡º,36,64,29,1.6,31,97
2015-02-05,51,¡º,34,52,17,1.5,27,100
2015-02-06,61,¡º,44,72,21,1.5,31,73
2015-02-07,58,¡º,26,66,17,1.6,23,93
2015-02-08,62,¡º,23,73,18,1.7,24,96
2015-02-09,75,¡º,55,75,19,1.8,35,88
2015-02-10,70,¡º,51,74,28,1.9,34,77
2015-02-11,64,¡º,45,78,25,1.3,24,97
2015-02-12,98,¡º,73,110,37,1,31,106
2015-02-13,95,¡º,71,111,33,1.3,33,82
2015-02-14,95,¡º,71,105,25,1.1,26,81
2015-02-15,78,¡º,33,107,11,0.7,16,96
2015-02-16,66,¡º,19,83,14,0.6,15,108
2015-02-17,59,¡º,32,69,19,0.6,13,96
2015-02-18,64,¡º,46,76,18,0.7,16,68
2015-02-19,72,¡º,52,71,17,0.8,9,83
2015-02-20,44,”≈,22,37,9,1,7,88
2015-02-21,50,”≈,27,51,10,1,10,82
2015-02-22,44,”≈,15,34,10,0.9,10,87
2015-02-23,42,”≈,9,18,8,1,10,83
2015-02-24,30,”≈,9,22,9,1,11,60
2015-02-25,37,”≈,9,36,8,1,12,73
2015-02-26,54,¡º,15,57,25,1,21,29
2015-02-27,38,”≈,10,24,8,0.7,12,76
2015-02-28,46,”≈,9,33,7,0.5,7,91
2015-03-01,48,”≈,9,32,9,0.5,10,95
2015-03-02,52,¡º,22,54,19,0.9,15,91
2015-03-03,133,«·∂»Œ€»æ,47,215,13,0.8,13,82
2015-03-04,52,¡º,15,55,16,0.5,17,76
2015-03-05,40,”≈,7,21,14,0.8,14,79
2015-03-06,44,”≈,14,44,14,0.8,22,80
2015-03-07,62,¡º,27,75,22,0.9,30,57
2015-03-08,64,¡º,17,49,17,0.8,26,117
2015-03-09,54,¡º,21,58,26,1.2,37,97
2015-03-10,64,¡º,46,76,17,0.8,33,75
2015-03-11,63,¡º,41,63,19,0.9,24,116
2015-03-12,64,¡º,44,78,31,0.8,36,92
2015-03-13,70,¡º,43,91,35,1.1,53,67
2015-03-14,68,¡º,38,79,29,0.9,42,122
2015-03-15,59,¡º,42,67,21,0.8,42,89
2015-03-16,64,¡º,40,78,41,1,39,36
2015-03-17,53,¡º,19,45,26,0.9,28,103
2015-03-18,57,¡º,12,31,18,0.8,21,108
2015-03-19,62,¡º,8,19,9,0.8,18,114
2015-03-20,65,¡º,9,26,12,0.8,22,118
2015-03-21,78,¡º,14,45,22,1,26,134
2015-03-22,67,¡º,19,54,19,0.9,34,120
2015-03-23,48,”≈,7,21,9,0.7,20,95
2015-03-24,30,”≈,10,29,9,0.5,37,59
2015-03-25,51,¡º,24,51,23,0.6,38,59
2015-03-26,64,¡º,19,45,15,0.6,28,117
2015-03-27,46,”≈,13,37,10,0.7,30,91
2015-03-28,72,¡º,19,51,21,0.7,34,126
2015-03-29,79,¡º,13,33,17,0.6,25,135
2015-03-30,66,¡º,36,79,29,0.9,43,119
2015-03-31,63,¡º,32,75,23,0.8,45,63
2015-04-01,35,”≈,18,35,16,0.7,27,67
2015-04-02,66,¡º,17,74,17,0.7,19,119
2015-04-03,54,¡º,11,56,19,0.8,26,105
2015-04-04,50,”≈,7,20,8,0.9,13,99
2015-04-05,50,”≈,6,16,7,0.8,11,99
2015-04-06,58,¡º,6,13,4,0.8,12,110
2015-04-07,58,¡º,8,20,5,0.9,17,109
2015-04-08,44,”≈,8,26,10,0.8,24,87
2015-04-09,58,¡º,10,28,19,0.8,23,109
2015-04-10,65,¡º,9,32,22,0.8,22,118
2015-04-11,54,¡º,8,30,19,0.6,24,105
