»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,153,÷–∂»Œ€»æ,117,174,38,1.1,25,66
2015-01-01,177,÷–∂»Œ€»æ,134,199,29,1.3,29,50
2015-01-02,225,÷ÿ∂»Œ€»æ,175,265,33,1.6,32,23
2015-01-03,239,÷ÿ∂»Œ€»æ,189,291,51,1.8,34,30
2015-01-04,266,÷ÿ∂»Œ€»æ,216,329,39,2,31,25
2015-01-05,130,«·∂»Œ€»æ,99,138,13,1.4,24,25
2015-01-06,56,¡º,36,63,12,0.6,16,57
2015-01-07,64,¡º,46,79,11,0.8,17,43
2015-01-08,93,¡º,69,104,28,1.2,24,43
2015-01-09,96,¡º,72,121,12,1,24,47
2015-01-10,101,«·∂»Œ€»æ,75,115,14,1,21,60
2015-01-11,116,«·∂»Œ€»æ,88,150,12,1.2,25,78
2015-01-12,140,«·∂»Œ€»æ,107,181,17,1.2,27,84
2015-01-13,139,«·∂»Œ€»æ,106,177,24,1.4,32,83
2015-01-14,189,÷–∂»Œ€»æ,142,236,23,1.4,41,63
2015-01-15,231,÷ÿ∂»Œ€»æ,181,285,37,1.6,38,27
2015-01-16,234,÷ÿ∂»Œ€»æ,184,282,28,1.6,39,42
2015-01-17,223,÷ÿ∂»Œ€»æ,173,246,27,1.5,30,33
2015-01-18,130,«·∂»Œ€»æ,99,152,22,1.2,26,51
2015-01-19,176,÷–∂»Œ€»æ,133,208,27,1.4,30,34
2015-01-20,184,÷–∂»Œ€»æ,139,222,16,1.7,35,48
2015-01-21,161,÷–∂»Œ€»æ,122,220,17,1.7,40,72
2015-01-22,145,«·∂»Œ€»æ,111,201,33,1.4,37,84
2015-01-23,186,÷–∂»Œ€»æ,140,234,48,1.4,36,59
2015-01-24,200,÷–∂»Œ€»æ,150,243,36,1.5,36,55
2015-01-25,221,÷ÿ∂»Œ€»æ,171,247,52,1.4,32,47
2015-01-26,193,÷–∂»Œ€»æ,145,217,48,1.6,31,40
2015-01-27,146,«·∂»Œ€»æ,112,156,29,1.6,30,28
2015-01-28,35,”≈,17,35,21,1.1,14,67
2015-01-29,42,”≈,24,42,14,0.9,12,63
2015-01-30,56,¡º,40,58,21,1.1,19,54
2015-01-31,78,¡º,57,96,27,1,23,58
2015-02-01,100,¡º,75,116,30,1,20,60
2015-02-02,98,¡º,73,121,23,1.1,21,69
2015-02-03,89,¡º,66,111,24,1.2,27,69
2015-02-04,116,«·∂»Œ€»æ,88,153,27,1.4,34,50
2015-02-05,89,¡º,66,113,20,1.1,30,75
2015-02-06,84,¡º,61,119,25,1,23,87
2015-02-07,125,«·∂»Œ€»æ,95,152,18,1.1,28,77
2015-02-08,177,÷–∂»Œ€»æ,134,213,38,1.3,44,50
2015-02-09,155,÷–∂»Œ€»æ,118,190,31,1.2,33,44
2015-02-10,150,«·∂»Œ€»æ,115,203,30,1.3,42,44
2015-02-11,185,÷–∂»Œ€»æ,140,222,33,1.4,37,105
2015-02-12,145,«·∂»Œ€»æ,111,186,25,1.4,36,127
2015-02-13,178,÷–∂»Œ€»æ,135,241,26,1.5,46,80
2015-02-14,222,÷ÿ∂»Œ€»æ,172,268,26,1.6,41,62
2015-02-15,207,÷ÿ∂»Œ€»æ,157,241,18,1.6,36,80
2015-02-16,146,«·∂»Œ€»æ,112,167,17,1.6,33,55
2015-02-17,62,¡º,43,74,15,1.2,19,79
2015-02-18,101,«·∂»Œ€»æ,76,116,23,1.4,24,77
2015-02-19,123,«·∂»Œ€»æ,94,138,23,1.2,14,66
2015-02-20,61,¡º,43,73,10,1.3,16,57
2015-02-21,60,¡º,41,70,13,1.3,20,69
2015-02-22,49,”≈,27,49,11,1,15,61
2015-02-23,42,”≈,20,42,11,1,17,59
2015-02-24,59,¡º,39,68,18,1.1,19,66
2015-02-25,46,”≈,27,46,14,1,13,67
2015-02-26,48,”≈,23,48,25,1,18,64
2015-02-27,33,”≈,12,27,12,0.6,10,66
2015-02-28,35,”≈,11,21,9,0.7,8,70
2015-03-01,55,¡º,25,61,11,0.8,17,59
2015-03-02,58,¡º,31,66,14,0.9,16,57
2015-03-03,75,¡º,55,98,22,1,28,51
2015-03-04,92,¡º,48,134,19,0.8,23,71
2015-03-05,107,«·∂»Œ€»æ,47,164,19,0.6,18,76
2015-03-06,75,¡º,51,100,14,0.8,21,89
2015-03-07,62,¡º,38,75,17,0.7,17,102
2015-03-08,72,¡º,48,94,18,0.8,22,101
2015-03-09,96,¡º,72,129,32,1.1,37,66
2015-03-10,93,¡º,70,128,28,1.1,25,80
2015-03-11,90,¡º,67,107,14,0.8,21,87
2015-03-12,85,¡º,63,96,24,0.8,23,125
2015-03-13,82,¡º,60,106,27,1,28,112
2015-03-14,94,¡º,70,107,30,1,29,71
2015-03-15,82,¡º,61,94,22,0.9,27,90
2015-03-16,70,¡º,51,83,25,0.9,25,80
2015-03-17,67,¡º,49,74,25,0.9,22,76
2015-03-18,51,¡º,30,51,20,1,16,88
2015-03-19,39,”≈,11,23,21,1.1,17,78
2015-03-20,39,”≈,10,27,16,1.1,15,78
2015-03-21,63,¡º,16,37,26,0.8,17,116
2015-03-22,50,”≈,22,50,29,0.9,24,98
2015-03-23,69,¡º,22,43,19,0.8,15,123
2015-03-24,59,¡º,26,52,26,0.8,22,111
2015-03-25,95,¡º,29,65,25,0.7,20,154
2015-03-26,93,¡º,32,71,41,0.8,25,152
2015-03-27,63,¡º,42,92,56,0.9,28,109
2015-03-28,82,¡º,33,65,23,0.9,26,138
2015-03-29,87,¡º,43,78,25,1,27,144
2015-03-30,90,¡º,40,75,36,0.8,20,148
2015-03-31,93,¡º,31,69,36,0.8,16,152
2015-04-01,120,«·∂»Œ€»æ,33,75,30,0.8,16,182
2015-04-02,100,¡º,16,70,15,0.5,11,160
