»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,120,«·∂»Œ€»æ,91,155,98,2.5,30,68
2015-01-01,120,«·∂»Œ€»æ,84,191,136,2.7,37,59
2015-01-02,104,«·∂»Œ€»æ,78,157,97,2.7,34,53
2015-01-03,143,«·∂»Œ€»æ,109,159,134,3.2,43,69
2015-01-04,104,«·∂»Œ€»æ,72,158,66,2.6,23,74
2015-01-05,88,¡º,35,125,57,2.4,17,65
2015-01-06,67,¡º,39,84,55,2.6,19,56
2015-01-07,73,¡º,54,95,76,3,24,59
2015-01-08,94,¡º,47,138,102,3,25,68
2015-01-09,79,¡º,56,109,80,3.3,29,69
2015-01-10,100,¡º,75,115,79,3.4,40,73
2015-01-11,97,¡º,72,111,106,3.7,40,78
2015-01-12,168,÷–∂»Œ€»æ,128,176,126,3.6,39,78
2015-01-13,240,÷ÿ∂»Œ€»æ,190,224,103,4.3,42,73
2015-01-14,96,¡º,72,139,113,3.7,34,79
2015-01-15,82,¡º,60,113,96,2.9,25,72
2015-01-16,66,¡º,41,83,103,2.3,29,74
2015-01-17,84,¡º,62,107,66,2.2,29,68
2015-01-18,65,¡º,31,80,122,2.2,25,78
2015-01-19,77,¡º,39,104,101,2.1,29,76
2015-01-20,86,¡º,33,122,53,1.8,13,79
2015-01-21,90,¡º,33,129,83,2.1,21,76
2015-01-22,88,¡º,46,126,105,2.4,33,79
2015-01-23,112,«·∂»Œ€»æ,85,151,126,2.9,39,85
2015-01-24,77,¡º,57,104,85,2.6,27,74
2015-01-25,133,«·∂»Œ€»æ,102,199,119,3.2,39,74
2015-01-26,113,«·∂»Œ€»æ,85,162,97,2.8,30,76
2015-01-27,65,¡º,32,80,52,2.4,18,64
2015-01-28,89,¡º,66,75,85,3.2,27,32
2015-01-29,66,¡º,33,82,109,2.7,18,73
2015-01-30,64,¡º,46,77,79,2.8,18,80
2015-01-31,80,¡º,59,80,79,2.8,20,77
2015-02-01,183,÷–∂»Œ€»æ,138,152,151,3.5,30,74
2015-02-02,183,÷–∂»Œ€»æ,138,156,131,3.8,30,77
2015-02-03,130,«·∂»Œ€»æ,99,124,108,3.6,27,84
2015-02-04,56,¡º,34,62,112,3,20,83
2015-02-05,67,¡º,30,84,128,3.3,25,82
2015-02-06,71,¡º,45,91,128,3.5,27,77
2015-02-07,59,¡º,35,68,73,3.2,17,84
2015-02-08,79,¡º,51,108,96,3.5,24,85
2015-02-09,108,«·∂»Œ€»æ,82,129,93,3.7,32,94
2015-02-10,92,¡º,68,135,86,3.4,25,94
2015-02-11,159,÷–∂»Œ€»æ,51,267,51,2.8,19,85
2015-02-12,77,¡º,29,104,71,2.1,23,85
2015-02-13,75,¡º,38,100,65,1.4,28,93
2015-02-14,124,«·∂»Œ€»æ,73,199,62,1.4,29,111
2015-02-15,108,«·∂»Œ€»æ,36,166,30,0.9,12,83
2015-02-16,72,¡º,34,93,41,1.2,21,85
2015-02-17,82,¡º,49,114,31,1.3,27,110
2015-02-18,150,«·∂»Œ€»æ,115,188,48,1.7,29,93
2015-02-19,158,÷–∂»Œ€»æ,120,171,30,1.7,24,71
2015-02-20,148,«·∂»Œ€»æ,113,188,28,1.7,22,85
2015-02-21,95,¡º,34,140,50,1.3,14,86
2015-02-22,141,«·∂»Œ€»æ,59,233,18,1.3,12,76
2015-02-23,106,«·∂»Œ€»æ,52,162,48,1.5,18,91
2015-02-24,78,¡º,44,106,58,1.6,21,79
2015-02-25,124,«·∂»Œ€»æ,44,199,35,1.5,15,91
2015-02-26,118,«·∂»Œ€»æ,62,186,37,1.8,23,83
2015-02-27,99,¡º,74,106,20,2.1,23,91
2015-02-28,62,¡º,31,75,34,1.9,17,78
2015-03-01,67,¡º,38,84,54,2.2,27,82
2015-03-02,126,«·∂»Œ€»æ,51,203,48,2,20,83
2015-03-03,118,«·∂»Œ€»æ,41,186,23,1.5,15,85
2015-03-04,62,¡º,36,74,24,0.8,20,70
2015-03-05,96,¡º,72,88,41,0.9,27,79
2015-03-06,120,«·∂»Œ€»æ,91,129,56,1.2,35,72
2015-03-07,130,«·∂»Œ€»æ,99,141,78,1.5,42,76
2015-03-08,77,¡º,34,103,55,0.8,23,104
2015-03-09,69,¡º,29,88,35,0.7,19,89
2015-03-10,67,¡º,48,82,30,1,28,64
2015-03-11,85,¡º,63,109,44,1.1,31,97
2015-03-12,107,«·∂»Œ€»æ,76,163,73,1.3,44,121
2015-03-13,81,¡º,38,112,62,1,28,112
2015-03-14,131,«·∂»Œ€»æ,53,212,31,0.8,18,102
2015-03-15,139,«·∂»Œ€»æ,79,229,32,1.1,31,107
2015-03-16,117,«·∂»Œ€»æ,89,143,38,1.3,33,117
2015-03-17,85,¡º,44,119,24,1,22,123
2015-03-18,58,¡º,34,67,25,1.2,20,107
2015-03-19,64,¡º,33,78,24,1.3,19,89
2015-03-20,79,¡º,37,109,30,1.3,24,106
2015-03-21,90,¡º,38,129,21,1.2,27,101
2015-03-22,78,¡º,44,106,22,1.4,27,99
2015-03-23,70,¡º,30,90,18,1.2,21,100
2015-03-24,62,¡º,45,67,12,1.3,20,85
2015-03-25,40,”≈,21,21,8,1.5,15,80
2015-03-26,40,”≈,28,35,9,1.6,21,80
2015-03-27,51,¡º,22,25,8,1.4,14,91
2015-03-28,102,«·∂»Œ€»æ,48,154,21,1.8,29,95
2015-03-29,96,¡º,43,141,16,1.4,26,127
2015-03-30,69,¡º,43,87,16,1.5,24,120
2015-03-31,107,«·∂»Œ€»æ,81,116,20,1.8,33,106
2015-04-01,81,¡º,60,109,11,1.8,18,75
2015-04-02,326,—œ÷ÿŒ€»æ,134,441,10,1.7,15,98
2015-04-03,133,«·∂»Œ€»æ,77,216,9,1.8,16,90
2015-04-04,67,¡º,36,84,10,1.7,13,67
2015-04-05,55,¡º,16,36,11,1.5,11,106
