»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,134,«·∂»Œ€»æ,102,140,38,1.8,40,34
2014-01-01,131,«·∂»Œ€»æ,100,129,31,2,36,25
2014-01-02,112,«·∂»Œ€»æ,85,113,27,1.9,35,36
2014-01-03,128,«·∂»Œ€»æ,97,129,25,2,34,43
2014-01-04,129,«·∂»Œ€»æ,98,132,30,2.2,41,40
2014-01-05,135,«·∂»Œ€»æ,103,132,20,2.2,37,41
2014-01-06,120,«·∂»Œ€»æ,91,117,31,2,38,37
2014-01-07,152,÷–∂»Œ€»æ,75,254,14,1.8,32,59
2014-01-08,156,÷–∂»Œ€»æ,62,263,29,1.6,21,66
2014-01-09,130,«·∂»Œ€»æ,64,211,26,1.4,29,64
2014-01-10,126,«·∂»Œ€»æ,75,201,21,1.2,33,61
2014-01-11,129,«·∂»Œ€»æ,82,209,22,1.3,39,58
2014-01-12,130,«·∂»Œ€»æ,74,210,12,1.1,21,64
2014-01-13,126,«·∂»Œ€»æ,88,202,24,1.2,36,51
2014-01-14,128,«·∂»Œ€»æ,92,205,25,1.3,39,58
2014-01-15,135,«·∂»Œ€»æ,103,214,22,1.4,38,67
2014-01-16,142,«·∂»Œ€»æ,109,209,23,1.5,38,68
2014-01-17,141,«·∂»Œ€»æ,108,200,31,1.6,44,72
2014-01-18,136,«·∂»Œ€»æ,104,178,30,1.6,43,71
2014-01-19,173,÷–∂»Œ€»æ,86,296,16,1.7,27,71
2014-01-20,132,«·∂»Œ€»æ,74,214,27,1.4,31,70
2014-01-21,117,«·∂»Œ€»æ,83,183,20,1.2,38,49
2014-01-22,109,«·∂»Œ€»æ,82,154,29,0.9,30,73
2014-01-23,116,«·∂»Œ€»æ,87,159,38,1.2,30,80
2014-01-24,100,¡º,75,136,23,1.2,37,73
2014-01-25,126,«·∂»Œ€»æ,96,157,29,1.1,41,80
2014-01-26,157,÷–∂»Œ€»æ,120,175,37,1,48,72
2014-01-27,137,«·∂»Œ€»æ,105,170,22,1.3,51,77
2014-01-28,108,«·∂»Œ€»æ,70,166,19,1.1,28,79
2014-01-29,123,«·∂»Œ€»æ,93,192,29,1.3,38,88
2014-01-30,141,«·∂»Œ€»æ,78,231,19,0.7,33,91
2014-01-31,130,«·∂»Œ€»æ,88,210,38,0.5,30,157
2014-02-01,121,«·∂»Œ€»æ,83,192,16,0.4,19,105
2014-02-02,64,¡º,30,77,7,0.2,10,97
2014-02-03,92,¡º,29,134,7,0.4,10,91
2014-02-04,64,¡º,28,78,6,0.4,12,84
2014-02-05,52,¡º,22,54,5,0.7,14,73
2014-02-06,88,¡º,34,125,12,0.9,14,78
2014-02-07,74,¡º,32,99,6,0.4,21,67
2014-02-08,79,¡º,41,108,9,0.5,21,79
2014-02-09,83,¡º,43,117,11,0.6,23,71
2014-02-10,123,«·∂»Œ€»æ,65,195,10,0.7,26,76
2014-02-11,114,«·∂»Œ€»æ,62,178,20,0.7,29,79
2014-02-12,187,÷–∂»Œ€»æ,80,323,17,0.9,29,79
2014-02-13,172,÷–∂»Œ€»æ,83,294,22,0.8,32,81
2014-02-14,144,«·∂»Œ€»æ,75,237,23,0.7,32,85
2014-02-15,119,«·∂»Œ€»æ,68,189,14,0.5,25,89
2014-02-16,92,¡º,53,133,10,0.4,23,90
2014-02-17,89,¡º,57,129,17,0.6,22,94
2014-02-18,105,«·∂»Œ€»æ,49,159,14,1,34,96
2014-02-19,165,÷–∂»Œ€»æ,125,281,15,1.2,40,102
2014-02-20,193,÷–∂»Œ€»æ,145,299,21,1.2,42,68
2014-02-21,167,÷–∂»Œ€»æ,83,284,22,1.1,37,79
2014-02-22,173,÷–∂»Œ€»æ,131,287,21,1.1,40,90
2014-02-23,195,÷–∂»Œ€»æ,135,339,24,1.2,42,95
2014-02-24,130,«·∂»Œ€»æ,82,210,13,0.7,26,98
2014-02-25,161,÷–∂»Œ€»æ,33,273,6,0.4,12,93
2014-02-26,228,÷ÿ∂»Œ€»æ,94,369,18,0.6,21,90
2014-02-27,117,«·∂»Œ€»æ,49,183,21,0.5,19,97
2014-02-28,150,«·∂»Œ€»æ,62,249,16,0.5,20,97
2014-03-01,137,«·∂»Œ€»æ,58,224,19,0.4,21,94
2014-03-02,162,÷–∂»Œ€»æ,78,273,22,0.5,28,101
2014-03-03,139,«·∂»Œ€»æ,55,227,18,0.4,20,100
2014-03-04,249,÷ÿ∂»Œ€»æ,101,384,15,0.8,32,103
2014-03-05,173,÷–∂»Œ€»æ,91,296,19,0.6,32,109
2014-03-06,446,—œ÷ÿŒ€»æ,136,546,26,0.9,38,90
2014-03-07,323,—œ÷ÿŒ€»æ,120,438,33,1,38,95
2014-03-08,206,÷ÿ∂»Œ€»æ,97,354,16,0.7,31,96
2014-03-09,183,÷–∂»Œ€»æ,89,316,16,0.7,31,95
2014-03-10,189,÷–∂»Œ€»æ,47,327,8,0.3,16,101
2014-03-11,85,¡º,41,120,14,0.5,24,112
2014-03-12,162,÷–∂»Œ€»æ,73,273,14,0.6,34,115
2014-03-13,313,—œ÷ÿŒ€»æ,99,430,26,0.4,27,106
2014-03-14,418,—œ÷ÿŒ€»æ,129,518,23,0.5,26,103
2014-03-15,439,—œ÷ÿŒ€»æ,151,539,16,0.7,40,121
2014-03-16,256,÷ÿ∂»Œ€»æ,115,389,20,0.5,30,116
