»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,255,÷ÿ∂»Œ€»æ,205,283,153,3.1,140,12
2013-12-03,153,÷–∂»Œ€»æ,117,178,86,1.8,92,35
2013-12-04,230,÷ÿ∂»Œ€»æ,180,246,111,3,102,18
2013-12-05,108,«·∂»Œ€»æ,81,131,74,1.6,62,35
2013-12-06,207,÷ÿ∂»Œ€»æ,157,217,92,2.2,85,16
2013-12-07,427,—œ÷ÿŒ€»æ,390,480,98,5.6,144,9
2013-12-08,338,—œ÷ÿŒ€»æ,288,407,54,3.2,94,11
2013-12-09,56,¡º,23,61,25,0.5,34,33
2013-12-10,115,«·∂»Œ€»æ,87,171,59,1.6,54,33
2013-12-11,65,¡º,44,81,54,1.1,50,35
2013-12-12,71,¡º,42,92,39,0.7,41,43
2013-12-13,88,¡º,65,107,70,1.3,57,33
2013-12-14,120,«·∂»Œ€»æ,91,136,73,1.7,73,28
2013-12-15,151,÷–∂»Œ€»æ,116,168,78,2.6,86,17
2013-12-16,332,—œ÷ÿŒ€»æ,282,357,101,5.3,135,10
2013-12-17,250,÷ÿ∂»Œ€»æ,200,258,136,3.8,94,9
2013-12-18,81,¡º,59,86,48,0.9,51,21
2013-12-19,90,¡º,67,95,55,1.1,56,24
2013-12-20,90,¡º,67,103,50,1.3,62,35
2013-12-21,113,«·∂»Œ€»æ,86,114,66,1.3,82,23
2013-12-22,362,—œ÷ÿŒ€»æ,312,360,143,3.4,116,9
2013-12-23,317,—œ÷ÿŒ€»æ,267,323,126,3.4,131,19
2013-12-24,374,—œ÷ÿŒ€»æ,324,391,149,5.1,151,11
2013-12-25,421,—œ÷ÿŒ€»æ,382,488,95,4.6,135,22
2013-12-26,54,¡º,13,58,13,0.3,24,48
2013-12-27,52,¡º,30,55,34,0.7,53,31
2013-12-28,53,¡º,38,56,33,0.6,46,39
2013-12-29,152,÷–∂»Œ€»æ,116,166,95,1.9,75,30
2013-12-30,101,«·∂»Œ€»æ,76,146,67,1.4,72,35
2013-12-31,141,«·∂»Œ€»æ,108,215,69,2.1,70,41
2014-01-01,153,÷–∂»Œ€»æ,117,207,83,2.1,73,42
2014-01-02,203,÷ÿ∂»Œ€»æ,153,223,100,3,84,27
2014-01-03,102,«·∂»Œ€»æ,77,143,46,1.2,57,31
2014-01-04,136,«·∂»Œ€»æ,104,136,85,1.7,70,23
2014-01-05,172,÷–∂»Œ€»æ,130,165,68,1.8,71,54
2014-01-06,189,÷–∂»Œ€»æ,142,173,59,1.8,64,39
2014-01-07,166,÷–∂»Œ€»æ,126,162,50,1.6,63,55
2014-01-08,51,¡º,25,52,25,0.5,38,52
2014-01-09,64,¡º,43,79,39,0.9,51,38
2014-01-10,248,÷ÿ∂»Œ€»æ,198,258,139,2.4,96,39
2014-01-11,402,—œ÷ÿŒ€»æ,353,421,169,3.8,125,14
2014-01-12,103,«·∂»Œ€»æ,77,119,44,0.8,53,34
