日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,34,优,14,25,20,0.6,11,67
2015-01-01,30,优,16,26,19,0.7,9,60
2015-01-02,31,优,22,29,31,0.7,12,55
2015-01-03,83,良,61,73,59,1,34,50
2015-01-04,181,中度污染,137,174,81,1.7,50,30
2015-01-05,194,中度污染,146,193,93,2,46,14
2015-01-06,52,良,8,54,22,0.6,9,68
2015-01-07,34,优,13,24,23,0.4,9,68
2015-01-08,31,优,21,30,34,0.5,13,61
2015-01-09,49,优,34,42,51,0.7,22,57
2015-01-10,76,良,56,53,59,0.7,25,53
2015-01-11,40,优,28,35,34,0.4,14,63
2015-01-12,53,良,37,44,43,0.5,19,66
2015-01-13,113,轻度污染,85,104,58,1,44,38
2015-01-14,163,中度污染,124,122,65,1.4,45,39
2015-01-15,131,轻度污染,100,120,66,1.2,35,55
2015-01-16,80,良,59,69,52,0.9,26,64
2015-01-17,34,优,20,31,35,0.5,12,67
2015-01-18,89,良,66,76,90,1,47,63
2015-01-19,80,良,59,63,61,0.9,28,58
2015-01-20,101,轻度污染,75,89,83,1.1,39,52
2015-01-21,133,轻度污染,101,121,100,1.4,45,20
2015-01-22,101,轻度污染,76,99,63,1.2,33,61
2015-01-23,112,轻度污染,84,102,84,1.3,43,36
2015-01-24,118,轻度污染,89,113,65,1.3,35,62
2015-01-25,195,中度污染,147,174,129,1.8,48,41
2015-01-26,151,中度污染,115,155,107,1.4,42,57
2015-01-27,33,优,12,32,41,0.6,10,66
2015-01-28,38,优,27,32,44,0.8,15,66
2015-01-29,76,良,56,78,106,0.9,38,46
2015-01-30,65,良,47,68,47,0.7,22,65
2015-01-31,39,优,27,38,33,0.5,14,70
2015-02-01,58,良,41,51,46,0.7,23,69
2015-02-02,70,良,51,57,53,0.8,30,66
2015-02-03,111,轻度污染,84,98,54,1,38,64
2015-02-04,190,中度污染,143,163,68,1.3,49,52
2015-02-05,149,轻度污染,114,134,45,1.2,32,91
2015-02-06,128,轻度污染,98,117,49,1.2,39,66
2015-02-07,105,轻度污染,79,114,36,1.1,25,69
2015-02-08,51,良,14,52,20,0.6,7,62
2015-02-09,40,优,22,40,22,0.6,11,69
2015-02-10,39,优,21,33,27,0.5,15,78
2015-02-11,59,良,42,56,39,0.7,23,79
2015-02-12,60,良,43,58,25,0.8,24,69
2015-02-13,66,良,48,61,27,0.8,23,74
2015-02-14,89,良,67,78,47,1.1,33,81
2015-02-15,113,轻度污染,85,95,40,1.2,39,65
2015-02-16,102,轻度污染,76,96,57,1.1,35,71
2015-02-17,37,优,19,29,26,0.7,19,74
2015-02-18,51,良,36,45,29,0.7,18,74
2015-02-19,55,良,39,40,27,0.5,13,85
2015-02-20,53,良,38,45,49,0.7,21,67
2015-02-21,105,轻度污染,79,66,52,0.9,40,52
2015-02-22,134,轻度污染,59,217,26,0.6,21,71
2015-02-23,89,良,32,127,24,0.4,9,79
2015-02-24,49,优,34,38,25,0.5,17,83
2015-02-25,55,良,36,60,54,0.6,26,67
2015-02-26,53,良,38,55,28,0.6,13,92
2015-02-27,44,优,25,33,26,0.5,11,88
2015-02-28,53,良,37,48,35,0.7,24,83
2015-03-01,46,优,31,46,31,0.6,17,79
2015-03-02,43,优,30,42,32,0.7,21,85
2015-03-03,43,优,23,34,26,0.6,14,85
2015-03-04,58,良,41,49,23,0.7,12,105
2015-03-05,49,优,33,45,29,0.7,17,97
2015-03-06,63,良,45,53,43,0.8,27,78
2015-03-07,88,良,65,76,51,1.1,38,62
2015-03-08,116,轻度污染,88,96,41,1.2,35,73
2015-03-09,42,优,16,29,21,0.7,10,83
2015-03-10,44,优,17,35,19,0.7,7,87
2015-03-11,44,优,14,33,19,0.6,7,87
2015-03-12,44,优,15,29,20,0.6,9,87
2015-03-13,45,优,23,27,27,0.6,14,89
2015-03-14,58,良,41,43,27,0.8,22,96
2015-03-15,68,良,44,86,37,0.8,29,79
2015-03-16,90,良,54,130,26,0.8,24,93
2015-03-17,57,良,41,60,17,0.6,16,101
2015-03-18,57,良,40,55,28,0.5,24,97
2015-03-19,61,良,44,65,26,0.5,24,98
2015-03-20,57,良,37,62,22,0.5,23,108
2015-03-21,59,良,38,69,22,0.5,22,92
2015-03-22,69,良,18,87,11,0.3,10,86
2015-03-23,43,优,13,43,10,0.3,7,81
2015-03-24,48,优,28,36,15,0.4,13,95
2015-03-26,110,轻度污染,83,111,28,1,36,143
2015-03-27,113,轻度污染,113,144,24,1.2,43,155
2015-03-28,111,轻度污染,84,119,27,1,33,148
2015-03-29,116,轻度污染,88,117,14,1,24,113
2015-03-30,130,轻度污染,99,133,26,1.2,38,80
2015-03-31,79,良,58,86,15,1,26,86
2015-04-01,48,优,25,36,12,0.7,20,95
2015-04-02,45,优,30,45,23,0.8,27,74
2015-04-03,47,优,11,14,13,0.7,16,94
2015-04-04,46,优,21,32,16,0.8,20,91
2015-04-05,40,优,17,23,14,0.8,17,80
2015-04-06,43,优,19,34,10,0.7,9,85
2015-04-07,43,优,23,29,11,0.7,11,86
2015-04-08,49,优,31,43,13,0.8,17,98
2015-04-09,53,良,37,55,20,0.9,22,96
2015-04-10,69,良,50,59,18,1,22,104
2015-04-11,62,良,45,59,17,1,24,89
2015-04-12,62,良,44,55,16,1,22,108
2015-04-13,57,良,41,57,18,0.9,23,102
2015-04-14,75,良,47,67,18,0.8,25,130
2015-04-15,76,良,40,64,15,0.8,22,131
2015-04-16,58,良,19,29,15,0.7,19,109
2015-04-17,81,良,45,112,14,0.8,22,86
2015-04-18,66,良,43,81,14,0.7,20,106
2015-04-19,64,良,36,79,23,0.7,26,105
2015-04-20,85,良,42,119,13,0.6,19,99
2015-04-21,70,良,47,90,13,0.7,23,105
2015-04-22,62,良,44,69,12,0.8,26,112
2015-04-23,68,良,39,85,12,0.8,23,107
2015-04-24,54,良,20,58,9,0.8,17,99
2015-04-25,54,良,23,53,10,1,24,105
2015-04-26,89,良,42,80,15,1,24,147
2015-04-27,112,轻度污染,39,80,18,0.8,23,173
2015-04-28,122,轻度污染,41,77,14,0.8,19,184
2015-04-29,96,良,43,73,12,0.7,21,155
2015-04-30,98,良,48,92,11,0.8,29,157
2015-05-01,78,良,36,88,10,0.7,25,133
2015-05-02,74,良,33,55,10,0.8,19,129
2015-05-03,66,良,28,41,8,0.7,14,119
2015-05-04,64,良,13,77,8,0.5,11,99
2015-05-05,127,轻度污染,36,205,10,0.6,16,116
2015-05-06,168,中度污染,42,285,8,0.5,8,97
2015-05-07,69,良,24,88,11,0.6,17,99
2015-05-08,53,良,12,56,8,0.6,7,82
2015-05-09,40,优,14,18,8,0.6,9,80
2015-05-10,53,良,16,32,9,0.6,15,104
2015-05-11,46,优,19,44,10,0.7,19,92
2015-05-12,45,优,8,14,7,0.6,15,89
2015-05-13,42,优,8,14,3,0.7,14,83
2015-05-14,35,优,16,19,4,0.7,18,69
2015-05-15,31,优,16,21,4,0.6,18,61
2015-05-16,57,良,15,43,4,0.6,14,108
2015-05-17,38,优,19,37,5,0.6,24,75
2015-05-18,42,优,29,34,5,0.7,30,74
2015-05-19,46,优,12,26,3,0.6,15,92
2015-05-20,53,良,12,25,3,0.4,12,104
2015-05-21,58,良,19,40,4,0.5,21,110
2015-05-22,75,良,26,44,5,0.4,22,130
2015-05-23,98,良,27,57,6,0.5,23,157
2015-05-24,103,轻度污染,37,59,7,0.6,29,163
2015-05-25,83,良,29,50,5,0.5,26,139
2015-05-26,58,良,36,47,6,0.6,23,109
2015-05-27,88,良,18,23,3,0.6,11,146
2015-05-28,38,优,12,22,4,0.6,13,76
2015-05-29,53,良,21,38,3,0.5,25,104
2015-05-30,48,优,13,33,2,0.3,15,95
2015-05-31,58,良,11,30,3,0.3,19,109
2015-06-01,98,良,28,80,4,0.5,18,158
2015-06-02,68,良,18,40,3,0.5,21,122
2015-06-03,42,优,22,11,2,0.3,8,84
2015-06-04,71,良,13,23,3,0.4,19,125
2015-06-05,50,优,21,27,3,0.5,30,99
2015-06-06,36,优,15,19,2,0.5,15,72
2015-06-07,35,优,17,18,3,0.6,21,70
2015-06-08,31,优,20,23,3,0.7,23,62
2015-06-09,46,优,13,23,3,0.5,17,91
2015-06-10,67,良,17,32,3,0.6,26,120
2015-06-11,58,良,21,40,3,0.7,23,110
2015-06-12,62,良,8,14,2,0.6,15,114
2015-06-13,53,良,14,25,2,0.7,16,104
2015-06-14,68,良,15,30,3,0.7,21,122
2015-06-15,81,良,14,29,2,0.6,24,137
2015-06-16,81,良,16,35,3,0.7,30,137
2015-06-17,59,良,18,38,3,0.7,27,111
2015-06-18,47,优,14,24,2,0.6,12,93
2015-06-19,40,优,12,21,2,0.5,16,79
2015-06-20,53,良,22,32,2,0.5,25,104
2015-06-21,77,良,19,36,2,0.6,24,132
2015-06-22,99,良,22,42,3,0.6,24,159
2015-06-23,47,优,18,26,2,0.6,14,94
2015-06-24,44,优,19,30,2,0.7,15,88
2015-06-25,42,优,20,33,2,0.7,12,83
2015-06-26,50,优,17,33,3,0.7,14,99
2015-06-27,48,优,9,22,2,0.6,13,96
2015-06-28,32,优,13,27,2,0.6,14,63
2015-06-29,48,优,11,23,2,0.6,13,95
2015-06-30,49,优,9,18,2,0.5,17,98
2015-07-01,36,优,9,21,2,0.6,17,72
2015-07-02,39,优,9,20,2,0.5,18,78
2015-07-03,32,优,9,19,3,0.5,18,64
2015-07-04,38,优,9,20,3,0.5,18,76
2015-07-05,73,良,11,26,3,0.5,19,128
