»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,92,¡º,37,133,59,1.3,51,58
2013-12-01,134,«·∂»Œ€»æ,102,136,69,2.7,56,49
2013-12-02,207,÷ÿ∂»Œ€»æ,157,174,101,2.7,68,40
2013-12-03,258,÷ÿ∂»Œ€»æ,208,223,97,3.6,76,30
2013-12-04,204,÷ÿ∂»Œ€»æ,154,178,122,2.4,66,47
2013-12-05,168,÷–∂»Œ€»æ,127,146,100,2.3,64,46
2013-12-06,172,÷–∂»Œ€»æ,130,138,68,2.1,53,59
2013-12-07,300,÷ÿ∂»Œ€»æ,250,218,36,2.8,53,38
2013-12-08,297,÷ÿ∂»Œ€»æ,247,243,24,4,47,24
2013-12-09,215,÷ÿ∂»Œ€»æ,165,163,70,3.3,55,46
2013-12-10,134,«·∂»Œ€»æ,102,127,90,1.4,57,30
2013-12-11,98,¡º,73,104,96,1.4,50,39
2013-12-12,122,«·∂»Œ€»æ,92,122,122,1.4,59,46
2013-12-13,166,÷–∂»Œ€»æ,126,158,101,1.9,65,25
2013-12-14,280,÷ÿ∂»Œ€»æ,230,241,150,3.1,87,20
2013-12-15,360,—œ÷ÿŒ€»æ,310,308,89,3.3,92,16
2013-12-16,450,—œ÷ÿŒ€»æ,424,394,74,4.3,100,14
2013-12-17,331,—œ÷ÿŒ€»æ,281,252,106,4.2,94,13
2013-12-18,139,«·∂»Œ€»æ,106,94,51,2.4,47,20
2013-12-19,244,÷ÿ∂»Œ€»æ,194,196,92,3,70,17
2013-12-20,356,—œ÷ÿŒ€»æ,306,332,71,4.4,104,17
2013-12-21,236,÷ÿ∂»Œ€»æ,186,187,62,3,64,32
2013-12-22,265,÷ÿ∂»Œ€»æ,215,208,74,2.6,67,41
2013-12-23,403,—œ÷ÿŒ€»æ,354,366,125,4.4,97,15
2013-12-24,440,—œ÷ÿŒ€»æ,410,360,62,4.2,76,18
2013-12-25,368,—œ÷ÿŒ€»æ,318,351,119,3.5,79,100
2013-12-26,195,÷–∂»Œ€»æ,146,197,102,2.9,78,100
2013-12-27,83,¡º,61,104,101,1.8,54,133
2013-12-28,83,¡º,54,86,76,1.6,48,139
2013-12-29,80,¡º,42,86,70,2,54,135
2013-12-30,87,¡º,44,123,74,1.6,53,59
2014-01-01,83,¡º,50,116,83,1.9,58,49
2014-01-02,175,÷–∂»Œ€»æ,132,187,97,3.1,84,19
2014-01-03,76,¡º,52,102,68,1.9,49,45
2014-01-04,119,«·∂»Œ€»æ,90,138,84,2.4,63,38
2014-01-05,217,÷ÿ∂»Œ€»æ,167,192,106,3.1,85,30
2014-01-06,257,÷ÿ∂»Œ€»æ,207,206,84,3.3,76,19
2014-01-07,270,÷ÿ∂»Œ€»æ,220,230,130,3.8,82,14
2014-01-08,134,«·∂»Œ€»æ,102,105,80,2.6,65,25
2014-01-09,139,«·∂»Œ€»æ,106,117,80,2.7,57,41
2014-01-10,228,÷ÿ∂»Œ€»æ,178,175,45,2.8,54,42
2014-01-11,213,÷ÿ∂»Œ€»æ,163,170,69,2.5,59,48
2014-01-12,208,÷ÿ∂»Œ€»æ,158,158,100,3.3,75,42
2014-01-13,169,÷–∂»Œ€»æ,128,144,97,2.7,67,43
2014-01-14,240,÷ÿ∂»Œ€»æ,190,186,38,2.8,54,26
2014-01-15,296,÷ÿ∂»Œ€»æ,246,244,36,3.6,64,14
2014-01-16,298,÷ÿ∂»Œ€»æ,248,250,95,3.6,82,23
2014-01-17,348,—œ÷ÿŒ€»æ,298,245,103,4.3,83,29
2014-01-18,314,—œ÷ÿŒ€»æ,264,223,73,4,63,75
2014-01-19,223,÷ÿ∂»Œ€»æ,173,215,58,2.9,46,53
2014-01-20,59,¡º,28,68,48,2,36,61
2014-01-21,77,¡º,56,78,64,2.4,46,56
2014-01-22,108,«·∂»Œ€»æ,81,100,60,2.3,43,72
2014-01-23,152,÷–∂»Œ€»æ,116,120,69,2.9,56,76
2014-01-24,255,÷ÿ∂»Œ€»æ,205,219,99,4.1,94,25
2014-01-25,127,«·∂»Œ€»æ,96,100,85,2.7,62,62
2014-01-26,77,¡º,56,68,50,2.2,42,56
2014-01-27,143,«·∂»Œ€»æ,109,112,54,2.5,52,65
2014-01-28,227,÷ÿ∂»Œ€»æ,177,167,94,3.7,68,57
2014-01-29,199,÷–∂»Œ€»æ,149,139,50,2.4,34,77
2014-01-30,283,÷ÿ∂»Œ€»æ,233,216,37,3.3,56,38
2014-01-31,244,÷ÿ∂»Œ€»æ,194,215,19,2.9,32,26
2014-02-01,164,÷–∂»Œ€»æ,125,123,34,1.9,24,18
2014-02-02,262,÷ÿ∂»Œ€»æ,212,175,33,3,32,26
2014-02-03,104,«·∂»Œ€»æ,78,79,37,1.9,27,57
2014-02-04,82,¡º,60,60,32,1.7,26,54
2014-02-05,59,¡º,42,33,22,1.5,19,49
2014-02-06,107,«·∂»Œ€»æ,80,63,50,1.8,26,58
2014-02-08,127,«·∂»Œ€»æ,96,72,96,1.9,30,70
2014-02-09,89,¡º,66,51,49,2,24,75
2014-02-10,45,”≈,30,34,45,1.7,28,68
2014-02-11,90,¡º,67,81,51,1.9,35,87
2014-02-12,134,«·∂»Œ€»æ,102,112,63,2.3,40,108
2014-02-13,209,÷ÿ∂»Œ€»æ,159,167,110,2.8,58,55
2014-02-14,230,÷ÿ∂»Œ€»æ,180,199,102,2.7,45,94
2014-02-15,172,÷–∂»Œ€»æ,130,150,38,2.2,34,73
2014-02-16,220,÷ÿ∂»Œ€»æ,170,198,39,3,55,61
2014-02-17,202,÷ÿ∂»Œ€»æ,152,165,28,3.1,39,39
2014-02-18,65,¡º,47,75,44,2.2,38,70
2014-02-19,153,÷–∂»Œ€»æ,117,173,62,2.9,50,46
2014-02-20,190,÷–∂»Œ€»æ,143,214,68,2.7,47,72
2014-02-21,97,¡º,72,117,36,2.4,36,80
2014-02-22,155,÷–∂»Œ€»æ,118,173,56,2.6,38,82
2014-02-23,175,÷–∂»Œ€»æ,132,210,39,2.5,46,56
2014-02-24,158,÷–∂»Œ€»æ,120,195,34,2.4,44,73
2014-02-25,209,÷ÿ∂»Œ€»æ,159,247,35,2.6,50,49
2014-02-26,105,«·∂»Œ€»æ,79,0,24,1.9,28,44
2014-02-27,109,«·∂»Œ€»æ,82,0,20,2,26,75
2014-02-28,67,¡º,48,0,24,1.7,32,47
2014-02-07,140,«·∂»Œ€»æ,107,82,66,2.3,38,79
2014-03-01,138,«·∂»Œ€»æ,105,162,40,1.9,36,40
2014-03-02,183,÷–∂»Œ€»æ,138,210,36,2.1,32,74
2014-03-03,127,«·∂»Œ€»æ,96,156,26,2,30,108
2014-03-04,142,«·∂»Œ€»æ,108,178,36,2.4,46,79
2014-03-05,72,¡º,52,90,37,2.2,37,52
2014-03-06,100,¡º,75,125,28,2.1,42,64
2014-03-07,110,«·∂»Œ€»æ,83,140,32,1.7,46,76
2014-03-08,137,«·∂»Œ€»æ,104,169,48,1.7,56,58
2014-03-09,147,«·∂»Œ€»æ,112,186,54,2.4,49,70
2014-03-10,95,¡º,71,0,27,2.3,27,121
2014-03-11,109,«·∂»Œ€»æ,82,108,29,2.2,32,95
2014-03-12,142,«·∂»Œ€»æ,92,234,20,2.2,32,57
2014-03-13,90,¡º,67,115,42,2.8,43,66
2014-03-14,87,¡º,54,124,49,2.2,44,70
2014-03-15,95,¡º,68,140,42,2.2,30,96
2014-03-16,100,¡º,75,133,32,2,28,116
2014-03-17,162,÷–∂»Œ€»æ,123,206,39,1.6,37,89
2014-03-18,258,÷ÿ∂»Œ€»æ,180,390,55,1.3,43,48
2014-03-19,119,«·∂»Œ€»æ,90,151,56,1.1,33,56
2014-03-20,93,¡º,69,111,26,1,33,83
2014-03-21,112,«·∂»Œ€»æ,84,133,33,0.9,36,115
2014-03-22,104,«·∂»Œ€»æ,78,0,29,1,40,115
2014-03-23,143,«·∂»Œ€»æ,109,158,29,1.9,35,101
2014-03-24,188,÷–∂»Œ€»æ,141,182,37,1.4,40,112
2014-03-25,189,÷–∂»Œ€»æ,142,228,38,1.6,42,54
2014-03-26,118,«·∂»Œ€»æ,89,141,22,1.5,30,96
2014-03-27,92,¡º,68,0,21,1.6,24,149
2014-03-28,93,¡º,67,136,19,1.5,34,110
2014-03-29,175,÷–∂»Œ€»æ,132,266,20,2,37,130
2014-03-30,166,÷–∂»Œ€»æ,126,213,28,1.9,36,89
2014-03-31,128,«·∂»Œ€»æ,97,165,22,1.6,38,124
2014-04-01,104,«·∂»Œ€»æ,78,138,23,1.4,45,141
2014-04-02,82,¡º,60,0,0,0,0,126
2014-04-03,113,«·∂»Œ€»æ,85,176,13,1.4,32,97
2014-04-04,144,«·∂»Œ€»æ,110,226,24,1.9,34,124
2014-04-05,117,«·∂»Œ€»æ,88,169,25,1.8,24,85
2014-04-06,93,¡º,68,136,21,2,26,121
2014-04-07,114,«·∂»Œ€»æ,86,145,19,2.2,25,120
2014-04-08,158,÷–∂»Œ€»æ,120,163,15,2.5,31,127
