»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,114,«·∂»Œ€»æ,80,178,125,1.9,74,34
2013-12-03,83,¡º,45,117,87,1.1,47,52
2013-12-04,94,¡º,50,138,119,1.2,53,41
2013-12-05,61,¡º,31,72,84,0.7,31,56
2013-12-06,84,¡º,53,119,93,1.1,44,40
2013-12-07,100,¡º,66,149,135,1.3,55,35
2013-12-08,67,¡º,29,83,79,0.6,20,58
2013-12-09,40,”≈,19,40,79,0.5,18,72
2013-12-10,88,¡º,22,126,53,0.4,17,71
2013-12-11,54,¡º,28,59,96,0.8,34,68
2013-12-12,45,”≈,20,45,51,0.5,22,69
2013-12-13,68,¡º,32,87,96,0.9,35,53
2013-12-14,64,¡º,32,77,72,0.7,26,65
2013-12-15,73,¡º,39,96,91,0.9,33,51
2013-12-16,78,¡º,50,107,93,1,34,52
2013-12-17,47,”≈,25,47,58,0.5,15,71
2013-12-18,54,¡º,27,57,81,0.7,23,65
2013-12-19,53,¡º,25,56,79,0.7,23,65
2013-12-20,54,¡º,30,57,73,0.7,22,63
2013-12-21,59,¡º,32,67,83,0.9,31,67
2013-12-22,75,¡º,49,100,89,1.1,36,52
2013-12-23,79,¡º,48,108,61,0.9,24,56
2013-12-24,103,«·∂»Œ€»æ,77,150,120,1.3,48,51
2013-12-25,108,«·∂»Œ€»æ,61,165,70,1.1,28,62
2013-12-26,48,”≈,23,48,50,0.6,18,64
2013-12-27,62,¡º,40,73,75,0.9,29,47
2013-12-28,51,¡º,32,52,71,0.8,22,63
2013-12-29,81,¡º,49,112,93,1.2,37,47
2013-12-30,106,«·∂»Œ€»æ,53,163,84,1.2,30,60
2013-12-31,144,«·∂»Œ€»æ,38,239,66,0.8,18,70
2014-01-01,107,«·∂»Œ€»æ,41,163,93,1.1,29,59
2014-01-02,91,¡º,52,131,108,1.3,34,40
2014-01-03,120,«·∂»Œ€»æ,53,191,89,1.1,28,53
2014-01-04,86,¡º,58,122,103,1.3,35,35
2014-01-05,74,¡º,43,98,93,1.1,32,53
2014-01-06,165,÷–∂»Œ€»æ,126,207,167,2.4,51,32
2014-01-07,93,¡º,69,105,92,1.2,26,64
2014-01-08,57,¡º,32,64,66,0.8,18,56
2014-01-09,72,¡º,39,95,71,1,26,52
2014-01-10,79,¡º,39,108,78,1.1,29,45
2014-01-11,79,¡º,41,108,76,1,24,58
2014-01-12,60,¡º,43,68,82,1.1,27,57
2014-01-13,74,¡º,47,98,93,1.2,29,46
2014-01-14,69,¡º,40,88,75,1.1,25,55
2014-01-15,74,¡º,45,98,113,1.3,44,43
2014-01-16,83,¡º,50,115,120,1.4,48,53
2014-01-17,61,¡º,27,73,65,0.9,26,63
2014-01-18,74,¡º,36,97,102,1.3,43,43
2014-01-19,159,÷–∂»Œ€»æ,56,267,98,1.4,37,74
2014-01-20,55,¡º,18,60,52,0.7,17,72
2014-01-21,56,¡º,36,62,68,0.9,24,49
2014-01-22,91,¡º,60,132,129,1.7,54,34
2014-01-23,129,«·∂»Œ€»æ,98,188,191,2.6,68,30
2014-01-24,77,¡º,37,104,104,1.2,36,66
2014-01-25,50,”≈,20,50,81,0.8,20,67
2014-01-26,97,¡º,59,145,132,1.5,42,42
2014-01-27,117,«·∂»Œ€»æ,72,183,104,1.4,35,65
2014-01-28,68,¡º,41,86,110,1.2,32,57
2014-01-29,111,«·∂»Œ€»æ,75,172,130,1.7,40,70
2014-01-30,73,¡º,48,97,103,1.1,29,71
2014-01-31,233,÷ÿ∂»Œ€»æ,183,282,207,2.2,52,53
2014-02-01,240,÷ÿ∂»Œ€»æ,190,318,193,2.6,55,59
2014-02-02,118,«·∂»Œ€»æ,79,185,76,1,17,77
