»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,145,«·∂»Œ€»æ,111,179,113,1.5,74,59
2014-01-01,209,÷ÿ∂»Œ€»æ,159,216,110,1.8,74,61
2014-01-02,179,÷–∂»Œ€»æ,135,185,73,1.4,87,39
2014-01-03,267,÷ÿ∂»Œ€»æ,217,250,78,1.4,87,76
2014-01-04,141,«·∂»Œ€»æ,108,161,31,0.7,44,47
2014-01-05,112,«·∂»Œ€»æ,84,127,61,0.7,67,42
2014-01-06,61,¡º,32,73,41,0.4,54,59
2014-01-07,70,¡º,51,82,103,0.7,55,38
2014-01-08,440,—œ÷ÿŒ€»æ,410,28,8,0.4,16,79
2014-01-09,61,¡º,40,72,18,0.6,30,61
2014-01-10,76,¡º,56,98,44,0.7,56,53
2014-01-11,145,«·∂»Œ€»æ,111,102,25,1,38,45
2014-01-12,196,÷–∂»Œ€»æ,147,176,25,1.2,40,78
2014-01-13,82,¡º,61,100,32,1.1,32,53
2014-01-14,52,¡º,27,55,22,0.8,37,50
2014-01-15,59,¡º,39,68,21,0.9,37,67
2014-01-16,134,«·∂»Œ€»æ,102,141,36,1.2,55,64
2014-01-17,216,÷ÿ∂»Œ€»æ,166,210,61,1.7,76,44
2014-01-18,226,÷ÿ∂»Œ€»æ,176,207,22,1.4,36,60
2014-01-19,227,÷ÿ∂»Œ€»æ,177,216,41,1.7,58,75
2014-01-20,226,÷ÿ∂»Œ€»æ,176,276,64,1.6,58,53
2014-01-21,91,¡º,51,132,31,0.8,30,48
2014-01-22,77,¡º,56,86,50,1.2,44,67
2014-01-23,90,¡º,67,98,34,0.8,51,66
2014-01-24,78,¡º,58,90,32,0.8,46,58
2014-01-25,139,«·∂»Œ€»æ,107,144,28,1.2,42,72
2014-01-26,61,¡º,34,73,24,0.9,21,75
2014-01-27,54,¡º,21,58,17,0.6,27,66
2014-01-28,88,¡º,65,109,31,1.1,35,54
2014-01-29,80,¡º,59,97,23,1,28,54
2014-01-30,240,÷ÿ∂»Œ€»æ,190,229,32,2.6,40,70
2014-01-31,215,÷ÿ∂»Œ€»æ,165,215,20,1.5,18,107
2014-02-01,118,«·∂»Œ€»æ,90,120,28,1.3,22,87
2014-02-02,240,÷ÿ∂»Œ€»æ,190,300,13,2.6,31,42
2014-02-03,74,¡º,50,97,12,1.3,13,68
2014-02-04,43,”≈,12,43,14,0.6,9,80
2014-02-05,39,”≈,8,28,8,0.5,19,77
2014-02-06,29,”≈,4,19,8,0.4,17,58
2014-02-07,36,”≈,19,36,5,0.6,11,62
2014-02-08,68,¡º,50,72,14,0.7,13,75
2014-02-09,67,¡º,49,77,14,0.7,14,78
2014-02-10,94,¡º,22,47,24,0.4,10,153
2014-02-11,56,¡º,33,62,19,0.5,15,74
2014-02-12,56,¡º,34,62,28,1.4,21,74
2014-02-13,54,¡º,29,59,13,0.8,15,82
2014-02-14,70,¡º,51,84,12,0.9,23,94
2014-02-15,69,¡º,50,78,23,1.2,36,72
2014-02-16,50,”≈,30,51,13,0.9,43,58
2014-02-17,39,”≈,22,39,8,1.1,27,49
2014-02-18,35,”≈,16,30,6,0.7,17,69
2014-02-19,84,¡º,62,92,26,1,33,66
2014-02-20,185,÷–∂»Œ€»æ,139,189,46,1.6,51,68
2014-02-21,140,«·∂»Œ€»æ,107,159,63,1.3,53,99
2014-02-22,98,¡º,73,111,33,1.3,41,77
2014-02-23,117,«·∂»Œ€»æ,88,130,31,1.5,36,109
2014-02-24,126,«·∂»Œ€»æ,96,143,31,1.5,44,80
2014-02-25,45,”≈,28,45,11,1,27,64
2014-02-26,61,¡º,44,68,24,1,27,79
2014-02-27,185,÷–∂»Œ€»æ,140,199,46,1.7,54,57
2014-02-28,73,¡º,53,76,22,1.2,23,48
2014-03-01,55,¡º,28,60,21,0.8,28,56
2014-03-02,97,¡º,73,125,38,1.1,33,77
2014-03-03,75,¡º,41,100,29,1,27,97
2014-03-04,53,¡º,25,56,21,0.9,34,70
2014-03-05,67,¡º,43,84,34,0.9,23,79
2014-03-06,58,¡º,25,66,26,0.8,23,78
2014-03-07,58,¡º,23,65,34,1.2,32,86
2014-03-08,69,¡º,44,89,33,0.9,36,78
2014-03-09,128,«·∂»Œ€»æ,97,154,50,1.4,56,101
2014-03-10,190,÷–∂»Œ€»æ,143,216,59,1.5,64,107
2014-03-11,175,÷–∂»Œ€»æ,133,182,48,1,40,148
2014-03-12,71,¡º,52,83,24,0.9,28,87
2014-03-13,62,¡º,28,73,27,0.6,23,83
2014-03-14,134,«·∂»Œ€»æ,102,149,75,1.2,61,89
2014-03-15,125,«·∂»Œ€»æ,95,168,64,1.3,65,119
2014-03-16,119,«·∂»Œ€»æ,90,164,66,1.1,56,137
2014-03-17,92,¡º,69,122,45,1.2,44,122
2014-03-18,193,÷–∂»Œ€»æ,132,336,65,1.9,63,104
2014-03-19,101,«·∂»Œ€»æ,59,152,25,1.2,25,91
2014-03-20,95,¡º,71,118,20,0.8,22,113
2014-03-21,76,¡º,45,101,26,0.7,33,122
2014-03-22,83,¡º,53,115,45,0.6,43,134
2014-03-23,81,¡º,54,112,39,0.6,42,104
2014-03-24,83,¡º,57,116,51,0.7,52,44
2014-03-25,107,«·∂»Œ€»æ,80,120,42,1.3,50,81
2014-03-26,94,¡º,71,101,24,1.3,36,104
2014-03-27,103,«·∂»Œ€»æ,77,107,48,1.2,68,75
2014-03-28,72,¡º,53,74,36,0.7,49,77
2014-03-29,131,«·∂»Œ€»æ,100,125,31,1.4,52,43
2014-03-30,105,«·∂»Œ€»æ,79,106,31,0.9,37,119
2014-03-31,85,¡º,63,85,31,0.9,39,101
2014-04-01,66,¡º,47,82,23,0.8,30,98
2014-04-02,80,¡º,59,96,29,0.9,46,89
2014-04-03,71,¡º,51,87,29,1,37,120
2014-04-04,78,¡º,54,106,41,1,52,117
2014-04-05,85,¡º,57,120,35,1,49,93
2014-04-06,67,¡º,26,84,43,0.5,29,95
