»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,133,«·∂»Œ€»æ,101,155,26,1.8,36,94
2014-01-01,132,«·∂»Œ€»æ,100,132,23,1.1,25,105
2014-01-02,190,÷–∂»Œ€»æ,143,185,44,1.4,33,119
2014-01-03,214,÷ÿ∂»Œ€»æ,164,212,54,1.4,35,155
2014-01-04,162,÷–∂»Œ€»æ,123,169,30,1,29,160
2014-01-05,193,÷–∂»Œ€»æ,145,198,34,1.1,38,144
2014-01-06,243,÷ÿ∂»Œ€»æ,193,251,61,1.4,45,133
2014-01-07,166,÷–∂»Œ€»æ,126,137,22,1.3,27,115
2014-01-08,179,÷–∂»Œ€»æ,136,144,41,1.3,24,76
2014-01-09,165,÷–∂»Œ€»æ,125,161,48,1.1,26,54
2014-01-10,150,«·∂»Œ€»æ,115,150,37,1.2,33,44
2014-01-11,105,«·∂»Œ€»æ,79,95,20,1,18,42
2014-01-12,114,«·∂»Œ€»æ,86,109,23,0.9,20,75
2014-01-13,118,«·∂»Œ€»æ,90,125,31,1,26,75
2014-01-14,111,«·∂»Œ€»æ,84,115,26,1.2,21,86
2014-01-15,206,÷ÿ∂»Œ€»æ,156,196,32,1.4,26,112
2014-01-16,212,÷ÿ∂»Œ€»æ,162,200,35,1.4,32,101
2014-01-17,157,÷–∂»Œ€»æ,120,154,23,1.2,26,87
2014-01-18,205,÷ÿ∂»Œ€»æ,155,200,35,1.3,30,109
2014-01-19,211,÷ÿ∂»Œ€»æ,161,208,38,1.4,32,119
2014-01-20,155,÷–∂»Œ€»æ,119,162,36,1.1,26,107
2014-01-21,122,«·∂»Œ€»æ,93,139,27,0.9,24,84
2014-01-22,135,«·∂»Œ€»æ,103,150,32,1,28,120
2014-01-23,118,«·∂»Œ€»æ,89,126,23,1.1,28,110
2014-01-24,134,«·∂»Œ€»æ,102,141,24,1.3,31,118
2014-01-25,191,÷–∂»Œ€»æ,144,194,48,1.5,29,130
2014-01-26,233,÷ÿ∂»Œ€»æ,183,241,67,1.9,39,104
2014-01-27,222,÷ÿ∂»Œ€»æ,172,216,42,1.8,40,120
2014-01-28,256,÷ÿ∂»Œ€»æ,206,236,30,2.1,34,81
2014-01-29,213,÷ÿ∂»Œ€»æ,163,188,21,1.8,19,91
2014-01-30,238,÷ÿ∂»Œ€»æ,188,222,31,1.7,15,101
2014-01-31,278,÷ÿ∂»Œ€»æ,228,278,53,1.5,13,91
2014-02-01,114,«·∂»Œ€»æ,87,105,27,1.5,11,67
2014-02-02,111,«·∂»Œ€»æ,84,105,13,1.6,10,81
2014-02-03,158,÷–∂»Œ€»æ,121,163,21,2,12,81
2014-02-04,105,«·∂»Œ€»æ,79,110,25,2,11,91
2014-02-05,29,”≈,20,29,6,1.2,7,44
2014-02-06,45,”≈,30,45,5,1.2,7,43
2014-02-07,57,¡º,40,55,11,1.3,8,49
2014-02-08,56,¡º,40,50,10,0.8,9,55
2014-02-09,106,«·∂»Œ€»æ,80,89,44,0.7,6,89
2014-02-10,118,«·∂»Œ€»æ,89,101,30,0.6,7,87
2014-02-11,130,«·∂»Œ€»æ,99,117,28,0.8,10,86
2014-02-12,133,«·∂»Œ€»æ,102,119,36,0.8,13,90
2014-02-13,138,«·∂»Œ€»æ,105,124,26,0.9,13,113
2014-02-14,144,«·∂»Œ€»æ,110,128,28,1.1,16,92
2014-02-15,131,«·∂»Œ€»æ,100,115,17,0.8,17,69
2014-02-16,114,«·∂»Œ€»æ,86,107,22,0.9,21,58
2014-02-17,126,«·∂»Œ€»æ,95,110,26,1.1,21,41
2014-02-18,97,¡º,72,79,23,1.6,20,66
2014-02-19,74,¡º,54,65,13,1.1,12,61
2014-02-20,73,¡º,54,65,12,1,9,65
2014-02-21,138,«·∂»Œ€»æ,106,142,30,1.5,33,63
2014-02-22,134,«·∂»Œ€»æ,102,130,36,1.4,22,70
2014-02-23,173,÷–∂»Œ€»æ,131,163,36,1.5,26,56
2014-02-24,103,«·∂»Œ€»æ,77,91,20,1.3,21,51
2014-02-25,76,¡º,56,68,19,1.4,19,50
2014-02-26,145,«·∂»Œ€»æ,111,146,17,1.1,14,50
2014-02-27,94,¡º,70,96,11,0.9,14,74
2014-02-28,41,”≈,27,41,13,1.1,12,82
2014-03-01,56,¡º,40,52,16,0.9,12,45
2014-03-02,127,«·∂»Œ€»æ,97,121,29,1,16,50
2014-03-03,136,«·∂»Œ€»æ,104,137,24,1.1,17,50
2014-03-04,93,¡º,70,86,15,1.2,15,59
2014-03-05,114,«·∂»Œ€»æ,87,116,21,1.3,17,56
2014-03-06,104,«·∂»Œ€»æ,79,97,16,1.2,15,75
2014-03-07,106,«·∂»Œ€»æ,80,101,15,1,12,76
2014-03-08,70,¡º,51,60,11,1.6,13,68
2014-03-09,75,¡º,55,74,13,2.2,11,87
2014-03-10,83,¡º,61,86,13,1.5,11,102
2014-03-11,111,«·∂»Œ€»æ,83,119,19,0.9,22,86
2014-03-12,147,«·∂»Œ€»æ,113,159,28,1.2,22,88
2014-03-13,145,«·∂»Œ€»æ,111,157,24,1.1,20,87
2014-03-14,87,¡º,65,94,19,1,17,59
2014-03-15,63,¡º,46,74,12,0.8,14,88
2014-03-16,71,¡º,52,85,14,1,18,97
2014-03-17,91,¡º,68,106,16,1.3,17,109
2014-03-18,78,¡º,58,85,28,1.5,16,74
2014-03-19,130,«·∂»Œ€»æ,99,169,20,1.7,13,70
2014-03-20,103,«·∂»Œ€»æ,72,155,17,0.8,12,103
2014-03-21,67,¡º,48,83,16,0.6,16,108
2014-03-22,78,¡º,57,92,19,0.7,21,101
2014-03-23,94,¡º,70,103,25,1,24,74
2014-03-24,112,«·∂»Œ€»æ,85,113,42,1.2,26,59
2014-03-25,79,¡º,59,81,23,1.3,17,87
2014-03-26,79,¡º,58,82,17,1.3,16,103
2014-03-27,70,¡º,51,81,15,1.2,13,85
2014-03-28,55,¡º,39,60,18,1,13,63
2014-03-29,60,¡º,31,69,14,0.8,5,105
2014-03-30,77,¡º,52,103,14,1,7,96
2014-03-31,86,¡º,63,106,15,0.9,10,120
2014-04-01,73,¡º,54,85,23,0.9,22,98
2014-04-02,88,¡º,65,88,27,0.9,17,96
2014-04-03,104,«·∂»Œ€»æ,65,93,18,0.9,14,164
2014-04-04,120,«·∂»Œ€»æ,91,138,22,1,18,148
2014-04-05,150,«·∂»Œ€»æ,115,147,24,1.2,17,145
2014-04-06,133,«·∂»Œ€»æ,101,134,14,1.2,15,122
2014-04-07,103,«·∂»Œ€»æ,77,100,16,1.2,14,105
2014-04-08,54,¡º,38,57,13,1.2,11,103
2014-04-09,68,¡º,45,70,14,1.1,11,122
2014-04-10,80,¡º,59,84,16,1.3,15,103
2014-04-11,66,¡º,33,46,5,1.3,8,119
2014-04-12,47,”≈,21,34,4,1.6,10,93
2014-04-13,74,¡º,54,75,9,1.6,10,123
2014-04-14,97,¡º,72,95,14,1.6,11,104
2014-04-15,80,¡º,59,83,14,1.4,13,89
2014-04-16,48,”≈,31,48,9,1.2,10,56
2014-04-17,38,”≈,27,36,6,1.2,9,66
2014-04-18,53,¡º,37,55,9,1.2,12,72
2014-04-19,39,”≈,21,34,5,1.3,10,78
2014-04-20,63,¡º,45,61,7,1,10,85
2014-04-21,49,”≈,31,49,5,1.4,16,78
2014-04-22,46,”≈,29,44,12,1.9,12,91
2014-04-23,66,¡º,48,68,15,1.8,11,99
2014-04-24,73,¡º,53,68,9,1.5,10,81
2014-04-25,50,”≈,35,46,14,1.4,16,65
2014-04-26,40,”≈,27,38,13,0.9,12,80
2014-04-27,61,¡º,37,71,18,0.8,11,108
2014-04-28,87,¡º,52,123,24,0.9,17,107
2014-04-29,73,¡º,51,97,20,0.9,16,100
2014-04-30,63,¡º,44,76,17,1,15,109
2014-05-01,73,¡º,44,95,18,1.1,15,125
2014-05-02,95,¡º,50,141,24,1.1,14,100
2014-05-03,80,¡º,41,110,14,1.2,15,82
2014-05-04,42,”≈,22,42,7,1.4,12,71
2014-05-05,62,¡º,34,73,15,1.2,13,87
2014-05-06,72,¡º,33,67,19,0.9,12,126
2014-05-07,68,¡º,39,73,21,1,16,122
2014-05-08,80,¡º,59,84,16,1.2,13,96
2014-05-09,56,¡º,40,57,15,1.3,11,64
2014-05-10,30,”≈,18,27,7,1.3,8,59
2014-05-11,45,”≈,22,35,8,1.5,10,89
2014-05-12,54,¡º,34,57,18,1.4,11,103
2014-05-13,95,¡º,71,89,12,1.5,14,93
2014-05-14,84,¡º,62,74,13,1.7,16,65
2014-05-15,64,¡º,41,77,17,1.4,11,117
2014-05-16,124,«·∂»Œ€»æ,94,136,24,1.6,17,95
2014-05-17,199,÷–∂»Œ€»æ,149,167,12,2,15,82
2014-05-18,107,«·∂»Œ€»æ,80,100,11,1.9,10,106
2014-05-19,110,«·∂»Œ€»æ,83,102,15,1.9,15,87
2014-05-20,95,¡º,71,89,15,1.5,12,89
2014-05-21,97,¡º,72,93,12,1.5,11,89
2014-05-22,70,¡º,51,74,13,1.6,11,85
2014-05-23,75,¡º,55,72,12,1.9,15,73
2014-05-24,44,”≈,30,44,13,2.1,14,65
2014-05-25,57,¡º,40,57,17,1.8,13,57
2014-05-26,71,¡º,52,93,17,1.5,15,80
2014-05-27,67,¡º,37,75,16,1.1,12,120
2014-05-28,65,¡º,35,80,16,1.2,16,87
2014-05-29,67,¡º,44,84,21,1.2,19,80
2014-05-30,52,¡º,27,54,11,1.2,15,60
2014-05-31,62,¡º,45,74,13,1.6,13,71
2014-06-01,68,¡º,49,76,11,1.7,9,75
2014-06-02,105,«·∂»Œ€»æ,69,101,8,1.8,7,165
2014-06-03,130,«·∂»Œ€»æ,99,129,9,1.9,9,141
2014-06-04,110,«·∂»Œ€»æ,83,113,10,2.3,12,125
2014-06-05,111,«·∂»Œ€»æ,84,114,14,2,13,125
2014-06-06,90,¡º,67,90,7,1.6,17,114
2014-06-07,96,¡º,72,97,12,1.6,13,109
2014-06-08,85,¡º,63,94,13,1.7,15,82
2014-06-09,89,¡º,67,81,11,1.8,13,89
2014-06-10,76,¡º,56,75,14,1.8,14,81
