»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,123,«·∂»Œ€»æ,94,139,112,1.8,48,61
2015-01-01,168,÷–∂»Œ€»æ,127,172,128,2.4,45,61
2015-01-02,98,¡º,73,108,120,1.3,41,66
2015-01-03,65,¡º,45,80,101,1.2,29,68
2015-01-04,100,¡º,51,150,65,1,35,66
2015-01-05,109,«·∂»Œ€»æ,82,139,141,2,50,57
2015-01-06,76,¡º,48,102,82,1,32,64
2015-01-07,234,÷ÿ∂»Œ€»æ,87,374,120,1.3,37,62
2015-01-08,71,¡º,49,91,123,1,32,64
2015-01-09,65,¡º,45,80,113,0.9,32,64
2015-01-10,71,¡º,50,93,144,1.4,37,69
2015-01-11,98,¡º,74,122,118,2,46,53
2015-01-12,68,¡º,43,86,130,0.9,26,62
2015-01-13,127,«·∂»Œ€»æ,96,186,131,1.7,42,63
2015-01-14,154,÷–∂»Œ€»æ,118,213,87,1.9,35,68
2015-01-15,138,«·∂»Œ€»æ,105,181,125,1.6,40,66
2015-01-16,111,«·∂»Œ€»æ,84,135,131,1.3,41,61
2015-01-17,128,«·∂»Œ€»æ,70,205,58,0.8,23,76
2015-01-18,82,¡º,54,115,142,0.9,31,83
2015-01-19,119,«·∂»Œ€»æ,90,144,143,1.8,43,70
2015-01-20,148,«·∂»Œ€»æ,113,166,149,1.9,46,74
2015-01-21,95,¡º,71,110,125,1.1,36,65
2015-01-22,109,«·∂»Œ€»æ,82,145,128,1.2,41,61
2015-01-23,126,«·∂»Œ€»æ,76,202,100,0.9,29,69
2015-01-24,120,«·∂»Œ€»æ,85,190,125,1,35,69
2015-01-25,101,«·∂»Œ€»æ,67,151,91,0.8,25,77
2015-01-26,86,¡º,64,122,91,1.1,29,76
2015-01-27,103,«·∂»Œ€»æ,50,155,52,0.5,16,62
2015-01-28,88,¡º,56,125,53,0.5,18,60
2015-01-29,100,¡º,75,141,103,1,27,73
2015-01-30,127,«·∂»Œ€»æ,97,168,109,1.2,30,56
2015-01-31,121,«·∂»Œ€»æ,92,147,88,1.3,33,65
2015-02-01,131,«·∂»Œ€»æ,99,160,97,1.1,28,70
2015-02-02,110,«·∂»Œ€»æ,83,142,81,0.9,28,79
2015-02-03,137,«·∂»Œ€»æ,105,161,82,1.3,32,86
2015-02-04,99,¡º,75,121,106,0.9,30,76
2015-02-05,96,¡º,72,107,77,0.8,28,74
2015-02-06,121,«·∂»Œ€»æ,92,181,65,1,28,64
2015-02-07,121,«·∂»Œ€»æ,86,192,105,0.9,30,82
2015-02-08,113,«·∂»Œ€»æ,85,142,105,1.2,32,97
2015-02-09,134,«·∂»Œ€»æ,102,166,109,1.4,33,101
2015-02-10,163,÷–∂»Œ€»æ,110,277,122,1.3,37,87
2015-02-11,121,«·∂»Œ€»æ,81,191,105,1.4,30,97
2015-02-12,132,«·∂»Œ€»æ,100,162,114,2,39,95
2015-02-13,104,«·∂»Œ€»æ,78,122,117,1.5,35,82
2015-02-14,154,÷–∂»Œ€»æ,118,201,43,0.7,14,89
2015-02-15,66,¡º,47,82,67,0.6,20,99
2015-02-16,80,¡º,59,98,139,1.1,30,80
2015-02-17,97,¡º,73,119,114,1.2,28,91
2015-02-18,136,«·∂»Œ€»æ,80,221,89,0.7,21,90
2015-02-19,127,«·∂»Œ€»æ,78,203,79,0.6,14,100
2015-02-20,113,«·∂»Œ€»æ,78,176,126,1.1,26,90
2015-02-21,72,¡º,41,94,74,0.6,13,96
