»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,198,÷–∂»Œ€»æ,148,233,93,2.5,98,42
2013-12-03,315,—œ÷ÿŒ€»æ,265,387,138,3.4,117,30
2013-12-04,304,—œ÷ÿŒ€»æ,254,375,137,3.6,103,56
2013-12-05,331,—œ÷ÿŒ€»æ,281,382,98,3.3,89,40
2013-12-06,155,÷–∂»Œ€»æ,119,188,88,2.1,67,34
2013-12-07,197,÷–∂»Œ€»æ,148,194,35,2.6,67,43
2013-12-08,235,÷ÿ∂»Œ€»æ,185,239,37,2.3,49,34
2013-12-09,171,÷–∂»Œ€»æ,130,187,75,1.7,51,54
2013-12-10,103,«·∂»Œ€»æ,77,151,79,1.4,61,39
2013-12-11,99,¡º,74,139,85,1.1,56,44
2013-12-12,111,«·∂»Œ€»æ,84,161,77,1.1,56,33
2013-12-13,85,¡º,60,119,62,0.9,45,33
2013-12-14,230,÷ÿ∂»Œ€»æ,180,263,75,1.8,69,26
2013-12-15,244,÷ÿ∂»Œ€»æ,194,268,109,1.8,70,22
2013-12-16,104,«·∂»Œ€»æ,78,112,46,1.1,45,24
2013-12-17,178,÷–∂»Œ€»æ,135,190,75,2.2,56,17
2013-12-18,251,÷ÿ∂»Œ€»æ,201,261,103,2.2,54,8
2013-12-19,141,«·∂»Œ€»æ,108,147,65,1.4,47,29
2013-12-20,213,÷ÿ∂»Œ€»æ,163,204,111,1.7,61,24
2013-12-21,115,«·∂»Œ€»æ,87,118,104,1.3,53,37
2013-12-22,111,«·∂»Œ€»æ,84,112,60,1.5,53,43
2013-12-23,181,÷–∂»Œ€»æ,137,186,99,2.6,74,23
2013-12-24,269,÷ÿ∂»Œ€»æ,219,293,213,3.4,101,11
2013-12-25,257,÷ÿ∂»Œ€»æ,207,275,138,3,99,11
2013-12-26,156,÷–∂»Œ€»æ,119,195,75,1.4,51,37
2013-12-27,80,¡º,59,108,55,0.9,42,39
2013-12-28,131,«·∂»Œ€»æ,99,166,80,1.3,57,28
2013-12-29,119,«·∂»Œ€»æ,90,162,69,1.3,55,44
2013-12-30,103,«·∂»Œ€»æ,74,156,55,1,51,42
2013-12-31,104,«·∂»Œ€»æ,56,159,45,1,43,53
2014-01-01,96,¡º,64,142,61,1.3,53,51
2014-01-02,221,÷ÿ∂»Œ€»æ,171,277,86,2.2,85,40
2014-01-03,292,÷ÿ∂»Œ€»æ,242,354,127,2.7,103,17
2014-01-04,101,«·∂»Œ€»æ,76,129,73,1.3,47,34
2014-01-05,205,÷ÿ∂»Œ€»æ,155,219,55,1.8,61,19
2014-01-06,150,«·∂»Œ€»æ,115,156,47,1.3,48,39
2014-01-07,93,¡º,69,102,43,1,40,28
2014-01-08,144,«·∂»Œ€»æ,110,142,61,1.5,54,33
2014-01-09,71,¡º,52,79,33,1,38,37
2014-01-10,116,«·∂»Œ€»æ,88,124,35,1.1,46,44
2014-01-11,198,÷–∂»Œ€»æ,149,200,45,1.4,56,64
2014-01-12,243,÷ÿ∂»Œ€»æ,193,268,80,1.9,70,28
2014-01-13,111,«·∂»Œ€»æ,84,131,61,1.2,37,47
2014-01-14,161,÷–∂»Œ€»æ,123,166,44,1.2,47,47
2014-01-15,187,÷–∂»Œ€»æ,141,179,40,1.5,44,70
2014-01-16,142,«·∂»Œ€»æ,108,146,53,1.2,42,55
2014-01-17,343,—œ÷ÿŒ€»æ,293,384,105,2.5,71,20
2014-01-18,281,÷ÿ∂»Œ€»æ,231,291,94,2,60,38
2014-01-19,309,—œ÷ÿŒ€»æ,259,326,72,2.1,57,35
2014-01-20,179,÷–∂»Œ€»æ,135,264,58,1.4,41,56
2014-01-21,95,¡º,63,141,117,1.1,41,32
2014-01-22,90,¡º,67,113,41,1,38,57
2014-01-23,107,«·∂»Œ€»æ,81,124,45,1.2,43,52
2014-01-24,160,÷–∂»Œ€»æ,122,182,60,1.6,62,36
2014-01-25,228,÷ÿ∂»Œ€»æ,178,257,112,2.2,67,42
2014-01-26,64,¡º,43,79,50,1,27,55
2014-01-27,105,«·∂»Œ€»æ,79,115,39,1.3,38,58
2014-01-28,159,÷–∂»Œ€»æ,121,181,57,1.6,39,58
2014-01-29,81,¡º,60,83,25,1,21,54
2014-01-30,258,÷ÿ∂»Œ€»æ,208,241,26,1.8,25,58
2014-01-31,270,÷ÿ∂»Œ€»æ,220,286,24,1.9,16,61
2014-02-01,340,—œ÷ÿŒ€»æ,290,381,42,2.8,35,20
2014-02-02,227,÷ÿ∂»Œ€»æ,177,247,35,2.6,31,21
2014-02-03,93,¡º,70,107,43,1.4,21,44
2014-02-04,59,¡º,42,69,41,0.9,20,61
2014-02-05,56,¡º,40,50,29,0.9,17,57
2014-02-06,63,¡º,45,52,26,1,20,47
2014-02-07,94,¡º,70,85,44,1,21,62
2014-02-08,142,«·∂»Œ€»æ,109,133,70,1.4,34,55
2014-02-09,88,¡º,66,85,61,1.2,25,53
2014-02-10,57,¡º,40,59,56,0.9,24,63
2014-02-11,92,¡º,69,94,50,1.2,33,72
2014-02-12,146,«·∂»Œ€»æ,112,157,83,1.7,46,66
2014-02-13,120,«·∂»Œ€»æ,91,122,68,1.5,41,79
2014-02-14,140,«·∂»Œ€»æ,107,139,42,1.6,43,88
2014-02-15,136,«·∂»Œ€»æ,104,131,31,1.4,36,97
2014-02-16,84,¡º,63,84,30,1.1,31,74
2014-02-17,57,¡º,40,48,19,1.1,23,46
2014-02-18,56,¡º,36,63,49,1.1,33,61
2014-02-19,113,«·∂»Œ€»æ,85,130,34,1.4,39,81
2014-02-20,160,÷–∂»Œ€»æ,122,182,51,1.8,42,52
2014-02-21,117,«·∂»Œ€»æ,88,121,36,1.2,32,89
2014-02-22,143,«·∂»Œ€»æ,110,144,35,1.3,34,75
2014-02-23,105,«·∂»Œ€»æ,79,112,29,1.2,33,88
2014-02-24,135,«·∂»Œ€»æ,103,145,31,1.2,32,88
2014-02-25,152,÷–∂»Œ€»æ,117,156,38,1.4,32,68
2014-02-26,124,«·∂»Œ€»æ,94,125,24,1.3,24,65
2014-02-27,86,¡º,64,96,31,1.3,29,45
2014-02-28,61,¡º,39,71,53,1.2,38,39
2014-03-01,122,«·∂»Œ€»æ,92,130,81,1.6,45,30
2014-03-02,187,÷–∂»Œ€»æ,141,199,64,1.6,44,82
2014-03-03,105,«·∂»Œ€»æ,79,122,36,1.4,40,99
2014-03-04,90,¡º,67,126,50,1.2,44,89
2014-03-05,70,¡º,49,89,41,1,35,66
2014-03-06,66,¡º,46,81,33,0.9,36,78
2014-03-07,101,«·∂»Œ€»æ,75,119,38,1,45,91
2014-03-08,93,¡º,69,108,32,0.9,40,103
2014-03-09,109,«·∂»Œ€»æ,82,138,34,1.2,45,116
2014-03-10,166,÷–∂»Œ€»æ,126,184,35,1.4,42,110
2014-03-11,135,«·∂»Œ€»æ,103,151,42,1.1,39,112
2014-03-12,131,«·∂»Œ€»æ,100,160,43,1.2,45,87
2014-03-13,74,¡º,46,99,66,1,40,85
2014-03-14,97,¡º,68,143,50,1.1,45,71
2014-03-15,94,¡º,58,138,37,1.1,46,101
2014-03-16,79,¡º,56,107,37,1,39,115
2014-03-17,101,«·∂»Œ€»æ,76,136,41,1.4,53,120
2014-03-18,338,—œ÷ÿŒ€»æ,115,450,83,1.5,49,82
2014-03-19,96,¡º,70,142,56,1.4,46,69
2014-03-20,83,¡º,62,112,61,1,39,75
2014-03-21,68,¡º,38,86,34,0.9,34,83
2014-03-22,84,¡º,62,115,42,1.2,48,104
2014-03-23,91,¡º,68,123,40,1.1,55,119
2014-03-24,110,«·∂»Œ€»æ,83,136,43,1.3,43,81
2014-03-25,140,«·∂»Œ€»æ,107,141,33,1.7,55,37
2014-03-26,111,«·∂»Œ€»æ,83,106,22,1.9,36,67
2014-03-27,92,¡º,69,97,27,1.2,24,95
2014-03-28,120,«·∂»Œ€»æ,91,138,32,1.4,37,109
2014-03-29,207,÷ÿ∂»Œ€»æ,157,270,94,2.1,49,116
2014-03-30,81,¡º,58,112,40,1,34,105
2014-03-31,76,¡º,56,103,36,1,40,112
2014-04-01,83,¡º,62,106,30,1,31,117
2014-04-02,91,¡º,68,110,29,1,33,118
2014-04-03,148,«·∂»Œ€»æ,113,207,61,1.8,58,102
2014-04-04,102,«·∂»Œ€»æ,66,155,35,1.1,33,103
2014-04-05,83,¡º,38,117,38,1,32,83
2014-04-06,65,¡º,30,80,26,0.8,25,93
2014-04-07,81,¡º,50,112,39,1.1,39,81
2014-04-08,101,«·∂»Œ€»æ,76,141,28,1.4,41,98
2014-04-09,87,¡º,64,110,29,1.3,36,119
2014-04-10,123,«·∂»Œ€»æ,93,161,36,1.6,49,128
2014-04-11,119,«·∂»Œ€»æ,90,137,32,1.2,31,95
2014-04-12,66,¡º,48,68,28,1.2,34,61
2014-04-13,72,¡º,53,93,36,1.4,32,95
2014-04-14,76,¡º,56,96,27,1.1,33,106
2014-04-15,103,«·∂»Œ€»æ,77,119,26,1,31,99
2014-04-16,70,¡º,51,83,30,0.9,36,108
2014-04-17,114,«·∂»Œ€»æ,86,133,39,1.5,38,85
2014-04-18,78,¡º,58,89,26,0.9,26,77
2014-04-19,84,¡º,62,92,37,1.4,39,73
2014-04-20,127,«·∂»Œ€»æ,97,146,35,1.5,38,86
2014-04-21,138,«·∂»Œ€»æ,105,171,47,1.7,62,60
2014-04-22,124,«·∂»Œ€»æ,94,157,34,1.3,35,86
2014-04-23,80,¡º,59,102,27,1.1,37,112
2014-04-24,69,¡º,47,88,27,0.9,36,106
2014-04-25,61,¡º,43,71,20,0.9,23,80
2014-04-26,55,¡º,39,54,21,1.1,24,65
2014-04-27,91,¡º,68,99,27,1.1,22,75
2014-04-28,67,¡º,47,84,52,1,30,102
2014-04-29,92,¡º,64,134,66,1.4,49,100
2014-04-30,86,¡º,58,123,41,1.3,40,119
2014-05-01,90,¡º,60,130,28,1.2,28,110
2014-05-02,113,«·∂»Œ€»æ,42,177,34,1.1,25,88
2014-05-03,78,¡º,35,107,33,1.2,33,98
2014-05-04,93,¡º,39,136,41,1.2,25,92
2014-05-05,76,¡º,38,101,32,1.3,34,98
2014-05-06,89,¡º,45,129,31,1.2,32,124
2014-05-07,89,¡º,52,127,33,1.1,38,124
2014-05-08,103,«·∂»Œ€»æ,76,156,45,1.3,37,125
2014-05-09,74,¡º,46,98,25,0.8,23,129
2014-05-10,60,¡º,29,54,15,0.8,19,112
2014-05-11,63,¡º,32,50,16,1,18,115
2014-05-12,71,¡º,41,92,22,1.1,23,116
2014-05-13,85,¡º,51,93,29,1.4,33,142
2014-05-14,88,¡º,65,126,43,1.4,27,141
2014-05-15,77,¡º,45,104,49,1.2,29,124
2014-05-16,83,¡º,55,116,34,1.2,33,127
2014-05-17,115,«·∂»Œ€»æ,81,150,58,1.3,29,176
2014-05-18,119,«·∂»Œ€»æ,90,148,49,1.3,28,148
2014-05-19,101,«·∂»Œ€»æ,76,114,27,1.2,20,112
2014-05-20,118,«·∂»Œ€»æ,77,147,34,1.2,31,180
2014-05-21,122,«·∂»Œ€»æ,82,165,34,1.3,40,184
2014-05-22,124,«·∂»Œ€»æ,78,146,35,1.1,33,186
2014-05-23,117,«·∂»Œ€»æ,38,102,26,1,19,179
2014-05-24,99,¡º,34,58,18,0.9,20,159
2014-05-25,108,«·∂»Œ€»æ,81,146,37,1.2,24,163
2014-05-26,150,«·∂»Œ€»æ,73,250,37,0.9,38,178
2014-05-27,148,«·∂»Œ€»æ,78,246,38,0.8,27,185
2014-05-28,133,«·∂»Œ€»æ,70,209,50,1.2,43,196
2014-05-29,170,÷–∂»Œ€»æ,89,220,38,1.3,39,235
2014-05-30,146,«·∂»Œ€»æ,104,242,41,1.5,50,205
2014-05-31,151,÷–∂»Œ€»æ,90,214,35,1.2,35,216
2014-06-01,102,«·∂»Œ€»æ,71,93,19,1.3,25,162
2014-06-02,62,¡º,39,59,36,0.8,20,114
2014-06-03,102,«·∂»Œ€»æ,76,122,63,0.9,33,156
2014-06-04,131,«·∂»Œ€»æ,98,168,47,1.2,51,194
2014-06-05,128,«·∂»Œ€»æ,69,122,26,1,25,191
2014-06-06,135,«·∂»Œ€»æ,99,178,28,0.9,30,199
2014-06-07,136,«·∂»Œ€»æ,104,149,40,1.5,39,183
2014-06-08,120,«·∂»Œ€»æ,70,132,22,0.9,37,182
2014-06-09,159,÷–∂»Œ€»æ,86,159,18,1.1,34,224
2014-06-10,129,«·∂»Œ€»æ,99,164,26,1,37,174
2014-06-11,134,«·∂»Œ€»æ,102,159,41,1.2,42,165
2014-06-12,155,÷–∂»Œ€»æ,118,175,63,1.4,52,199
2014-06-13,196,÷–∂»Œ€»æ,147,229,53,1.8,79,244
2014-06-14,245,÷ÿ∂»Œ€»æ,195,285,34,1.9,62,168
2014-06-15,148,«·∂»Œ€»æ,113,144,31,1.8,51,124
2014-06-16,65,¡º,47,53,6,0.6,18,111
2014-06-17,56,¡º,40,54,20,0.8,24,79
2014-06-18,73,¡º,34,52,14,0.8,20,127
2014-06-19,97,¡º,58,86,19,0.9,26,156
2014-06-20,162,÷–∂»Œ€»æ,123,180,35,1.4,43,128
2014-06-21,90,¡º,67,90,28,1.2,37,42
2014-06-22,97,¡º,52,76,21,1,32,156
2014-06-23,140,«·∂»Œ€»æ,68,104,37,1.4,39,204
2014-06-24,123,«·∂»Œ€»æ,79,121,22,1.4,32,185
2014-06-25,85,¡º,56,79,14,1.2,30,142
2014-06-26,69,¡º,43,62,14,0.7,25,123
2014-06-27,93,¡º,55,96,22,0.9,35,151
2014-06-28,79,¡º,54,96,28,0.9,36,135
2014-06-29,82,¡º,59,114,24,1.1,44,133
2014-06-30,103,«·∂»Œ€»æ,78,140,28,1.2,42,155
2014-07-01,85,¡º,63,99,18,1,31,113
2014-07-02,59,¡º,35,54,18,0.7,20,111
2014-07-03,78,¡º,28,45,12,0.7,18,133
2014-07-04,83,¡º,62,82,13,0.9,20,113
2014-07-05,63,¡º,33,52,16,0.6,18,116
2014-07-06,94,¡º,36,71,24,0.8,25,153
2014-07-07,85,¡º,40,66,16,0.7,20,142
2014-07-08,87,¡º,34,57,16,0.6,19,144
2014-07-09,90,¡º,35,65,32,0.9,30,148
2014-07-10,83,¡º,61,111,62,1.4,59,86
2014-07-11,87,¡º,52,83,28,1,29,144
2014-07-12,63,¡º,39,76,23,0.8,32,106
2014-07-13,96,¡º,29,57,20,0.6,24,155
2014-07-14,75,¡º,30,59,19,0.7,25,130
2014-07-15,70,¡º,22,48,19,0.6,20,124
2014-07-16,70,¡º,31,59,21,0.7,23,124
2014-07-17,47,”≈,16,38,21,0.6,22,93
2014-07-18,58,¡º,17,35,20,0.5,20,110
2014-07-19,73,¡º,53,87,22,0.9,29,97
2014-07-20,70,¡º,51,89,26,1,36,101
2014-07-21,70,¡º,34,61,22,0.8,23,124
2014-07-22,74,¡º,33,65,27,1,30,129
2014-07-23,112,«·∂»Œ€»æ,75,131,39,1.3,31,173
2014-07-24,82,¡º,61,96,33,1.2,28,121
2014-07-25,52,¡º,37,53,24,1,25,60
2014-07-26,59,¡º,39,69,36,1.1,31,93
2014-07-27,63,¡º,34,56,16,0.8,19,116
2014-07-28,61,¡º,30,46,13,0.7,16,113
2014-07-29,88,¡º,53,70,13,0.9,16,145
2014-07-30,65,¡º,29,40,17,1.1,29,118
2014-07-31,46,”≈,32,44,19,0.8,22,89
2014-08-01,30,”≈,14,30,21,0.5,13,58
2014-08-02,67,¡º,21,47,61,0.9,22,120
2014-08-03,62,¡º,40,74,42,0.8,33,99
2014-08-04,83,¡º,56,103,29,1.2,46,140
2014-08-05,70,¡º,51,89,25,1.1,28,124
2014-08-06,67,¡º,41,83,42,1.4,34,63
2014-08-07,36,”≈,19,34,25,1.1,26,72
2014-08-08,98,¡º,39,73,60,1.6,38,157
2014-08-09,57,¡º,32,59,36,1.5,38,108
2014-08-10,68,¡º,35,62,28,1,21,122
2014-08-11,66,¡º,39,83,22,1.1,32,105
2014-08-12,66,¡º,41,82,24,1.7,40,113
2014-08-13,47,”≈,25,47,22,1.6,25,91
2014-08-14,87,¡º,33,64,32,1.3,29,144
