日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,130,轻度污染,67,210,21,1.4,51,64
2015-01-01,99,良,41,147,12,1.4,45,36
2015-01-02,98,良,44,146,19,1.5,36,76
2015-01-03,95,良,44,139,27,1.5,35,77
2015-01-04,101,轻度污染,53,151,42,1.6,41,70
2015-01-05,75,良,46,100,42,2,38,40
2015-01-06,62,良,24,75,39,2.2,30,57
2015-01-07,79,良,43,108,39,1.5,28,59
2015-01-08,76,良,39,103,20,0.9,27,58
2015-01-09,71,良,45,91,20,0.7,24,43
2015-01-10,51,良,18,51,14,0.4,21,49
2015-01-11,38,优,13,38,7,0.9,20,56
2015-01-12,62,良,32,75,10,1.2,23,62
2015-01-13,67,良,32,84,13,1.4,28,81
2015-01-14,76,良,39,102,29,1.3,38,61
2015-01-15,79,良,35,108,16,0.8,34,73
2015-01-16,78,良,37,105,22,0.8,36,63
2015-01-17,82,良,26,114,25,0.8,42,43
2015-01-18,45,优,20,45,15,0.7,33,35
2015-01-19,43,优,19,43,20,0.8,22,70
2015-01-20,55,良,21,60,35,0.9,29,59
2015-01-21,60,良,24,71,19,1.1,28,65
2015-01-22,67,良,25,83,12,1.1,31,77
2015-01-23,61,良,22,72,9,1.2,30,75
2015-01-24,61,良,21,72,14,1.3,33,77
2015-01-25,61,良,21,72,9,1.3,30,79
2015-01-26,64,良,26,79,9,1.5,32,83
2015-01-27,68,良,27,86,8,1.5,36,89
2015-01-28,74,良,33,97,17,1,41,91
2015-01-29,68,良,27,86,20,0.6,36,94
2015-01-30,71,良,28,91,17,0.6,40,92
2015-01-31,69,良,31,88,20,0.6,35,88
2015-02-01,66,良,30,81,16,0.7,28,86
2015-02-02,72,良,34,95,24,0.8,33,88
2015-02-03,58,良,33,66,37,0.8,34,104
2015-02-04,81,良,38,112,46,0.9,34,96
2015-02-05,87,良,41,125,17,0.9,36,89
2015-02-06,66,良,33,82,17,1,29,97
2015-02-07,103,轻度污染,78,133,10,1.3,27,97
2015-02-08,77,良,37,98,3,2,37,132
2015-02-09,83,良,42,117,24,1.6,41,122
2015-02-10,72,良,46,94,29,0.7,40,115
2015-02-11,74,良,49,98,29,0.7,33,108
2015-02-12,75,良,51,100,34,0.7,35,112
2015-02-13,70,良,44,90,31,0.7,32,114
2015-02-14,54,良,30,59,19,0.6,24,103
2015-02-15,55,良,32,56,19,0.7,23,106
2015-02-16,58,良,39,67,22,0.8,24,110
2015-02-17,69,良,49,87,24,0.9,23,111
2015-02-18,67,良,48,80,20,0.9,21,113
2015-02-19,123,轻度污染,93,137,38,1.1,17,112
2015-02-20,70,良,51,77,20,1,19,109
2015-02-21,56,良,34,61,23,0.9,16,103
2015-02-22,59,良,34,61,23,0.9,16,111
2015-02-23,56,良,29,49,22,1,17,107
2015-02-24,57,良,29,53,24,1.1,19,108
2015-02-25,59,良,40,66,27,1.2,22,111
2015-02-26,69,良,50,88,28,1.3,25,116
2015-02-27,77,良,56,102,30,1.4,28,131
2015-02-28,91,良,66,122,35,1.1,31,149
2015-03-01,85,良,63,115,16,0.7,30,142
2015-03-02,77,良,55,104,19,0.7,29,126
2015-03-03,70,良,43,89,22,0.6,28,113
2015-03-04,66,良,38,82,21,0.7,29,99
2015-03-05,59,良,36,68,16,0.7,27,110
2015-03-06,64,良,31,67,14,0.8,28,117
2015-03-07,72,良,34,76,13,0.8,31,126
2015-03-08,81,良,49,94,12,0.9,33,137
2015-03-09,104,轻度污染,58,104,18,1.1,36,164
2015-03-10,109,轻度污染,70,153,18,1.2,43,170
2015-03-11,115,轻度污染,87,157,21,1.1,46,162
2015-03-12,98,良,52,113,27,0.9,31,157
2015-03-13,102,轻度污染,55,121,26,1,45,162
2015-03-14,125,轻度污染,56,154,44,0.9,44,188
2015-03-15,107,轻度污染,46,123,37,0.9,42,168
2015-03-16,92,良,56,116,35,1,39,150
2015-03-17,93,良,54,118,13,1.1,39,151
2015-03-18,82,良,47,107,11,1,40,138
2015-03-19,88,良,47,102,16,1,38,146
2015-03-20,97,良,52,104,35,0.9,37,156
2015-03-21,98,良,48,96,26,0.8,39,158
2015-03-22,115,轻度污染,65,121,39,1,49,176
2015-03-23,124,轻度污染,85,153,39,1.3,50,186
2015-03-24,110,轻度污染,83,140,31,1.1,43,147
2015-03-26,57,良,35,50,8,0.5,27,108
2015-03-27,64,良,26,58,5,0.7,34,117
2015-03-28,62,良,38,68,30,0.8,29,114
2015-03-29,58,良,32,60,34,0.8,25,109
2015-03-30,72,良,32,63,28,0.6,24,126
2015-03-31,70,良,46,89,16,0.6,38,74
2015-04-01,65,良,36,69,18,0.5,23,118
2015-04-02,68,良,28,65,21,0.4,24,122
2015-04-03,47,优,23,44,15,0.4,22,93
2015-04-04,60,良,29,64,13,0.4,23,112
2015-04-05,77,良,45,85,29,0.2,24,132
2015-04-06,50,优,25,51,33,0.5,15,92
2015-04-07,64,良,31,70,33,0.6,10,117
2015-04-08,76,良,36,102,14,0.6,12,109
2015-04-09,71,良,40,89,12,0.5,14,125
2015-04-10,83,良,40,92,12,0.5,14,140
2015-04-11,89,良,38,90,11,0.5,15,147
2015-04-12,98,良,37,77,12,0.6,16,157
2015-04-13,78,良,40,88,17,0.6,15,133
2015-04-14,99,良,57,103,23,0.5,11,159
2015-04-15,94,良,51,102,27,0.4,11,153
2015-04-16,93,良,42,85,14,0.5,14,151
2015-04-17,78,良,43,85,19,0.6,17,133
2015-04-18,72,良,34,64,9,0.5,13,126
2015-04-19,63,良,26,45,15,0.6,13,116
2015-04-20,87,良,27,56,17,0.4,9,144
2015-04-21,53,良,29,57,30,0.4,16,99
2015-04-22,51,良,29,53,21,0.5,26,94
2015-04-23,58,良,29,59,31,0.5,26,109
2015-04-24,67,良,31,63,23,0.6,28,120
2015-04-25,57,良,33,63,32,0.6,32,88
2015-04-26,63,良,39,75,38,0.6,29,98
2015-04-27,52,良,30,54,31,0.6,26,87
2015-04-28,55,良,32,59,20,0.7,25,90
2015-04-29,59,良,37,68,42,0.6,27,110
2015-04-30,61,良,35,62,38,0.5,27,113
2015-05-01,75,良,32,71,12,0.5,28,130
2015-05-02,83,良,46,95,14,0.6,30,139
2015-05-03,83,良,55,109,18,0.6,29,139
2015-05-04,84,良,46,102,24,0.6,34,141
2015-05-05,105,轻度污染,43,92,23,0.6,34,165
2015-05-06,110,轻度污染,54,100,18,0.6,32,171
2015-05-07,114,轻度污染,56,102,14,0.6,28,175
2015-05-08,118,轻度污染,54,100,17,0.7,29,180
2015-05-09,74,良,35,68,51,0.4,19,129
2015-05-10,93,良,35,60,16,0.1,25,152
2015-05-11,82,良,42,77,13,0.1,24,138
2015-05-12,78,良,42,78,13,0.1,26,133
2015-05-13,82,良,43,83,17,0.1,26,138
2015-05-14,83,良,37,74,14,0.2,20,139
2015-05-15,65,良,43,81,12,0.1,22,114
2015-05-16,72,良,35,69,12,0.1,22,126
2015-05-17,69,良,36,67,15,0.1,20,123
2015-05-18,47,优,25,47,18,0.1,19,80
2015-05-19,60,良,18,36,18,0.1,19,112
2015-05-20,55,良,15,32,22,0.1,18,106
2015-05-21,63,良,17,33,34,0.5,17,116
2015-05-22,49,优,19,36,38,0.3,18,98
2015-05-23,78,良,19,31,37,0.5,16,133
2015-05-24,81,良,24,61,18,0.4,20,137
2015-05-25,78,良,28,72,18,0.5,20,133
2015-05-26,65,良,29,72,28,0.6,18,118
2015-05-27,73,良,26,67,21,0.3,20,128
2015-05-28,64,良,32,78,23,0.4,20,116
2015-05-29,60,良,35,67,11,0.5,19,112
2015-05-30,72,良,32,62,6,0.6,17,126
2015-05-31,50,优,28,50,21,0.5,19,85
2015-06-01,51,良,26,50,18,0.5,17,101
2015-06-02,65,良,37,70,27,0.4,18,118
2015-06-03,62,良,26,57,44,0.5,16,114
2015-06-04,83,良,33,66,43,0.6,17,139
2015-06-05,58,良,30,55,43,0.6,13,109
2015-06-06,47,优,18,36,25,0.7,16,94
2015-06-07,35,优,17,34,33,0.7,13,70
2015-06-08,36,优,21,35,38,0.7,14,72
2015-06-09,48,优,22,41,29,0.8,14,96
2015-06-10,51,良,22,37,42,0.3,12,101
2015-06-11,49,优,20,38,26,0.3,15,97
2015-06-12,44,优,17,34,41,1,12,88
2015-06-13,31,优,15,21,23,0.7,11,62
2015-06-14,35,优,14,24,22,0.8,13,70
2015-06-15,37,优,15,35,5,0.7,14,74
2015-06-16,34,优,14,27,12,0.7,14,67
2015-06-17,65,良,47,69,19,0.4,14,63
2015-06-18,34,优,15,33,19,0.5,13,67
2015-06-19,43,优,18,43,25,0.6,11,66
2015-06-20,39,优,16,33,5,0.6,11,78
2015-06-21,38,优,15,28,8,0.9,9,75
2015-06-22,40,优,14,30,28,0.7,10,80
2015-06-23,39,优,17,36,29,0.8,11,77
2015-06-24,35,优,13,26,17,0.7,11,69
2015-06-25,36,优,15,29,24,0.8,10,72
2015-06-26,33,优,15,32,17,0.5,14,65
2015-06-27,24,优,11,21,21,0.5,10,48
2015-06-28,30,优,14,26,16,0.8,12,60
2015-06-29,32,优,16,32,6,1,14,64
2015-06-30,39,优,16,39,7,0.9,16,58
2015-07-01,41,优,17,41,7,0.6,16,53
2015-07-02,37,优,17,37,16,0.5,17,69
2015-07-03,48,优,23,48,18,0.6,15,50
2015-07-04,30,优,15,30,11,0.4,13,50
2015-07-05,42,优,21,42,27,0.6,12,60
2015-07-06,47,优,24,47,16,0.7,18,74
2015-07-07,55,良,29,59,16,0.6,17,86
2015-07-08,58,良,26,54,17,0.7,13,110
2015-07-09,40,优,18,34,25,0.4,12,79
2015-07-10,45,优,14,36,19,0.6,13,89
2015-07-11,48,优,17,29,26,0.6,11,95
2015-07-12,40,优,18,32,40,0.6,12,80
2015-07-13,46,优,17,29,29,0.6,12,92
2015-07-14,40,优,16,30,23,0.6,13,79
2015-07-15,34,优,18,34,24,0.7,15,63
2015-07-16,36,优,13,25,12,0.8,14,71
