»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,311,—œ÷ÿŒ€»æ,261,329,228,3.1,115,25
2013-12-03,316,—œ÷ÿŒ€»æ,266,344,180,4.3,103,35
2013-12-04,235,÷ÿ∂»Œ€»æ,185,232,126,2.5,78,26
2013-12-05,166,÷–∂»Œ€»æ,126,169,80,2.8,61,36
2013-12-06,192,÷–∂»Œ€»æ,144,157,94,2.8,66,20
2013-12-07,362,—œ÷ÿŒ€»æ,312,378,101,3.1,81,9
2013-12-08,296,÷ÿ∂»Œ€»æ,246,312,54,2.8,50,16
2013-12-09,185,÷–∂»Œ€»æ,140,179,57,2.8,59,35
2013-12-10,144,«·∂»Œ€»æ,110,147,83,2.6,63,18
2013-12-11,74,¡º,50,98,60,2,49,37
2013-12-12,118,«·∂»Œ€»æ,89,144,76,1.8,57,38
2013-12-13,107,«·∂»Œ€»æ,81,147,160,1.6,61,20
2013-12-14,233,÷ÿ∂»Œ€»æ,183,245,147,2.4,102,11
2013-12-15,145,«·∂»Œ€»æ,111,148,148,2,101,20
2013-12-16,370,—œ÷ÿŒ€»æ,320,366,222,2.1,130,3
2013-12-17,338,—œ÷ÿŒ€»æ,288,337,186,0.7,22,8
2013-12-18,186,÷–∂»Œ€»æ,140,128,128,0.8,32,19
2013-12-19,201,÷ÿ∂»Œ€»æ,151,179,101,1.8,67,20
2013-12-20,376,—œ÷ÿŒ€»æ,326,357,119,0.9,106,17
2013-12-21,335,—œ÷ÿŒ€»æ,285,365,94,1.3,105,24
2013-12-22,225,÷ÿ∂»Œ€»æ,175,219,128,1.8,111,23
2013-12-23,421,—œ÷ÿŒ€»æ,382,416,180,0.8,159,4
2013-12-26,219,÷ÿ∂»Œ€»æ,169,198,51,1.3,71,77
2013-12-27,138,«·∂»Œ€»æ,105,125,95,1.3,75,43
2013-12-28,162,÷–∂»Œ€»æ,123,164,92,1.5,73,43
2013-12-29,143,«·∂»Œ€»æ,109,157,84,1.6,72,40
