»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,204,÷ÿ∂»Œ€»æ,154,195,18,1.7,40,27
2014-01-01,218,÷ÿ∂»Œ€»æ,168,227,16,1.8,46,25
2014-01-02,241,÷ÿ∂»Œ€»æ,191,255,32,2.1,69,39
2014-01-03,232,÷ÿ∂»Œ€»æ,182,246,41,2.8,78,54
2014-01-04,165,÷–∂»Œ€»æ,125,177,36,3.1,74,88
2014-01-05,205,÷ÿ∂»Œ€»æ,155,203,32,2.9,60,70
2014-01-06,139,«·∂»Œ€»æ,106,133,23,2.6,55,57
2014-01-07,97,¡º,73,97,22,2,76,63
2014-01-08,73,¡º,54,83,26,1.3,67,87
2014-01-09,116,«·∂»Œ€»æ,88,124,28,1.3,74,71
2014-01-10,103,«·∂»Œ€»æ,78,94,15,1,30,57
2014-01-11,108,«·∂»Œ€»æ,82,108,18,1.3,44,58
2014-01-12,90,¡º,67,120,15,1.1,50,74
2014-01-13,116,«·∂»Œ€»æ,88,133,27,1.2,73,67
2014-01-14,162,÷–∂»Œ€»æ,124,168,23,1.5,114,46
2014-01-15,232,÷ÿ∂»Œ€»æ,182,239,43,1.9,101,26
2014-01-16,261,÷ÿ∂»Œ€»æ,211,289,44,2.2,109,63
2014-01-17,245,÷ÿ∂»Œ€»æ,195,247,24,2.2,108,43
2014-01-18,170,÷–∂»Œ€»æ,129,166,13,1.8,44,28
2014-01-19,127,«·∂»Œ€»æ,97,138,26,1.4,54,83
2014-01-20,85,¡º,63,108,46,1.5,79,73
2014-01-21,134,«·∂»Œ€»æ,102,140,31,1.5,62,59
2014-01-22,172,÷–∂»Œ€»æ,131,177,37,1.7,64,128
2014-01-23,208,÷ÿ∂»Œ€»æ,158,208,31,1.8,78,117
2014-01-24,224,÷ÿ∂»Œ€»æ,174,219,37,1.8,77,86
2014-01-25,212,÷ÿ∂»Œ€»æ,162,202,25,1.8,65,103
2014-01-26,220,÷ÿ∂»Œ€»æ,170,214,30,1.7,56,100
2014-01-27,278,÷ÿ∂»Œ€»æ,228,265,37,1.8,40,82
2014-01-28,337,—œ÷ÿŒ€»æ,287,338,30,2.4,60,65
2014-01-29,258,÷ÿ∂»Œ€»æ,208,241,14,1.9,32,62
2014-01-30,234,÷ÿ∂»Œ€»æ,184,221,11,1.7,24,84
2014-01-31,205,÷ÿ∂»Œ€»æ,155,202,10,1.7,19,77
2014-02-01,211,÷ÿ∂»Œ€»æ,161,194,18,2,26,74
2014-02-02,191,÷–∂»Œ€»æ,144,170,15,1.9,25,85
2014-02-03,177,÷–∂»Œ€»æ,134,155,12,1.9,33,79
2014-02-04,195,÷–∂»Œ€»æ,146,168,11,1.9,25,55
2014-02-05,55,¡º,39,55,8,1.8,15,56
2014-02-06,29,”≈,18,29,6,1.5,14,40
2014-02-07,97,¡º,72,93,13,1.7,35,34
2014-02-08,79,¡º,58,96,11,1.5,22,42
2014-02-09,64,¡º,46,68,15,1.2,15,74
2014-02-10,95,¡º,71,77,20,1.5,17,75
2014-02-11,110,«·∂»Œ€»æ,83,103,18,1.7,26,65
2014-02-12,109,«·∂»Œ€»æ,82,97,15,1.7,22,68
2014-02-13,138,«·∂»Œ€»æ,106,121,19,1.6,33,49
2014-02-14,136,«·∂»Œ€»æ,104,128,19,1.4,29,78
2014-02-15,157,÷–∂»Œ€»æ,120,139,21,1.5,34,76
2014-02-16,160,÷–∂»Œ€»æ,122,148,21,1.6,39,75
2014-02-17,115,«·∂»Œ€»æ,87,104,12,1.6,31,61
2014-02-18,139,«·∂»Œ€»æ,106,132,23,1.4,42,72
2014-02-19,152,÷–∂»Œ€»æ,117,137,28,1.2,51,65
2014-02-20,195,÷–∂»Œ€»æ,147,187,24,1.3,52,49
2014-02-21,246,÷ÿ∂»Œ€»æ,196,255,42,1.6,80,36
2014-02-22,252,÷ÿ∂»Œ€»æ,202,260,43,1.7,74,63
2014-02-23,208,÷ÿ∂»Œ€»æ,158,197,33,1.5,53,73
2014-02-24,165,÷–∂»Œ€»æ,126,159,22,1.2,37,80
2014-02-25,162,÷–∂»Œ€»æ,123,133,14,1.3,41,51
2014-02-26,80,¡º,59,79,15,1.1,34,45
2014-02-27,53,¡º,33,57,10,0.9,32,59
2014-02-28,50,”≈,30,50,6,0.9,31,53
2014-03-01,72,¡º,52,84,22,1,47,50
2014-03-02,56,¡º,39,53,7,0.9,27,69
2014-03-03,44,”≈,29,44,8,1,25,53
2014-03-04,66,¡º,48,78,22,1,44,94
2014-03-05,76,¡º,56,82,28,1,52,73
2014-03-06,53,¡º,37,50,18,0.9,37,65
2014-03-07,52,¡º,37,54,15,1,38,42
2014-03-08,52,¡º,36,54,22,1,43,78
2014-03-09,85,¡º,63,87,26,1.1,53,57
2014-03-10,110,«·∂»Œ€»æ,83,118,31,1.2,63,33
2014-03-11,137,«·∂»Œ€»æ,105,142,42,1.4,69,98
2014-03-12,100,¡º,72,151,28,0.8,47,90
2014-03-13,98,¡º,62,146,26,0.6,44,91
2014-03-14,80,¡º,55,111,27,0.6,39,97
2014-03-15,90,¡º,67,106,28,0.8,44,107
2014-03-16,148,«·∂»Œ€»æ,113,164,30,1.1,50,132
2014-03-17,147,«·∂»Œ€»æ,113,158,30,1,49,143
2014-03-18,188,÷–∂»Œ€»æ,142,213,42,1.3,72,117
2014-03-19,121,«·∂»Œ€»æ,91,154,44,0.9,44,113
2014-03-20,78,¡º,42,105,20,0.5,29,87
2014-03-21,54,¡º,29,59,16,0.6,28,69
2014-03-22,47,”≈,33,47,13,0.8,24,47
2014-03-23,79,¡º,59,74,24,0.9,33,67
2014-03-24,140,«·∂»Œ€»æ,107,151,40,1.2,54,51
2014-03-25,207,÷ÿ∂»Œ€»æ,157,213,35,1.3,55,72
2014-03-26,203,÷ÿ∂»Œ€»æ,153,202,34,1.2,51,102
2014-03-27,185,÷–∂»Œ€»æ,140,187,32,1,53,139
2014-03-28,248,÷ÿ∂»Œ€»æ,198,281,48,1.4,81,136
2014-03-29,168,÷–∂»Œ€»æ,128,189,30,1.1,57,91
2014-03-30,83,¡º,62,98,16,0.7,22,69
2014-03-31,53,¡º,36,55,20,0.7,34,74
2014-04-01,59,¡º,42,67,22,0.7,34,96
2014-04-02,93,¡º,70,102,21,0.9,35,110
2014-04-03,86,¡º,64,102,21,0.8,37,109
2014-04-04,77,¡º,56,80,19,0.8,36,105
2014-04-05,85,¡º,63,90,22,0.9,46,83
2014-04-06,98,¡º,74,100,20,1,39,124
2014-04-07,91,¡º,68,95,20,0.9,29,126
2014-04-08,174,÷–∂»Œ€»æ,132,185,28,1.3,53,137
2014-04-09,146,«·∂»Œ€»æ,111,159,34,1.4,49,117
2014-04-10,85,¡º,63,86,20,1,22,101
2014-04-11,67,¡º,38,57,17,0.9,22,120
2014-04-12,115,«·∂»Œ€»æ,47,76,26,1,37,176
2014-04-13,88,¡º,55,83,26,1.2,39,145
2014-04-14,63,¡º,45,71,23,1.2,28,98
2014-04-15,59,¡º,42,61,23,1,22,90
2014-04-16,83,¡º,36,58,19,0.8,25,139
2014-04-17,62,¡º,44,67,19,0.8,25,96
2014-04-18,68,¡º,28,43,16,0.7,15,122
2014-04-19,86,¡º,21,40,22,0.6,24,143
2014-04-20,49,”≈,27,45,17,0.9,20,98
2014-04-21,45,”≈,24,44,16,0.8,21,89
2014-04-22,77,¡º,51,75,24,0.7,34,132
2014-04-23,96,¡º,72,98,26,0.9,42,126
2014-04-24,99,¡º,74,104,25,1,35,127
2014-04-25,70,¡º,48,91,19,0.6,22,80
2014-04-26,103,«·∂»Œ€»æ,67,156,29,0.6,32,104
2014-04-27,69,¡º,37,87,22,0.5,26,102
2014-04-28,105,«·∂»Œ€»æ,73,146,41,0.8,46,166
2014-04-29,81,¡º,45,84,23,0.6,28,137
2014-04-30,105,«·∂»Œ€»æ,44,77,25,0.7,33,166
2014-05-01,87,¡º,58,100,22,0.7,35,144
2014-05-02,78,¡º,38,107,19,0.5,28,101
2014-05-03,89,¡º,57,129,30,0.8,44,80
2014-05-04,84,¡º,44,105,28,0.6,37,141
2014-05-05,81,¡º,31,78,26,0.5,30,137
2014-05-06,90,¡º,39,86,36,0.6,31,148
2014-05-07,137,«·∂»Œ€»æ,104,170,41,1,60,200
2014-05-08,176,÷–∂»Œ€»æ,133,189,41,1.2,63,158
2014-05-09,149,«·∂»Œ€»æ,114,157,30,1,47,103
2014-05-10,58,¡º,36,59,19,0.6,17,109
2014-05-11,70,¡º,46,91,22,0.6,33,124
2014-05-12,93,¡º,70,106,26,0.8,32,132
2014-05-13,60,¡º,40,65,26,0.7,26,112
2014-05-14,125,«·∂»Œ€»æ,95,139,22,1,32,103
2014-05-15,58,¡º,30,58,22,0.5,25,110
2014-05-16,92,¡º,68,111,25,0.7,32,136
2014-05-17,143,«·∂»Œ€»æ,109,148,21,0.9,24,154
2014-05-18,149,«·∂»Œ€»æ,114,163,24,1,32,155
2014-05-19,95,¡º,71,118,19,0.8,23,142
2014-05-20,103,«·∂»Œ€»æ,77,147,25,0.9,49,101
2014-05-21,91,¡º,68,107,22,0.8,26,146
2014-05-22,99,¡º,74,127,21,0.9,33,128
2014-05-23,58,¡º,40,66,16,0.8,17,79
2014-05-24,56,¡º,39,61,19,0.9,25,107
2014-05-25,105,«·∂»Œ€»æ,65,159,17,0.6,21,87
2014-05-26,95,¡º,56,137,22,0.7,36,154
2014-05-27,122,«·∂»Œ€»æ,86,194,35,0.9,46,140
2014-05-28,118,«·∂»Œ€»æ,90,167,28,0.7,28,152
2014-05-29,142,«·∂»Œ€»æ,100,154,34,0.8,45,206
2014-05-30,140,«·∂»Œ€»æ,99,149,33,0.9,47,204
2014-05-31,166,÷–∂»Œ€»æ,126,179,32,0.9,26,213
2014-06-01,201,÷ÿ∂»Œ€»æ,138,194,33,1,28,268
2014-06-02,191,÷–∂»Œ€»æ,144,192,31,1.1,31,237
2014-06-03,75,¡º,49,86,21,0.8,18,130
2014-06-04,52,¡º,31,54,22,0.7,19,78
2014-06-05,86,¡º,64,106,37,1,47,72
2014-06-06,88,¡º,64,99,25,0.8,29,145
2014-06-07,103,«·∂»Œ€»æ,66,107,26,0.8,32,163
2014-06-08,96,¡º,67,103,29,0.7,22,155
2014-06-09,68,¡º,49,68,22,0.8,27,122
2014-06-10,79,¡º,58,96,30,1,49,61
2014-06-11,85,¡º,63,109,36,1,57,91
2014-06-12,69,¡º,51,79,24,0.8,36,120
2014-06-13,67,¡º,37,41,20,0.7,18,120
2014-06-14,89,¡º,42,63,24,0.9,27,147
2014-06-15,125,«·∂»Œ€»æ,71,107,30,1,28,187
2014-06-16,98,¡º,71,112,32,1,35,158
2014-06-17,200,÷–∂»Œ€»æ,73,114,38,0.9,32,265
2014-06-18,123,«·∂»Œ€»æ,59,82,27,0.8,27,185
2014-06-19,68,¡º,49,77,21,0.6,22,122
2014-06-20,58,¡º,40,66,28,0.7,47,61
2014-06-21,73,¡º,39,62,23,0.6,36,127
2014-06-22,61,¡º,44,69,24,0.7,34,92
2014-06-23,54,¡º,38,55,20,0.7,19,92
2014-06-24,37,”≈,17,31,20,0.6,17,74
2014-06-25,68,¡º,28,49,21,0.7,29,122
2014-06-26,69,¡º,47,75,17,0.9,33,123
2014-06-27,75,¡º,55,92,27,1.1,46,85
2014-06-28,75,¡º,54,100,17,1,35,69
2014-06-29,72,¡º,43,68,23,0.8,31,126
2014-06-30,61,¡º,44,70,21,0.8,41,102
2014-07-01,75,¡º,41,60,26,0.7,33,130
2014-07-02,53,¡º,30,52,20,0.7,25,104
2014-07-03,68,¡º,45,48,18,0.7,29,122
2014-07-04,105,«·∂»Œ€»æ,42,62,17,0.6,22,165
2014-07-05,91,¡º,61,104,27,0.8,36,149
2014-07-06,100,¡º,75,130,32,1,48,123
2014-07-07,71,¡º,52,92,27,0.9,47,54
2014-07-08,69,¡º,48,88,24,0.9,42,97
2014-07-09,52,¡º,26,54,14,0.6,20,75
2014-07-10,29,”≈,8,26,12,0.4,16,58
2014-07-11,71,¡º,40,92,22,0.7,47,125
2014-07-12,70,¡º,30,68,18,0.6,32,124
2014-07-13,90,¡º,20,53,24,0.4,31,148
2014-07-14,88,¡º,36,77,24,0.6,30,146
2014-07-15,68,¡º,21,49,39,0.4,20,121
2014-07-16,58,¡º,29,65,19,0.5,23,96
2014-07-17,79,¡º,51,102,23,0.7,31,135
2014-07-18,76,¡º,55,103,24,0.7,30,116
2014-07-19,47,”≈,17,42,15,0.4,15,94
2014-07-20,34,”≈,11,32,13,0.4,15,67
2014-07-21,42,”≈,15,42,16,0.5,18,83
2014-07-22,56,¡º,25,62,21,0.6,26,106
2014-07-23,57,¡º,23,64,21,0.5,27,84
2014-07-24,105,«·∂»Œ€»æ,17,54,22,0.7,28,165
2014-07-25,98,¡º,23,61,22,0.7,28,158
2014-07-26,80,¡º,37,82,29,0.8,32,136
2014-07-27,93,¡º,48,92,32,0.8,27,151
2014-07-28,68,¡º,47,87,22,0.8,26,117
2014-07-29,61,¡º,34,71,19,0.9,29,110
2014-07-30,65,¡º,40,81,21,0.9,27,94
2014-07-31,39,”≈,8,29,16,0.6,21,77
2014-08-01,51,¡º,19,52,17,0.7,25,74
2014-08-02,80,¡º,34,73,22,0.9,27,136
2014-08-03,63,¡º,33,64,20,0.8,25,115
2014-08-04,54,¡º,31,55,18,0.8,17,105
2014-08-05,60,¡º,37,70,31,1,28,111
2014-08-06,52,¡º,29,54,17,0.7,18,91
2014-08-07,37,”≈,13,31,16,0.5,15,74
2014-08-08,24,”≈,7,24,20,0.6,14,48
2014-08-09,30,”≈,7,18,16,0.6,14,60
2014-08-10,46,”≈,18,43,25,0.8,20,92
2014-08-11,47,”≈,9,31,18,0.7,18,93
2014-08-12,41,”≈,17,41,20,0.7,26,74
2014-08-13,66,¡º,22,39,22,0.7,26,119
2014-08-14,76,¡º,37,59,24,0.7,25,131
2014-08-15,82,¡º,60,85,26,0.9,33,122
2014-08-16,48,”≈,33,46,15,0.7,22,95
2014-08-17,44,”≈,30,44,18,0.8,21,73
2014-08-18,63,¡º,45,69,25,0.9,29,90
2014-08-19,60,¡º,43,59,29,0.9,22,95
2014-08-20,51,¡º,33,51,17,0.8,25,64
2014-08-21,39,”≈,26,39,18,0.8,22,59
2014-08-22,71,¡º,52,77,24,1,31,69
2014-08-23,83,¡º,47,74,23,1,26,139
2014-08-24,84,¡º,44,69,26,1,29,141
2014-08-25,68,¡º,49,77,27,1,27,93
2014-08-26,60,¡º,43,64,18,1,26,63
2014-08-27,49,”≈,25,37,26,0.9,24,98
2014-08-28,42,”≈,23,38,31,0.9,20,83
2014-08-29,40,”≈,24,38,19,0.8,16,79
2014-08-30,47,”≈,29,47,17,0.8,18,70
2014-08-31,51,¡º,30,53,23,0.9,26,85
2014-09-01,29,”≈,14,28,17,0.8,19,57
2014-09-02,55,¡º,33,59,27,1,39,44
2014-09-03,70,¡º,51,84,24,1.1,38,65
