»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,46,”≈,23,46,75,1,25,78
2015-01-01,91,¡º,68,102,134,1.9,45,47
2015-01-02,143,«·∂»Œ€»æ,109,158,174,2.7,53,46
2015-01-03,224,÷ÿ∂»Œ€»æ,174,249,253,3.8,70,28
2015-01-04,328,—œ÷ÿŒ€»æ,278,403,373,4.8,97,25
2015-01-05,256,÷ÿ∂»Œ€»æ,206,311,198,3.8,54,61
2015-01-06,66,¡º,48,82,134,2,40,66
2015-01-07,157,÷–∂»Œ€»æ,120,172,175,3.1,53,44
2015-01-08,149,«·∂»Œ€»æ,114,174,124,3,56,45
2015-01-09,81,¡º,60,99,52,2.3,45,69
2015-01-10,89,¡º,66,102,65,2.7,58,44
2015-01-11,142,«·∂»Œ€»æ,109,162,86,3.5,67,42
2015-01-12,154,÷–∂»Œ€»æ,118,177,89,3.6,65,32
2015-01-13,192,÷–∂»Œ€»æ,145,230,105,4.4,71,29
2015-01-14,224,÷ÿ∂»Œ€»æ,174,260,103,4.7,70,35
2015-01-15,198,÷–∂»Œ€»æ,149,251,91,4.6,69,29
2015-01-16,89,¡º,66,119,51,2.6,34,79
2015-01-17,101,«·∂»Œ€»æ,76,136,113,2.8,52,46
2015-01-18,66,¡º,40,81,50,2.1,25,87
2015-01-19,106,«·∂»Œ€»æ,79,133,120,3.1,47,56
2015-01-20,170,÷–∂»Œ€»æ,129,224,148,3.6,49,46
2015-01-21,55,¡º,30,61,71,2.2,24,76
2015-01-22,123,«·∂»Œ€»æ,93,152,135,3.4,48,41
2015-01-23,203,÷ÿ∂»Œ€»æ,153,263,188,4.8,62,33
2015-01-24,149,«·∂»Œ€»æ,114,195,93,4.2,52,33
2015-01-25,117,«·∂»Œ€»æ,89,170,82,4.2,50,34
2015-01-26,84,¡º,50,117,59,3,31,64
2015-01-27,33,”≈,6,20,52,1.8,23,66
2015-01-28,46,”≈,20,46,67,2.3,37,49
2015-01-29,39,”≈,11,28,43,1.9,19,78
2015-01-30,37,”≈,9,23,41,1.8,22,74
2015-01-31,54,¡º,28,59,65,2.3,38,47
2015-02-01,77,¡º,56,98,87,2.8,49,36
2015-02-02,104,«·∂»Œ€»æ,79,139,83,3.5,60,35
2015-02-03,88,¡º,65,117,58,3,39,75
2015-02-04,44,”≈,14,31,34,1.9,20,88
2015-02-05,43,”≈,14,28,41,2.1,28,86
2015-02-06,55,¡º,33,60,53,2.7,39,73
2015-02-07,44,”≈,18,39,35,2.1,23,87
2015-02-08,37,”≈,18,36,66,2.3,30,73
2015-02-09,67,¡º,46,84,85,2.8,45,63
2015-02-10,69,¡º,48,87,74,3,51,72
2015-02-11,58,¡º,32,65,56,2.5,35,87
2015-02-12,63,¡º,36,76,64,2.7,39,63
2015-02-13,67,¡º,41,84,69,3,44,61
2015-02-14,86,¡º,64,114,105,3.5,53,55
