»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,113,«·∂»Œ€»æ,85,151,50,0.6,24,88
2015-01-01,106,«·∂»Œ€»æ,63,162,39,0.6,20,79
2015-01-02,78,¡º,48,106,68,0.6,23,62
2015-01-03,134,«·∂»Œ€»æ,102,192,109,1,48,45
2015-01-04,304,—œ÷ÿŒ€»æ,213,423,234,2.4,98,34
2015-01-05,171,÷–∂»Œ€»æ,130,186,71,1.1,35,33
2015-01-06,122,«·∂»Œ€»æ,92,128,33,0.8,19,58
2015-01-07,100,¡º,75,110,47,0.9,23,59
2015-01-08,121,«·∂»Œ€»æ,92,138,63,0.9,28,57
2015-01-09,120,«·∂»Œ€»æ,91,132,47,0.9,31,45
2015-01-10,96,¡º,72,113,51,0.8,27,51
2015-01-11,156,÷–∂»Œ€»æ,119,195,80,1.1,39,36
2015-01-12,125,«·∂»Œ€»æ,95,142,79,0.8,27,67
2015-01-13,169,÷–∂»Œ€»æ,128,175,57,0.9,28,79
2015-01-14,146,«·∂»Œ€»æ,112,149,53,0.9,31,87
2015-01-15,152,÷–∂»Œ€»æ,117,188,65,1.1,37,93
2015-01-16,143,«·∂»Œ€»æ,109,169,57,1,25,86
2015-01-17,161,÷–∂»Œ€»æ,123,206,65,1.1,34,83
2015-01-18,140,«·∂»Œ€»æ,107,158,51,1.1,29,91
2015-01-19,189,÷–∂»Œ€»æ,142,221,81,1.5,45,78
2015-01-20,204,÷ÿ∂»Œ€»æ,154,229,93,1.3,41,41
2015-01-21,164,÷–∂»Œ€»æ,125,202,53,1,35,50
2015-01-22,154,÷–∂»Œ€»æ,118,209,70,0.7,33,90
2015-01-23,137,«·∂»Œ€»æ,104,211,100,0.7,39,71
2015-01-24,176,÷–∂»Œ€»æ,133,235,94,1.1,41,50
2015-01-25,147,«·∂»Œ€»æ,113,159,35,1.1,23,37
2015-01-26,162,÷–∂»Œ€»æ,123,190,39,1.2,22,47
2015-01-27,122,«·∂»Œ€»æ,92,131,24,1.3,23,45
2015-01-28,34,”≈,22,34,11,0.7,20,31
2015-01-29,35,”≈,23,35,12,0.5,14,30
2015-01-30,71,¡º,52,77,43,0.8,12,42
2015-01-31,76,¡º,56,77,19,1.2,12,45
2015-02-01,76,¡º,56,84,18,1.2,12,45
2015-02-02,60,¡º,43,64,18,1.4,14,35
2015-02-03,80,¡º,59,83,20,1.5,14,34
2015-02-04,131,«·∂»Œ€»æ,100,144,44,1.5,22,64
2015-02-05,127,«·∂»Œ€»æ,97,150,62,1.2,23,92
2015-02-06,116,«·∂»Œ€»æ,88,153,50,1.2,35,87
2015-02-07,117,«·∂»Œ€»æ,89,160,67,1.3,42,72
2015-02-08,111,«·∂»Œ€»æ,84,136,62,1.2,25,89
2015-02-09,149,«·∂»Œ€»æ,114,193,62,1.6,26,76
2015-02-10,212,÷ÿ∂»Œ€»æ,162,268,62,1.8,59,53
2015-02-11,172,÷–∂»Œ€»æ,130,207,34,1.5,44,93
2015-02-12,132,«·∂»Œ€»æ,100,169,36,1.4,42,97
2015-02-13,125,«·∂»Œ€»æ,95,163,38,1.5,41,85
2015-02-14,93,¡º,69,108,27,1.3,27,77
2015-02-15,52,¡º,29,54,19,1.2,20,78
2015-02-16,103,«·∂»Œ€»æ,78,117,16,1.4,13,64
2015-02-17,118,«·∂»Œ€»æ,90,143,14,1.5,14,92
2015-02-18,120,«·∂»Œ€»æ,91,152,17,1.5,13,75
2015-02-19,98,¡º,73,106,7,1.4,7,72
2015-02-20,60,¡º,43,65,5,1.2,5,42
2015-02-21,37,”≈,24,37,10,1.1,6,44
2015-02-22,54,¡º,38,56,9,1.2,7,55
2015-02-23,58,¡º,38,66,6,1.1,5,55
2015-02-24,67,¡º,45,84,15,1.3,9,42
2015-02-25,37,”≈,24,37,11,1.2,7,38
2015-02-26,47,”≈,27,47,13,1.1,10,37
2015-02-27,20,”≈,13,20,8,1.1,7,39
2015-02-28,22,”≈,15,22,8,1,6,44
2015-03-01,55,¡º,38,60,16,0.9,7,56
2015-03-02,66,¡º,47,82,21,1,17,45
2015-03-03,82,¡º,60,110,33,1,20,53
2015-03-04,115,«·∂»Œ€»æ,53,179,23,0.7,14,56
2015-03-05,50,”≈,32,50,7,0.8,10,56
2015-03-06,71,¡º,52,85,21,0.8,13,53
2015-03-07,90,¡º,67,112,55,1.1,31,39
2015-03-08,62,¡º,45,64,13,1.1,15,53
2015-03-09,70,¡º,51,89,39,1.2,20,71
2015-03-10,135,«·∂»Œ€»æ,103,158,16,1.2,15,82
2015-03-11,122,«·∂»Œ€»æ,93,136,17,1.3,20,46
2015-03-12,87,¡º,64,110,24,1,29,81
2015-03-13,84,¡º,62,116,50,1.2,37,54
2015-03-14,71,¡º,52,78,14,1,18,43
2015-03-15,92,¡º,69,101,15,1,18,51
2015-03-16,114,«·∂»Œ€»æ,86,134,27,1.1,24,58
2015-03-17,113,«·∂»Œ€»æ,85,137,38,1.1,21,67
2015-03-18,44,”≈,24,44,9,1,15,47
2015-03-19,48,”≈,25,48,19,0.7,12,56
2015-03-20,44,”≈,23,44,12,1,17,54
2015-03-21,65,¡º,40,80,24,1.2,22,87
