日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,98,良,73,96,10,0.7,18,67
2015-01-01,106,轻度污染,80,95,12,0.7,15,51
2015-01-02,71,良,52,80,11,0.6,10,66
2015-01-03,73,良,53,77,10,0.6,11,65
2015-01-04,71,良,51,37,10,0.7,13,61
2015-01-05,34,优,24,11,13,0.7,7,55
2015-01-06,39,优,25,39,10,0.2,7,58
2015-01-07,48,优,30,48,6,0.3,10,62
2015-01-08,37,优,23,37,3,0.3,5,43
2015-01-09,34,优,7,22,8,2.6,17,68
2015-01-10,78,良,9,13,6,1.4,7,134
2015-01-11,35,优,13,22,3,0.8,5,69
2015-01-12,29,优,20,25,1,0.7,5,49
2015-01-13,207,重度污染,29,40,3,0.7,7,300
2015-01-14,52,良,27,54,3,0.7,8,91
2015-01-15,39,优,23,39,3,0.9,11,70
2015-01-16,37,优,21,37,2,1,7,41
2015-01-17,48,优,30,48,3,1.3,10,42
2015-01-18,23,优,16,21,3,1.3,8,40
2015-01-19,29,优,19,29,3,1.4,9,40
2015-01-20,36,优,16,36,3,1.1,8,41
2015-01-21,42,优,17,42,3,0.9,6,41
2015-01-22,39,优,19,39,3,0.7,9,42
2015-01-23,59,良,42,31,2,0.4,10,57
2015-01-24,54,良,38,31,2,0.6,16,58
2015-01-25,75,良,18,49,2,1.4,11,130
2015-01-26,51,良,19,51,2,2.4,10,42
2015-01-27,50,优,27,51,2,2.4,10,44
2015-01-28,57,良,31,64,2,0.8,15,47
2015-01-29,87,良,36,62,3,0.5,13,144
2015-01-30,80,良,59,90,2,0.3,14,102
2015-01-31,50,优,32,50,2,0.4,9,79
2015-02-01,53,良,37,43,2,0.3,6,77
2015-02-02,58,良,41,29,3,0.7,6,86
2015-02-03,107,轻度污染,81,43,2,0.8,11,76
2015-02-04,107,轻度污染,80,61,2,1,9,81
2015-02-05,48,优,22,48,2,1.1,12,88
2015-02-06,49,优,21,49,3,1,12,97
2015-02-07,53,良,26,56,2,0.9,10,90
2015-02-08,52,良,25,54,2,0.9,14,100
2015-02-09,58,良,26,50,2,0.6,9,109
2015-02-10,53,良,26,55,6,0.1,9,103
2015-02-11,51,良,31,52,6,0.2,10,99
2015-02-12,55,良,34,57,5,0.4,11,106
2015-02-13,52,良,30,54,6,0.4,10,99
2015-02-14,39,优,20,33,5,0.5,7,78
2015-02-15,47,优,21,34,5,0.6,5,94
2015-02-16,46,优,27,38,5,0.7,9,92
2015-02-17,50,优,30,30,4,0.5,6,99
2015-02-18,53,良,31,47,4,0.2,6,103
2015-02-19,71,良,52,77,16,0.2,5,96
2015-02-20,46,优,17,16,1,0.2,2,92
2015-02-21,46,优,18,25,2,0.3,2,92
2015-02-22,43,优,20,33,2,0.4,3,86
2015-02-23,45,优,16,24,2,0.5,3,90
2015-02-24,41,优,17,27,4,0.7,4,82
2015-02-25,42,优,23,35,6,0.8,3,83
2015-02-26,63,良,43,77,8,1.1,10,70
2015-02-27,61,良,43,72,6,1.1,7,82
2015-02-28,45,优,25,44,3,1.1,3,90
2015-03-01,54,良,28,46,4,1.3,4,105
2015-03-02,53,良,26,56,5,0.8,4,101
2015-03-03,51,良,25,52,6,0.3,7,83
2015-03-04,40,优,18,40,6,0.5,3,78
2015-03-05,41,优,15,25,7,0.3,3,82
2015-03-06,41,优,16,27,12,0.3,4,82
2015-03-07,40,优,16,31,10,0.6,3,80
2015-03-08,41,优,20,33,10,0.9,4,81
2015-03-09,41,优,21,41,11,0.9,5,80
2015-03-10,52,良,29,54,14,0.4,7,98
2015-03-11,59,良,42,63,12,0.6,6,93
2015-03-12,56,良,33,61,14,0.8,7,83
2015-03-13,53,良,37,55,13,0.9,7,102
2015-03-14,68,良,49,77,11,1.2,7,111
2015-03-15,83,良,61,91,12,1.3,7,105
2015-03-16,67,良,48,73,11,1.7,7,96
2015-03-17,59,良,39,67,10,2.2,7,86
2015-03-18,64,良,46,73,8,0.4,7,98
2015-03-19,64,良,46,71,9,0.5,7,91
2015-03-20,61,良,44,71,8,0.6,6,100
2015-03-21,74,良,55,81,9,0.7,7,92
2015-03-22,125,轻度污染,95,135,14,1.3,8,108
2015-03-23,157,中度污染,120,177,15,1.5,13,92
2015-03-24,88,良,65,119,5,0.6,6,105
2015-03-26,58,良,41,59,8,0.4,9,64
2015-03-27,59,良,38,53,11,0.5,12,64
2015-03-28,53,良,36,55,10,0.5,9,74
2015-03-29,38,优,25,38,3,0.6,5,72
2015-03-30,38,优,21,38,8,0.6,5,69
2015-03-31,51,良,25,52,10,0.6,6,68
2015-04-01,35,优,18,27,8,0.6,3,70
2015-04-02,30,优,14,24,4,0.6,4,59
2015-04-03,26,优,15,26,5,0.6,8,52
2015-04-04,40,优,24,40,7,0.7,7,72
2015-04-05,43,优,15,22,6,0.7,4,86
2015-04-06,48,优,15,19,4,0.6,4,96
2015-04-07,48,优,13,17,8,1.1,4,95
2015-04-08,50,优,26,50,7,3.7,7,67
2015-04-09,50,优,23,35,8,2.1,4,99
2015-04-10,65,良,26,59,9,0.4,4,118
2015-04-11,62,良,23,24,9,0.5,2,114
2015-04-12,46,优,25,36,8,0.7,4,91
2015-04-13,64,良,28,52,9,0.8,6,117
2015-04-14,64,良,31,58,12,1.1,7,117
2015-04-15,47,优,22,39,9,0.7,4,94
2015-04-16,51,良,26,52,6,0.5,7,94
2015-04-17,55,良,30,60,5,0.9,16,80
2015-04-18,35,优,22,35,4,0.6,7,64
2015-04-19,31,优,13,19,3,0.6,4,61
2015-04-20,38,优,11,21,5,0.6,3,75
2015-04-21,44,优,21,40,5,0.7,10,88
2015-04-22,38,优,21,27,5,0.8,8,75
2015-04-23,41,优,22,41,5,1.3,7,65
2015-04-24,47,优,17,37,12,0.8,9,93
2015-04-25,41,优,20,33,7,0.8,7,81
2015-04-26,34,优,22,34,3,0.9,9,67
2015-04-27,31,优,16,15,6,0.7,11,61
2015-04-28,41,优,14,16,8,0.4,10,81
2015-04-29,43,优,21,31,8,0.5,8,85
2015-04-30,51,良,18,18,5,0.5,4,101
2015-05-01,55,良,18,24,7,0.7,3,106
2015-05-02,46,优,23,46,7,0.9,7,85
2015-05-03,56,良,35,43,9,1,7,107
2015-05-04,58,良,32,56,10,0.6,5,109
2015-05-05,74,良,28,56,10,0.2,4,129
2015-05-06,60,良,20,58,7,0.3,4,112
2015-05-07,68,良,23,66,4,0.3,6,122
2015-05-08,65,良,32,79,2,0.5,5,115
2015-05-09,63,良,24,65,2,0.5,5,115
2015-05-10,59,良,26,69,2,0.5,6,100
2015-05-11,61,良,19,73,3,0.6,5,95
2015-05-12,55,良,22,61,3,1,6,90
2015-05-13,37,优,15,31,2,0.9,4,74
2015-05-14,45,优,18,42,2,0.8,4,90
2015-05-15,45,优,22,45,2,0.9,4,81
2015-05-16,51,良,25,52,3,1.1,7,65
2015-05-17,37,优,21,37,2,1,4,60
2015-05-18,28,优,10,23,2,0.9,3,55
2015-05-19,34,优,11,26,2,1,5,67
2015-05-20,43,优,12,36,2,1.1,5,86
2015-05-21,38,优,20,38,3,1,7,76
2015-05-22,42,优,22,42,2,0.7,7,79
2015-05-23,53,良,16,35,2,0.7,5,104
2015-05-24,52,良,22,54,2,0.8,5,102
2015-05-25,54,良,22,58,2,0.9,7,82
2015-05-26,52,良,20,54,2,0.8,3,94
2015-05-27,51,良,19,51,2,0.7,2,94
2015-05-28,48,优,21,45,2,0.6,2,95
2015-05-29,51,良,20,53,2,0.7,2,99
2015-05-30,49,优,18,45,2,0.3,3,97
2015-05-31,53,良,21,56,2,0.2,2,89
2015-06-01,52,良,24,54,2,0.3,2,84
2015-06-02,46,优,17,46,2,0.3,2,92
2015-06-03,44,优,14,36,5,0.4,5,88
2015-06-04,49,优,21,43,7,0.4,6,97
2015-06-05,52,良,22,54,8,0.4,6,90
2015-06-06,42,优,18,39,7,0.4,3,84
2015-06-07,51,良,17,37,6,0.3,4,101
2015-06-08,46,优,15,31,4,0.2,4,92
2015-06-09,39,优,17,30,2,0.4,5,78
2015-06-10,44,优,19,34,3,0.5,7,88
2015-06-11,39,优,19,35,4,0.6,6,77
2015-06-12,41,优,16,28,5,0.5,4,81
2015-06-13,38,优,16,21,8,0.3,6,76
2015-06-14,34,优,15,27,12,0.3,7,67
2015-06-15,41,优,14,33,12,0.4,6,81
2015-06-16,33,优,12,29,3,0.5,5,65
2015-06-17,32,优,14,26,6,0.7,6,64
2015-06-18,31,优,13,27,4,0.6,8,62
2015-06-19,30,优,14,30,3,0.7,9,59
2015-06-20,28,优,13,28,3,0.8,9,49
2015-06-21,32,优,10,25,3,0.7,5,64
2015-06-22,28,优,10,24,3,0.8,5,55
2015-06-23,28,优,11,26,3,0.7,3,56
2015-06-24,29,优,11,26,3,0.7,4,57
2015-06-25,30,优,12,24,3,0.8,4,59
2015-06-26,29,优,11,25,4,0.7,4,58
2015-06-27,31,优,11,25,3,0.5,3,61
2015-06-28,29,优,10,24,3,0.5,3,58
2015-06-29,30,优,10,22,3,0.6,2,60
2015-06-30,30,优,10,21,4,0.6,3,59
2015-07-01,30,优,11,23,4,0.5,4,60
2015-07-02,29,优,12,25,4,0.6,4,57
2015-07-03,31,优,11,28,6,0.7,4,62
2015-07-04,34,优,12,25,6,0.7,4,68
2015-07-05,31,优,13,24,6,0.8,5,62
2015-07-06,28,优,12,22,5,0.8,6,56
2015-07-07,52,良,15,33,5,0.8,6,102
2015-07-08,42,优,21,42,3,0.9,6,63
2015-07-09,35,优,17,35,3,0.7,4,50
2015-07-10,25,优,11,23,3,0.8,3,49
2015-07-11,40,优,19,33,3,0.9,7,80
2015-07-12,34,优,18,34,3,0.7,5,65
2015-07-13,32,优,13,29,4,0.6,5,64
2015-07-14,35,优,13,26,6,0.4,6,70
2015-07-15,41,优,11,25,4,0.4,5,81
2015-07-16,38,优,12,18,3,0.5,5,75
2015-07-17,33,优,14,21,3,0.6,6,65
2015-07-18,25,优,11,22,3,0.6,5,50
2015-07-19,25,优,12,24,3,0.7,7,50
2015-07-20,28,优,14,28,5,0.9,8,52
2015-07-21,27,优,12,26,6,0.9,8,54
2015-07-22,26,优,12,23,6,0.7,8,52
2015-07-23,20,优,12,20,5,0.6,8,40
2015-07-24,28,优,7,17,4,0.9,6,55
2015-07-25,46,优,12,26,6,0.8,8,92
2015-07-26,59,良,16,32,5,0.9,10,110
2015-07-27,49,优,14,28,6,0.9,8,98
2015-07-28,45,优,11,27,8,0.6,7,90
2015-07-29,35,优,10,20,7,0.7,6,69
2015-07-30,27,优,11,18,6,0.7,8,54
2015-07-31,29,优,12,24,6,0.8,8,58
2015-08-01,31,优,12,24,6,0.9,7,62
2015-08-02,37,优,14,24,7,1,8,73
2015-08-03,40,优,12,25,7,0.7,8,80
2015-08-04,34,优,15,26,8,0.5,12,68
2015-08-05,28,优,14,24,6,0.5,8,56
2015-08-06,25,优,13,23,6,0.5,10,50
2015-08-07,21,优,8,21,4,0.8,6,39
2015-08-08,42,优,10,23,11,0.9,8,83
2015-08-09,25,优,8,25,4,0.9,5,40
2015-08-10,26,优,12,21,12,0.9,7,51
2015-08-11,26,优,12,26,11,0.8,8,48
2015-08-12,30,优,12,30,12,0.6,10,58
2015-08-13,34,优,13,32,14,0.5,7,68
2015-08-14,39,优,13,30,12,0.5,7,78
2015-08-15,30,优,12,27,10,0.5,8,60
2015-08-16,27,优,12,22,10,0.5,6,54
2015-08-17,25,优,13,23,10,0.4,7,50
2015-08-18,24,优,12,22,9,0.3,7,48
2015-08-19,34,优,13,34,6,0.6,10,44
2015-08-20,26,优,14,26,4,0.6,9,52
2015-08-21,36,优,16,36,6,0.5,12,41
2015-08-22,38,优,16,38,8,0.5,10,69
2015-08-23,28,优,14,22,7,0.4,8,56
2015-08-24,28,优,14,28,9,0.5,8,51
2015-08-25,30,优,13,30,10,0.5,10,48
2015-08-26,31,优,12,31,10,0.5,10,52
2015-08-27,26,优,13,26,10,0.5,10,46
2015-08-28,29,优,12,29,8,0.5,10,48
2015-08-29,26,优,14,26,9,0.5,10,36
2015-08-30,22,优,13,22,8,0.6,8,36
2015-08-31,24,优,12,22,8,0.6,8,48
2015-09-01,25,优,12,25,7,0.6,10,46
