»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,241,÷ÿ∂»Œ€»æ,191,274,42,1.7,96,17
2015-01-01,215,÷ÿ∂»Œ€»æ,165,254,26,1.2,51,29
2015-01-02,163,÷–∂»Œ€»æ,124,207,35,1.2,48,17
2015-01-03,194,÷–∂»Œ€»æ,146,231,46,1.2,58,46
2015-01-04,231,÷ÿ∂»Œ€»æ,181,299,69,1.7,87,17
2015-01-05,224,÷ÿ∂»Œ€»æ,174,231,31,1.1,56,6
2015-01-06,87,¡º,65,79,18,0.6,24,52
2015-01-07,92,¡º,69,90,16,0.7,29,52
2015-01-08,116,«·∂»Œ€»æ,88,119,21,0.9,37,18
2015-01-09,146,«·∂»Œ€»æ,112,145,21,0.9,37,19
2015-01-10,131,«·∂»Œ€»æ,100,144,16,0.7,35,16
2015-01-11,147,«·∂»Œ€»æ,112,158,30,1.2,43,44
2015-01-12,189,÷–∂»Œ€»æ,142,201,43,1.3,42,25
2015-01-13,143,«·∂»Œ€»æ,110,152,31,0.8,43,56
2015-01-14,133,«·∂»Œ€»æ,102,158,52,0.4,42,49
2015-01-15,185,÷–∂»Œ€»æ,140,216,89,1.2,61,26
2015-01-16,214,÷ÿ∂»Œ€»æ,164,230,63,1.3,51,13
2015-01-17,177,÷–∂»Œ€»æ,134,185,42,1.1,42,32
2015-01-18,175,÷–∂»Œ€»æ,132,199,46,1,41,71
2015-01-19,165,÷–∂»Œ€»æ,126,197,39,0.9,50,20
2015-01-20,200,÷–∂»Œ€»æ,150,215,49,1.2,49,77
2015-01-21,125,«·∂»Œ€»æ,95,152,43,1.1,42,83
2015-01-22,140,«·∂»Œ€»æ,107,151,48,1.5,49,53
2015-01-23,190,÷–∂»Œ€»æ,143,198,49,1.6,54,26
2015-01-24,237,÷ÿ∂»Œ€»æ,187,226,32,1.9,49,7
2015-01-25,231,÷ÿ∂»Œ€»æ,181,204,37,2.2,40,3
2015-01-26,218,÷ÿ∂»Œ€»æ,168,191,26,2.4,39,4
2015-01-27,82,¡º,61,63,8,1.4,24,73
2015-01-28,36,”≈,25,29,3,1.4,22,66
2015-01-29,42,”≈,29,35,4,1.1,19,44
2015-01-30,78,¡º,58,68,15,1.2,25,39
2015-01-31,112,«·∂»Œ€»æ,85,97,27,1.1,19,87
2015-02-01,104,«·∂»Œ€»æ,78,93,17,1,25,77
2015-02-02,85,¡º,63,80,15,1.1,25,34
2015-02-03,126,«·∂»Œ€»æ,96,122,30,1.6,33,15
2015-02-04,111,«·∂»Œ€»æ,84,101,15,1.3,24,73
2015-02-05,111,«·∂»Œ€»æ,83,100,24,1.4,24,68
2015-02-06,129,«·∂»Œ€»æ,99,118,23,1.3,24,88
2015-02-07,136,«·∂»Œ€»æ,104,128,16,1.5,32,67
2015-02-08,140,«·∂»Œ€»æ,107,128,18,1.4,31,41
2015-02-09,159,÷–∂»Œ€»æ,121,152,19,1.4,32,49
2015-02-10,144,«·∂»Œ€»æ,110,140,25,1.3,41,48
2015-02-11,157,÷–∂»Œ€»æ,120,149,13,1.5,35,83
2015-02-12,123,«·∂»Œ€»æ,93,127,12,1.3,33,85
2015-02-13,120,«·∂»Œ€»æ,91,128,18,1.4,38,82
2015-02-14,202,÷ÿ∂»Œ€»æ,152,204,32,2.1,48,36
2015-02-15,162,÷–∂»Œ€»æ,123,149,6,1.7,29,50
2015-02-16,110,«·∂»Œ€»æ,83,105,3,1.3,20,60
2015-02-17,96,¡º,72,94,2,1.2,15,66
2015-02-18,152,÷–∂»Œ€»æ,117,137,3,1.5,21,47
2015-02-19,146,«·∂»Œ€»æ,112,131,4,1.3,13,77
2015-02-20,80,¡º,59,70,2,1.3,10,36
2015-02-21,50,”≈,35,41,2,1.3,12,32
2015-02-22,57,¡º,41,50,2,1,11,73
2015-02-23,53,¡º,37,47,2,0.9,13,53
2015-02-24,64,¡º,46,58,4,1.1,16,30
2015-02-25,63,¡º,45,56,3,1.2,18,18
2015-02-26,64,¡º,46,79,2,0.9,20,38
2015-02-27,43,”≈,30,34,2,0.9,12,49
2015-02-28,30,”≈,20,19,2,1.1,13,60
2015-03-01,55,¡º,39,47,9,1.1,20,34
2015-03-02,63,¡º,46,61,10,1.1,22,30
2015-03-03,68,¡º,49,80,19,1,18,73
