日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,74,良,54,86,22,1.2,48,123
2013-12-03,99,良,74,115,19,1.2,71,119
2013-12-04,97,良,72,120,25,1.1,63,136
2013-12-05,77,良,57,97,26,0.9,53,122
2013-12-06,103,轻度污染,78,123,25,1.2,70,137
2013-12-07,124,轻度污染,94,131,31,1.3,65,141
2013-12-08,127,轻度污染,97,131,25,1.3,58,125
2013-12-09,128,轻度污染,98,141,26,1.4,55,137
2013-12-10,153,中度污染,117,159,41,1.7,36,134
2013-12-11,143,轻度污染,110,142,39,1.5,36,97
2013-12-12,145,轻度污染,111,142,29,1.5,45,72
2013-12-13,162,中度污染,124,156,24,1.5,53,82
2013-12-14,128,轻度污染,98,110,13,1.2,35,55
2013-12-15,56,良,40,31,11,1.1,27,32
2013-12-16,20,优,13,13,10,1.2,26,39
2013-12-17,19,优,11,13,10,1,24,38
2013-12-18,26,优,14,22,12,0.7,14,52
2013-12-19,39,优,24,38,13,0.6,20,78
2013-12-20,52,良,36,53,19,0.8,25,89
2013-12-21,89,良,67,87,25,1,26,108
2013-12-22,136,轻度污染,104,127,33,1.4,31,114
2013-12-23,113,轻度污染,85,107,31,1.1,35,113
2013-12-24,104,轻度污染,78,102,33,1.2,34,113
2013-12-25,117,轻度污染,88,113,37,1.2,39,116
2013-12-26,106,轻度污染,80,102,41,1,26,128
2013-12-27,152,中度污染,116,151,57,1.3,30,131
2013-12-28,134,轻度污染,102,126,34,1.1,35,99
2013-12-29,76,良,56,93,26,1,43,95
2013-12-30,109,轻度污染,82,139,31,1.4,77,90
2013-12-31,109,轻度污染,82,129,33,1.4,72,103
2014-01-01,110,轻度污染,83,131,29,1.5,70,110
2014-01-02,116,轻度污染,88,136,23,1.5,77,97
2014-01-03,132,轻度污染,100,156,27,1.6,84,115
2014-01-04,123,轻度污染,94,130,42,1.1,40,162
2014-01-05,128,轻度污染,98,139,38,1.1,42,171
2014-01-06,154,中度污染,118,168,27,1.2,57,161
2014-01-07,80,良,59,99,20,0.8,46,123
2014-01-08,72,良,53,88,21,1.1,52,62
2014-01-09,60,良,43,57,18,1.3,30,87
2014-01-10,80,良,59,84,19,1.1,36,84
2014-01-11,84,良,62,93,19,1,43,130
2014-01-12,73,良,54,80,18,0.9,41,95
2014-01-13,49,优,34,48,18,0.9,23,67
2014-01-14,58,良,41,54,18,0.9,23,81
2014-01-15,79,良,58,80,33,0.9,23,114
2014-01-16,84,良,62,99,20,0.8,44,124
2014-01-17,85,良,63,100,21,0.9,51,127
2014-01-18,90,良,67,87,27,0.8,28,140
2014-01-19,130,轻度污染,99,133,28,1.2,47,156
2014-01-20,121,轻度污染,92,128,26,1,46,152
2014-01-21,102,轻度污染,77,111,35,0.9,21,148
2014-01-22,94,良,70,109,26,0.9,36,137
2014-01-23,89,良,66,104,20,0.9,46,139
2014-01-24,64,良,47,69,17,0.7,40,114
2014-01-25,54,良,35,58,17,0.8,41,99
2014-01-26,92,良,51,78,19,0.8,36,150
2014-01-27,93,良,68,96,19,0.7,22,152
2014-01-28,97,良,48,73,18,0.6,26,156
2014-01-29,92,良,43,61,17,0.7,27,150
2014-01-30,106,轻度污染,54,77,21,0.8,31,167
2014-01-31,170,中度污染,129,205,43,0.7,23,149
2014-02-01,71,良,52,67,21,0.6,17,110
2014-02-02,58,良,35,49,18,0.6,20,109
2014-02-03,77,良,47,63,22,0.8,33,132
2014-02-04,88,良,40,125,18,0.7,18,109
2014-02-05,63,良,34,76,17,0.8,16,94
2014-02-06,43,优,20,17,17,0.7,15,86
2014-02-07,40,优,27,40,20,0.8,28,55
2014-02-08,36,优,25,28,29,0.9,22,42
2014-02-09,24,优,17,14,16,0.8,19,31
2014-02-10,37,优,26,32,18,1,14,54
2014-02-11,54,良,38,44,20,0.7,14,63
2014-02-12,63,良,46,48,18,0.7,18,61
2014-02-13,35,优,25,19,16,0.6,15,53
2014-02-14,56,良,39,47,19,0.7,14,93
2014-02-15,55,良,39,50,19,0.9,25,67
2014-02-16,64,良,47,62,22,1,36,66
2014-02-17,67,良,49,73,20,1.1,44,70
2014-02-18,48,优,33,48,20,0.9,40,53
2014-02-19,28,优,15,12,15,0.7,18,56
2014-02-20,37,优,23,29,12,0.6,14,73
2014-02-21,61,良,43,69,17,0.9,33,110
2014-02-22,73,良,53,72,15,0.7,47,108
2014-02-23,78,良,54,75,17,0.6,37,134
2014-02-24,59,良,31,49,15,0.5,27,111
2014-02-25,52,良,31,53,15,0.5,31,97
2014-02-26,52,良,33,54,18,0.6,33,89
2014-02-27,48,优,31,45,17,0.8,26,96
2014-02-28,46,优,29,44,15,0.6,26,92
2014-03-01,54,良,30,58,16,0.6,30,71
2014-03-02,47,优,27,47,16,1.1,31,64
2014-03-03,51,良,30,53,16,1,28,69
2014-03-04,61,良,44,72,17,0.9,35,69
2014-03-05,39,优,25,39,17,0.9,26,54
2014-03-06,57,良,36,64,16,0.7,27,94
2014-03-07,42,优,30,40,13,0.8,29,68
2014-03-08,44,优,31,44,10,0.7,29,40
2014-03-09,26,优,18,24,11,0.8,21,34
2014-03-10,37,优,26,33,11,0.9,29,32
2014-03-11,53,良,35,57,11,0.8,32,56
2014-03-12,69,良,50,74,13,1,40,63
2014-03-13,47,优,33,43,15,1,28,94
2014-03-14,63,良,45,68,17,0.9,25,90
2014-03-15,91,良,68,99,19,0.9,43,73
2014-03-16,89,良,66,109,20,0.9,47,83
2014-03-17,78,良,57,93,18,0.9,45,96
2014-03-18,59,良,40,68,18,0.7,33,76
2014-03-19,62,良,41,74,19,0.7,37,101
2014-03-20,72,良,53,87,23,0.9,42,96
2014-03-21,59,良,42,61,21,0.8,23,71
2014-03-22,72,良,41,65,20,0.7,26,126
2014-03-23,95,良,50,85,18,0.7,33,154
2014-03-24,83,良,61,95,20,0.7,40,139
2014-03-25,86,良,38,70,20,0.6,42,143
2014-03-26,77,良,37,73,20,0.7,45,132
2014-03-27,58,良,26,53,21,0.6,35,110
2014-03-28,47,优,26,47,19,0.6,21,70
2014-03-29,49,优,29,49,18,0.8,39,52
2014-03-30,46,优,32,42,19,0.8,38,67
2014-03-31,46,优,20,27,19,0.8,35,91
2014-04-01,37,优,26,36,20,1.1,43,43
2014-04-02,37,优,26,35,19,1,33,60
2014-04-03,37,优,16,24,17,0.9,30,73
2014-04-04,53,良,36,55,18,0.9,33,103
2014-04-05,83,良,46,70,18,0.8,32,140
2014-04-06,75,良,54,73,18,0.9,35,130
2014-04-07,50,优,35,51,17,0.8,25,90
2014-04-08,44,优,30,44,16,0.9,38,70
2014-04-09,50,优,25,39,16,0.8,30,100
2014-04-10,78,良,30,47,23,0.7,20,134
2014-04-11,70,良,27,46,19,0.7,24,124
2014-04-12,50,优,24,50,18,0.6,25,90
2014-04-13,119,轻度污染,41,79,24,0.8,47,181
2014-04-14,63,良,40,62,19,0.8,28,115
2014-04-15,98,良,28,57,20,0.6,21,157
2014-04-16,83,良,32,59,18,0.6,25,140
2014-04-17,53,良,27,56,18,0.6,26,98
2014-04-18,50,优,24,48,19,0.6,27,99
2014-04-19,47,优,22,47,25,0.6,26,90
2014-04-20,64,良,40,78,29,0.8,52,107
2014-04-21,49,优,29,49,22,0.6,23,87
2014-04-22,52,良,30,54,23,0.8,35,75
2014-04-23,58,良,27,42,23,0.8,22,109
2014-04-24,66,良,39,60,17,0.8,21,119
2014-04-25,57,良,41,61,19,0.9,23,84
2014-04-26,40,优,24,40,14,0.8,31,74
2014-04-27,54,良,27,44,16,0.9,31,105
2014-04-28,85,良,25,46,16,1.2,22,142
2014-04-29,82,良,43,69,22,1,29,138
2014-04-30,70,良,38,54,13,0.6,27,124
2014-05-01,31,优,19,31,13,0.7,26,62
2014-05-02,57,良,22,42,8,0.7,22,108
2014-05-03,88,良,29,61,10,0.7,25,146
2014-05-04,63,良,30,51,8,0.6,22,115
2014-05-05,43,优,18,25,6,0.6,22,85
2014-05-06,32,优,18,28,11,0.7,29,63
2014-05-07,36,优,19,30,9,0.8,35,72
2014-05-08,31,优,18,30,10,0.7,30,62
2014-05-09,39,优,10,20,8,0.5,19,77
2014-05-10,41,优,14,27,8,0.4,16,82
2014-05-11,28,优,14,28,10,0.5,28,51
2014-05-12,32,优,14,28,9,0.6,24,64
2014-05-13,32,优,16,32,10,0.7,25,46
2014-05-14,35,优,16,35,9,0.6,22,44
2014-05-15,46,优,21,46,10,0.7,32,70
2014-05-16,39,优,21,39,10,0.6,28,44
2014-05-17,36,优,20,36,11,0.6,22,51
2014-05-18,37,优,14,37,13,0.6,30,56
2014-05-19,34,优,16,34,13,0.6,29,45
2014-05-20,36,优,18,36,14,0.6,39,59
2014-05-21,35,优,18,35,13,0.6,31,60
2014-05-22,32,优,15,32,12,0.4,21,61
2014-05-23,34,优,16,32,20,0.6,33,67
2014-05-24,29,优,15,28,16,0.4,16,58
2014-05-25,47,优,17,39,17,0.5,22,94
2014-05-26,101,轻度污染,23,56,23,0.6,33,161
2014-05-27,135,轻度污染,46,87,29,0.8,47,199
2014-05-28,93,良,38,70,23,0.7,41,151
2014-05-29,70,良,51,50,14,0.6,36,76
2014-05-30,45,优,16,45,12,0.6,26,68
2014-05-31,49,优,17,39,11,0.5,21,98
2014-06-01,49,优,18,39,12,0.6,22,97
2014-06-02,63,良,16,34,17,0.6,24,115
2014-06-03,41,优,18,41,14,0.7,31,68
2014-06-04,55,良,20,42,14,0.6,27,106
2014-06-05,39,优,17,39,9,0.5,26,59
2014-06-06,44,优,18,44,7,0.6,32,48
2014-06-07,51,良,24,52,9,0.7,45,100
2014-06-08,70,良,38,67,16,0.7,25,124
2014-06-09,53,良,22,38,7,0.4,13,103
2014-06-10,67,良,22,43,7,0.5,15,120
2014-06-11,53,良,26,51,7,0.5,21,103
2014-06-12,79,良,33,65,15,0.6,26,135
2014-06-13,105,轻度污染,45,84,13,0.7,36,166
2014-06-14,99,良,40,63,15,0.5,22,159
2014-06-15,45,优,27,44,16,0.5,23,89
2014-06-16,80,良,44,77,19,0.7,32,136
2014-06-17,38,优,21,38,12,0.4,24,72
2014-06-18,36,优,20,36,11,0.5,30,71
2014-06-19,35,优,20,33,8,0.3,20,70
2014-06-20,33,优,18,33,11,0.4,19,55
2014-06-21,32,优,16,26,12,0.5,16,63
2014-06-22,30,优,14,25,10,0.4,15,60
2014-06-23,26,优,15,26,10,0.4,17,52
2014-06-24,26,优,16,25,9,0.5,19,51
2014-06-25,30,优,17,30,8,0.5,27,49
2014-06-26,48,优,19,39,14,0.5,23,95
2014-06-27,42,优,20,42,7,0.5,21,84
2014-06-28,40,优,19,36,9,0.4,19,79
2014-06-29,32,优,17,32,7,0.4,14,54
2014-06-30,26,优,15,22,7,0.4,15,51
2014-07-01,24,优,15,24,6,0.4,17,48
2014-07-02,40,优,18,34,7,0.5,19,79
2014-07-03,74,良,20,41,9,0.5,26,129
2014-07-04,64,良,20,41,10,0.5,26,117
2014-07-05,61,良,20,34,9,0.4,21,113
2014-07-06,62,良,23,44,12,0.6,26,114
2014-07-07,57,良,23,44,11,0.5,26,108
2014-07-08,93,良,37,72,15,0.7,38,152
2014-07-09,107,轻度污染,45,75,12,0.8,44,168
2014-07-10,44,优,23,39,11,0.5,23,87
2014-07-11,28,优,16,28,6,0.5,19,48
2014-07-12,28,优,15,28,12,0.5,19,50
