»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,165,÷–∂»Œ€»æ,126,199,116,1.8,92,30
2013-12-03,290,÷ÿ∂»Œ€»æ,240,319,102,2.4,106,26
2013-12-04,334,—œ÷ÿŒ€»æ,284,357,40,2.3,65,56
2013-12-05,386,—œ÷ÿŒ€»æ,336,442,62,2.6,80,67
2013-12-06,251,÷ÿ∂»Œ€»æ,201,266,29,1.9,51,37
2013-12-07,273,÷ÿ∂»Œ€»æ,223,297,39,2.5,74,44
2013-12-08,258,÷ÿ∂»Œ€»æ,208,265,43,1.9,64,19
2013-12-09,186,÷–∂»Œ€»æ,140,207,39,1.4,33,45
2013-12-10,95,¡º,71,122,46,1,36,52
2013-12-11,123,«·∂»Œ€»æ,93,152,48,1.1,43,50
2013-12-12,163,÷–∂»Œ€»æ,124,192,82,1.8,67,27
2013-12-13,142,«·∂»Œ€»æ,108,160,52,1.1,46,53
2013-12-14,150,«·∂»Œ€»æ,115,174,84,1.3,60,43
2013-12-15,217,÷ÿ∂»Œ€»æ,167,224,52,1.3,41,52
2013-12-16,67,¡º,48,68,25,0.7,27,36
2013-12-17,82,¡º,61,81,23,0.6,24,26
2013-12-18,119,«·∂»Œ€»æ,91,112,35,1,21,49
2013-12-19,183,÷–∂»Œ€»æ,138,169,64,1.2,37,48
2013-12-20,230,÷ÿ∂»Œ€»æ,180,220,92,1.4,49,37
2013-12-21,133,«·∂»Œ€»æ,101,129,51,0.9,35,64
2013-12-22,133,«·∂»Œ€»æ,101,125,43,1,38,54
2013-12-23,183,÷–∂»Œ€»æ,138,173,40,1.2,44,50
2013-12-24,295,÷ÿ∂»Œ€»æ,245,288,121,2,62,28
2013-12-25,328,—œ÷ÿŒ€»æ,278,333,133,2.6,72,15
2013-12-26,280,÷ÿ∂»Œ€»æ,230,302,106,1.8,60,22
2013-12-27,76,¡º,55,102,45,0.7,27,39
2013-12-28,108,«·∂»Œ€»æ,82,132,51,0.8,41,34
2013-12-29,152,÷–∂»Œ€»æ,116,181,80,1.1,46,34
2013-12-30,142,«·∂»Œ€»æ,109,177,93,1.2,52,52
2013-12-31,137,«·∂»Œ€»æ,104,182,68,1.1,60,58
2014-01-01,170,÷–∂»Œ€»æ,129,220,78,1.5,66,42
2014-01-02,255,÷ÿ∂»Œ€»æ,205,325,99,2.2,70,34
2014-01-03,259,÷ÿ∂»Œ€»æ,209,324,73,1.5,59,32
2014-01-04,138,«·∂»Œ€»æ,105,161,33,1,32,33
2014-01-05,162,÷–∂»Œ€»æ,124,192,82,1.4,52,24
2014-01-06,136,«·∂»Œ€»æ,104,165,77,1,47,34
2014-01-07,94,¡º,70,109,47,0.8,38,14
2014-01-08,59,¡º,42,54,15,0.7,24,52
2014-01-09,64,¡º,45,78,29,0.5,25,41
2014-01-10,118,«·∂»Œ€»æ,89,130,55,0.9,44,33
2014-01-11,121,«·∂»Œ€»æ,92,118,35,0.8,31,32
2014-01-12,187,÷–∂»Œ€»æ,141,186,38,1.1,36,57
2014-01-13,99,¡º,74,111,25,0.6,24,42
2014-01-14,76,¡º,55,86,30,0.5,29,53
2014-01-15,121,«·∂»Œ€»æ,91,116,46,0.8,36,50
2014-01-16,142,«·∂»Œ€»æ,108,129,58,1.1,45,39
2014-01-17,227,÷ÿ∂»Œ€»æ,177,234,53,1.5,48,54
2014-01-18,225,÷ÿ∂»Œ€»æ,175,219,45,1.6,36,56
2014-01-19,305,—œ÷ÿŒ€»æ,255,326,70,2.1,61,45
2014-01-20,172,÷–∂»Œ€»æ,131,213,44,1,33,49
2014-01-21,82,¡º,52,114,39,0.6,26,34
2014-01-22,111,«·∂»Œ€»æ,83,134,72,1,41,34
2014-01-23,135,«·∂»Œ€»æ,103,138,65,1.2,54,41
2014-01-24,128,«·∂»Œ€»æ,97,134,75,1.3,56,38
2014-01-25,184,÷–∂»Œ€»æ,139,180,47,1.3,43,43
