»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,74,¡º,49,99,25,0.9,31,97
2015-01-01,55,¡º,29,60,12,0.7,21,76
2015-01-02,74,¡º,54,81,40,0.9,37,75
2015-01-03,98,¡º,73,108,46,1.3,53,88
2015-01-04,79,¡º,58,89,31,1,44,108
2015-01-05,75,¡º,55,88,45,1.2,55,68
2015-01-06,100,¡º,75,93,28,1.6,38,54
2015-01-07,46,”≈,32,43,21,1.4,26,68
2015-01-08,60,¡º,43,67,39,1.4,31,92
2015-01-09,69,¡º,50,78,51,1.2,38,98
2015-01-10,114,«·∂»Œ€»æ,86,128,69,1.7,55,82
2015-01-11,121,«·∂»Œ€»æ,92,131,63,1.6,47,87
2015-01-12,80,¡º,59,78,32,1.3,35,73
2015-01-13,55,¡º,39,45,16,1.3,26,43
2015-01-14,58,¡º,42,51,29,1.4,29,61
2015-01-15,46,”≈,32,43,21,1.4,25,72
2015-01-16,64,¡º,47,62,30,1.5,33,94
2015-01-17,94,¡º,70,97,25,1.4,26,123
2015-01-18,130,«·∂»Œ€»æ,99,141,30,1.8,45,77
2015-01-19,107,«·∂»Œ€»æ,81,119,34,1.4,36,116
2015-01-20,91,¡º,68,102,38,1.3,45,97
2015-01-21,93,¡º,69,96,45,1.4,42,113
2015-01-22,85,¡º,63,101,29,0.8,29,104
2015-01-23,80,¡º,59,98,45,0.9,51,73
2015-01-24,74,¡º,54,91,36,0.7,45,95
2015-01-25,93,¡º,69,96,37,0.9,51,30
2015-01-26,168,÷–∂»Œ€»æ,128,158,14,1.7,46,38
2015-01-27,87,¡º,65,81,9,1.8,49,24
2015-01-28,28,”≈,20,24,3,0.8,22,17
2015-01-29,19,”≈,13,16,4,0.7,23,14
2015-01-30,45,”≈,31,38,7,0.8,22,25
2015-01-31,99,¡º,75,85,11,1,23,29
2015-02-01,100,¡º,75,93,12,1.2,25,26
2015-02-02,64,¡º,47,53,5,1.1,23,24
2015-02-03,74,¡º,54,64,10,1.2,24,21
2015-02-04,132,«·∂»Œ€»æ,101,130,16,1.4,26,75
2015-02-05,138,«·∂»Œ€»æ,105,132,22,1.3,26,119
2015-02-06,74,¡º,54,78,22,1,27,106
2015-02-07,121,«·∂»Œ€»æ,92,131,37,1.3,45,74
2015-02-08,136,«·∂»Œ€»æ,104,145,31,1.4,33,111
2015-02-09,68,¡º,49,77,17,1,21,106
2015-02-10,89,¡º,67,97,33,1.2,39,88
2015-02-11,118,«·∂»Œ€»æ,89,137,32,1.6,48,108
2015-02-12,123,«·∂»Œ€»æ,93,128,20,1.5,36,121
2015-02-13,92,¡º,69,107,17,1.2,31,120
2015-02-14,87,¡º,64,101,19,1.4,33,75
2015-02-15,52,¡º,37,49,6,1.2,17,93
2015-02-16,91,¡º,67,93,16,1.6,18,134
2015-02-17,136,«·∂»Œ€»æ,103,150,24,2.1,23,135
2015-02-18,128,«·∂»Œ€»æ,97,132,27,1.7,20,103
2015-02-19,156,÷–∂»Œ€»æ,119,169,50,1.6,17,105
2015-02-20,54,¡º,39,49,4,1.5,9,68
2015-02-21,34,”≈,24,28,3,1.6,14,42
2015-02-22,48,”≈,34,40,5,1.7,12,75
2015-02-23,79,¡º,58,66,7,2,14,69
2015-02-24,64,¡º,46,56,6,2.2,14,50
2015-02-25,46,”≈,32,40,5,2.1,17,36
2015-02-26,27,”≈,19,22,6,1.7,18,43
2015-02-27,26,”≈,15,18,4,1.6,12,51
2015-02-28,30,”≈,11,13,3,1.6,12,60
2015-03-01,38,”≈,19,22,5,1.5,10,76
2015-03-02,42,”≈,30,36,11,1.2,19,63
2015-03-03,44,”≈,31,36,9,1.1,23,51
2015-03-04,66,¡º,48,77,10,1.1,18,57
2015-03-05,36,”≈,25,29,6,1.1,14,55
2015-03-06,41,”≈,29,33,8,1.2,15,35
2015-03-07,47,”≈,33,40,15,1.3,17,32
2015-03-08,30,”≈,21,26,9,1.4,20,13
2015-03-09,48,”≈,34,43,14,1.4,21,89
2015-03-10,63,¡º,46,61,9,1.2,15,83
