»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,150,«·∂»Œ€»æ,35,250,66,1.4,36,36
2014-01-01,71,¡º,34,92,60,1.5,34,50
2014-01-02,73,¡º,43,96,56,1.8,40,42
2014-01-03,56,¡º,35,61,36,1.5,30,55
2014-01-04,78,¡º,58,89,50,1.7,41,45
2014-01-05,76,¡º,56,76,47,1.4,37,43
2014-01-06,102,«·∂»Œ€»æ,77,105,55,2,43,38
2014-01-07,79,¡º,58,85,51,1.6,36,46
2014-01-08,46,”≈,22,46,21,0.9,19,61
2014-01-09,92,¡º,68,117,71,1.4,43,35
2014-01-10,127,«·∂»Œ€»æ,97,156,88,2,54,28
2014-01-11,124,«·∂»Œ€»æ,95,164,91,1.9,55,27
2014-01-12,61,¡º,38,72,26,0.9,21,56
2014-01-13,91,¡º,67,110,56,1.4,42,37
2014-01-14,102,«·∂»Œ€»æ,77,120,73,1.5,49,35
2014-01-15,128,«·∂»Œ€»æ,97,157,92,1.6,56,28
2014-01-16,151,÷–∂»Œ€»æ,116,164,72,1.6,51,35
2014-01-17,164,÷–∂»Œ€»æ,125,173,95,1.6,59,32
2014-01-18,151,÷–∂»Œ€»æ,116,158,63,1.5,46,49
2014-01-19,84,¡º,62,86,43,1.3,42,31
2014-01-20,120,«·∂»Œ€»æ,91,111,48,1.2,44,44
2014-01-21,154,÷–∂»Œ€»æ,118,162,63,1.5,52,39
2014-01-22,142,«·∂»Œ€»æ,108,132,77,2.1,63,41
2014-01-23,92,¡º,69,104,63,1.3,42,66
2014-01-24,154,÷–∂»Œ€»æ,118,150,67,1.9,58,66
2014-01-25,98,¡º,74,112,26,1.4,37,59
2014-01-26,67,¡º,43,84,56,1.5,43,40
2014-01-27,69,¡º,33,88,46,1.3,29,46
2014-01-28,49,”≈,20,49,30,1.1,23,57
2014-01-29,68,¡º,37,85,47,1.4,31,57
2014-01-30,64,¡º,41,78,32,1.2,20,62
2014-01-31,203,÷ÿ∂»Œ€»æ,153,207,80,1.8,38,43
2014-02-01,105,«·∂»Œ€»æ,79,117,63,1.8,44,47
2014-02-02,123,«·∂»Œ€»æ,50,196,49,1.7,27,60
2014-02-03,52,¡º,17,53,15,1.2,11,61
2014-02-04,76,¡º,51,101,45,1.5,25,56
2014-02-05,75,¡º,55,89,59,1.7,34,48
2014-02-06,59,¡º,43,62,44,1.5,26,55
2014-02-07,65,¡º,47,62,31,1.5,22,51
2014-02-08,56,¡º,40,60,22,1.5,18,60
2014-02-09,55,¡º,39,57,19,1.4,18,61
2014-02-10,61,¡º,44,64,35,1.6,29,58
2014-02-11,66,¡º,48,79,63,1.7,40,46
2014-02-12,83,¡º,61,92,47,1.6,35,63
2014-02-13,77,¡º,57,83,48,1.5,37,60
2014-02-14,123,«·∂»Œ€»æ,93,195,76,1.8,43,66
2014-02-15,214,÷ÿ∂»Œ€»æ,164,219,95,2.2,61,44
2014-02-16,101,«·∂»Œ€»æ,76,97,35,1.3,34,75
2014-02-17,90,¡º,67,94,39,1.2,37,70
2014-02-18,70,¡º,51,73,37,1.1,32,68
2014-02-19,47,”≈,32,47,31,1,23,67
2014-02-20,67,¡º,49,76,46,1.1,34,66
2014-02-21,117,«·∂»Œ€»æ,89,138,75,1.6,66,64
2014-02-22,78,¡º,57,84,49,1.2,41,69
2014-02-23,126,«·∂»Œ€»æ,96,132,67,1.5,57,68
2014-02-24,234,÷ÿ∂»Œ€»æ,184,251,106,2.4,78,41
2014-02-25,230,÷ÿ∂»Œ€»æ,180,255,76,2.6,65,77
2014-02-26,146,«·∂»Œ€»æ,111,198,65,1.9,59,95
2014-02-27,66,¡º,34,81,25,1.1,27,68
2014-02-28,66,¡º,34,81,26,1.1,32,61
2014-03-01,40,”≈,18,40,20,0.9,21,67
2014-03-02,57,¡º,36,65,24,1.1,27,73
2014-03-03,82,¡º,61,107,57,1.5,44,70
2014-03-04,50,”≈,32,50,19,1,22,71
2014-03-05,63,¡º,35,76,33,1.2,33,79
2014-03-06,47,”≈,21,47,23,1.1,23,71
2014-03-07,72,¡º,47,94,44,1.4,38,72
2014-03-08,74,¡º,46,98,44,1.5,37,72
2014-03-09,60,¡º,35,70,21,1.3,31,71
2014-03-10,85,¡º,57,119,56,1.8,48,64
2014-03-11,92,¡º,69,133,57,1.7,46,62
2014-03-12,60,¡º,24,70,24,1.3,25,83
2014-03-13,109,«·∂»Œ€»æ,82,125,31,1.7,41,108
2014-03-14,113,«·∂»Œ€»æ,86,135,46,1.8,48,116
2014-03-15,80,¡º,42,110,41,1.7,40,91
2014-03-16,76,¡º,42,101,36,1.6,45,96
2014-03-17,103,«·∂»Œ€»æ,69,156,45,1.9,42,104
2014-03-18,54,¡º,29,51,13,1.4,22,105
2014-03-19,59,¡º,32,68,21,1.6,29,105
2014-03-20,54,¡º,21,58,11,1.5,19,80
2014-03-21,77,¡º,55,103,45,2,44,100
2014-03-22,67,¡º,42,84,31,1.9,36,113
2014-03-23,91,¡º,67,119,56,1.8,55,113
2014-03-24,114,«·∂»Œ€»æ,86,175,46,1.6,45,142
2014-03-25,108,«·∂»Œ€»æ,81,143,50,1.8,48,147
2014-03-26,165,÷–∂»Œ€»æ,125,202,56,2,58,144
2014-03-27,229,÷ÿ∂»Œ€»æ,179,294,85,2.3,76,106
2014-03-28,96,¡º,71,140,32,1.2,36,110
2014-03-29,69,¡º,50,73,15,1,33,80
2014-03-30,80,¡º,59,99,23,1,43,95
2014-03-31,87,¡º,54,125,26,0.9,49,76
2014-04-01,99,¡º,74,126,38,1.1,42,118
2014-04-02,73,¡º,50,97,14,0.8,27,92
2014-04-03,57,¡º,17,63,10,0.5,18,81
2014-04-04,63,¡º,29,76,17,0.7,30,73
2014-04-05,49,”≈,23,49,7,0.6,22,71
2014-04-06,81,¡º,39,113,30,1.1,40,82
2014-04-07,96,¡º,58,141,35,1.2,47,102
2014-04-08,100,¡º,74,151,40,1.3,53,120
2014-04-09,105,«·∂»Œ€»æ,69,160,39,1.3,45,96
2014-04-10,56,¡º,29,63,10,0.8,26,92
2014-04-11,68,¡º,38,86,18,0.9,45,109
2014-04-12,94,¡º,66,138,43,1.4,58,125
2014-04-13,110,«·∂»Œ€»æ,83,162,40,1.4,62,130
2014-04-14,135,«·∂»Œ€»æ,88,219,45,1.5,43,145
2014-04-15,72,¡º,26,94,11,0.7,20,114
2014-04-16,63,¡º,28,77,15,0.7,33,96
2014-04-17,76,¡º,39,102,22,0.8,32,82
2014-04-18,54,¡º,22,58,9,0.6,16,96
2014-04-19,69,¡º,37,89,19,0.7,34,112
2014-04-20,84,¡º,41,119,35,1.1,36,83
2014-04-21,80,¡º,47,109,35,1.2,44,82
2014-04-22,75,¡º,44,99,34,1.1,41,105
2014-04-23,104,«·∂»Œ€»æ,58,157,35,1.2,36,131
2014-04-24,88,¡º,65,125,31,1.1,26,141
2014-04-25,84,¡º,38,84,24,0.9,25,141
2014-04-26,73,¡º,46,96,28,1,29,110
2014-04-27,65,¡º,37,80,23,0.9,29,83
2014-04-28,68,¡º,29,86,14,0.9,29,100
2014-04-29,88,¡º,62,127,32,1.3,51,137
2014-04-30,98,¡º,71,147,41,1.5,51,152
2014-05-01,125,«·∂»Œ€»æ,79,185,43,1.5,35,187
2014-05-02,105,«·∂»Œ€»æ,45,83,22,1.1,22,165
2014-05-03,54,¡º,29,58,19,1.1,26,101
2014-05-04,47,”≈,17,38,8,0.9,17,93
2014-05-05,54,¡º,36,58,21,1,27,64
2014-05-06,69,¡º,46,89,32,1.2,32,105
2014-05-07,53,¡º,27,53,16,0.8,26,103
2014-05-08,74,¡º,45,99,14,1,35,93
2014-05-09,61,¡º,28,71,21,0.9,40,98
2014-05-10,72,¡º,36,84,27,1,39,126
2014-05-11,61,¡º,38,72,16,1,37,75
2014-05-12,41,”≈,19,31,17,1.1,28,82
2014-05-13,89,¡º,66,124,38,1.6,45,140
2014-05-14,68,¡º,33,71,19,0.8,30,122
