»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,132,«·∂»Œ€»æ,65,213,44,0.9,45,41
2014-01-01,152,÷–∂»Œ€»æ,116,241,67,1.9,60,35
2014-01-02,135,«·∂»Œ€»æ,103,179,46,1.5,50,37
2014-01-03,112,«·∂»Œ€»æ,85,132,38,1.2,41,47
2014-01-04,61,¡º,44,70,29,0.8,35,45
2014-01-05,162,÷–∂»Œ€»æ,123,175,50,1.5,56,22
2014-01-06,232,÷ÿ∂»Œ€»æ,182,220,37,2.1,57,10
2014-01-07,251,÷ÿ∂»Œ€»æ,201,251,49,2.3,58,13
2014-01-08,50,”≈,24,51,38,0.3,21,51
2014-01-09,77,¡º,57,77,31,0.9,35,40
2014-01-10,161,÷–∂»Œ€»æ,123,158,62,1.9,52,33
2014-01-11,267,÷ÿ∂»Œ€»æ,217,274,76,2.5,65,23
2014-01-12,154,÷–∂»Œ€»æ,118,155,42,1.2,41,59
2014-01-13,67,¡º,49,65,21,1,35,55
2014-01-14,189,÷–∂»Œ€»æ,142,176,50,1.9,57,28
2014-01-15,327,—œ÷ÿŒ€»æ,277,346,116,2.9,78,29
2014-01-16,320,—œ÷ÿŒ€»æ,270,337,114,2.4,81,38
2014-01-17,212,÷ÿ∂»Œ€»æ,162,202,69,1.6,52,36
2014-01-18,202,÷ÿ∂»Œ€»æ,152,190,55,1.5,52,36
2014-01-19,143,«·∂»Œ€»æ,110,148,42,1.1,51,39
2014-01-20,135,«·∂»Œ€»æ,103,184,40,0.9,39,51
2014-01-21,55,¡º,39,60,41,0.6,26,48
2014-01-22,107,«·∂»Œ€»æ,80,112,44,1.1,45,48
2014-01-23,133,«·∂»Œ€»æ,101,148,43,1,51,47
2014-01-24,140,«·∂»Œ€»æ,107,146,38,1.4,84,44
2014-01-25,69,¡º,49,88,58,0.4,49,60
2014-01-26,52,¡º,24,54,18,0.5,24,59
2014-01-27,58,¡º,40,67,31,0.8,28,53
2014-01-28,62,¡º,36,75,27,0.6,17,64
2014-01-29,60,¡º,41,70,19,0.9,15,63
2014-01-30,145,«·∂»Œ€»æ,111,161,37,1.5,21,66
2014-01-31,114,«·∂»Œ€»æ,87,140,27,0.7,12,58
2014-02-01,66,¡º,48,63,17,0.9,24,58
2014-02-02,102,«·∂»Œ€»æ,77,95,49,1,22,48
2014-02-03,56,¡º,15,63,22,0.3,9,59
2014-02-04,35,”≈,14,35,27,0.3,8,62
2014-02-05,34,”≈,16,29,11,0.5,7,68
2014-02-06,55,¡º,19,59,16,0.4,7,71
2014-02-07,45,”≈,31,45,52,0.9,23,43
2014-02-08,44,”≈,26,44,54,0.4,13,61
2014-02-09,52,¡º,14,53,43,0.2,5,63
2014-02-10,36,”≈,13,36,64,0.3,7,64
2014-02-11,69,¡º,50,70,53,1.4,20,68
2014-02-12,137,«·∂»Œ€»æ,105,131,86,1.9,33,64
2014-02-13,81,¡º,60,86,45,1.1,21,65
2014-02-14,99,¡º,74,117,81,2,37,76
2014-02-15,243,÷ÿ∂»Œ€»æ,193,242,52,1.8,38,96
2014-02-16,182,÷–∂»Œ€»æ,137,177,42,1.5,29,97
2014-02-17,76,¡º,56,99,34,0.8,17,84
2014-02-18,81,¡º,60,92,52,1.2,32,66
2014-02-19,123,«·∂»Œ€»æ,94,131,60,1.6,44,65
2014-02-20,103,«·∂»Œ€»æ,77,109,70,1.2,33,69
2014-02-21,217,÷ÿ∂»Œ€»æ,167,224,51,2.5,49,78
2014-02-22,195,÷–∂»Œ€»æ,146,188,35,1.7,39,99
2014-02-23,140,«·∂»Œ€»æ,107,139,28,1.5,31,104
2014-02-24,176,÷–∂»Œ€»æ,133,176,38,1.8,32,102
2014-02-25,187,÷–∂»Œ€»æ,141,179,24,1.4,29,111
2014-02-26,184,÷–∂»Œ€»æ,139,177,28,1.2,36,98
2014-02-27,113,«·∂»Œ€»æ,85,112,55,0.8,36,61
2014-02-28,55,¡º,24,61,27,0.5,28,62
2014-03-01,75,¡º,55,99,58,0.9,51,61
2014-03-02,113,«·∂»Œ€»æ,85,125,45,1.3,47,82
2014-03-03,114,«·∂»Œ€»æ,86,138,26,1,40,87
2014-03-04,101,«·∂»Œ€»æ,75,103,45,0.7,33,83
2014-03-05,104,«·∂»Œ€»æ,78,107,37,0.9,38,78
2014-03-06,97,¡º,73,108,31,0.9,36,66
2014-03-07,75,¡º,55,90,22,0.7,34,73
2014-03-08,142,«·∂»Œ€»æ,109,139,41,1.1,44,62
2014-03-09,137,«·∂»Œ€»æ,104,140,47,1,34,71
2014-03-10,63,¡º,43,77,16,0.6,26,75
2014-03-11,105,«·∂»Œ€»æ,79,128,24,0.7,25,117
2014-03-12,69,¡º,40,89,37,0.5,21,88
2014-03-13,61,¡º,28,71,47,0.5,29,66
2014-03-14,96,¡º,72,139,34,1.2,51,62
2014-03-15,141,«·∂»Œ€»æ,108,215,44,1.3,83,87
2014-03-16,147,«·∂»Œ€»æ,113,213,36,1.1,60,117
2014-03-17,179,÷–∂»Œ€»æ,132,308,59,1.1,63,134
2014-03-18,131,«·∂»Œ€»æ,69,213,37,0.7,54,84
2014-03-19,105,«·∂»Œ€»æ,79,139,80,0.7,81,74
2014-03-20,68,¡º,33,86,27,0.5,31,76
2014-03-21,92,¡º,69,133,32,0.9,54,82
2014-03-22,128,«·∂»Œ€»æ,98,181,35,0.9,70,112
2014-03-23,131,«·∂»Œ€»æ,99,175,35,0.9,83,97
2014-03-24,81,¡º,60,94,17,0.5,38,109
2014-03-25,125,«·∂»Œ€»æ,95,134,23,0.8,36,97
2014-03-26,176,÷–∂»Œ€»æ,134,196,34,1.2,47,137
2014-03-27,200,÷–∂»Œ€»æ,150,219,29,1.2,39,143
2014-03-28,72,¡º,37,95,16,0.4,21,104
2014-03-29,84,¡º,62,97,37,0.6,30,85
2014-03-30,152,÷–∂»Œ€»æ,116,195,52,1,42,151
2014-03-31,124,«·∂»Œ€»æ,94,163,25,0.7,38,127
2014-04-01,72,¡º,46,95,42,0.5,32,117
2014-04-02,138,«·∂»Œ€»æ,106,178,42,0.8,39,123
2014-04-03,85,¡º,44,121,34,0.3,22,80
2014-04-04,86,¡º,39,123,39,0.5,33,90
