»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,156,÷–∂»Œ€»æ,119,164,43,1.8,63,146
2014-01-01,205,÷ÿ∂»Œ€»æ,155,192,53,1.9,54,183
2014-01-02,206,÷ÿ∂»Œ€»æ,156,191,54,1.9,59,155
2014-01-03,204,÷ÿ∂»Œ€»æ,154,175,53,1.9,55,143
2014-01-04,149,«·∂»Œ€»æ,114,145,44,1.7,46,159
2014-01-05,225,÷ÿ∂»Œ€»æ,175,205,61,1.9,51,201
2014-01-06,233,÷ÿ∂»Œ€»æ,183,220,48,1.9,44,177
2014-01-07,114,«·∂»Œ€»æ,86,121,45,1.7,41,143
2014-01-08,140,«·∂»Œ€»æ,107,141,44,2,43,93
2014-01-09,82,¡º,61,73,18,1.9,25,54
2014-01-10,86,¡º,64,87,22,1.7,25,125
2014-01-11,98,¡º,73,97,25,1.6,27,125
2014-01-12,93,¡º,70,92,24,1.7,27,98
2014-01-13,62,¡º,44,61,21,1.8,24,44
2014-01-14,68,¡º,49,66,23,1.7,23,70
2014-01-15,74,¡º,54,79,24,1.4,29,129
2014-01-16,127,«·∂»Œ€»æ,97,130,30,1.5,48,130
2014-01-17,134,«·∂»Œ€»æ,102,129,30,1.7,47,150
2014-01-18,114,«·∂»Œ€»æ,86,115,28,1.5,42,147
2014-01-19,174,÷–∂»Œ€»æ,132,147,33,1.7,45,161
2014-01-20,146,«·∂»Œ€»æ,112,142,30,1.6,50,159
2014-01-21,151,÷–∂»Œ€»æ,115,143,43,1.6,38,122
2014-01-22,108,«·∂»Œ€»æ,82,142,31,1.6,33,145
2014-01-23,116,«·∂»Œ€»æ,88,122,28,1.6,38,136
2014-01-24,106,«·∂»Œ€»æ,80,106,21,1.7,35,154
2014-01-25,109,«·∂»Œ€»æ,82,97,24,1.8,37,153
2014-01-26,159,÷–∂»Œ€»æ,121,139,25,1.8,35,165
2014-01-27,104,«·∂»Œ€»æ,78,104,15,1.7,22,154
2014-01-28,92,¡º,66,90,13,1.7,24,150
2014-01-29,87,¡º,65,81,11,1.9,22,143
2014-01-30,149,«·∂»Œ€»æ,114,128,13,2.5,31,171
2014-01-31,185,÷–∂»Œ€»æ,139,132,18,2.2,21,162
2014-02-01,142,«·∂»Œ€»æ,109,84,16,2.2,17,135
2014-02-02,75,¡º,55,63,9,1.9,16,119
2014-02-03,102,«·∂»Œ€»æ,76,69,14,2.1,20,157
2014-02-04,73,¡º,53,59,8,1.9,12,124
2014-02-05,46,”≈,26,22,4,1.8,13,92
2014-02-06,53,¡º,29,29,6,2,14,103
2014-02-07,104,«·∂»Œ€»æ,78,89,9,2.7,31,73
2014-02-08,37,”≈,26,32,7,1.9,19,50
2014-02-09,29,”≈,16,18,5,1.9,15,58
2014-02-10,28,”≈,20,23,6,2,14,37
2014-02-11,52,¡º,37,42,7,1.9,13,50
2014-02-12,72,¡º,53,61,15,2,21,42
2014-02-13,32,”≈,22,26,14,1.9,19,29
2014-02-14,48,”≈,34,40,12,1.9,13,61
2014-02-15,62,¡º,45,54,18,2,15,106
2014-02-16,99,¡º,74,88,32,2.3,34,96
2014-02-17,120,«·∂»Œ€»æ,91,114,30,2.7,40,143
2014-02-18,112,«·∂»Œ€»æ,85,101,30,2.8,39,78
2014-02-19,22,”≈,10,18,14,2.1,21,44
2014-02-20,43,”≈,26,41,21,2,20,85
2014-02-21,80,¡º,49,70,22,2,20,136
2014-02-22,83,¡º,61,83,25,2.1,27,125
2014-02-23,83,¡º,61,80,27,2.2,30,137
2014-02-24,78,¡º,49,66,27,2.1,23,134
2014-02-25,124,«·∂»Œ€»æ,94,104,36,2.4,33,110
2014-02-26,147,«·∂»Œ€»æ,113,131,40,2.9,40,111
2014-02-27,117,«·∂»Œ€»æ,88,96,32,2.7,34,117
2014-02-28,62,¡º,44,64,33,2.6,25,105
2014-03-01,128,«·∂»Œ€»æ,97,132,37,2.9,32,104
2014-03-02,60,¡º,43,59,22,2.6,26,74
2014-03-03,64,¡º,37,77,22,1.2,21,106
2014-03-04,86,¡º,64,94,29,1.1,32,97
2014-03-05,64,¡º,46,63,20,0.9,24,87
2014-03-06,60,¡º,42,70,19,0.7,21,101
2014-03-07,55,¡º,39,42,15,0.7,18,72
2014-03-08,91,¡º,68,80,17,0.9,27,56
2014-03-09,57,¡º,41,41,20,0.9,22,42
2014-03-10,77,¡º,56,57,24,1,30,73
2014-03-11,96,¡º,72,57,19,1.3,37,40
2014-03-12,196,÷–∂»Œ€»æ,147,106,31,2.4,49,48
2014-03-13,106,«·∂»Œ€»æ,79,59,27,1.7,27,90
2014-03-14,96,¡º,72,82,26,1.2,24,87
2014-03-15,135,«·∂»Œ€»æ,103,132,36,1.3,35,78
2014-03-16,148,«·∂»Œ€»æ,114,157,51,1.6,45,93
2014-03-17,163,÷–∂»Œ€»æ,124,159,50,1.6,41,136
2014-03-18,128,«·∂»Œ€»æ,97,125,34,1.7,31,102
2014-03-19,93,¡º,70,96,27,1.5,22,94
2014-03-20,122,«·∂»Œ€»æ,92,106,24,1.5,24,95
2014-03-21,60,¡º,43,59,20,1.1,21,76
2014-03-22,92,¡º,44,82,26,0.9,23,150
2014-03-23,88,¡º,42,74,25,0.9,23,146
2014-03-24,87,¡º,60,92,28,1.1,28,144
2014-03-25,126,«·∂»Œ€»æ,96,133,43,1.5,39,143
2014-03-26,136,«·∂»Œ€»æ,104,134,43,1.7,38,129
2014-03-27,97,¡º,72,94,38,1.6,28,100
2014-03-28,91,¡º,68,85,25,1.7,18,105
2014-03-29,70,¡º,51,81,25,1.7,21,58
2014-03-30,95,¡º,71,82,33,1.7,29,97
2014-03-31,66,¡º,48,45,18,1.8,19,97
2014-04-01,94,¡º,70,68,26,2,25,67
2014-04-02,66,¡º,48,43,22,1.8,23,70
2014-04-03,63,¡º,45,44,19,2,26,63
2014-04-04,98,¡º,65,77,24,1.9,27,157
2014-04-05,132,«·∂»Œ€»æ,95,118,38,1.8,25,195
2014-04-06,94,¡º,70,82,29,1.6,23,148
2014-04-07,79,¡º,58,52,19,1.7,19,99
2014-04-08,127,«·∂»Œ€»æ,96,102,33,2.3,34,85
2014-04-09,119,«·∂»Œ€»æ,91,98,27,2.3,29,131
2014-04-10,120,«·∂»Œ€»æ,55,75,28,1.7,20,182
2014-04-11,117,«·∂»Œ€»æ,57,85,32,1.8,23,179
2014-04-12,73,¡º,53,83,30,1.8,22,118
2014-04-13,87,¡º,65,111,32,2,25,141
2014-04-14,76,¡º,49,70,21,1.6,16,131
