»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,92,¡º,64,133,49,3.1,52,46
2014-01-01,110,«·∂»Œ€»æ,83,162,82,4,53,34
2014-01-02,107,«·∂»Œ€»æ,76,164,83,4.3,54,38
2014-01-03,93,¡º,58,136,43,3.2,44,55
2014-01-04,99,¡º,74,134,50,3.3,49,53
2014-01-05,114,«·∂»Œ€»æ,86,162,75,3.9,56,32
2014-01-06,108,«·∂»Œ€»æ,72,166,84,4.3,47,52
2014-01-07,80,¡º,54,111,40,3.1,40,51
2014-01-08,93,¡º,65,137,38,3.1,45,51
2014-01-09,112,«·∂»Œ€»æ,84,174,55,3.7,51,49
2014-01-10,123,«·∂»Œ€»æ,92,195,66,3.6,53,47
2014-01-11,109,«·∂»Œ€»æ,83,165,38,2.9,46,54
2014-01-12,100,¡º,74,150,49,2.8,49,39
2014-01-13,80,¡º,58,111,42,2.8,40,56
2014-01-14,91,¡º,67,133,55,3.3,47,52
2014-01-15,113,«·∂»Œ€»æ,86,170,67,3.7,51,40
2014-01-16,99,¡º,69,149,45,3.4,48,43
2014-01-17,94,¡º,65,139,50,3,42,68
2014-01-18,102,«·∂»Œ€»æ,77,140,59,2.8,41,60
2014-01-19,90,¡º,67,117,69,2.7,39,47
2014-01-20,72,¡º,37,93,37,2.4,30,51
2014-01-21,86,¡º,64,113,63,3,35,36
2014-01-22,99,¡º,74,139,81,3.3,48,43
2014-01-23,123,«·∂»Œ€»æ,93,167,81,3.3,52,51
2014-01-24,125,«·∂»Œ€»æ,95,175,86,3.7,55,47
2014-01-25,99,¡º,74,147,46,3,51,59
2014-01-26,104,«·∂»Œ€»æ,78,148,54,3.3,45,58
2014-01-27,109,«·∂»Œ€»æ,82,148,64,3.4,47,50
2014-01-28,84,¡º,55,118,47,3.1,37,53
2014-01-29,80,¡º,58,110,50,3,37,63
2014-01-30,111,«·∂»Œ€»æ,84,132,89,3.4,42,57
2014-01-31,131,«·∂»Œ€»æ,100,168,110,3.2,36,54
2014-02-01,75,¡º,50,101,93,3.4,38,55
2014-02-02,87,¡º,64,109,93,3.4,41,63
2014-02-03,104,«·∂»Œ€»æ,78,133,105,3.6,46,64
2014-02-04,97,¡º,72,135,104,3.4,45,52
2014-02-05,70,¡º,39,89,56,3,31,52
2014-02-06,53,¡º,20,57,19,2.5,19,56
2014-02-07,68,¡º,34,86,30,2.7,30,47
2014-02-08,62,¡º,38,75,29,2.7,25,60
2014-02-09,66,¡º,42,82,25,2.8,29,57
2014-02-10,72,¡º,41,93,39,2.9,25,59
2014-02-11,65,¡º,36,81,29,2.7,23,63
2014-02-12,58,¡º,31,66,21,2.7,21,64
2014-02-13,66,¡º,41,82,39,2.9,32,73
2014-02-14,69,¡º,42,88,41,2.5,37,66
2014-02-15,65,¡º,33,80,24,2.4,28,71
2014-02-16,63,¡º,36,76,26,2.5,26,66
2014-02-17,61,¡º,44,67,58,3,42,60
2014-02-18,63,¡º,39,75,41,3.1,31,45
2014-02-19,58,¡º,35,67,60,2.8,33,48
2014-02-20,83,¡º,58,115,76,2.7,34,40
2014-02-21,59,¡º,24,67,36,2.1,35,59
2014-02-22,81,¡º,43,112,55,2.5,46,61
2014-02-23,83,¡º,43,116,54,2.5,40,74
2014-02-24,64,¡º,30,78,37,2.4,34,70
2014-02-25,61,¡º,30,72,53,2.3,38,71
2014-02-26,81,¡º,42,112,53,2.3,48,70
2014-02-27,69,¡º,36,87,45,1.8,36,78
2014-02-28,63,¡º,32,76,29,1.4,35,71
2014-03-01,61,¡º,26,71,38,1.3,29,72
2014-03-02,60,¡º,25,70,45,1.5,30,69
