»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,116,«·∂»Œ€»æ,80,181,50,1.7,19,42
2014-01-01,102,«·∂»Œ€»æ,77,154,53,1.8,14,53
2014-01-02,124,«·∂»Œ€»æ,94,103,29,2.2,11,66
2014-01-03,57,¡º,41,57,28,1.6,9,60
2014-01-04,36,”≈,24,36,26,1.5,8,49
2014-01-05,124,«·∂»Œ€»æ,94,115,46,2.4,17,35
2014-01-06,294,÷ÿ∂»Œ€»æ,244,238,39,3.5,24,47
2014-01-07,225,÷ÿ∂»Œ€»æ,175,162,31,2.5,18,91
2014-01-08,67,¡º,49,43,25,0.6,11,65
2014-01-09,52,¡º,34,53,24,0.8,8,69
2014-01-10,133,«·∂»Œ€»æ,101,129,41,1.6,17,53
2014-01-11,269,÷ÿ∂»Œ€»æ,219,250,86,2.4,22,55
2014-01-12,146,«·∂»Œ€»æ,112,149,46,1.5,13,67
2014-01-13,52,¡º,34,55,27,1.2,10,64
2014-01-14,152,÷–∂»Œ€»æ,116,138,39,2.2,19,56
2014-01-15,258,÷ÿ∂»Œ€»æ,208,249,70,2.7,24,157
2014-01-16,328,—œ÷ÿŒ€»æ,278,306,80,2.9,25,66
2014-01-17,249,÷ÿ∂»Œ€»æ,199,226,48,2.7,18,42
2014-01-18,118,«·∂»Œ€»æ,89,112,44,1.8,14,55
2014-01-19,105,«·∂»Œ€»æ,79,97,26,1.7,12,63
2014-01-20,142,«·∂»Œ€»æ,108,136,33,1.5,10,63
2014-01-21,38,”≈,14,38,10,1,2,65
2014-01-22,69,¡º,50,67,51,1.6,14,56
2014-01-23,98,¡º,74,77,21,1.4,8,83
2014-01-24,116,«·∂»Œ€»æ,88,64,15,1.4,11,85
2014-01-25,74,¡º,54,69,15,1.3,7,72
2014-01-26,42,”≈,23,42,20,1.2,6,70
2014-01-27,37,”≈,10,26,7,1.2,3,74
2014-01-28,53,¡º,24,56,20,1.3,8,72
2014-01-29,41,”≈,16,30,7,1.3,2,82
2014-01-30,113,«·∂»Œ€»æ,85,119,28,1.9,6,84
2014-01-31,83,¡º,61,86,21,1.7,3,72
2014-02-01,118,«·∂»Œ€»æ,90,35,10,1.8,9,68
2014-02-02,104,«·∂»Œ€»æ,78,77,39,2.1,13,63
2014-02-03,52,¡º,11,53,18,1.5,7,73
2014-02-04,40,”≈,18,38,18,1.8,4,80
2014-02-05,39,”≈,10,23,14,1.6,2,77
2014-02-06,48,”≈,33,31,16,1.7,3,83
2014-02-07,41,”≈,29,32,13,1.9,4,73
2014-02-08,97,¡º,72,47,22,1.8,7,79
2014-02-09,46,”≈,19,46,15,1.8,13,74
2014-02-10,39,”≈,24,39,28,1.9,9,74
2014-02-11,102,«·∂»Œ€»æ,77,52,33,1.9,8,80
2014-02-12,146,«·∂»Œ€»æ,112,118,51,1.6,16,88
2014-02-13,90,¡º,67,84,48,1.1,14,75
2014-02-14,71,¡º,52,68,32,1.1,13,66
2014-02-15,144,«·∂»Œ€»æ,110,109,32,1.5,13,106
2014-02-16,115,«·∂»Œ€»æ,87,84,33,1.1,15,106
2014-02-17,51,¡º,31,53,22,0.7,7,83
2014-02-18,73,¡º,54,51,30,0.8,10,74
2014-02-19,91,¡º,68,86,36,1.3,14,73
2014-02-20,61,¡º,44,60,23,0.9,7,83
2014-02-21,143,«·∂»Œ€»æ,109,125,23,1.3,11,101
2014-02-22,126,«·∂»Œ€»æ,96,117,29,1.3,13,105
2014-02-23,141,«·∂»Œ€»æ,108,130,34,1.5,14,116
2014-02-24,152,÷–∂»Œ€»æ,116,147,29,1.4,13,115
2014-02-25,165,÷–∂»Œ€»æ,126,148,22,1.5,12,121
2014-02-26,188,÷–∂»Œ€»æ,142,173,32,1.7,15,118
2014-02-27,111,«·∂»Œ€»æ,84,112,23,1.3,11,97
2014-02-28,53,¡º,17,57,32,1,10,69
2014-03-01,60,¡º,40,71,32,1.4,12,68
2014-03-02,80,¡º,59,78,33,1.4,12,85
2014-03-03,69,¡º,50,75,15,1.4,7,103
2014-03-04,81,¡º,60,85,23,1.4,9,106
2014-03-05,56,¡º,40,59,16,1.3,12,87
2014-03-06,65,¡º,47,74,27,1.4,19,76
2014-03-07,65,¡º,45,80,26,1.6,22,74
2014-03-08,123,«·∂»Œ€»æ,93,121,34,1.7,22,87
2014-03-09,84,¡º,62,71,21,1.5,10,76
2014-03-10,42,”≈,22,42,17,1.4,12,79
2014-03-11,72,¡º,52,95,14,1.3,6,119
2014-03-12,62,¡º,31,70,17,1.3,14,114
2014-03-13,56,¡º,16,62,14,1.3,14,80
2014-03-14,74,¡º,48,97,32,1.8,42,72
2014-03-15,129,«·∂»Œ€»æ,98,155,25,2,37,83
2014-03-16,134,«·∂»Œ€»æ,102,169,30,2,43,113
2014-03-17,86,¡º,62,95,26,1.7,25,143
2014-03-18,114,«·∂»Œ€»æ,66,179,29,1.9,30,95
2014-03-19,75,¡º,55,88,31,1.7,30,103
2014-03-20,61,¡º,15,71,18,1.5,9,93
2014-03-21,72,¡º,46,94,42,2,45,94
2014-03-22,102,«·∂»Œ€»æ,77,140,36,2.3,45,109
2014-03-23,94,¡º,70,107,31,2,30,127
2014-03-24,68,¡º,21,35,12,1.6,9,121
2014-03-25,72,¡º,52,81,22,2.1,33,102
2014-03-26,93,¡º,69,99,27,2,26,151
2014-03-27,121,«·∂»Œ€»æ,92,121,31,2.5,26,151
2014-03-28,87,¡º,19,52,14,1.7,10,144
2014-03-29,70,¡º,45,62,17,1.9,14,124
2014-03-30,115,«·∂»Œ€»æ,87,116,37,2.4,22,176
2014-03-31,139,«·∂»Œ€»æ,106,167,35,2.8,36,169
2014-04-01,73,¡º,28,70,18,1.9,20,128
2014-04-02,83,¡º,59,86,22,2.1,17,139
2014-04-03,67,¡º,39,85,23,1.9,19,107
2014-04-04,68,¡º,42,87,35,2,27,98
2014-04-05,60,¡º,23,70,16,1.8,15,108
2014-04-06,87,¡º,36,125,40,2.1,29,120
2014-04-07,79,¡º,48,109,22,2,17,124
2014-04-08,73,¡º,54,93,14,2.1,24,115
2014-04-09,80,¡º,45,69,13,2.2,12,136
2014-04-10,83,¡º,62,85,22,2.1,32,125
2014-04-11,75,¡º,55,88,16,2.2,26,123
2014-04-12,72,¡º,46,71,13,2.2,12,126
2014-04-13,72,¡º,53,90,26,2.3,26,104
2014-04-14,94,¡º,57,93,18,2.6,23,153
2014-04-15,110,«·∂»Œ€»æ,83,135,34,2.8,30,138
2014-04-16,99,¡º,47,87,19,2.5,20,159
2014-04-17,79,¡º,17,42,15,2.5,20,135
2014-04-18,96,¡º,30,58,17,1.6,23,155
2014-04-19,75,¡º,22,86,24,0.6,32,130
2014-04-20,98,¡º,22,103,25,0.7,31,157
2014-04-21,78,¡º,18,90,29,0.7,35,133
2014-04-22,100,¡º,35,149,27,0.9,36,145
2014-04-23,99,¡º,38,148,29,1.1,22,135
2014-04-24,93,¡º,46,64,16,0.6,14,152
2014-04-25,80,¡º,50,61,16,0.6,13,136
2014-04-26,60,¡º,34,42,16,0.6,16,112
2014-04-27,53,¡º,6,7,10,0.5,8,103
2014-04-28,54,¡º,31,29,13,0.7,23,105
2014-04-29,54,¡º,32,56,18,0.7,28,105
2014-04-30,66,¡º,38,72,17,0.8,31,119
2014-05-01,112,«·∂»Œ€»æ,63,98,20,0.9,22,173
2014-05-02,110,«·∂»Œ€»æ,50,75,16,0.8,11,171
2014-05-03,49,”≈,17,42,13,0.7,17,98
2014-05-04,63,¡º,24,76,15,0.6,12,103
2014-05-05,55,¡º,30,60,24,0.8,20,87
2014-05-06,98,¡º,44,95,21,0.9,27,158
2014-05-07,97,¡º,45,81,18,0.9,21,156
2014-05-08,59,¡º,41,50,18,0.9,17,111
2014-05-09,61,¡º,41,60,15,1,27,113
2014-05-10,67,¡º,37,50,16,0.8,22,120
2014-05-11,65,¡º,24,27,13,0.9,17,118
2014-05-12,68,¡º,41,55,27,1.2,20,121
2014-05-13,95,¡º,54,89,24,1.1,21,154
2014-05-14,94,¡º,42,86,21,1,16,153
2014-05-15,64,¡º,35,78,37,1.1,28,103
2014-05-16,100,¡º,75,131,29,1.4,38,128
2014-05-17,56,¡º,38,63,21,1.1,25,101
2014-05-18,65,¡º,47,70,17,1.1,25,102
2014-05-19,56,¡º,36,62,12,1,7,103
2014-05-20,48,”≈,29,48,12,1,9,88
2014-05-21,64,¡º,46,57,14,1.2,17,111
2014-05-22,109,«·∂»Œ€»æ,76,119,17,1.5,19,170
2014-05-23,95,¡º,71,100,16,1.3,21,134
2014-05-24,50,”≈,28,37,14,1,12,99
2014-05-25,68,¡º,46,60,15,1.2,15,122
2014-05-26,98,¡º,41,146,26,1.1,26,141
2014-05-27,145,«·∂»Œ€»æ,60,157,37,1.2,31,210
2014-05-28,106,«·∂»Œ€»æ,26,87,19,1,29,167
2014-05-29,134,«·∂»Œ€»æ,50,105,24,1.2,29,197
2014-05-30,145,«·∂»Œ€»æ,81,159,28,1.3,33,210
2014-05-31,171,÷–∂»Œ€»æ,110,180,25,1.4,23,236
2014-06-01,131,«·∂»Œ€»æ,48,95,16,1.1,21,194
2014-06-02,76,¡º,30,46,13,1,11,131
2014-06-03,72,¡º,21,23,12,1,16,126
2014-06-04,62,¡º,22,28,14,0.9,19,114
2014-06-05,70,¡º,33,48,21,1,35,124
2014-06-06,68,¡º,30,47,14,1,16,121
2014-06-07,54,¡º,26,31,14,0.9,12,105
2014-06-08,59,¡º,24,38,15,1,19,111
2014-06-09,55,¡º,37,47,13,1,16,106
2014-06-10,50,”≈,35,40,11,1,12,92
2014-06-11,61,¡º,44,47,18,0.9,15,92
2014-06-12,72,¡º,40,42,20,1,13,126
2014-06-13,71,¡º,22,35,19,0.8,14,125
2014-06-14,85,¡º,31,49,19,0.8,10,142
2014-06-15,83,¡º,48,73,16,1,10,139
2014-06-16,150,«·∂»Œ€»æ,115,109,23,1.3,21,157
2014-06-17,81,¡º,60,70,15,1,13,125
2014-06-18,83,¡º,32,47,17,0.9,10,139
2014-06-19,68,¡º,31,41,13,0.9,8,121
2014-06-20,59,¡º,36,44,13,0.9,10,111
2014-06-21,73,¡º,54,16,13,0.9,17,94
2014-06-22,75,¡º,48,19,14,0.9,15,130
2014-06-23,105,«·∂»Œ€»æ,51,43,20,0.9,8,166
2014-06-24,119,«·∂»Œ€»æ,39,49,16,0.8,11,181
2014-06-25,97,¡º,52,58,12,0.7,4,156
2014-06-26,91,¡º,37,43,12,0.6,3,149
2014-06-27,105,«·∂»Œ€»æ,23,35,16,0.6,5,166
2014-06-28,139,«·∂»Œ€»æ,22,46,28,0.7,15,203
2014-06-29,109,«·∂»Œ€»æ,26,38,18,0.6,11,170
2014-06-30,102,«·∂»Œ€»æ,37,41,16,0.7,10,162
2014-07-01,180,÷–∂»Œ€»æ,136,138,13,0.9,10,191
2014-07-02,118,«·∂»Œ€»æ,66,37,13,0.7,4,180
2014-07-03,97,¡º,55,66,19,0.6,9,156
2014-07-04,82,¡º,42,59,15,0.7,8,138
2014-07-05,67,¡º,23,29,13,0.6,6,120
2014-07-06,68,¡º,17,24,14,0.5,8,121
2014-07-07,89,¡º,29,41,15,0.6,10,147
2014-07-08,73,¡º,19,27,13,0.5,5,127
2014-07-09,75,¡º,18,36,20,0.6,14,130
2014-07-10,120,«·∂»Œ€»æ,37,70,31,0.9,16,182
2014-07-11,149,«·∂»Œ€»æ,56,101,26,0.9,14,214
2014-07-12,126,«·∂»Œ€»æ,52,83,22,0.9,11,189
2014-07-13,105,«·∂»Œ€»æ,49,79,26,0.8,13,166
2014-07-14,128,«·∂»Œ€»æ,67,92,18,1,9,191
2014-07-15,117,«·∂»Œ€»æ,23,39,13,0.8,6,179
2014-07-16,109,«·∂»Œ€»æ,41,71,12,0.9,4,170
2014-07-17,107,«·∂»Œ€»æ,29,53,12,0.8,4,168
2014-07-18,84,¡º,44,67,12,0.9,5,141
2014-07-19,89,¡º,47,46,12,0.8,5,147
2014-07-20,46,”≈,16,28,11,0.7,3,92
2014-07-21,38,”≈,13,24,12,0.6,2,76
2014-07-22,69,¡º,22,32,13,0.8,7,123
2014-07-23,59,¡º,23,35,20,0.9,23,111
2014-07-24,49,”≈,9,18,13,0.8,8,98
2014-07-25,59,¡º,3,7,12,0.7,10,111
2014-07-26,110,«·∂»Œ€»æ,46,64,18,1.1,10,171
2014-07-27,148,«·∂»Œ€»æ,103,120,23,1.4,29,213
2014-07-28,125,«·∂»Œ€»æ,95,103,16,1.3,16,177
2014-07-29,101,«·∂»Œ€»æ,47,40,14,1,9,161
2014-07-30,73,¡º,19,27,13,0.8,7,128
2014-07-31,71,¡º,23,36,12,0.2,6,125
2014-08-01,31,”≈,20,30,15,0.2,7,61
2014-08-02,46,”≈,14,27,18,0.2,12,91
2014-08-03,41,”≈,17,31,19,0.3,14,82
2014-08-04,124,«·∂»Œ€»æ,35,53,18,0.4,9,186
2014-08-05,102,«·∂»Œ€»æ,17,43,21,0.3,15,162
2014-08-06,50,”≈,21,30,21,0.4,17,99
2014-08-07,74,¡º,36,42,24,0.6,19,129
2014-08-08,84,¡º,31,45,17,0.5,16,141
2014-08-09,77,¡º,16,30,15,0.3,13,132
2014-08-10,84,¡º,22,39,18,0.4,18,141
2014-08-11,153,÷–∂»Œ€»æ,61,76,25,0.7,14,218
2014-08-12,95,¡º,27,43,21,0.5,13,154
2014-08-13,96,¡º,39,60,18,0.6,22,155
2014-08-14,85,¡º,24,36,16,0.5,15,142
2014-08-15,124,«·∂»Œ€»æ,54,67,21,0.6,13,186
2014-08-16,125,«·∂»Œ€»æ,90,104,18,0.9,10,187
2014-08-17,79,¡º,55,67,16,0.7,8,135
2014-08-18,72,¡º,35,43,18,0.5,18,126
2014-08-19,102,«·∂»Œ€»æ,68,71,19,0.8,12,162
2014-08-20,131,«·∂»Œ€»æ,80,93,25,1.2,23,194
2014-08-21,123,«·∂»Œ€»æ,81,101,26,1.2,23,185
2014-08-22,131,«·∂»Œ€»æ,91,112,20,1.1,13,194
2014-08-23,96,¡º,48,49,14,0.6,5,155
2014-08-24,60,¡º,23,28,13,0.6,10,112
2014-08-25,78,¡º,34,37,16,0.7,9,134
2014-08-26,80,¡º,22,35,21,0.7,13,136
2014-08-27,116,«·∂»Œ€»æ,48,58,24,1,28,178
2014-08-28,73,¡º,48,36,17,0.8,16,128
2014-08-29,65,¡º,35,41,16,0.8,18,118
2014-08-30,76,¡º,34,39,17,0.7,19,131
2014-08-31,60,¡º,33,38,16,0.8,19,112
2014-09-01,69,¡º,29,37,16,0.8,15,123
2014-09-02,51,¡º,28,25,16,0.8,17,101
2014-09-03,46,”≈,13,16,16,0.7,16,92
2014-09-04,71,¡º,22,29,19,0.8,15,125
2014-09-05,99,¡º,60,57,20,1.1,16,159
2014-09-06,68,¡º,41,49,17,1,13,122
2014-09-07,48,”≈,30,29,16,0.9,16,95
2014-09-08,70,¡º,51,61,23,1.1,16,120
2014-09-09,67,¡º,16,39,20,0.8,24,120
2014-09-10,65,¡º,19,39,22,0.9,25,118
2014-09-11,70,¡º,22,38,23,0.9,24,124
2014-09-12,68,¡º,25,45,21,1,30,122
2014-09-13,76,¡º,28,46,20,1,26,131
2014-09-14,83,¡º,39,47,24,1,22,140
2014-09-15,45,”≈,29,32,22,1,19,90
2014-09-16,54,¡º,27,48,25,0.9,27,105
2014-09-17,65,¡º,38,27,24,0.6,19,118
2014-09-18,62,¡º,42,57,26,0.8,27,114
2014-09-19,73,¡º,44,59,21,0.8,26,127
2014-09-20,67,¡º,28,38,17,0.5,18,120
2014-09-21,86,¡º,33,42,22,0.6,19,143
2014-09-22,79,¡º,30,40,19,0.7,21,135
2014-09-23,74,¡º,27,43,19,0.6,22,129
2014-09-24,63,¡º,33,35,21,0.6,15,116
2014-09-25,68,¡º,15,34,22,0.5,17,122
2014-09-26,69,¡º,26,45,19,0.6,23,123
2014-09-27,61,¡º,36,41,18,0.7,12,113
2014-09-28,49,”≈,35,37,19,0.8,20,87
2014-09-29,58,¡º,25,34,18,0.6,17,110
2014-09-30,37,”≈,12,28,21,0.5,15,74
2014-10-01,50,”≈,23,34,22,0.6,22,100
2014-10-02,50,”≈,35,31,24,0.8,18,92
2014-10-03,49,”≈,16,29,19,0.6,16,98
2014-10-04,46,”≈,32,46,21,0.8,31,79
2014-10-05,63,¡º,37,43,22,0.8,24,115
2014-10-06,67,¡º,39,51,24,0.8,21,120
2014-10-07,83,¡º,47,63,27,1,31,140
2014-10-08,95,¡º,59,61,23,1.1,28,154
2014-10-09,80,¡º,57,46,20,1,27,136
2014-10-10,79,¡º,58,51,28,1,32,124
2014-10-11,70,¡º,51,57,19,1.1,26,110
2014-10-12,53,¡º,32,57,21,0.9,26,94
2014-10-13,62,¡º,18,74,21,0.8,33,85
2014-10-14,49,”≈,32,49,24,0.9,26,87
2014-10-15,85,¡º,63,76,36,1.2,32,137
2014-10-16,67,¡º,13,48,20,0.8,15,120
2014-10-17,47,”≈,15,44,20,0.9,15,93
2014-10-18,77,¡º,40,64,23,1.1,13,132
2014-10-19,51,¡º,12,26,17,0.9,12,101
2014-10-20,43,”≈,24,19,17,1,14,86
2014-10-21,50,”≈,35,50,22,1.1,25,88
2014-10-22,120,«·∂»Œ€»æ,91,106,29,1.4,37,118
2014-10-23,91,¡º,68,73,21,1.1,26,121
2014-10-24,117,«·∂»Œ€»æ,89,47,23,0.8,13,169
2014-10-25,86,¡º,29,45,21,0.5,10,143
2014-10-26,64,¡º,29,69,21,0.4,15,117
2014-10-27,67,¡º,27,84,22,0.4,18,79
2014-10-28,66,¡º,48,69,28,0.7,40,70
2014-10-29,72,¡º,53,58,22,0.8,35,83
2014-10-30,51,¡º,36,33,21,0.7,31,73
2014-10-31,53,¡º,36,19,21,0.7,21,104
2014-11-01,114,«·∂»Œ€»æ,86,55,26,1,23,106
2014-11-02,34,”≈,17,32,23,0.6,14,67
2014-11-03,46,”≈,23,46,28,0.7,28,61
2014-11-04,56,¡º,39,56,37,0.8,29,89
2014-11-05,111,«·∂»Œ€»æ,83,85,37,1.1,45,97
2014-11-06,85,¡º,63,61,31,0.8,29,50
2014-11-07,42,”≈,25,42,25,0.6,21,55
2014-11-08,57,¡º,40,57,34,1,29,52
2014-11-09,92,¡º,69,80,30,1.2,38,82
2014-11-10,175,÷–∂»Œ€»æ,132,131,45,1.5,48,96
2014-11-11,217,÷ÿ∂»Œ€»æ,167,88,47,1.6,45,83
2014-11-12,43,”≈,12,43,22,0.7,12,68
2014-11-13,48,”≈,16,48,26,0.8,20,64
2014-11-14,63,¡º,41,77,49,1.1,36,54
2014-11-15,71,¡º,52,82,32,1.3,38,56
2014-11-16,88,¡º,66,51,39,1.2,30,62
2014-11-17,86,¡º,64,55,34,1.2,27,72
2014-11-18,127,«·∂»Œ€»æ,97,136,32,1.7,44,67
2014-11-19,93,¡º,69,107,37,1.2,36,70
2014-11-20,58,¡º,42,60,29,0.8,23,90
2014-11-21,166,÷–∂»Œ€»æ,126,101,43,1.2,33,110
2014-11-22,211,÷ÿ∂»Œ€»æ,161,192,48,1.6,40,89
2014-11-23,77,¡º,57,100,32,1.1,39,49
2014-11-24,71,¡º,52,74,47,0.9,36,64
2014-11-25,53,¡º,34,56,34,0.8,28,60
2014-11-26,67,¡º,49,68,30,1.1,32,54
2014-11-27,146,«·∂»Œ€»æ,112,109,35,1.7,46,30
2014-11-28,53,¡º,38,38,23,1,21,68
2014-11-29,74,¡º,54,69,31,1,23,60
2014-11-30,64,¡º,46,53,25,1.1,21,56
2014-12-01,114,«·∂»Œ€»æ,13,177,20,0.6,7,64
2014-12-02,39,”≈,8,39,21,0.6,9,64
2014-12-03,46,”≈,21,46,33,0.9,17,52
2014-12-04,50,”≈,14,51,28,0.7,11,58
2014-12-05,28,”≈,18,25,28,0.9,13,55
2014-12-06,73,¡º,53,66,43,1.3,29,52
2014-12-07,95,¡º,71,81,35,1.7,39,18
2014-12-08,60,¡º,43,58,42,1.3,27,55
2014-12-09,125,«·∂»Œ€»æ,95,118,46,2.2,44,37
2014-12-10,111,«·∂»Œ€»æ,84,115,52,1.4,40,25
2014-12-11,59,¡º,25,68,32,0.4,16,54
2014-12-12,45,”≈,21,45,40,0.5,17,50
2014-12-13,51,¡º,28,51,35,0.7,21,49
2014-12-14,109,«·∂»Œ€»æ,82,119,67,1.5,43,35
2014-12-15,158,÷–∂»Œ€»æ,121,166,67,2.1,51,23
2014-12-16,49,”≈,14,49,29,0.5,13,48
