»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-01,298,÷ÿ∂»Œ€»æ,248,276,123,0,71,21
2013-12-02,326,—œ÷ÿŒ€»æ,276,271,137,0,85,29
2013-12-03,326,—œ÷ÿŒ€»æ,276,422,132,0,93,23
2013-12-04,127,«·∂»Œ€»æ,96,174,46,0,88,41
2013-12-05,140,«·∂»Œ€»æ,107,203,60,2,99,28
2013-12-06,176,÷–∂»Œ€»æ,133,218,176,1.8,92,46
2013-12-07,349,—œ÷ÿŒ€»æ,299,435,145,2,96,24
2013-12-08,263,÷ÿ∂»Œ€»æ,213,390,270,3.3,122,23
2013-12-09,205,÷ÿ∂»Œ€»æ,155,242,68,1.8,69,42
2013-12-10,198,÷–∂»Œ€»æ,148,291,233,1.7,91,33
2013-12-11,120,«·∂»Œ€»æ,91,189,227,1.2,79,49
2013-12-12,107,«·∂»Œ€»æ,80,153,164,1.2,76,39
2013-12-13,158,÷–∂»Œ€»æ,120,232,248,1.8,87,26
2013-12-14,326,—œ÷ÿŒ€»æ,276,438,338,4,134,25
2013-12-15,370,—œ÷ÿŒ€»æ,320,448,256,3.9,142,23
2013-12-16,400,—œ÷ÿŒ€»æ,350,420,298,4.4,146,22
2013-12-17,404,—œ÷ÿŒ€»æ,356,0,379,3.1,138,23
2013-12-18,193,÷–∂»Œ€»æ,145,185,246,1.4,79,21
2013-12-19,273,÷ÿ∂»Œ€»æ,223,305,260,2,100,25
2013-12-20,450,—œ÷ÿŒ€»æ,424,0,194,3.5,102,27
2013-12-21,394,—œ÷ÿŒ€»æ,344,458,148,2.8,98,39
2013-12-22,434,—œ÷ÿŒ€»æ,401,0,218,3.1,106,22
2013-12-23,500,—œ÷ÿŒ€»æ,671,0,269,5.3,134,22
2013-12-24,500,—œ÷ÿŒ€»æ,1031,1504,254,7.2,185,27
2013-12-25,500,—œ÷ÿŒ€»æ,700,0,238,5.3,170,26
2013-12-26,237,÷ÿ∂»Œ€»æ,187,335,184,1.8,86,34
2013-12-27,131,«·∂»Œ€»æ,97,212,130,1.3,66,36
2013-12-28,104,«·∂»Œ€»æ,53,109,172,1.2,60,36
2013-12-29,108,«·∂»Œ€»æ,37,94,200,0.7,49,57
2013-12-30,92,¡º,38,119,133,0.5,45,66
2013-12-31,77,¡º,37,104,64,0.4,45,62
2014-01-01,76,¡º,43,101,91,0.8,56,58
2014-01-02,134,«·∂»Œ€»æ,102,181,137,1.8,86,23
2014-01-03,94,¡º,60,137,138,1.1,66,43
2014-01-04,137,«·∂»Œ€»æ,104,204,135,2,84,34
2014-01-05,156,÷–∂»Œ€»æ,119,190,148,2,90,35
2014-01-06,158,÷–∂»Œ€»æ,120,160,128,1.8,85,24
2014-01-07,237,÷ÿ∂»Œ€»æ,187,259,275,3.4,115,18
2014-01-08,112,«·∂»Œ€»æ,84,127,90,1.4,68,29
2014-01-09,129,«·∂»Œ€»æ,98,154,90,1.4,66,43
2014-01-10,208,÷ÿ∂»Œ€»æ,158,226,109,2.3,89,23
2014-01-11,242,÷ÿ∂»Œ€»æ,192,291,246,3.1,111,22
2014-01-12,124,«·∂»Œ€»æ,94,168,144,1.6,74,51
2014-01-13,134,«·∂»Œ€»æ,102,180,156,2,84,36
2014-01-14,212,÷ÿ∂»Œ€»æ,162,233,118,2.2,79,22
2014-01-15,245,÷ÿ∂»Œ€»æ,195,300,74,2.2,74,16
2014-01-16,264,÷ÿ∂»Œ€»æ,214,300,108,2.3,102,22
2014-01-17,268,÷ÿ∂»Œ€»æ,218,308,120,3.3,107,26
2014-01-18,282,÷ÿ∂»Œ€»æ,232,321,113,2.5,96,44
