»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,52,¡º,26,54,63,0.7,35,68
2015-01-01,28,”≈,10,28,45,0.8,20,51
2015-01-02,34,”≈,17,34,72,0.8,33,47
2015-01-03,62,¡º,44,74,104,1.1,50,48
2015-01-04,94,¡º,71,111,89,1.4,51,83
2015-01-05,104,«·∂»Œ€»æ,78,136,84,1.6,71,48
2015-01-06,100,¡º,75,108,35,1.4,39,32
2015-01-07,58,¡º,42,63,38,2,51,27
2015-01-08,74,¡º,54,97,41,1.6,36,64
2015-01-09,97,¡º,73,133,61,1.5,45,53
2015-01-10,119,«·∂»Œ€»æ,90,150,61,1.4,49,57
2015-01-11,105,«·∂»Œ€»æ,79,141,83,1.4,61,38
2015-01-12,94,¡º,70,126,48,1.1,45,33
2015-01-13,63,¡º,45,73,28,1,30,30
2015-01-14,57,¡º,39,65,45,0.8,33,44
2015-01-15,57,¡º,38,65,45,1,37,55
2015-01-16,57,¡º,35,64,44,1.3,38,59
2015-01-17,75,¡º,54,99,54,1.3,35,82
2015-01-18,93,¡º,68,135,76,1.5,58,45
2015-01-19,86,¡º,63,123,49,1.3,41,74
2015-01-20,96,¡º,69,142,98,1.7,66,57
2015-01-21,79,¡º,58,97,55,1.4,43,66
2015-01-22,68,¡º,44,87,64,1,35,70
2015-01-23,77,¡º,56,104,72,1.3,53,63
2015-01-24,108,«·∂»Œ€»æ,82,154,99,1.9,71,38
2015-01-25,112,«·∂»Œ€»æ,85,132,54,1.5,58,17
2015-01-26,128,«·∂»Œ€»æ,98,151,48,1.8,52,30
2015-01-27,87,¡º,65,91,23,1.8,46,20
2015-01-28,21,”≈,12,21,15,0.9,27,14
2015-01-29,18,”≈,10,18,11,0.9,27,15
2015-01-30,30,”≈,18,30,24,0.9,30,23
2015-01-31,57,¡º,40,64,28,1.2,27,27
2015-02-01,69,¡º,50,85,31,0.9,33,21
2015-02-02,52,¡º,34,55,29,1.1,43,15
2015-02-03,36,”≈,22,36,27,1,31,21
2015-02-04,64,¡º,45,77,32,1.2,34,23
2015-02-05,61,¡º,44,70,47,1.6,33,81
2015-02-06,56,¡º,38,62,40,1,39,76
2015-02-07,69,¡º,48,89,53,1.3,53,49
2015-02-08,73,¡º,53,92,41,1.3,39,73
2015-02-09,53,¡º,27,57,37,0.8,26,70
2015-02-10,65,¡º,41,80,62,1.6,53,59
2015-02-11,71,¡º,51,92,54,1.3,41,83
2015-02-12,76,¡º,56,92,54,1.5,44,84
2015-02-13,80,¡º,53,109,36,1.6,48,88
2015-02-14,89,¡º,64,129,37,1.6,54,44
2015-02-15,60,¡º,40,71,32,1.3,32,68
2015-02-16,73,¡º,53,83,33,1.2,26,103
2015-02-17,91,¡º,68,115,42,1.4,29,102
2015-02-18,101,«·∂»Œ€»æ,76,114,36,1.3,23,79
2015-02-19,93,¡º,69,114,43,1,18,69
2015-02-20,68,¡º,49,86,22,0.8,16,50
2015-02-21,28,”≈,20,26,15,1.3,15,24
2015-02-22,41,”≈,26,41,21,0.9,17,53
2015-02-23,51,¡º,33,52,18,1.1,15,62
2015-02-24,53,¡º,36,56,25,1.3,22,37
2015-02-25,45,”≈,28,45,19,1.3,18,32
