»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,189,÷–∂»Œ€»æ,143,211,67,1.7,84,41
2013-12-03,254,÷ÿ∂»Œ€»æ,204,285,75,2.1,113,34
2013-12-04,341,—œ÷ÿŒ€»æ,291,384,64,3.1,96,38
2013-12-05,324,—œ÷ÿŒ€»æ,274,335,53,2.6,91,69
2013-12-06,413,—œ÷ÿŒ€»æ,370,468,62,3.2,87,33
2013-12-07,310,—œ÷ÿŒ€»æ,260,348,45,2.8,81,38
2013-12-08,268,÷ÿ∂»Œ€»æ,218,266,42,1.7,70,85
2013-12-09,271,÷ÿ∂»Œ€»æ,221,301,50,2.2,64,34
2013-12-10,131,«·∂»Œ€»æ,99,155,71,1.7,61,41
2013-12-11,145,«·∂»Œ€»æ,111,179,69,1.9,62,37
2013-12-12,163,÷–∂»Œ€»æ,124,193,67,1.7,75,35
2013-12-13,225,÷ÿ∂»Œ€»æ,175,228,66,2.1,70,40
2013-12-14,114,«·∂»Œ€»æ,86,138,50,1.5,69,22
2013-12-15,160,÷–∂»Œ€»æ,122,170,46,1.1,51,62
2013-12-16,55,¡º,39,49,24,1.1,39,34
2013-12-17,63,¡º,46,48,21,1.1,38,27
2013-12-18,108,«·∂»Œ€»æ,81,106,35,1.2,39,49
2013-12-19,153,÷–∂»Œ€»æ,117,162,63,1.5,54,41
2013-12-20,257,÷ÿ∂»Œ€»æ,207,267,102,2.4,80,25
2013-12-21,113,«·∂»Œ€»æ,86,117,64,1.5,60,46
2013-12-22,139,«·∂»Œ€»æ,106,143,57,1.8,65,40
2013-12-23,180,÷–∂»Œ€»æ,136,175,56,2,76,30
2013-12-24,254,÷ÿ∂»Œ€»æ,204,253,110,2.3,87,29
2013-12-25,289,÷ÿ∂»Œ€»æ,239,293,92,2.6,98,32
2013-12-26,328,—œ÷ÿŒ€»æ,278,368,107,2.4,97,19
2013-12-27,74,¡º,54,98,51,0.9,49,37
2013-12-28,124,«·∂»Œ€»æ,94,148,71,1.7,73,31
2013-12-29,180,÷–∂»Œ€»æ,136,195,92,1.8,81,32
2013-12-30,133,«·∂»Œ€»æ,101,151,60,1.2,74,54
2013-12-31,125,«·∂»Œ€»æ,95,149,69,1.1,77,57
2014-01-01,159,÷–∂»Œ€»æ,121,175,63,1.4,84,56
2014-01-02,192,÷–∂»Œ€»æ,144,208,62,1.7,125,38
2014-01-03,248,÷ÿ∂»Œ€»æ,198,275,88,2.1,131,35
2014-01-04,191,÷–∂»Œ€»æ,144,217,53,1.5,65,27
2014-01-05,154,÷–∂»Œ€»æ,117,172,56,1.3,84,39
2014-01-06,75,¡º,55,89,36,0.9,65,51
2014-01-07,84,¡º,62,85,29,1,68,28
2014-01-08,72,¡º,52,63,16,1.1,38,49
2014-01-09,75,¡º,55,85,40,1.2,50,34
2014-01-10,82,¡º,61,104,41,1,69,44
2014-01-11,95,¡º,71,95,30,0.8,58,27
2014-01-12,182,÷–∂»Œ€»æ,138,165,44,1.3,61,50
2014-01-13,115,«·∂»Œ€»æ,87,121,44,0.9,50,41
2014-01-14,71,¡º,52,76,40,0.8,62,46
2014-01-15,80,¡º,59,79,37,0.8,61,54
2014-01-16,115,«·∂»Œ€»æ,87,119,34,0.9,75,57
2014-01-17,200,÷–∂»Œ€»æ,150,196,54,1.7,92,45
2014-01-18,272,÷ÿ∂»Œ€»æ,222,276,55,1.7,65,46
2014-01-19,270,÷ÿ∂»Œ€»æ,220,281,42,1.8,74,75
2014-01-20,234,÷ÿ∂»Œ€»æ,184,306,60,2,74,47
2014-01-21,99,¡º,58,148,54,1,52,36
2014-01-22,85,¡º,63,92,32,0.9,59,49
2014-01-23,104,«·∂»Œ€»æ,78,110,34,0.8,70,55
2014-01-24,89,¡º,66,97,26,0.8,67,62
2014-01-25,163,÷–∂»Œ€»æ,124,169,32,1.2,55,44
2014-01-26,66,¡º,47,82,25,0.8,30,52
2014-01-27,54,¡º,32,58,17,0.6,44,59
2014-01-28,104,«·∂»Œ€»æ,78,116,35,1.1,49,63
2014-01-29,104,«·∂»Œ€»æ,78,108,18,1,37,59
2014-01-30,207,÷ÿ∂»Œ€»æ,157,190,30,2.2,51,57
2014-01-31,233,÷ÿ∂»Œ€»æ,183,229,21,1.4,35,79
2014-02-01,127,«·∂»Œ€»æ,97,116,23,1.2,32,80
2014-02-02,275,÷ÿ∂»Œ€»æ,225,340,14,2.7,50,46
2014-02-03,103,«·∂»Œ€»æ,78,131,15,1.1,23,57
2014-02-04,49,”≈,23,49,19,0.7,17,70
2014-02-05,33,”≈,18,27,9,0.6,20,66
2014-02-06,25,”≈,12,15,8,0.7,20,49
2014-02-07,41,”≈,29,30,11,0.9,21,42
2014-02-08,84,¡º,62,76,23,1.1,22,58
