»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,203,÷ÿ∂»Œ€»æ,153,221,95,2.2,101,41
2013-12-03,235,÷ÿ∂»Œ€»æ,185,251,146,3,96,36
2013-12-04,254,÷ÿ∂»Œ€»æ,204,290,135,2.7,92,24
2013-12-05,359,—œ÷ÿŒ€»æ,309,397,81,2.6,89,32
2013-12-06,91,¡º,68,123,54,1.4,56,37
2013-12-07,261,÷ÿ∂»Œ€»æ,211,280,61,2.4,67,43
2013-12-08,150,«·∂»Œ€»æ,115,147,30,1.7,49,37
2013-12-09,143,«·∂»Œ€»æ,110,163,71,1.3,46,42
2013-12-10,80,¡º,59,108,83,1.2,55,48
2013-12-11,73,¡º,39,96,47,0.9,39,54
2013-12-12,100,¡º,70,150,74,1.3,47,49
2013-12-13,63,¡º,30,75,49,1,38,52
2013-12-14,128,«·∂»Œ€»æ,97,157,91,1.9,65,44
2013-12-15,91,¡º,68,103,109,1.4,69,52
2013-12-16,87,¡º,65,97,69,1.5,66,24
2013-12-17,60,¡º,43,64,45,0.8,49,50
2013-12-18,66,¡º,48,68,42,0.8,34,59
2013-12-19,95,¡º,71,96,93,1.3,58,43
2013-12-20,66,¡º,48,75,76,1,45,55
2013-12-21,55,¡º,37,59,51,0.9,42,57
2013-12-22,125,«·∂»Œ€»æ,95,128,63,1.6,55,42
2013-12-23,212,÷ÿ∂»Œ€»æ,162,218,162,2.1,76,30
2013-12-24,223,÷ÿ∂»Œ€»æ,173,227,140,1.5,75,55
2013-12-25,315,—œ÷ÿŒ€»æ,265,348,130,1.3,91,23
2013-12-26,158,÷–∂»Œ€»æ,121,224,78,0.6,50,49
2013-12-27,63,¡º,37,75,56,0.5,47,49
2013-12-28,111,«·∂»Œ€»æ,84,140,95,0.9,58,41
2013-12-29,129,«·∂»Œ€»æ,98,174,103,0.9,66,46
2013-12-30,158,÷–∂»Œ€»æ,120,220,124,1.2,69,39
2013-12-31,156,÷–∂»Œ€»æ,119,256,127,1.6,65,35
2014-01-01,155,÷–∂»Œ€»æ,119,246,107,2.1,59,39
2014-01-02,150,«·∂»Œ€»æ,115,224,69,1.7,58,24
2014-01-03,208,÷ÿ∂»Œ€»æ,158,258,93,2,56,24
2014-01-04,54,¡º,28,58,26,0.6,30,45
2014-01-05,104,«·∂»Œ€»æ,78,134,36,1.3,50,27
2014-01-06,199,÷–∂»Œ€»æ,149,203,78,1.5,61,36
2014-01-07,85,¡º,63,104,28,0.9,43,65
2014-01-08,79,¡º,58,85,31,0.7,28,60
2014-01-09,74,¡º,55,92,63,1.1,49,52
2014-01-10,167,÷–∂»Œ€»æ,127,189,69,1.9,65,37
2014-01-11,218,÷ÿ∂»Œ€»æ,168,249,78,2.3,81,53
2014-01-12,177,÷–∂»Œ€»æ,134,195,64,1.5,60,49
2014-01-13,55,¡º,30,60,37,0.7,41,66
2014-01-14,125,«·∂»Œ€»æ,95,157,64,1.9,75,55
2014-01-15,259,÷ÿ∂»Œ€»æ,209,290,118,2.4,79,54
2014-01-16,242,÷ÿ∂»Œ€»æ,192,265,75,2.5,82,46
2014-01-17,235,÷ÿ∂»Œ€»æ,185,258,94,2.2,67,38
2014-01-18,167,÷–∂»Œ€»æ,127,182,76,1.8,67,45
2014-01-19,240,÷ÿ∂»Œ€»æ,190,275,86,3,84,42
2014-01-20,172,÷–∂»Œ€»æ,131,250,70,1.4,53,63
2014-01-21,64,¡º,28,78,56,1.1,39,48
2014-01-22,106,«·∂»Œ€»æ,80,146,69,1.6,60,50
2014-01-23,132,«·∂»Œ€»æ,101,162,74,2.1,75,44
2014-01-24,166,÷–∂»Œ€»æ,126,195,55,2.3,74,26
2014-01-25,99,¡º,74,124,40,1.2,36,74
2014-01-26,53,¡º,18,56,23,0.8,23,62
2014-01-27,79,¡º,55,108,54,1.7,57,52
2014-01-28,79,¡º,58,107,45,1.2,29,77
2014-01-29,65,¡º,42,80,27,1.2,39,57
